S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-01-07,1,2.00,454.00,227.00,227.00,227.00
2,2019-01-08,1,10.00,2380.00,238.00,227.00,238.00
3,2019-01-31,3,30.00,7600.00,258.00,238.00,258.00
4,2019-02-05,1,10.00,2700.00,270.00,258.00,270.00
5,2019-02-06,1,10.00,2830.00,283.00,270.00,283.00
6,2019-02-11,5,50.00,15290.00,311.00,283.00,311.00
7,2019-02-12,1,10.00,3260.00,326.00,311.00,326.00
8,2019-02-13,5,50.00,17600.00,358.00,326.00,358.00
9,2019-02-14,1,10.00,3750.00,375.00,358.00,375.00
10,2019-02-17,7,130.00,52130.00,412.00,393.00,412.00
11,2019-02-18,4,40.00,17730.00,453.00,412.00,453.00
12,2019-02-19,4,530.00,263520.00,498.00,453.00,498.00
13,2019-02-20,10,100.00,54000.00,547.00,522.00,547.00
14,2019-02-21,3585,42215.00,25068191.00,601.00,547.00,601.00
15,2019-02-24,1474,17370.00,10310980.00,610.00,584.00,586.00
16,2019-02-25,430,5670.00,3299940.00,594.00,575.00,588.00
17,2019-02-26,297,4240.00,2471270.00,590.00,581.00,581.00
18,2019-02-27,153,1970.00,1148550.00,591.00,580.00,584.00
19,2019-03-03,237,3260.00,1880810.00,585.00,570.00,570.00
20,2019-03-05,193,2540.00,1426590.00,570.00,560.00,561.00
21,2019-03-06,217,2480.00,1380430.00,563.00,550.00,556.00
22,2019-03-07,128,1810.00,1015090.00,583.00,555.00,566.00
23,2019-03-10,47,910.00,513410.00,570.00,560.00,567.00
24,2019-03-11,167,2700.00,1528740.00,574.00,555.00,571.00
25,2019-03-12,97,1640.00,931630.00,580.00,561.00,567.00
26,2019-03-13,98,1090.00,615360.00,578.00,560.00,562.00
27,2019-03-14,83,1208.00,679392.00,568.00,555.00,560.00
28,2019-03-17,126,1730.00,967180.00,571.00,553.00,569.00
29,2019-03-18,91,1570.00,879810.00,569.00,552.00,559.00
30,2019-03-19,48,1794.00,1008661.00,569.00,552.00,555.00
31,2019-03-21,94,1470.00,824440.00,582.00,554.00,554.00
32,2019-03-24,119,1440.00,781920.00,565.00,540.00,548.00
33,2019-03-25,90,960.00,518570.00,545.00,535.00,540.00
34,2019-03-26,87,990.00,528830.00,540.00,531.00,533.00
35,2019-03-27,100,1210.00,642030.00,545.00,525.00,535.00
36,2019-03-28,86,1130.00,599160.00,535.00,526.00,527.00
37,2019-03-31,99,1450.00,755530.00,528.00,518.00,524.00
38,2019-04-01,187,2180.00,1123242.00,524.00,510.00,513.00
39,2019-04-02,103,1110.00,564250.00,513.00,502.00,506.00
40,2019-04-03,87,1276.00,646778.00,517.00,497.00,509.00
41,2019-04-04,129,1650.00,834610.00,515.00,500.00,505.00
42,2019-04-07,92,2370.00,1161600.00,500.00,480.00,480.00
43,2019-04-08,146,1980.00,988320.00,519.00,480.00,511.00
44,2019-04-09,42,1460.00,734500.00,523.00,496.00,498.00
45,2019-04-10,80,1660.00,809690.00,500.00,482.00,484.00
46,2019-04-11,88,3988.00,1922420.00,499.00,474.00,486.00
47,2019-04-15,90,1890.00,900710.00,490.00,470.00,478.00
48,2019-04-16,65,1150.00,565560.00,501.00,475.00,493.00
49,2019-04-17,101,5130.00,2606840.00,520.00,495.00,515.00
50,2019-04-18,58,1320.00,675820.00,520.00,502.00,502.00
51,2019-04-21,47,1720.00,855760.00,510.00,490.00,510.00
52,2019-04-22,30,1430.00,720950.00,514.00,495.00,495.00
53,2019-04-23,39,780.00,385370.00,497.00,490.00,493.00
54,2019-04-24,40,746.00,367160.00,502.00,487.00,493.00
55,2019-04-25,33,900.00,441470.00,502.00,483.00,490.00
56,2019-04-28,64,2390.00,1197970.00,511.00,486.00,508.00
57,2019-04-29,46,1460.00,720590.00,500.00,490.00,499.00
58,2019-04-30,42,840.00,417390.00,500.00,491.00,498.00
59,2019-05-02,36,740.00,367740.00,500.00,489.00,496.00
60,2019-05-05,53,950.00,460780.00,490.00,480.00,485.00
61,2019-05-06,45,730.00,354680.00,490.00,480.00,486.00
62,2019-05-07,46,790.00,382030.00,489.00,480.00,480.00
63,2019-05-08,37,870.00,415520.00,480.00,475.00,477.00
64,2019-05-09,39,420.00,199300.00,484.00,471.00,484.00
65,2019-05-12,47,2464.00,1162250.00,484.00,466.00,484.00
66,2019-05-13,56,1210.00,569680.00,484.00,460.00,475.00
67,2019-05-14,32,662.00,308142.00,468.00,463.00,466.00
68,2019-05-15,68,2490.00,1143390.00,465.00,455.00,455.00
69,2019-05-16,84,2338.00,1050706.00,455.00,444.00,444.00
70,2019-05-19,54,915.00,425535.00,475.00,440.00,462.00
71,2019-05-20,43,840.00,387090.00,465.00,456.00,460.00
72,2019-05-21,53,1590.00,732170.00,466.00,456.00,460.00
73,2019-05-22,23,260.00,119620.00,464.00,458.00,459.00
74,2019-05-23,52,3050.00,1360450.00,457.00,438.00,452.00
75,2019-05-26,42,460.00,205210.00,450.00,443.00,449.00
76,2019-05-27,25,440.00,200340.00,460.00,450.00,460.00
77,2019-05-28,38,1400.00,631440.00,460.00,443.00,460.00
78,2019-05-29,35,1660.00,747220.00,459.00,442.00,448.00
79,2019-05-30,47,1975.00,902705.00,462.00,447.00,456.00
80,2019-06-02,73,1480.00,660410.00,455.00,442.00,445.00
