S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-28,5,125.00,132025.00,1060.00,1055.00,1055.00
2,2021-04-29,7,635.00,670675.00,1060.00,1050.00,1055.00
3,2021-05-02,13,505.00,531900.00,1065.00,1050.00,1055.00
4,2021-05-03,17,1470.00,1553020.00,1060.00,1051.00,1055.00
5,2021-05-04,7,375.00,395175.00,1060.00,1046.00,1050.00
6,2021-05-05,6,175.00,184900.00,1065.00,1052.00,1052.00
7,2021-05-06,7,375.00,397125.00,1070.00,1050.00,1060.00
8,2021-05-09,6,450.00,478850.00,1070.00,1054.00,1070.00
9,2021-05-10,3,150.00,159500.00,1065.00,1060.00,1060.00
10,2021-05-11,1,25.00,26500.00,1060.00,1060.00,1060.00
11,2021-05-12,7,175.00,185975.00,1070.00,1041.00,1070.00
12,2021-05-13,1,50.00,53750.00,1075.00,1075.00,1075.00
13,2021-05-16,5,150.00,160725.00,1075.00,1070.00,1075.00
14,2021-05-17,1,40.00,42400.00,1060.00,1060.00,1060.00
15,2021-05-18,2,75.00,79625.00,1065.00,1060.00,1065.00
16,2021-05-19,8,525.00,555900.00,1065.00,1045.00,1065.00
17,2021-05-20,1,100.00,106000.00,1060.00,1060.00,1060.00
18,2021-05-23,9,600.00,638050.00,1069.00,1056.00,1056.00
19,2021-05-24,7,250.00,266675.00,1070.00,1060.00,1070.00
20,2021-05-25,8,425.00,454500.00,1070.00,1065.00,1065.00
21,2021-05-27,8,410.00,441125.00,1085.00,1065.00,1070.00
22,2021-05-30,1,150.00,160500.00,1070.00,1070.00,1070.00
23,2021-05-31,7,245.00,261505.00,1070.00,1052.00,1065.00
24,2021-06-01,8,235.00,252800.00,1085.00,1070.00,1085.00
25,2021-06-02,2,115.00,124775.00,1085.00,1070.00,1085.00
26,2021-06-06,1,25.00,26700.00,1068.00,1068.00,1068.00
27,2021-06-07,8,290.00,310475.00,1080.00,1070.00,1075.00
28,2021-06-08,10,525.00,566375.00,1085.00,1070.00,1080.00
29,2021-06-09,2,50.00,53475.00,1080.00,1059.00,1080.00
30,2021-06-10,3,75.00,80250.00,1070.00,1070.00,1070.00
31,2021-06-13,12,1325.00,1431050.00,1090.00,1061.00,1090.00
32,2021-06-14,9,450.00,490500.00,1090.00,1090.00,1090.00
33,2021-06-15,7,300.00,328550.00,1111.00,1089.00,1089.00
34,2021-06-16,4,125.00,136475.00,1100.00,1085.00,1085.00
35,2021-06-17,7,355.00,390050.00,1106.00,1080.00,1106.00
36,2021-06-20,9,1265.00,1397500.00,1124.00,1085.00,1124.00
37,2021-06-21,3,100.00,110500.00,1105.00,1105.00,1105.00
38,2021-06-22,7,260.00,283125.00,1110.00,1083.00,1105.00
39,2021-06-23,6,425.00,464575.00,1104.00,1083.00,1104.00
40,2021-06-27,3,65.00,72265.00,1126.00,1100.00,1126.00
41,2021-06-29,1,25.00,27600.00,1104.00,1104.00,1104.00
42,2021-07-04,2,50.00,54550.00,1100.00,1082.00,1100.00
43,2021-07-07,1,25.00,27125.00,1085.00,1085.00,1085.00
44,2021-07-08,3,60.00,65100.00,1085.00,1085.00,1085.00
45,2021-07-12,1,25.00,27125.00,1085.00,1085.00,1085.00
46,2021-07-13,6,485.00,545975.00,1150.00,1106.00,1150.00
47,2021-07-14,1,10.00,11270.00,1127.00,1127.00,1127.00
48,2021-07-15,2,45.00,49175.00,1105.00,1083.00,1083.00
49,2021-07-18,3,315.00,334800.00,1080.00,1060.00,1060.00
50,2021-07-19,4,400.00,417900.00,1047.00,1041.00,1047.00
51,2021-07-20,4,200.00,209420.00,1050.00,1041.40,1050.00
52,2021-07-22,12,1700.00,1775325.00,1050.00,1041.00,1041.00
53,2021-07-25,5,380.00,398380.00,1050.00,1045.00,1050.00
54,2021-07-26,8,375.00,399000.00,1070.00,1050.00,1070.00
55,2021-07-28,6,725.00,768605.00,1069.00,1060.00,1060.20
56,2021-08-01,4,225.00,234882.50,1058.00,1039.00,1058.00
57,2021-08-02,1,100.00,105800.00,1058.00,1058.00,1058.00
58,2021-08-03,1,25.00,26050.00,1042.00,1042.00,1042.00
59,2021-08-04,5,150.00,156957.50,1052.00,1045.00,1052.00
60,2021-08-05,2,150.00,157810.00,1053.10,1050.00,1053.10
61,2021-08-08,3,225.00,237037.50,1054.00,1053.10,1053.10
62,2021-08-09,5,250.00,265202.50,1071.00,1050.00,1052.10
63,2021-08-10,9,686.00,722153.10,1070.00,1050.00,1070.00
64,2021-08-12,4,150.00,159000.00,1060.00,1060.00,1060.00
