S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-08-02,47,460.00,142790.00,320.00,291.00,320.00
2,2020-08-03,53,530.00,185860.00,352.00,326.00,352.00
3,2020-08-05,105,1050.00,405650.00,387.00,359.00,387.00
4,2020-08-06,3053,47242.00,20077060.00,425.00,394.00,425.00
5,2020-08-09,12805,199382.00,92141116.00,467.00,435.00,467.00
6,2020-08-10,9001,105025.00,53039445.00,513.00,490.00,513.00
7,2020-08-11,6043,82667.00,45463058.00,564.00,528.00,564.00
8,2020-08-12,4531,59385.00,32756319.00,580.00,540.00,543.00
9,2020-08-13,3652,78683.00,40828157.00,543.00,503.00,517.00
10,2020-08-16,2440,61448.00,30335482.00,509.00,480.00,492.00
11,2020-08-17,1355,24137.00,11756022.00,493.00,475.00,492.00
12,2020-08-18,1207,34107.00,16673580.00,500.00,483.00,486.00
13,2020-08-19,787,17845.00,8576370.00,510.00,477.00,479.00
14,2020-08-20,510,10821.00,5169714.00,481.00,474.00,480.00
15,2020-08-23,706,16824.00,8029014.00,482.00,471.00,482.00
16,2020-08-24,1289,40762.00,20278463.00,504.00,482.00,503.00
17,2020-08-25,1455,54317.00,27948082.00,521.00,500.00,519.00
18,2020-08-26,1381,47088.00,24811209.00,532.00,513.00,525.00
19,2020-08-27,1067,32244.00,16710005.00,535.00,512.00,515.00
20,2020-08-30,714,17340.00,8842115.00,515.00,506.00,513.00
21,2020-08-31,1453,69684.00,36671875.00,535.00,513.00,528.00
22,2020-09-02,1251,58298.00,30742207.00,537.00,508.00,519.00
23,2020-09-03,1066,24019.00,12297908.00,518.00,507.00,515.00
24,2020-09-06,1063,28580.00,14848145.00,540.00,508.00,515.00
25,2020-09-07,969,20247.00,10284250.00,512.00,502.00,511.00
26,2020-09-08,819,15173.00,7714239.00,530.00,500.00,512.00
27,2020-09-09,710,19878.00,10205076.00,518.00,505.00,517.00
28,2020-09-10,706,23875.00,12531772.00,540.00,516.00,525.00
29,2020-09-13,1070,44569.00,23594787.00,540.00,516.00,533.00
30,2020-09-14,917,33659.00,17918056.00,559.00,524.00,528.00
31,2020-09-15,749,16206.00,8474356.00,528.00,520.00,523.00
32,2020-09-16,711,15416.00,8092878.00,549.00,515.00,524.00
33,2020-09-17,859,18783.00,9861115.00,534.00,520.00,524.00
34,2020-09-20,819,16959.00,8839484.00,530.00,516.00,518.00
35,2020-09-21,1286,20615.00,10686325.00,530.00,509.00,520.00
36,2020-09-22,1095,25916.00,13400306.00,520.00,513.00,514.00
37,2020-09-23,739,10739.00,5527558.00,520.00,508.00,516.00
38,2020-09-24,776,10790.00,5554140.00,518.00,511.00,517.00
39,2020-09-27,672,17625.00,9042955.00,517.00,510.00,510.00
40,2020-09-28,629,10435.00,5321965.00,514.00,508.00,511.00
41,2020-09-29,585,9262.00,4714810.00,513.00,507.00,509.00
42,2020-09-30,596,13257.00,6722770.00,512.00,505.00,507.00
43,2020-10-01,789,19929.00,10265273.00,522.00,502.00,518.00
44,2020-10-04,920,26122.00,13674693.00,532.00,517.00,520.00
45,2020-10-05,658,18525.00,9567986.00,521.00,515.00,518.00
46,2020-10-06,531,10665.00,5468065.00,519.00,511.00,514.00
47,2020-10-07,519,15547.00,7973354.00,518.00,511.00,515.00
48,2020-10-08,629,11418.00,5880832.00,520.00,513.00,513.00
49,2020-10-11,504,9868.00,5025415.00,513.00,507.00,508.00
50,2020-10-12,496,9407.00,4773238.00,511.00,503.00,506.00
51,2020-10-13,453,8654.00,4384889.00,509.00,505.00,506.00
52,2020-10-14,385,7213.00,3626665.00,505.00,501.00,502.00
53,2020-10-15,360,8098.00,4087704.00,510.00,500.00,503.00
54,2020-10-18,339,5029.00,2525673.00,509.00,500.00,501.00
55,2020-10-19,231,4965.00,2498945.00,508.00,501.00,505.00
56,2020-10-20,241,6590.00,3347560.00,513.00,502.00,508.00
57,2020-10-21,238,6324.00,3243257.00,518.00,504.00,513.00
58,2020-10-22,200,3850.00,1964050.00,515.00,505.00,508.00
59,2020-10-28,362,14532.00,7445195.00,516.00,507.00,514.00
60,2020-10-29,416,9566.00,4886130.00,516.00,509.00,510.00
61,2020-11-01,487,8815.00,4506065.00,515.00,510.00,511.00
62,2020-11-02,556,13304.00,6810130.00,514.00,501.00,511.00
63,2020-11-03,452,12989.00,6660511.00,515.00,505.00,512.00
64,2020-11-04,371,8030.00,4104616.00,516.00,510.00,511.00
65,2020-11-05,452,10940.00,5565810.00,513.00,507.00,508.00
66,2020-11-08,502,7860.00,4007990.00,518.00,506.00,509.00
67,2020-11-09,470,16007.00,8193222.00,515.00,504.00,511.00
68,2020-11-10,414,9831.00,5058510.00,536.00,510.00,517.00
69,2020-11-11,533,25958.00,13540792.00,542.00,517.00,523.00
70,2020-11-12,632,24637.00,12972593.00,549.00,521.00,526.00
71,2020-11-18,418,18169.00,9546292.00,529.00,519.00,526.00
72,2020-11-19,1153,75950.00,41735965.00,574.00,527.00,563.00
73,2020-11-22,1415,120790.00,70735559.00,606.00,566.00,590.00
74,2020-11-23,852,46009.00,27127054.00,603.00,578.00,588.00
75,2020-11-24,1713,133491.00,82895632.00,646.00,588.00,646.00
76,2020-11-25,1544,91902.00,63936391.00,710.00,665.00,710.00
77,2020-11-26,1292,75790.00,54505150.00,748.00,677.00,700.00
78,2020-11-29,1260,96368.00,65188413.00,701.00,650.00,680.00
79,2020-11-30,1008,69790.00,48084725.00,710.00,663.00,691.00
80,2020-12-01,669,39130.00,26953730.00,704.00,680.00,685.00
81,2020-12-02,714,33827.00,23563157.00,708.00,682.00,700.00
82,2020-12-03,545,39541.00,27227759.00,730.00,677.00,680.00
83,2020-12-06,671,31525.00,20562420.00,680.00,627.00,627.00
84,2020-12-07,753,48836.00,31925153.00,672.00,620.00,670.00
85,2020-12-08,455,20271.00,13463638.00,687.00,653.00,661.00
86,2020-12-09,483,22354.00,14446823.00,661.00,637.00,641.00
87,2020-12-10,487,15717.00,10139469.00,665.00,628.00,649.00
88,2020-12-13,467,9506.00,6218716.00,663.00,637.00,662.00
89,2020-12-14,541,21177.00,14163085.00,683.00,661.00,670.00
90,2020-12-15,479,31327.00,21223354.00,685.00,640.00,678.00
91,2020-12-16,516,37434.00,25537309.00,691.00,653.00,691.00
92,2020-12-17,467,24255.00,16506667.00,697.00,671.00,683.00
93,2020-12-20,536,25396.00,16717407.00,723.00,635.00,650.00
94,2020-12-21,642,32986.00,20756064.00,665.00,600.00,646.00
95,2020-12-22,526,16561.00,10784616.00,667.00,637.00,664.00
96,2020-12-23,319,13841.00,9108043.00,683.00,647.00,654.00
97,2020-12-24,352,10753.00,6896497.00,654.00,631.00,640.00
98,2020-12-27,408,11123.00,7042929.00,644.00,627.00,630.00
99,2020-12-28,368,13770.00,8674075.00,639.00,625.00,634.00
