S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-04-16,48,9361.00,3049746.00,326.00,297.00,326.00
2,2017-04-18,269,31151.00,11151161.00,358.00,332.00,358.00
3,2017-04-19,165,10034.00,3925883.00,393.00,365.00,393.00
4,2017-04-23,1499,110978.00,46161908.00,432.00,383.00,411.00
5,2017-04-24,1316,53027.00,21169186.00,408.00,385.00,402.00
6,2017-04-25,1038,39076.00,15661810.00,418.00,393.00,408.00
7,2017-04-26,914,35032.00,14772788.00,448.00,403.00,441.00
8,2017-04-27,854,45822.00,20535199.00,469.00,425.00,461.00
9,2017-04-30,655,52492.00,23543803.00,460.00,438.00,445.00
10,2017-05-02,388,30617.00,13560470.00,455.00,434.00,444.00
11,2017-05-03,423,24825.00,10963261.00,457.00,436.00,438.00
12,2017-05-04,703,51497.00,22794261.00,450.00,435.00,447.00
13,2017-05-07,640,29759.00,13140253.00,450.00,437.00,439.00
14,2017-05-08,392,24419.00,10783817.00,448.00,432.00,444.00
15,2017-05-09,633,48134.00,22066936.00,474.00,441.00,467.00
16,2017-05-11,671,53131.00,25937106.00,503.00,466.00,485.00
17,2017-05-15,245,20965.00,10072120.00,493.00,475.00,477.00
18,2017-05-16,246,12819.00,6103612.00,485.00,472.00,480.00
19,2017-05-17,250,14404.00,6902547.00,484.00,472.00,481.00
20,2017-05-18,218,25777.00,12366722.00,493.00,473.00,490.00
21,2017-05-21,202,11480.00,5470031.00,485.00,465.00,484.00
22,2017-05-22,153,8730.00,4112955.00,479.00,460.00,472.00
23,2017-05-23,196,11209.00,5299349.00,483.00,465.00,468.00
24,2017-05-24,198,9904.00,4623727.00,482.00,460.00,470.00
25,2017-05-28,242,7736.00,3594103.00,475.00,461.00,467.00
26,2017-05-30,278,11667.00,5331994.00,469.00,450.00,460.00
27,2017-05-31,228,8876.00,4058962.00,469.00,451.00,460.00
28,2017-06-01,153,7009.00,3210837.00,462.00,454.00,460.00
29,2017-06-04,279,8662.00,3914707.00,459.00,444.00,450.00
30,2017-06-05,164,5406.00,2419731.00,455.00,443.00,450.00
31,2017-06-06,189,5992.00,2719007.00,463.00,441.00,457.00
32,2017-06-07,279,11678.00,5241935.00,455.00,446.00,447.00
33,2017-06-08,222,9330.00,4126730.00,449.00,437.00,448.00
34,2017-06-11,315,13870.00,6019824.00,445.00,429.00,430.00
35,2017-06-12,194,10653.00,4516731.00,435.00,416.00,422.00
36,2017-06-13,145,7280.00,3067322.00,430.00,416.00,422.00
37,2017-06-14,186,4893.00,2054570.00,430.00,415.00,430.00
38,2017-06-15,134,6410.00,2722549.00,434.00,417.00,434.00
39,2017-06-18,100,2107.00,885873.00,435.00,415.00,418.00
40,2017-06-19,146,4938.00,2024152.00,418.00,405.00,405.00
41,2017-06-20,155,4359.00,1781592.00,421.00,400.00,412.00
42,2017-06-21,131,8927.00,3674921.00,416.00,406.00,416.00
43,2017-06-22,67,2909.00,1215742.00,420.00,415.00,418.00
44,2017-06-25,134,5526.00,2368404.00,439.00,418.00,438.00
45,2017-06-27,67,2938.00,1261901.00,439.00,427.00,429.00
46,2017-06-28,59,1161.00,488843.00,425.00,417.00,421.00
47,2017-07-02,144,3952.00,1623186.00,420.00,405.00,410.00
48,2017-07-03,156,5055.00,2064916.00,418.00,405.00,406.00
49,2017-07-04,79,1815.00,739723.00,412.00,400.00,409.00
50,2017-07-05,114,3711.00,1510056.00,417.00,405.00,417.00
51,2017-07-06,70,1898.00,789357.00,425.00,409.00,425.00
52,2017-07-09,168,5553.00,2328785.00,430.00,408.00,425.00
53,2017-07-10,148,32236.00,13363029.00,425.00,401.00,415.00
54,2017-07-11,123,4924.00,2026748.00,417.00,408.00,417.00
55,2017-07-12,108,3492.00,1436443.00,414.00,410.00,410.00
56,2017-07-13,89,2146.00,877888.00,413.00,405.00,409.00
57,2017-07-16,165,5459.00,2208990.00,415.00,401.00,415.00
58,2017-07-17,151,7175.00,2944449.00,416.00,407.00,412.00
59,2017-07-18,188,9889.00,4189454.00,441.00,405.00,434.00
60,2017-07-19,150,10705.00,4508979.00,435.00,417.00,417.00
61,2017-07-20,93,5106.00,2133496.00,422.00,415.00,417.00
62,2017-07-23,142,5856.00,2430825.00,425.00,411.00,416.00
63,2017-07-24,117,9148.00,3787907.00,423.00,411.00,412.00
64,2017-07-25,146,3866.00,1598305.00,423.00,404.00,411.00
65,2017-07-26,133,6045.00,2497707.00,416.00,410.00,415.00
66,2017-07-27,60,3964.00,1628987.00,414.00,409.00,412.00
67,2017-07-30,97,11606.00,4751125.00,418.00,407.00,407.00
68,2017-07-31,156,8062.00,3311181.00,423.00,400.00,418.00
69,2017-08-01,117,6928.00,2825951.00,420.00,404.00,420.00
70,2017-08-02,112,4182.00,1717301.00,416.00,408.00,411.00
71,2017-08-03,170,3902.00,1598879.00,418.00,404.00,410.00
72,2017-08-06,150,3548.00,1447024.00,411.00,402.00,407.00
73,2017-08-07,131,3067.00,1247544.00,410.00,405.00,406.00
74,2017-08-09,266,11476.00,4595925.00,405.00,397.00,400.00
75,2017-08-10,199,8529.00,3360936.00,400.00,392.00,393.00
76,2017-08-13,124,5335.00,2032823.00,400.00,376.00,381.00
77,2017-08-15,116,5051.00,1879853.00,387.00,367.00,367.00
78,2017-08-16,85,5715.00,2157848.00,387.00,370.00,375.00
