S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-03-11,2,20.00,6060.00,306.00,300.00,306.00
2,2019-03-12,1,10.00,3210.00,321.00,306.00,321.00
3,2019-03-13,3,30.00,10290.00,349.00,321.00,349.00
4,2019-03-14,1,10.00,3660.00,366.00,366.00,366.00
5,2019-03-17,5,50.00,19770.00,402.00,384.00,402.00
6,2019-03-18,1,10.00,4220.00,422.00,422.00,422.00
7,2019-03-19,4,40.00,18180.00,464.00,443.00,464.00
8,2019-03-21,50,500.00,254580.00,510.00,487.00,510.00
9,2019-03-24,2695,31231.00,15575910.00,555.00,486.00,492.00
10,2019-03-25,968,10094.00,4951070.00,496.00,484.00,490.00
11,2019-03-26,476,5200.00,2532055.00,490.00,481.00,489.00
12,2019-03-27,320,5701.00,2753324.00,494.00,480.00,489.00
13,2019-03-28,363,3750.00,1818970.00,498.00,481.00,485.00
14,2019-03-31,324,4030.00,1957030.00,498.00,480.00,483.00
15,2019-04-01,337,3680.00,1766180.00,484.00,476.00,479.00
16,2019-04-02,322,4050.00,1941180.00,483.00,477.00,477.00
17,2019-04-03,277,3700.00,1768840.00,481.00,473.00,480.00
18,2019-04-04,169,1730.00,824910.00,480.00,474.00,477.00
19,2019-04-07,191,3250.00,1523160.00,473.00,463.00,466.00
20,2019-04-08,284,3120.00,1499460.00,490.00,459.00,482.00
21,2019-04-09,172,2260.00,1085010.00,487.00,474.00,474.00
22,2019-04-10,174,2020.00,947460.00,477.00,465.00,468.00
23,2019-04-11,191,2100.00,980490.00,473.00,459.00,471.00
24,2019-04-15,134,1710.00,799460.00,473.00,462.00,466.00
25,2019-04-16,86,990.00,468310.00,480.00,463.00,469.00
26,2019-04-17,108,2230.00,1055330.00,487.00,469.00,471.00
27,2019-04-18,112,1670.00,784170.00,479.00,464.00,464.00
28,2019-04-21,81,1430.00,673920.00,479.00,464.00,474.00
29,2019-04-22,47,1350.00,636820.00,475.00,465.00,470.00
30,2019-04-23,68,2434.00,1131004.00,466.00,457.00,466.00
31,2019-04-24,104,1655.00,762300.00,468.00,452.00,468.00
32,2019-04-25,103,1980.00,925400.00,474.00,462.00,462.00
33,2019-04-28,194,5761.00,2723480.00,500.00,460.00,485.00
34,2019-04-29,102,3909.00,1871435.00,488.00,467.00,472.00
35,2019-04-30,101,1290.00,605650.00,475.00,465.00,471.00
36,2019-05-02,123,2100.00,979040.00,471.00,464.00,464.00
37,2019-05-05,134,1960.00,913560.00,470.00,463.00,464.00
38,2019-05-06,69,1420.00,657050.00,465.00,460.00,465.00
39,2019-05-07,93,1710.00,788940.00,464.00,456.00,464.00
40,2019-05-08,51,4104.00,1889806.00,473.00,450.00,470.00
41,2019-05-09,67,970.00,452750.00,470.00,464.00,469.00
42,2019-05-12,36,370.00,171290.00,467.00,456.00,465.00
43,2019-05-13,58,1050.00,491170.00,471.00,460.00,471.00
44,2019-05-14,47,670.00,312630.00,475.00,459.00,466.00
45,2019-05-15,80,1940.00,901570.00,471.00,459.00,464.00
46,2019-05-16,59,3019.00,1378499.00,461.00,450.00,455.00
47,2019-05-19,56,2240.00,1000060.00,463.00,442.00,442.00
48,2019-05-20,89,1790.00,796180.00,459.00,435.00,449.00
49,2019-05-21,66,1290.00,578520.00,466.00,433.00,450.00
50,2019-05-22,61,1050.00,478250.00,463.00,446.00,450.00
51,2019-05-23,51,1140.00,513240.00,468.00,445.00,445.00
52,2019-05-26,71,1480.00,653040.00,448.00,438.00,441.00
53,2019-05-27,50,915.00,403715.00,449.00,438.00,442.00
54,2019-05-28,87,1080.00,472850.00,441.00,435.00,440.00
55,2019-05-29,58,1840.00,809620.00,444.00,436.00,442.00
56,2019-05-30,131,4693.00,2105845.00,468.00,430.00,444.00
57,2019-06-02,79,1040.00,458860.00,447.00,436.00,447.00
58,2019-06-03,70,1420.00,615990.00,441.00,430.00,432.00
59,2019-06-04,67,2140.00,931630.00,451.00,430.00,438.00
60,2019-06-06,109,2223.00,963460.00,441.00,430.00,441.00
61,2019-06-10,97,1450.00,626900.00,441.00,428.00,428.00
62,2019-06-11,73,1090.00,464560.00,457.00,420.00,422.00
63,2019-06-12,93,1810.00,756170.00,430.00,406.00,417.00
64,2019-06-13,43,910.00,379830.00,421.00,410.00,416.00
65,2019-06-16,141,2270.00,908580.00,416.00,390.00,399.00
66,2019-06-17,88,1295.00,517160.00,409.00,391.00,404.00
67,2019-06-18,76,1840.00,737950.00,415.00,396.00,400.00
68,2019-06-19,50,560.00,222350.00,402.00,389.00,402.00
69,2019-06-20,34,390.00,156080.00,405.00,394.00,400.00
70,2019-06-23,33,620.00,246300.00,404.00,395.00,395.00
71,2019-06-24,68,960.00,382865.00,405.00,395.00,400.00
72,2019-06-25,31,510.00,205650.00,415.00,392.00,407.00
73,2019-06-26,48,1590.00,624850.00,399.00,388.00,390.00
74,2019-06-27,62,1009.00,398197.00,401.00,388.00,401.00
75,2019-06-30,62,620.00,242760.00,408.00,389.00,395.00
76,2019-07-01,64,790.00,305350.00,394.00,382.00,389.00
77,2019-07-02,49,640.00,249810.00,397.00,388.00,397.00
78,2019-07-03,73,1080.00,430120.00,410.00,385.00,397.00
79,2019-07-04,56,740.00,296450.00,405.00,392.00,398.00
80,2019-07-07,35,400.00,158810.00,405.00,389.00,392.00
81,2019-07-08,70,1725.00,681320.00,402.00,385.00,392.00
82,2019-07-09,60,1144.00,456336.00,404.00,378.00,404.00
83,2019-07-10,30,610.00,246230.00,409.00,398.00,404.00
84,2019-07-11,56,1080.00,428090.00,402.00,390.00,390.00
85,2019-07-14,36,420.00,165680.00,400.00,390.00,400.00
86,2019-07-15,37,370.00,144150.00,402.00,385.00,399.00
87,2019-07-16,32,486.00,193390.00,400.00,392.00,395.00
88,2019-07-17,26,280.00,110500.00,400.00,388.00,395.00
89,2019-07-18,21,300.00,119070.00,400.00,395.00,395.00
90,2019-07-21,31,310.00,121700.00,395.00,389.00,390.00
91,2019-07-22,27,400.00,157700.00,399.00,389.00,399.00
92,2019-07-23,75,1745.00,705160.00,412.00,397.00,403.00
93,2019-07-24,65,950.00,389120.00,414.00,403.00,410.00
94,2019-07-25,49,890.00,358720.00,409.00,400.00,402.00
95,2019-07-28,58,1530.00,616895.00,405.00,399.00,402.00
96,2019-07-29,99,2240.00,941350.00,440.00,397.00,427.00
97,2019-07-30,104,7145.00,3093120.00,446.00,423.00,433.00
98,2019-07-31,198,13290.00,6104670.00,476.00,432.00,476.00
99,2019-08-01,409,24725.00,12420095.00,523.00,471.00,515.00
100,2019-08-04,300,13559.00,6882035.00,531.00,491.00,496.00
101,2019-08-05,171,7870.00,3749800.00,500.00,465.00,474.00
102,2019-08-06,122,2730.00,1239875.00,477.00,450.00,477.00
103,2019-08-07,78,2250.00,1071560.00,491.00,456.00,485.00
104,2019-08-08,75,2210.00,1045720.00,483.00,468.00,478.00
105,2019-08-11,50,980.00,455920.00,470.00,452.00,461.00
106,2019-08-12,126,2805.00,1313870.00,477.00,456.00,475.00
107,2019-08-13,61,1300.00,612140.00,475.00,468.00,475.00
108,2019-08-14,49,980.00,460930.00,482.00,467.00,474.00
109,2019-08-15,47,1230.00,571630.00,470.00,456.00,467.00
110,2019-08-18,68,1570.00,728470.00,477.00,458.00,466.00
111,2019-08-19,83,2165.00,1018425.00,480.00,458.00,476.00
112,2019-08-20,46,2274.00,1067810.00,476.00,462.00,470.00
113,2019-08-21,70,3579.00,1650910.00,466.00,457.00,466.00
114,2019-08-22,48,1250.00,578940.00,471.00,458.00,464.00
115,2019-08-25,96,3810.00,1719470.00,465.00,447.00,454.00
116,2019-08-26,44,1344.00,600268.00,458.00,442.00,447.00
117,2019-08-27,51,1590.00,715910.00,458.00,443.00,456.00
118,2019-08-28,62,2235.00,1000815.00,465.00,445.00,447.00
119,2019-08-29,40,949.00,420545.00,450.00,439.00,441.00
120,2019-09-01,39,970.00,424465.00,441.00,435.00,440.00
121,2019-09-02,37,1148.00,497720.00,445.00,432.00,439.00
122,2019-09-03,46,1665.00,734950.00,456.00,431.00,456.00
123,2019-09-04,40,1050.00,478720.00,463.00,446.00,454.00
124,2019-09-05,55,1040.00,470110.00,462.00,445.00,448.00
125,2019-09-08,39,930.00,415390.00,455.00,442.00,449.00
126,2019-09-09,37,550.00,243550.00,450.00,439.00,447.00
127,2019-09-10,32,1155.00,508660.00,447.00,439.00,439.00
128,2019-09-10,32,1155.00,508660.00,447.00,439.00,439.00
129,2019-09-11,32,480.00,209020.00,440.00,434.00,435.00
130,2019-09-12,28,480.00,207200.00,438.00,428.00,431.00
131,2019-09-15,21,660.00,279650.00,432.00,419.00,420.00
132,2019-09-16,53,736.00,308080.00,433.00,414.00,416.00
133,2019-09-17,14,140.00,59250.00,430.00,412.00,428.00
134,2019-09-18,44,1720.00,740930.00,441.00,421.00,435.00
135,2019-09-19,39,500.00,215430.00,436.00,427.00,433.00
136,2019-09-22,34,490.00,208410.00,431.00,423.00,423.00
137,2019-09-23,30,310.00,130200.00,425.00,417.00,425.00
138,2019-09-24,27,270.00,113400.00,425.00,417.00,418.00
139,2019-09-25,24,290.00,121120.00,420.00,415.00,415.00
140,2019-09-26,77,1640.00,694030.00,433.00,416.00,416.00
141,2019-09-29,59,950.00,397710.00,425.00,412.00,418.00
142,2019-09-30,103,2070.00,880060.00,432.00,415.00,432.00
143,2019-10-01,80,1920.00,823855.00,434.00,425.00,434.00
144,2019-10-02,25,1160.00,447760.00,395.00,384.00,384.00
145,2019-10-03,13,584.00,227586.00,391.00,387.00,390.00
146,2019-10-10,5,50.00,19300.00,390.00,385.00,385.00
147,2019-10-14,6,60.00,23220.00,390.00,386.00,387.00
148,2019-10-15,5,50.00,19300.00,386.00,386.00,386.00
149,2019-10-16,14,280.00,108840.00,393.00,383.00,390.00
150,2019-10-17,11,500.00,192420.00,390.00,383.00,383.00
151,2019-10-21,19,470.00,182160.00,395.00,376.00,395.00
152,2019-10-22,22,595.00,226560.00,388.00,378.00,379.00
153,2019-10-23,24,2680.00,1005340.00,380.00,373.00,373.00
154,2019-10-24,13,325.00,123135.00,382.00,373.00,379.00
155,2019-10-31,19,705.00,272125.00,389.00,379.00,388.00
156,2019-11-03,13,470.00,181220.00,387.00,382.00,386.00
157,2019-11-04,23,748.00,288192.00,389.00,381.00,386.00
158,2019-11-05,22,662.00,255420.00,393.00,380.00,390.00
159,2019-11-06,19,950.00,370420.00,395.00,386.00,390.00
160,2019-11-07,31,540.00,210235.00,399.00,381.00,383.00
161,2019-11-10,35,630.00,242080.00,387.00,376.00,385.00
162,2019-11-11,34,1665.00,668075.00,410.00,382.00,403.00
163,2019-11-12,25,1570.00,623450.00,410.00,382.00,398.00
164,2019-11-13,19,1390.00,557195.00,408.00,389.00,403.00
165,2019-11-14,37,1323.00,535719.00,411.00,400.00,409.00
166,2019-11-17,25,1176.00,476412.00,408.00,403.00,407.00
167,2019-11-18,21,780.00,315320.00,406.00,403.00,403.00
168,2019-11-19,21,430.00,172650.00,410.00,394.00,399.00
169,2019-11-20,37,972.00,387060.00,405.00,394.00,401.00
170,2019-11-21,26,510.00,200400.00,397.00,391.00,395.00
171,2019-11-24,18,370.00,144560.00,395.00,387.00,390.00
172,2019-11-25,45,805.00,312370.00,398.00,383.00,386.00
173,2019-11-26,24,390.00,151680.00,393.00,382.00,389.00
174,2019-11-27,19,510.00,200470.00,396.00,385.00,395.00
175,2019-11-28,18,630.00,247610.00,396.00,389.00,392.00
176,2019-12-01,25,560.00,218480.00,395.00,388.00,388.00
177,2019-12-02,20,450.00,174160.00,390.00,386.00,387.00
178,2019-12-03,32,905.00,360005.00,401.00,387.00,399.00
179,2019-12-04,50,4844.00,1991635.00,415.00,392.00,412.00
180,2019-12-05,49,3860.00,1634767.00,430.00,413.00,429.00
181,2019-12-08,57,4650.00,2021080.00,448.00,420.00,443.00
182,2019-12-09,75,6000.00,2791308.00,475.00,443.00,461.00
183,2019-12-10,63,3980.00,1813660.00,465.00,446.00,461.00
184,2019-12-11,68,6524.00,3072576.00,482.00,454.00,470.00
185,2019-12-12,57,2682.00,1253841.00,479.00,460.00,471.00
186,2019-12-15,51,2354.00,1059282.00,471.00,445.00,446.00
187,2019-12-16,38,1670.00,751830.00,459.00,436.00,450.00
188,2019-12-17,53,4025.00,1841490.00,469.00,450.00,469.00
189,2019-12-18,40,2095.00,967225.00,470.00,455.00,466.00
190,2019-12-19,29,1359.00,629018.00,474.00,453.00,461.00
191,2019-12-22,31,4405.00,2050625.00,477.00,455.00,468.00
192,2019-12-23,140,9570.00,4668665.00,508.00,462.00,507.00
193,2019-12-24,47,4287.00,2113624.00,508.00,484.00,490.00
194,2019-12-25,68,4519.00,2170083.00,498.00,466.00,486.00
195,2019-12-26,27,1719.00,818645.00,484.00,474.00,475.00
196,2019-12-29,34,1720.00,816860.00,480.00,467.00,478.00
197,2019-12-30,33,1650.00,780170.00,486.00,469.00,475.00
198,2019-12-31,29,2370.00,1142750.00,490.00,471.00,482.00
199,2020-01-01,68,5921.00,2892016.00,510.00,474.00,496.00
200,2020-01-02,76,4466.00,2234866.00,514.00,492.00,497.00
201,2020-01-05,125,14607.00,7493331.00,522.00,491.00,517.00
202,2020-01-06,112,8244.00,4352071.00,536.00,517.00,532.00
203,2020-01-07,84,10110.00,5343840.00,539.00,520.00,530.00
204,2020-01-08,117,10610.00,5822265.00,570.00,525.00,565.00
205,2020-01-09,114,7565.00,4358295.00,589.00,552.00,580.00
206,2020-01-12,97,8065.00,4827560.00,635.00,580.00,633.00
207,2020-01-13,103,7255.00,4529765.00,650.00,599.00,629.00
208,2020-01-14,103,10129.00,6104504.00,622.00,588.00,596.00
209,2020-01-15,86,5760.00,3495033.00,618.00,588.00,614.00
210,2020-01-16,192,16092.00,10647456.00,675.00,618.00,675.00
211,2020-01-19,154,13749.00,9620985.00,729.00,682.00,690.00
212,2020-01-20,85,4270.00,2904645.00,716.00,640.00,669.00
213,2020-01-21,70,3993.00,2657109.00,695.00,633.00,693.00
214,2020-01-22,59,6125.00,4071260.00,680.00,655.00,670.00
215,2020-01-23,130,8912.00,5785721.00,670.00,630.00,640.00
216,2020-01-26,80,4020.00,2514070.00,650.00,608.00,628.00
217,2020-01-27,109,8545.00,5556905.00,672.00,619.00,672.00
218,2020-01-28,105,6925.00,4674760.00,694.00,660.00,679.00
219,2020-01-29,241,22061.00,15610841.00,730.00,679.00,728.00
220,2020-01-30,188,13835.00,10249905.00,765.00,725.00,738.00
221,2020-02-02,190,14920.00,11065145.00,765.00,728.00,735.00
222,2020-02-03,106,6740.00,4908490.00,748.00,697.00,726.00
223,2020-02-04,104,6799.00,4875810.00,730.00,710.00,730.00
224,2020-02-05,74,2659.00,1921162.00,744.00,718.00,730.00
225,2020-02-06,57,3797.00,2733541.00,730.00,715.00,718.00
226,2020-02-09,133,6783.00,4757333.00,714.00,691.00,691.00
227,2020-02-10,95,2711.00,1904978.00,711.00,691.00,700.00
228,2020-02-11,135,5387.00,3869042.00,727.00,707.00,717.00
229,2020-02-12,159,11896.00,8766262.00,746.00,714.00,740.00
230,2020-02-13,166,10591.00,8107593.00,778.00,740.00,763.00
231,2020-02-16,124,5413.00,4179599.00,782.00,756.00,778.00
232,2020-02-17,144,8766.00,6806268.00,793.00,765.00,768.00
233,2020-02-18,132,10112.00,7739186.00,783.00,743.00,780.00
234,2020-02-19,228,17925.00,14696729.00,858.00,768.00,858.00
235,2020-02-20,215,15992.00,14045811.00,900.00,850.00,886.00
236,2020-02-23,174,19870.00,17654935.00,911.00,867.00,883.00
237,2020-02-24,183,9570.00,8273636.00,890.00,850.00,878.00
238,2020-02-25,110,6665.00,5843127.00,895.00,850.00,885.00
239,2020-02-26,116,3991.00,3552544.00,936.00,880.00,880.00
240,2020-02-27,106,3045.00,2636149.00,880.00,840.00,862.00
241,2020-03-01,204,10350.00,8684456.00,860.00,816.00,818.00
242,2020-03-02,85,2666.00,2129704.00,816.00,780.00,780.00
243,2020-03-03,216,11429.00,8450169.00,785.00,702.00,725.00
244,2020-03-04,201,7961.00,5477679.00,720.00,660.00,670.00
245,2020-03-05,125,5006.00,3483324.00,737.00,657.00,685.00
246,2020-03-10,15,349.00,238337.00,698.00,646.00,646.00
247,2020-03-11,143,5188.00,3584608.00,710.00,658.00,710.00
248,2020-03-12,87,3549.00,2487503.00,725.00,679.00,698.00
249,2020-03-15,88,3000.00,1991078.00,685.00,654.00,664.00
250,2020-03-16,74,3311.00,2200059.00,688.00,636.00,660.00
251,2020-03-17,47,1894.00,1219047.00,665.00,630.00,630.00
252,2020-03-18,63,4121.00,2515671.00,642.00,597.00,622.00
253,2020-03-19,53,2915.00,1781395.00,630.00,588.00,623.00
254,2020-03-22,20,851.00,508253.00,623.00,588.00,618.00
255,2020-05-12,1,10.00,6060.00,606.00,606.00,606.00
256,2020-06-29,14,263.00,145729.00,594.00,546.00,546.00
257,2020-06-30,6,69.00,37291.00,546.00,536.00,537.00
258,2020-07-01,3,31.00,17200.00,560.00,547.00,560.00
259,2020-07-02,21,692.00,392012.00,570.00,565.00,566.00
260,2020-07-05,33,1415.00,811376.00,582.00,564.00,582.00
261,2020-07-06,80,1980.00,1201862.00,640.00,560.00,636.00
262,2020-07-07,79,3659.00,2456307.00,699.00,637.00,690.00
263,2020-07-08,46,1379.00,939501.00,742.00,656.00,742.00
264,2020-07-09,103,4781.00,3494283.00,754.00,717.00,735.00
265,2020-07-12,91,3407.00,2505119.00,765.00,722.00,740.00
266,2020-07-13,80,1676.00,1258055.00,772.00,731.00,772.00
267,2020-07-14,82,3793.00,2959075.00,795.00,762.00,771.00
268,2020-07-15,69,2474.00,1917430.00,783.00,762.00,780.00
269,2020-07-16,59,1945.00,1487213.00,780.00,756.00,777.00
270,2020-07-19,3,31.00,24537.00,807.00,777.00,807.00
271,2020-07-20,63,2584.00,1977711.00,823.00,735.00,760.00
272,2020-07-21,109,4919.00,3639672.00,790.00,728.00,732.00
273,2020-07-22,111,3172.00,2322593.00,746.00,720.00,725.00
274,2020-07-23,104,1272.00,921580.00,759.00,711.00,739.00
