S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-04-05,2,20.00,4960.00,250.00,246.00,250.00
2,2018-04-08,2,20.00,5150.00,260.00,255.00,260.00
3,2018-04-09,2,20.00,5350.00,270.00,265.00,270.00
4,2018-04-10,2,20.00,5550.00,280.00,275.00,280.00
5,2018-04-11,2,20.00,5750.00,290.00,285.00,290.00
6,2018-04-12,2,20.00,5950.00,300.00,295.00,300.00
7,2018-04-16,1,10.00,3150.00,315.00,315.00,315.00
8,2018-04-19,1,10.00,3210.00,321.00,321.00,321.00
9,2018-04-26,2,20.00,6600.00,333.00,327.00,333.00
10,2018-05-02,1,10.00,3390.00,339.00,339.00,339.00
11,2018-05-09,3,20.00,6900.00,345.00,345.00,345.00
12,2018-05-14,2,10.00,3510.00,0.00,0.00,0.00
13,2018-05-16,1,10.00,3620.00,362.00,362.00,362.00
14,2018-05-20,1,10.00,3690.00,369.00,369.00,369.00
15,2018-05-22,1,10.00,3760.00,376.00,376.00,376.00
16,2018-06-11,4,20.00,7650.00,0.00,0.00,0.00
17,2018-06-12,1,612.00,856800.00,0.00,0.00,0.00
18,2018-06-17,1,10.00,3830.00,383.00,383.00,383.00
19,2018-06-19,4,20.00,7800.00,0.00,0.00,0.00
20,2018-06-21,2,20.00,8120.00,410.00,402.00,410.00
21,2018-06-24,2,20.00,8680.00,438.00,430.00,438.00
22,2018-06-26,1,10.00,4590.00,459.00,459.00,459.00
23,2018-07-01,3,30.00,14310.00,486.00,468.00,486.00
24,2018-07-04,1,10.00,4950.00,495.00,495.00,495.00
25,2018-07-08,4,40.00,21310.00,544.00,519.00,544.00
26,2018-07-12,1,10.00,5710.00,571.00,571.00,571.00
27,2018-07-15,1,10.00,5820.00,582.00,582.00,582.00
28,2018-07-17,1,10.00,5930.00,593.00,593.00,593.00
29,2018-07-26,2,20.00,12440.00,622.00,622.00,622.00
30,2018-08-02,1,10.00,6340.00,634.00,634.00,634.00
31,2018-08-05,1,10.00,6460.00,646.00,646.00,646.00
32,2018-08-06,1,10.00,6580.00,658.00,658.00,658.00
33,2018-08-07,2,20.00,13550.00,684.00,671.00,684.00
34,2018-08-08,1,10.00,6970.00,697.00,697.00,697.00
35,2018-08-09,2,20.00,14340.00,724.00,710.00,724.00
36,2018-08-12,2,20.00,14900.00,752.00,738.00,752.00
37,2018-08-13,3,30.00,24130.00,820.00,789.00,820.00
38,2018-08-14,53,660.00,593670.00,902.00,836.00,902.00
39,2018-08-15,838,9810.00,8644360.00,930.00,821.00,883.00
40,2018-08-16,369,4960.00,4426870.00,915.00,867.00,895.00
41,2018-08-19,120,2293.00,2018565.00,895.00,870.00,870.00
42,2018-08-20,146,2070.00,1752690.00,864.00,841.00,841.00
43,2018-08-21,115,1160.00,963770.00,840.00,826.00,839.00
