S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-11-18,2,52.00,15808.00,307.00,301.00,307.00
2,2015-11-19,4,104.00,33488.00,331.00,313.00,331.00
3,2015-11-22,40,768.00,277628.00,364.00,337.00,364.00
4,2015-11-23,585,12360.00,4942162.00,400.00,371.00,400.00
5,2015-11-24,2146,46262.00,19670392.00,437.00,415.00,430.00
6,2015-11-25,1333,25625.00,10629219.00,434.00,403.00,406.00
7,2015-11-26,779,14443.00,5695725.00,400.00,390.00,395.00
8,2015-11-29,737,15706.00,5983040.00,388.00,376.00,381.00
9,2015-11-30,407,9790.00,3776698.00,397.00,380.00,384.00
10,2015-12-01,534,11114.00,4362679.00,400.00,381.00,400.00
11,2015-12-02,497,11339.00,4506235.00,405.00,390.00,398.00
12,2015-12-03,306,11281.00,4443848.00,401.00,387.00,392.00
13,2015-12-06,724,14631.00,5814474.00,401.00,388.00,398.00
14,2015-12-07,770,16125.00,6439248.00,408.00,395.00,397.00
15,2015-12-08,571,11962.00,4759243.00,402.00,391.00,399.00
16,2015-12-09,683,14731.00,5889411.00,412.00,394.00,412.00
17,2015-12-10,499,13958.00,5604320.00,410.00,398.00,400.00
18,2015-12-13,1045,23721.00,9482444.00,401.00,393.00,400.00
19,2015-12-14,998,24112.00,9633905.00,400.00,398.00,398.00
20,2015-12-15,420,8414.00,3318860.00,400.00,390.00,391.00
21,2015-12-16,779,16529.00,6529767.00,400.00,390.00,393.00
22,2015-12-17,402,12164.00,4763233.00,399.00,386.00,391.00
23,2015-12-20,370,7578.00,2933769.00,395.00,382.00,389.00
24,2015-12-21,360,6813.00,2597003.00,389.00,376.00,378.00
25,2015-12-22,301,7114.00,2649297.00,380.00,364.00,370.00
26,2015-12-23,451,12488.00,4630233.00,376.00,366.00,372.00
27,2015-12-24,592,11983.00,4449080.00,385.00,365.00,379.00
28,2015-12-27,463,9016.00,3345931.00,385.00,366.00,385.00
29,2015-12-28,517,10572.00,3947314.00,380.00,370.00,371.00
30,2015-12-29,655,13555.00,5029450.00,381.00,368.00,372.00
31,2015-12-31,565,11336.00,4216637.00,381.00,368.00,370.00
32,2016-01-03,592,11849.00,4375998.00,377.00,362.00,369.00
33,2016-01-04,449,9183.00,3351712.00,373.00,358.00,368.00
34,2016-01-05,1082,27876.00,10117332.00,375.00,350.00,375.00
35,2016-01-06,1000,21477.00,7864631.00,375.00,353.00,360.00
36,2016-01-07,827,16005.00,5872918.00,377.00,356.00,368.00
37,2016-01-10,1509,29492.00,10917607.00,380.00,361.00,378.00
38,2016-01-11,1370,30518.00,11377998.00,383.00,370.00,376.00
39,2016-01-12,1644,35468.00,13408785.00,400.00,370.00,400.00
40,2016-01-13,1172,26417.00,10359766.00,405.00,378.00,394.00
41,2016-01-14,1397,29503.00,11431453.00,400.00,379.00,390.00
42,2016-01-24,16,3250.00,1390050.00,429.00,397.00,429.00
43,2016-01-25,30,4993.00,2312342.00,471.00,437.00,454.00
44,2016-01-26,18,3463.00,1561100.00,455.00,446.00,448.00
45,2016-01-27,24,2889.00,1261906.00,445.00,432.00,432.00
46,2016-01-28,14,4905.00,2142909.00,445.00,430.00,430.00
47,2016-01-31,12,864.00,374782.00,440.00,432.00,432.00
48,2016-02-01,33,4260.00,1850460.00,448.00,430.00,435.00
49,2016-02-02,19,3252.00,1404556.00,439.00,430.00,430.00
50,2016-02-03,5,1624.00,711018.00,450.00,435.00,441.00
51,2016-02-04,26,4935.00,2202194.00,457.00,440.00,449.00
52,2016-02-07,48,22443.00,10597556.00,493.00,450.00,493.00
53,2016-02-08,65,7786.00,4067248.00,540.00,502.00,515.00
54,2016-02-11,83,16567.00,8679098.00,540.00,515.00,540.00
55,2016-02-14,43,8387.00,4258243.00,531.00,496.00,500.00
56,2016-02-15,28,4728.00,2267292.00,510.00,470.00,485.00
57,2016-02-16,23,6993.00,3376593.00,485.00,477.00,482.00
58,2016-02-17,11,4226.00,2039080.00,484.00,480.00,483.00
59,2016-02-18,24,3850.00,1862966.00,488.00,480.00,480.00
60,2016-02-21,42,15416.00,7434530.00,498.00,480.00,498.00
61,2016-02-22,20,5314.00,2603456.00,500.00,485.00,491.00
62,2016-02-23,11,2333.00,1114554.00,486.00,474.00,486.00
63,2016-02-24,12,472.00,231150.00,500.00,472.00,472.00
64,2016-02-25,14,1844.00,889876.00,495.00,480.00,495.00
65,2016-02-28,15,4388.00,2099132.00,500.00,473.00,474.00
66,2016-02-29,16,3918.00,1857646.00,483.00,471.00,471.00
67,2016-03-01,12,3318.00,1561038.00,473.00,469.00,470.00
68,2016-03-02,123,25387.00,12874174.00,517.00,472.00,517.00
69,2016-03-03,105,18063.00,10204191.00,568.00,527.00,568.00
70,2016-03-06,288,42776.00,26486553.00,624.00,579.00,624.00
71,2016-03-10,48,4341.00,2976506.00,686.00,636.00,686.00
72,2016-03-13,333,63486.00,47241683.00,754.00,645.00,747.00
73,2016-03-14,113,17751.00,14569041.00,821.00,761.00,821.00
74,2016-03-15,444,52406.00,41597983.00,853.00,739.00,740.00
75,2016-03-16,235,27686.00,19031669.00,732.00,671.00,680.00
76,2016-03-17,156,18857.00,13249274.00,729.00,686.00,720.00
77,2016-03-20,130,30357.00,22573663.00,765.00,724.00,739.00
78,2016-03-21,161,13239.00,9804403.00,759.00,711.00,733.00
79,2016-03-23,114,13548.00,9695165.00,741.00,707.00,710.00
80,2016-03-24,149,19641.00,13519363.00,708.00,670.00,694.00
81,2016-03-27,51,6101.00,4043679.00,707.00,655.00,656.00
82,2016-03-28,113,9481.00,5971255.00,644.00,621.00,630.00
83,2016-03-29,115,14798.00,9084341.00,642.00,602.00,615.00
84,2016-03-30,76,5258.00,3244028.00,671.00,600.00,658.00
85,2016-03-31,89,5559.00,3544101.00,659.00,634.00,637.00
86,2016-04-03,66,5868.00,3687498.00,661.00,620.00,661.00
87,2016-04-04,97,5021.00,3228650.00,670.00,630.00,643.00
88,2016-04-05,106,5271.00,3397389.00,655.00,633.00,652.00
89,2016-04-06,148,15794.00,10377915.00,685.00,645.00,669.00
90,2016-04-10,138,14444.00,9923564.00,714.00,659.00,660.00
91,2016-04-11,86,4920.00,3299895.00,676.00,664.00,675.00
92,2016-04-12,105,9235.00,6162636.00,688.00,652.00,658.00
93,2016-04-14,57,3240.00,2126032.00,663.00,651.00,663.00
94,2016-04-17,43,3223.00,2112254.00,664.00,652.00,660.00
95,2016-04-18,44,4213.00,2755410.00,659.00,651.00,658.00
96,2016-04-19,65,9288.00,5991501.00,655.00,640.00,649.00
97,2016-04-20,78,4124.00,2654858.00,654.00,640.00,643.00
98,2016-04-21,120,15246.00,9615214.00,640.00,622.00,635.00
99,2016-04-24,97,4791.00,3005162.00,645.00,622.00,629.00
100,2016-04-25,86,8434.00,5246016.00,627.00,616.00,627.00
101,2016-04-26,82,3696.00,2292698.00,626.00,617.00,626.00
102,2016-04-27,63,2313.00,1437821.00,631.00,618.00,625.00
103,2016-04-28,133,9806.00,6095709.00,625.00,619.00,620.00
104,2016-05-02,83,5046.00,3069055.00,620.00,601.00,620.00
105,2016-05-03,82,5417.00,3309700.00,620.00,606.00,618.00
106,2016-05-04,199,10863.00,6561478.00,615.00,598.00,615.00
107,2016-05-05,70,6828.00,4113584.00,606.00,596.00,603.00
108,2016-05-08,65,5994.00,3631796.00,630.00,597.00,630.00
109,2016-05-09,146,12426.00,7747478.00,629.00,616.00,620.00
110,2016-05-10,105,5356.00,3365212.00,643.00,617.00,627.00
111,2016-05-11,92,7257.00,4542173.00,635.00,608.00,633.00
112,2016-05-12,161,19602.00,12768783.00,678.00,628.00,677.00
113,2016-05-15,153,12967.00,8738231.00,690.00,656.00,670.00
114,2016-05-16,88,8353.00,5588182.00,683.00,656.00,671.00
115,2016-05-17,88,11978.00,8120863.00,690.00,660.00,674.00
116,2016-05-18,64,6040.00,4022742.00,675.00,664.00,666.00
117,2016-05-19,64,3356.00,2227539.00,668.00,660.00,667.00
118,2016-05-22,87,8114.00,5373802.00,670.00,655.00,670.00
119,2016-05-23,111,8495.00,5660565.00,672.00,656.00,656.00
120,2016-05-24,141,6774.00,4478102.00,670.00,651.00,660.00
121,2016-05-25,58,3517.00,2324946.00,665.00,650.00,661.00
122,2016-05-26,56,11000.00,7284644.00,674.00,651.00,665.00
123,2016-05-29,82,5305.00,3583117.00,691.00,666.00,670.00
124,2016-05-30,197,17849.00,12341370.00,701.00,680.00,692.00
125,2016-05-31,263,28803.00,20862088.00,761.00,682.00,760.00
126,2016-06-01,186,16725.00,12204965.00,775.00,711.00,728.00
127,2016-06-02,125,10077.00,7160308.00,734.00,688.00,710.00
128,2016-06-05,185,16759.00,11950278.00,724.00,700.00,714.00
129,2016-06-06,136,12197.00,8774171.00,728.00,701.00,728.00
130,2016-06-07,145,6421.00,4634296.00,730.00,715.00,717.00
131,2016-06-08,128,11014.00,8015795.00,737.00,714.00,737.00
132,2016-06-09,199,28187.00,21216570.00,774.00,735.00,772.00
133,2016-06-12,228,22418.00,17303552.00,785.00,743.00,780.00
134,2016-06-13,144,13621.00,10540437.00,784.00,753.00,779.00
135,2016-06-14,113,5916.00,4563929.00,786.00,750.00,771.00
136,2016-06-15,90,7644.00,5889247.00,776.00,760.00,770.00
137,2016-06-16,68,8485.00,6529585.00,785.00,760.00,770.00
138,2016-06-19,189,14769.00,11541179.00,800.00,755.00,800.00
