S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2011-04-19,1,10.00,7130.00,713.00,713.00,713.00
2,2011-04-26,1,428755.00,311704885.00,727.00,727.00,727.00
3,2011-06-08,2,23.00,17225.00,755.00,741.00,755.00
4,2011-06-09,2,30.00,23370.00,785.00,770.00,785.00
5,2011-06-12,2,25.00,20160.00,816.00,800.00,816.00
6,2011-06-13,1,25.00,20800.00,832.00,832.00,832.00
7,2011-06-14,1,14.00,11872.00,848.00,848.00,848.00
8,2011-06-15,1,10.00,8900.00,890.00,890.00,890.00
9,2011-06-16,1,17.00,15419.00,907.00,907.00,907.00
10,2011-06-19,1,30.00,28560.00,952.00,952.00,952.00
11,2011-06-20,2,30.00,29320.00,990.00,971.00,990.00
12,2011-06-21,1,10.00,10090.00,1009.00,1009.00,1009.00
13,2011-06-23,2,70.00,74760.00,1080.00,1059.00,1080.00
14,2011-06-26,3,110.00,126300.00,1179.00,1134.00,1179.00
15,2011-06-27,3,130.00,158420.00,1250.00,1202.00,1250.00
16,2011-06-29,3,180.00,241620.00,1364.00,1312.00,1364.00
17,2011-06-30,3,190.00,279450.00,1489.00,1432.00,1489.00
18,2011-07-05,2,20.00,30660.00,1548.00,1518.00,1548.00
19,2011-07-10,7,550.00,896600.00,1702.00,1578.00,1702.00
20,2011-07-11,5,50.00,90240.00,1872.00,1736.00,1872.00
21,2011-07-13,3,73.00,136737.00,1909.00,1835.00,1835.00
22,2011-07-14,3,60.00,106470.00,1799.00,1729.00,1729.00
23,2011-07-17,2,428805.00,725109705.00,1700.00,1691.00,1691.00
24,2011-08-04,2,320.00,540800.00,1690.00,1690.00,1690.00
25,2011-08-10,1,250.00,422500.00,1690.00,1690.00,1690.00
26,2011-08-16,2,250.00,422500.00,1690.00,1690.00,1690.00
27,2011-08-18,1,10.00,16900.00,1690.00,1690.00,1690.00
28,2011-08-30,3,200.00,338000.00,1690.00,1690.00,1690.00
29,2011-10-10,1,14.00,23660.00,1690.00,1690.00,1690.00
30,2011-11-28,1,127.00,214630.00,1690.00,1690.00,1690.00
31,2012-04-12,2,960.00,1622400.00,1690.00,1690.00,1690.00
32,2012-09-11,1,20.00,33600.00,1680.00,1680.00,1680.00
33,2013-05-26,2,20.00,33600.00,1680.00,1680.00,1680.00
34,2013-07-15,1,60.00,100800.00,1680.00,1680.00,1680.00
35,2014-08-26,1,840.00,1394400.00,1660.00,1660.00,1660.00
36,2014-09-10,2,82.00,136120.00,1660.00,1660.00,1660.00
37,2016-11-15,1,100.00,166000.00,1660.00,1660.00,1660.00
38,2018-02-27,1,100.00,169300.00,1693.00,1693.00,1693.00
39,2019-05-06,2,20.00,34860.00,1760.00,1726.00,1760.00
40,2019-10-10,2,134.00,244870.00,1830.00,1795.00,1830.00
41,2021-08-01,2,360.00,685031.00,1903.90,1866.60,1903.90
