S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,17,7163.00,4973779.00,720.00,690.00,717.00
2,2010-04-20,31,2586.00,1813150.00,710.00,698.00,702.00
3,2010-04-21,33,2208.00,1482614.00,700.00,653.00,688.00
4,2010-04-22,17,1280.00,857153.00,700.00,652.00,700.00
5,2010-04-25,13,1077.00,744241.00,700.00,682.00,685.00
6,2010-04-26,27,9584.00,6440996.00,698.00,660.00,675.00
7,2010-04-27,42,3409.00,2180329.00,665.00,630.00,645.00
8,2010-04-28,30,3324.00,2147220.00,651.00,642.00,650.00
9,2010-04-29,40,3580.00,2438014.00,700.00,655.00,692.00
10,2010-04-15,6,273.00,202424.00,747.00,740.00,747.00
11,2010-05-09,17,1815.00,1196117.00,679.00,652.00,665.00
12,2010-05-10,7,625.00,428515.00,690.00,675.00,688.00
13,2010-05-11,44,4815.00,3391338.00,732.00,690.00,732.00
14,2010-05-12,56,5280.00,3915775.00,789.00,722.00,782.00
15,2010-05-13,79,8063.00,6614255.00,860.00,784.00,802.00
16,2010-05-16,26,2518.00,1851600.00,786.00,722.00,757.00
17,2010-05-17,17,1503.00,1105005.00,760.00,710.00,750.00
18,2010-05-18,20,1892.00,1462236.00,799.00,742.00,794.00
19,2010-05-19,30,2663.00,2108010.00,802.00,780.00,798.00
20,2010-05-20,56,4998.00,4039119.00,817.00,787.00,805.00
21,2010-05-23,34,4287.00,3409317.00,805.00,785.00,805.00
22,2010-05-24,25,2582.00,2086444.00,815.00,800.00,815.00
23,2010-05-25,74,6995.00,5988949.00,873.00,818.00,857.00
24,2010-05-26,50,4368.00,3767306.00,900.00,834.00,850.00
25,2010-05-30,45,4217.00,3939233.00,935.00,867.00,935.00
26,2010-05-31,127,12358.00,11449245.00,999.00,860.00,875.00
27,2010-06-01,49,4803.00,4018599.00,884.00,814.00,884.00
28,2010-06-02,42,4913.00,4165323.00,867.00,835.00,850.00
29,2010-06-03,50,6370.00,5568451.00,887.00,855.00,874.00
30,2010-06-06,24,2103.00,1778072.00,884.00,838.00,844.00
31,2010-06-07,22,1826.00,1547473.00,884.00,835.00,884.00
32,2010-06-08,36,3754.00,3270350.00,890.00,865.00,878.00
33,2010-06-09,39,4268.00,3764913.00,895.00,877.00,885.00
34,2010-06-10,38,3971.00,3494247.00,892.00,870.00,892.00
35,2010-06-13,29,2335.00,2049862.00,890.00,870.00,876.00
36,2010-06-14,18,1908.00,1668853.00,881.00,872.00,873.00
37,2010-06-15,12,1091.00,950012.00,875.00,865.00,872.00
38,2010-06-16,14,1087.00,946129.00,875.00,867.00,872.00
39,2010-06-17,16,2095.00,1828321.00,876.00,865.00,873.00
40,2010-06-20,12,995.00,865231.00,881.00,866.00,870.00
41,2010-06-21,14,1450.00,1251608.00,870.00,860.00,860.00
42,2010-06-22,24,2326.00,2000054.00,876.00,856.00,871.00
43,2010-06-23,12,1589.00,1369959.00,873.00,856.00,865.00
44,2010-06-24,49,4554.00,3847044.00,856.00,840.00,845.00
45,2010-06-28,29,2096.00,1753247.00,850.00,830.00,835.00
46,2010-06-29,18,1888.00,1563759.00,840.00,820.00,826.00
47,2010-06-30,23,3114.00,2572478.00,835.00,815.00,834.00
48,2010-07-01,67,11525.00,9909922.00,912.00,825.00,856.00
49,2010-07-04,31,3816.00,3205042.00,855.00,830.00,831.00
50,2010-07-05,28,3098.00,2565587.00,835.00,824.00,831.00
51,2010-07-06,43,8922.00,7442670.00,840.00,825.00,835.00
52,2010-07-07,15,1768.00,1487856.00,845.00,836.00,844.00
53,2010-07-08,40,4503.00,3752903.00,850.00,828.00,850.00
54,2010-07-11,16,917.00,775585.00,860.00,838.00,860.00
55,2010-07-12,51,11057.00,9223212.00,845.00,829.00,835.00
56,2010-07-13,22,2182.00,1825064.00,857.00,834.00,857.00
57,2010-07-14,33,8418.00,7058518.00,851.00,833.00,851.00
58,2010-07-15,19,3576.00,2996950.00,851.00,835.00,840.00
59,2010-07-18,16,1382.00,1159125.00,855.00,830.00,855.00
60,2010-07-19,25,2040.00,1720060.00,846.00,838.00,844.00
61,2010-07-20,19,2890.00,2438288.00,850.00,840.00,840.00
62,2010-07-21,24,4600.00,3936988.00,872.00,845.00,872.00
63,2010-07-22,20,2592.00,2216886.00,886.00,853.00,886.00
64,2010-07-25,10,1510.00,1282265.00,869.00,841.00,841.00
65,2010-07-26,32,3356.00,2817720.00,845.00,832.00,832.00
66,2010-07-27,40,4319.00,3579740.00,840.00,824.00,831.00
67,2010-07-28,50,6044.00,5010913.00,840.00,825.00,828.00
68,2010-07-29,22,2399.00,1995893.00,844.00,830.00,830.00
69,2010-08-01,27,3564.00,2959239.00,840.00,828.00,830.00
70,2010-08-02,12,1384.00,1155790.00,840.00,830.00,840.00
71,2010-08-03,10,773.00,646222.00,841.00,829.00,838.00
72,2010-08-04,29,2572.00,2142052.00,848.00,830.00,838.00
73,2010-08-05,20,2442.00,2036478.00,840.00,830.00,840.00
74,2010-08-08,11,1472.00,1232710.00,841.00,835.00,840.00
75,2010-08-09,14,1265.00,1063243.00,856.00,839.00,839.00
76,2010-08-10,38,8333.00,6911326.00,840.00,825.00,825.00
77,2010-08-11,28,2299.00,1900808.00,838.00,819.00,838.00
78,2010-08-12,10,915.00,758590.00,830.00,828.00,830.00
79,2010-08-15,6,947.00,783820.00,840.00,825.00,840.00
80,2010-08-16,17,1242.00,1031012.00,840.00,827.00,832.00
81,2010-08-17,50,4276.00,3211261.00,816.00,749.00,749.00
82,2010-08-18,33,5486.00,3965686.00,740.00,711.00,731.00
83,2010-08-19,35,3885.00,2799518.00,731.00,716.00,718.00
84,2010-08-22,41,3397.00,2373695.00,717.00,675.00,675.00
85,2010-08-23,36,4318.00,2894070.00,712.00,661.00,712.00
86,2010-08-26,18,2114.00,1453374.00,698.00,683.00,685.00
87,2010-08-29,25,1993.00,1359378.00,686.00,680.00,680.00
88,2010-08-30,22,2304.00,1554910.00,680.00,670.00,680.00
89,2010-08-31,32,3322.00,2222198.00,681.00,660.00,660.00
90,2010-09-02,39,5043.00,3348085.00,671.00,657.00,668.00
91,2010-09-05,41,4375.00,2791163.00,668.00,626.00,640.00
92,2010-09-06,14,1587.00,1030112.00,681.00,631.00,681.00
93,2010-09-07,21,3894.00,2692218.00,700.00,681.00,697.00
94,2010-09-08,43,6646.00,4656467.00,720.00,690.00,695.00
95,2010-09-09,59,6343.00,4255395.00,691.00,665.00,669.00
96,2010-09-12,105,19097.00,12649662.00,673.00,645.00,660.00
97,2010-09-14,15,911.00,524871.00,596.00,570.00,570.00
98,2010-09-15,4,344.00,193548.00,565.00,560.00,560.00
99,2010-09-16,5,258.00,146434.00,581.00,562.00,581.00
100,2010-09-19,18,3058.00,1710130.00,570.00,549.00,570.00
101,2010-09-20,26,2946.00,1633540.00,565.00,550.00,550.00
102,2010-09-21,21,2596.00,1434580.00,560.00,550.00,550.00
103,2010-09-23,26,4398.00,2450292.00,568.00,555.00,568.00
104,2010-09-26,34,3768.00,2097300.00,575.00,550.00,560.00
105,2010-09-27,22,2126.00,1176230.00,571.00,550.00,560.00
106,2010-09-28,17,2241.00,1233193.00,555.00,545.00,550.00
107,2010-09-29,30,4795.00,2635021.00,565.00,545.00,565.00
108,2010-09-30,31,7980.00,4350400.00,565.00,539.00,560.00
109,2010-10-03,9,2601.00,1430284.00,555.00,549.00,553.00
110,2010-10-05,7,552.00,306268.00,560.00,550.00,557.00
111,2010-10-06,9,915.00,512745.00,567.00,557.00,567.00
112,2010-10-07,11,506.00,293772.00,600.00,565.00,600.00
113,2010-10-10,8,1850.00,1111280.00,612.00,593.00,601.00
114,2010-10-11,11,1757.00,1037130.00,600.00,590.00,590.00
115,2010-10-12,12,3513.00,2097335.00,605.00,585.00,605.00
116,2010-10-13,5,1350.00,811450.00,607.00,600.00,605.00
117,2010-10-20,2,100.00,61700.00,617.00,617.00,617.00
118,2010-10-21,6,688.00,424310.00,620.00,610.00,615.00
119,2010-10-24,13,1063.00,666173.00,637.00,624.00,637.00
120,2010-10-25,11,841.00,527010.00,630.00,623.00,630.00
121,2010-10-26,10,836.00,519714.00,630.00,613.00,613.00
122,2010-10-27,7,918.00,560816.00,619.00,609.00,609.00
123,2010-10-28,6,979.00,597181.00,616.00,609.00,615.00
124,2010-10-31,3,200.00,122500.00,615.00,610.00,610.00
125,2010-11-02,16,3344.00,2016948.00,605.00,600.00,600.00
126,2010-11-03,34,8153.00,4884584.00,606.00,595.00,600.00
127,2010-11-04,16,3776.00,2296752.00,625.00,600.00,625.00
128,2010-11-09,5,343.00,214130.00,625.00,620.00,624.00
129,2010-11-10,7,2100.00,1281200.00,615.00,601.00,615.00
130,2010-11-11,16,3585.00,2167475.00,615.00,600.00,610.00
131,2010-11-14,28,6011.00,3620900.00,610.00,600.00,610.00
132,2010-11-15,17,1251.00,770234.00,618.00,611.00,611.00
133,2010-11-16,17,1709.00,1064635.00,630.00,618.00,630.00
134,2010-11-18,11,1752.00,1107560.00,641.00,630.00,630.00
135,2010-11-21,14,2198.00,1384722.00,640.00,625.00,630.00
136,2010-11-22,20,3144.00,1945505.00,630.00,608.00,612.00
137,2010-11-23,12,1532.00,929593.00,615.00,604.00,606.00
138,2010-11-24,24,2668.00,1620748.00,612.00,606.00,609.00
139,2010-11-25,18,3070.00,1859290.00,610.00,603.00,605.00
140,2010-11-28,15,2404.00,1453750.00,610.00,600.00,600.00
141,2010-11-29,27,4453.00,2670466.00,601.00,597.00,600.00
142,2010-11-30,9,1603.00,962778.00,603.00,600.00,601.00
143,2010-12-01,15,2148.00,1289202.00,602.00,600.00,600.00
144,2010-12-02,29,3261.00,1930720.00,602.00,588.00,590.00
145,2010-12-05,9,1611.00,945518.00,600.00,580.00,586.00
146,2010-12-06,9,939.00,547069.00,592.00,579.00,583.00
147,2010-12-07,16,1551.00,901441.00,586.00,580.00,580.00
148,2010-12-08,27,3475.00,1987921.00,580.00,569.00,574.00
149,2010-12-09,31,2962.00,1691920.00,575.00,570.00,575.00
150,2010-12-12,32,3859.00,2164374.00,575.00,554.00,554.00
151,2010-12-13,41,3864.00,2131118.00,565.00,549.00,550.00
152,2010-12-14,62,11305.00,6242727.00,562.00,550.00,562.00
153,2010-12-15,30,2369.00,1308179.00,573.00,551.00,551.00
154,2010-12-16,55,7139.00,3921961.00,555.00,547.00,549.00
155,2010-12-19,40,4808.00,2641377.00,565.00,545.00,550.00
156,2010-12-20,78,7213.00,3951299.00,550.00,545.00,548.00
157,2010-12-22,68,6722.00,3694783.00,556.00,545.00,550.00
158,2010-12-23,23,2568.00,1440144.00,570.00,550.00,568.00
159,2010-12-26,39,6203.00,3645201.00,594.00,560.00,586.00
160,2010-12-27,48,7397.00,4310368.00,590.00,575.00,580.00
161,2010-12-28,21,1656.00,957566.00,590.00,575.00,575.00
162,2010-12-29,23,2759.00,1571369.00,575.00,565.00,566.00
163,2011-01-02,40,3942.00,2227274.00,571.00,560.00,561.00
164,2011-01-03,34,4498.00,2536566.00,570.00,561.00,565.00
165,2011-01-04,33,4500.00,2531225.00,573.00,558.00,564.00
166,2011-01-05,9,884.00,497717.00,569.00,560.00,560.00
167,2011-01-06,19,1380.00,776467.00,570.00,560.00,563.00
168,2011-01-09,15,3187.00,1785517.00,568.00,557.00,566.00
169,2011-01-10,16,2389.00,1351318.00,572.00,562.00,570.00
170,2011-01-11,31,3891.00,2216358.00,580.00,566.00,580.00
171,2011-01-12,10,997.00,570771.00,580.00,571.00,571.00
172,2011-01-13,18,1640.00,945066.00,581.00,575.00,575.00
173,2011-01-16,25,2903.00,1680379.00,582.00,575.00,582.00
174,2011-01-17,24,2538.00,1487701.00,595.00,582.00,588.00
175,2011-01-18,14,2170.00,1278090.00,591.00,586.00,590.00
176,2011-01-19,20,1918.00,1129990.00,591.00,585.00,585.00
177,2011-01-20,16,1614.00,951434.00,591.00,588.00,590.00
178,2011-01-23,12,923.00,545655.00,593.00,590.00,593.00
179,2011-01-24,17,1168.00,698287.00,601.00,595.00,599.00
180,2011-01-31,9,730.00,444170.00,620.00,605.00,608.00
181,2011-02-01,29,4970.00,2990450.00,607.00,600.00,602.00
182,2011-02-02,31,3131.00,1887330.00,612.00,600.00,600.00
183,2011-02-03,28,3294.00,1971512.00,609.00,595.00,598.00
184,2011-02-06,67,10962.00,6724488.00,644.00,600.00,605.00
185,2011-02-07,32,4739.00,2842680.00,605.00,595.00,600.00
186,2011-02-08,12,1502.00,900523.00,612.00,598.00,600.00
187,2011-02-09,15,2558.00,1530347.00,600.00,597.00,598.00
188,2011-02-10,2,131.00,78290.00,598.00,595.00,595.00
189,2011-02-13,20,2085.00,1237048.00,604.00,592.00,592.00
190,2011-02-14,12,1135.00,671516.00,595.00,590.00,591.00
191,2011-02-15,13,2129.00,1268446.00,604.00,591.00,603.00
192,2011-02-16,10,760.00,455715.00,615.00,596.00,615.00
193,2011-02-17,4,372.00,223481.00,603.00,600.00,601.00
194,2011-02-20,11,2009.00,1193575.00,597.00,592.00,597.00
195,2011-02-21,9,726.00,432377.00,600.00,594.00,595.00
196,2011-02-22,23,2398.00,1414734.00,601.00,588.00,590.00
197,2011-02-23,29,3148.00,1829843.00,593.00,575.00,575.00
198,2011-02-24,10,1202.00,693490.00,593.00,575.00,593.00
199,2011-02-27,14,1690.00,968080.00,582.00,570.00,570.00
200,2011-02-28,35,5611.00,3151322.00,570.00,560.00,564.00
201,2011-03-01,31,4270.00,2394903.00,571.00,556.00,568.00
202,2011-03-03,20,2539.00,1475233.00,600.00,572.00,580.00
203,2011-03-07,13,1659.00,965215.00,589.00,580.00,580.00
204,2011-03-09,14,1767.00,1021757.00,595.00,573.00,580.00
205,2011-03-10,18,1516.00,869285.00,580.00,571.00,573.00
206,2011-03-13,7,888.00,498236.00,573.00,558.00,558.00
207,2011-03-14,43,3111.00,1733159.00,560.00,554.00,559.00
208,2011-03-15,30,3611.00,1985389.00,554.00,544.00,551.00
209,2011-03-16,29,3389.00,1870637.00,558.00,550.00,555.00
210,2011-03-17,19,2876.00,1589436.00,566.00,545.00,566.00
211,2011-03-20,9,1339.00,746367.00,562.00,555.00,560.00
212,2011-03-21,20,3843.00,2124932.00,560.00,551.00,551.00
213,2011-03-22,18,1986.00,1109662.00,562.00,551.00,560.00
214,2011-03-23,12,1315.00,735025.00,560.00,556.00,559.00
215,2011-03-24,17,2188.00,1208243.00,558.00,550.00,558.00
216,2011-03-27,24,3281.00,1777999.00,550.00,539.00,540.00
217,2011-03-28,38,10833.00,5666400.00,541.00,515.00,523.00
218,2011-03-29,69,10244.00,5117590.00,523.00,490.00,514.00
219,2011-03-30,29,4765.00,2447592.00,516.00,508.00,514.00
220,2011-03-31,22,6388.00,3377117.00,549.00,520.00,539.00
221,2011-04-04,13,1427.00,764851.00,545.00,533.00,533.00
222,2011-04-05,22,3415.00,1784436.00,532.00,519.00,519.00
223,2011-04-06,27,3213.00,1650855.00,521.00,510.00,521.00
224,2011-04-07,18,1706.00,882437.00,529.00,511.00,529.00
225,2011-04-10,11,1137.00,586417.00,528.00,510.00,516.00
226,2011-04-11,12,2121.00,1112889.00,534.00,517.00,529.00
227,2011-04-13,3,206.00,107526.00,525.00,521.00,521.00
228,2011-04-17,14,883.00,457547.00,521.00,516.00,516.00
229,2011-04-18,9,1442.00,741763.00,520.00,512.00,515.00
230,2011-04-19,28,2316.00,1184848.00,516.00,507.00,515.00
231,2011-04-20,19,2307.00,1170105.00,515.00,505.00,510.00
232,2011-04-21,24,1560.00,787950.00,512.00,502.00,504.00
233,2011-04-25,17,2380.00,1178259.00,510.00,490.00,504.00
234,2011-04-26,2,224.00,114240.00,510.00,510.00,510.00
235,2011-04-27,50,7535.00,3692472.00,510.00,480.00,490.00
236,2011-04-28,55,7492.00,3581592.00,507.00,471.00,480.00
237,2011-05-02,34,6548.00,3031013.00,479.00,453.00,465.00
238,2011-05-03,36,4242.00,1907276.00,465.00,445.00,450.00
239,2011-05-04,12,1495.00,679254.00,463.00,450.00,462.00
240,2011-05-05,29,2947.00,1394017.00,498.00,460.00,480.00
241,2011-05-08,6,611.00,293544.00,482.00,480.00,480.00
242,2011-05-09,4,240.00,113451.00,480.00,471.00,471.00
243,2011-05-10,28,2646.00,1293904.00,501.00,480.00,501.00
244,2011-05-11,31,3449.00,1714229.00,505.00,490.00,492.00
245,2011-05-12,13,1325.00,650185.00,499.00,488.00,490.00
246,2011-05-15,28,4385.00,2159109.00,500.00,490.00,490.00
247,2011-05-16,18,1830.00,914373.00,505.00,495.00,505.00
248,2011-05-18,36,3667.00,1817566.00,501.00,490.00,490.00
249,2011-05-19,26,2366.00,1151256.00,492.00,481.00,490.00
250,2011-05-22,11,1935.00,940479.00,490.00,485.00,490.00
251,2011-05-23,8,653.00,319598.00,494.00,486.00,490.00
252,2011-05-24,21,2098.00,1029120.00,495.00,489.00,494.00
253,2011-05-25,24,2357.00,1159104.00,496.00,488.00,496.00
254,2011-05-26,13,1555.00,770687.00,500.00,491.00,495.00
255,2011-05-30,22,1912.00,944938.00,500.00,492.00,495.00
256,2011-05-31,20,1688.00,826570.00,500.00,484.00,488.00
257,2011-06-01,5,393.00,190763.00,492.00,483.00,483.00
258,2011-06-02,18,2208.00,1047166.00,483.00,466.00,470.00
259,2011-06-05,37,4591.00,2076259.00,466.00,443.00,443.00
