S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,3,60.00,17260.00,289.00,285.00,289.00
2,2010-04-20,28,850.00,236750.00,284.00,270.00,270.00
3,2010-04-21,1,50.00,13500.00,270.00,270.00,270.00
4,2010-04-22,12,250.00,65650.00,265.00,260.00,260.00
5,2010-04-25,48,1810.00,478650.00,265.00,255.00,255.00
6,2010-04-26,46,550.00,141920.00,260.00,250.00,250.00
7,2010-04-27,14,220.00,54140.00,249.00,241.00,242.00
8,2010-04-28,4,70.00,16590.00,240.00,235.00,235.00
9,2010-04-29,7,150.00,35770.00,239.00,235.00,239.00
10,2010-04-15,2,50.00,14580.00,294.00,290.00,290.00
11,2010-05-09,62,680.00,159160.00,239.00,231.00,235.00
12,2010-05-10,62,640.00,147600.00,231.00,223.00,223.00
13,2010-05-11,9,120.00,27170.00,227.00,226.00,226.00
14,2010-05-12,1,10.00,2300.00,230.00,230.00,230.00
15,2010-05-16,9,140.00,32460.00,233.00,230.00,233.00
16,2010-05-17,1,10.00,2290.00,229.00,229.00,229.00
17,2010-05-18,4,70.00,16260.00,234.00,230.00,234.00
18,2010-05-23,7,190.00,45280.00,240.00,238.00,238.00
19,2010-05-24,8,200.00,50730.00,255.00,242.00,255.00
20,2010-05-25,1,40.00,10400.00,260.00,260.00,260.00
21,2010-05-26,5,120.00,32600.00,275.00,265.00,275.00
22,2010-05-31,1,10.00,2800.00,280.00,280.00,280.00
23,2010-06-01,10,160.00,44420.00,281.00,276.00,281.00
24,2010-06-02,5,170.00,48660.00,290.00,285.00,290.00
25,2010-06-03,4,100.00,28500.00,285.00,285.00,285.00
26,2010-06-06,9,170.00,48760.00,290.00,285.00,290.00
27,2010-06-07,5,160.00,47080.00,295.00,294.00,294.00
28,2010-06-08,35,550.00,161000.00,296.00,290.00,296.00
29,2010-06-09,20,250.00,73580.00,297.00,292.00,297.00
30,2010-06-10,9,250.00,73250.00,297.00,290.00,290.00
31,2010-06-13,9,230.00,67020.00,293.00,290.00,293.00
32,2010-06-14,2,170.00,50150.00,295.00,295.00,295.00
33,2010-06-15,6,220.00,63800.00,290.00,290.00,290.00
34,2010-06-16,11,140.00,40560.00,290.00,289.00,289.00
35,2010-06-21,12,270.00,76390.00,285.00,279.00,279.00
36,2010-06-22,2,20.00,5580.00,279.00,279.00,279.00
37,2010-06-23,22,340.00,93500.00,275.00,275.00,275.00
38,2010-06-24,19,660.00,176410.00,270.00,264.00,264.00
39,2010-06-28,52,970.00,242730.00,255.00,242.00,249.00
40,2010-06-29,139,2530.00,671790.00,273.00,249.00,273.00
41,2010-06-30,48,890.00,256520.00,295.00,278.00,285.00
42,2010-07-01,46,1130.00,316400.00,280.00,280.00,280.00
43,2010-07-04,70,1560.00,459760.00,300.00,280.00,295.00
44,2010-07-06,1,10.00,2950.00,295.00,295.00,295.00
45,2010-07-07,9,330.00,96120.00,294.00,289.00,289.00
46,2010-07-08,7,110.00,32120.00,292.00,292.00,292.00
47,2010-07-12,20,270.00,79440.00,297.00,287.00,292.00
48,2010-07-19,16,590.00,170380.00,293.00,286.00,290.00
49,2010-07-20,11,210.00,60450.00,290.00,285.00,285.00
50,2010-07-21,20,200.00,58000.00,290.00,290.00,290.00
51,2010-07-22,7,150.00,42330.00,285.00,280.00,280.00
52,2010-07-25,5,80.00,21650.00,275.00,265.00,265.00
53,2010-07-26,4,130.00,33760.00,260.00,259.00,260.00
54,2010-07-27,44,1040.00,260050.00,255.00,245.00,247.00
55,2010-07-28,23,360.00,88930.00,250.00,245.00,248.00
56,2010-07-29,4,100.00,24500.00,245.00,245.00,245.00
57,2010-08-01,1,10.00,2460.00,246.00,246.00,246.00
58,2010-08-03,10,330.00,83000.00,255.00,250.00,255.00
59,2010-08-04,2,40.00,10020.00,251.00,250.00,251.00
60,2010-08-05,7,90.00,22200.00,250.00,246.00,250.00
61,2010-08-08,4,50.00,12500.00,250.00,250.00,250.00
62,2010-08-09,4,100.00,25050.00,255.00,250.00,255.00
63,2010-08-10,6,90.00,23200.00,260.00,255.00,260.00
64,2010-08-12,6,249.00,63315.00,255.00,250.00,250.00
65,2010-08-15,1,10.00,2500.00,250.00,250.00,250.00
66,2010-08-16,3,30.00,7650.00,255.00,255.00,255.00
67,2010-08-17,3,200.00,51760.00,260.00,258.00,258.00
68,2010-08-18,1,20.00,5100.00,255.00,255.00,255.00
69,2010-08-19,10,690.00,173340.00,254.00,250.00,254.00
70,2010-08-22,10,450.00,110900.00,250.00,245.00,246.00
71,2010-08-23,18,760.00,182470.00,243.00,231.00,231.00
72,2010-08-26,19,600.00,132860.00,231.00,219.00,221.00
73,2010-08-29,3,90.00,19800.00,220.00,220.00,220.00
74,2010-08-30,12,280.00,62120.00,224.00,220.00,224.00
75,2010-08-31,4,80.00,17620.00,221.00,220.00,220.00
76,2010-09-02,18,280.00,61840.00,228.00,220.00,228.00
77,2010-09-05,28,360.00,83280.00,238.00,230.00,238.00
78,2010-09-06,2,90.00,21420.00,238.00,238.00,238.00
79,2010-09-07,8,110.00,26130.00,238.00,237.00,237.00
80,2010-09-08,16,450.00,106100.00,238.00,230.00,234.00
81,2010-09-09,4,60.00,14000.00,234.00,230.00,230.00
82,2010-09-12,1,10.00,2260.00,226.00,226.00,226.00
83,2010-09-13,7,219.00,51442.00,238.00,230.00,238.00
84,2010-09-14,7,260.00,62680.00,242.00,238.00,242.00
85,2010-09-15,6,140.00,34040.00,246.00,242.00,246.00
86,2010-09-23,11,200.00,49080.00,246.00,242.00,246.00
87,2010-09-28,5,70.00,16940.00,242.00,242.00,242.00
88,2010-09-29,8,140.00,33160.00,238.00,234.00,234.00
89,2010-09-30,9,190.00,44500.00,238.00,234.00,234.00
90,2010-10-03,14,250.00,58700.00,238.00,231.00,238.00
91,2010-10-05,1,30.00,7140.00,238.00,238.00,238.00
92,2010-10-06,3,70.00,16700.00,240.00,238.00,240.00
93,2010-10-07,5,70.00,16840.00,244.00,240.00,244.00
94,2010-10-12,14,320.00,78980.00,247.00,245.00,245.00
95,2010-10-20,2,40.00,9560.00,241.00,237.00,237.00
96,2010-10-24,1,30.00,7170.00,239.00,239.00,239.00
97,2010-10-25,3,100.00,23740.00,239.00,235.00,235.00
98,2010-10-27,5,130.00,29970.00,232.00,230.00,230.00
99,2010-10-28,6,80.00,18480.00,232.00,230.00,232.00
100,2010-10-31,9,140.00,32780.00,235.00,232.00,235.00
101,2010-11-03,2,40.00,9380.00,235.00,233.00,235.00
102,2010-11-04,2,40.00,9460.00,238.00,235.00,238.00
103,2010-11-09,5,80.00,19520.00,246.00,242.00,246.00
104,2010-11-10,1,20.00,4900.00,245.00,245.00,245.00
105,2010-11-15,2,40.00,9560.00,242.00,238.00,238.00
106,2010-11-16,1,30.00,7020.00,234.00,234.00,234.00
107,2010-11-18,5,130.00,29950.00,231.00,230.00,231.00
108,2010-11-21,12,120.00,28200.00,235.00,235.00,235.00
109,2010-11-22,3,50.00,11750.00,235.00,235.00,235.00
110,2010-11-23,2,70.00,16450.00,235.00,235.00,235.00
111,2010-11-24,4,80.00,19280.00,242.00,238.00,242.00
112,2010-11-25,3,80.00,19440.00,243.00,243.00,243.00
113,2010-11-28,3,30.00,7170.00,239.00,239.00,239.00
114,2010-11-29,7,240.00,55820.00,235.00,228.00,232.00
115,2010-11-30,33,950.00,215480.00,230.00,220.00,228.00
116,2010-12-01,7,200.00,45620.00,232.00,226.00,232.00
117,2010-12-02,23,600.00,134860.00,229.00,223.00,223.00
118,2010-12-05,1,20.00,4380.00,219.00,219.00,219.00
119,2010-12-06,1,10.00,2170.00,217.00,217.00,217.00
120,2010-12-07,1,60.00,13080.00,218.00,218.00,218.00
121,2010-12-08,5,150.00,32830.00,219.00,218.00,218.00
122,2010-12-09,6,110.00,23630.00,215.00,214.00,215.00
123,2010-12-12,12,380.00,83320.00,220.00,217.00,220.00
124,2010-12-13,3,30.00,6630.00,221.00,221.00,221.00
125,2010-12-14,1,190.00,42560.00,224.00,224.00,224.00
126,2010-12-15,6,70.00,15610.00,224.00,222.00,222.00
127,2010-12-16,6,130.00,28980.00,226.00,222.00,226.00
128,2010-12-19,12,130.00,30020.00,231.00,230.00,231.00
129,2010-12-20,15,150.00,33940.00,228.00,226.00,226.00
130,2010-12-22,1,10.00,2270.00,227.00,227.00,227.00
131,2010-12-26,10,200.00,45800.00,229.00,229.00,229.00
132,2010-12-27,17,260.00,58520.00,228.00,221.00,225.00
133,2010-12-28,4,100.00,22540.00,226.00,225.00,226.00
134,2011-01-02,110,1930.00,429330.00,225.00,210.00,214.00
135,2011-01-03,17,280.00,60360.00,218.00,210.00,210.00
136,2011-01-04,12,120.00,25390.00,215.00,210.00,215.00
137,2011-01-05,6,110.00,23670.00,216.00,215.00,215.00
138,2011-01-06,4,140.00,30720.00,220.00,216.00,220.00
139,2011-01-09,3,70.00,15490.00,224.00,219.00,224.00
140,2011-01-10,9,220.00,50720.00,232.00,228.00,230.00
141,2011-01-11,1,20.00,4600.00,230.00,230.00,230.00
142,2011-01-12,4,50.00,11470.00,230.00,229.00,230.00
143,2011-01-13,14,190.00,43370.00,230.00,225.00,225.00
144,2011-01-16,17,420.00,91720.00,225.00,217.00,217.00
145,2011-01-17,18,470.00,106040.00,230.00,220.00,230.00
146,2011-01-18,14,140.00,31840.00,228.00,227.00,227.00
147,2011-01-19,8,140.00,31360.00,224.00,224.00,224.00
148,2011-01-20,1,10.00,2200.00,220.00,220.00,220.00
149,2011-01-23,13,200.00,44080.00,224.00,216.00,216.00
150,2011-02-02,6,100.00,22240.00,224.00,220.00,224.00
151,2011-02-03,2,20.00,4560.00,228.00,228.00,228.00
152,2011-02-06,2,30.00,7040.00,236.00,232.00,236.00
153,2011-02-08,17,210.00,50400.00,240.00,240.00,240.00
154,2011-02-09,7,130.00,30240.00,236.00,230.00,231.00
155,2011-02-10,13,1490.00,333580.00,231.00,220.00,220.00
156,2011-02-13,17,460.00,100700.00,221.00,216.00,218.00
157,2011-02-14,2,40.00,8720.00,218.00,218.00,218.00
158,2011-02-15,4,120.00,26160.00,218.00,218.00,218.00
159,2011-02-16,6,80.00,17120.00,214.00,214.00,214.00
160,2011-02-17,2,40.00,8440.00,211.00,211.00,211.00
161,2011-02-20,5,90.00,18850.00,213.00,207.00,213.00
162,2011-02-22,3,30.00,6470.00,217.00,215.00,217.00
163,2011-02-23,2,40.00,8840.00,221.00,221.00,221.00
164,2011-02-27,4,60.00,12980.00,217.00,213.00,213.00
165,2011-02-28,9,170.00,36440.00,216.00,212.00,213.00
166,2011-03-01,6,60.00,12980.00,217.00,213.00,217.00
167,2011-03-03,10,140.00,30060.00,216.00,213.00,216.00
168,2011-03-07,18,320.00,67500.00,213.00,209.00,213.00
169,2011-03-09,2,20.00,4300.00,217.00,213.00,217.00
170,2011-03-13,12,420.00,90740.00,225.00,213.00,225.00
171,2011-03-17,12,190.00,42840.00,226.00,225.00,225.00
172,2011-03-20,1,20.00,4420.00,221.00,221.00,221.00
173,2011-03-21,2,20.00,4380.00,221.00,217.00,217.00
174,2011-03-22,29,350.00,72050.00,213.00,201.00,206.00
175,2011-03-24,2,20.00,4200.00,210.00,210.00,210.00
176,2011-03-27,11,270.00,57200.00,214.00,211.00,212.00
177,2011-03-28,2,50.00,10790.00,216.00,215.00,215.00
178,2011-03-30,29,540.00,116060.00,215.00,211.00,211.00
179,2011-03-31,4,70.00,15030.00,215.00,214.00,215.00
180,2011-04-04,6,60.00,12610.00,211.00,210.00,210.00
181,2011-04-05,3,120.00,25080.00,209.00,209.00,209.00
182,2011-04-06,6,60.00,11990.00,205.00,197.00,197.00
183,2011-04-07,7,150.00,28510.00,194.00,188.00,188.00
184,2011-04-10,2,20.00,3760.00,188.00,188.00,188.00
185,2011-04-11,7,170.00,30580.00,185.00,179.00,179.00
186,2011-04-13,6,110.00,19630.00,179.00,176.00,179.00
187,2011-04-17,4,110.00,19470.00,177.00,177.00,177.00
188,2011-04-19,5,50.00,8820.00,177.00,174.00,174.00
189,2011-04-20,14,250.00,40390.00,171.00,157.00,157.00
190,2011-04-21,12,290.00,44000.00,155.00,146.00,146.00
191,2011-04-25,16,370.00,55180.00,151.00,147.00,150.00
192,2011-05-02,4,100.00,15000.00,150.00,150.00,150.00
193,2011-05-03,1,30.00,4590.00,153.00,153.00,153.00
194,2011-05-10,1,20.00,3100.00,155.00,155.00,155.00
195,2011-05-12,1,10.00,1540.00,154.00,154.00,154.00
196,2011-05-16,2,20.00,3100.00,155.00,155.00,155.00
197,2011-05-18,14,160.00,24800.00,155.00,155.00,155.00
198,2011-05-23,1,10.00,1520.00,152.00,152.00,152.00
199,2011-05-24,8,200.00,30480.00,154.00,151.00,152.00
200,2011-05-25,1,30.00,4500.00,150.00,150.00,150.00
201,2011-05-26,4,110.00,16720.00,152.00,152.00,152.00
202,2011-05-30,5,80.00,11850.00,149.00,147.00,147.00
203,2011-06-01,1,10.00,1470.00,147.00,147.00,147.00
204,2011-06-02,1,20.00,2980.00,149.00,149.00,149.00
205,2011-06-05,4,50.00,7270.00,147.00,145.00,145.00
206,2011-06-07,1,10.00,1430.00,143.00,143.00,143.00
207,2011-06-08,1,10.00,1410.00,141.00,141.00,141.00
208,2011-06-12,4,80.00,11000.00,139.00,137.00,137.00
209,2011-06-13,3,50.00,6630.00,135.00,131.00,131.00
210,2011-06-19,5,50.00,6550.00,131.00,131.00,131.00
211,2011-06-20,7,140.00,18080.00,130.00,129.00,129.00
212,2011-07-03,1,10.00,1290.00,129.00,129.00,129.00
213,2011-07-05,5,180.00,22360.00,127.00,119.00,119.00
214,2011-07-07,3,200.00,23400.00,117.00,117.00,117.00
215,2010-04-15,2,50.00,14580.00,294.00,290.00,290.00
216,2010-04-15,2,50.00,14580.00,294.00,290.00,290.00
