S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-02-07,3,30.00,4860.00,164.00,161.00,164.00
2,2021-02-08,6,50.00,8294.00,173.00,159.00,173.00
3,2021-02-09,4,30.00,5189.00,176.00,168.00,176.00
4,2021-02-10,4,20.00,3552.00,179.00,176.00,179.00
5,2021-02-11,3,30.00,5550.00,188.00,182.00,188.00
6,2021-02-14,2,20.00,3850.00,194.00,191.00,194.00
7,2021-02-15,2,20.00,3970.00,200.00,197.00,200.00
8,2021-02-16,10,100.00,21600.00,220.00,204.00,220.00
9,2021-02-17,8,65.00,14285.00,225.00,217.00,225.00
10,2021-02-18,5,50.00,11850.00,245.00,229.00,245.00
11,2021-02-21,12,120.00,31740.00,269.00,249.00,269.00
12,2021-02-22,5,50.00,14450.00,295.00,280.00,295.00
13,2021-02-23,5,50.00,15420.00,312.00,300.00,312.00
14,2021-02-24,20,190.00,62000.00,343.00,295.00,343.00
15,2021-02-25,19,185.00,68265.00,377.00,337.00,377.00
16,2021-02-28,15,150.00,61750.00,414.00,395.00,414.00
17,2021-03-01,20,161.00,71894.00,455.00,422.00,455.00
18,2021-03-02,21,205.00,100940.00,500.00,459.00,500.00
19,2021-03-03,55,531.00,291063.00,550.00,525.00,550.00
20,2021-03-04,73,716.00,432098.00,605.00,577.00,605.00
21,2021-03-07,94,910.00,603035.00,665.00,635.00,665.00
22,2021-03-09,164,1629.00,1188559.00,731.00,698.00,731.00
23,2021-03-10,214,2130.00,1711100.00,804.00,767.00,804.00
24,2021-03-14,386,3840.00,3385050.00,884.00,844.00,884.00
25,2021-03-15,446,4377.00,4249434.00,972.00,928.00,972.00
26,2021-03-16,716,7206.00,7696464.00,1069.00,1020.00,1069.00
27,2021-03-17,510,5090.00,5967520.00,1175.00,1122.00,1175.00
28,2021-03-18,731,7276.00,9390112.00,1292.00,1233.00,1292.00
29,2021-03-21,886,10784.00,15299144.00,1421.00,1356.00,1421.00
30,2021-03-22,1134,17549.00,27418297.00,1563.00,1492.00,1563.00
