S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-06-09,28,261.00,116377.00,457.00,416.00,457.00
2,2021-06-10,61,590.00,295490.00,502.00,479.00,502.00
3,2021-06-13,129,1281.00,705911.00,552.00,527.00,552.00
4,2021-06-14,179,1780.00,1077600.00,607.00,579.00,607.00
5,2021-06-15,331,3300.00,2199900.00,667.00,637.00,667.00
6,2021-06-16,1972,28761.00,21060729.00,733.00,700.00,733.00
7,2021-06-17,10932,139756.00,102121340.00,806.00,680.00,685.00
8,2021-06-20,4739,66666.00,42432744.00,700.00,619.00,635.00
9,2021-06-21,2227,30308.00,18343968.00,635.00,593.00,612.00
10,2021-06-22,1311,24901.00,15317442.00,645.00,590.00,638.00
11,2021-06-23,903,21451.00,13049725.00,635.00,599.00,610.00
12,2021-06-24,792,20819.00,12393797.00,605.00,588.00,588.00
13,2021-06-27,971,15787.00,9164421.00,610.00,573.00,574.00
14,2021-06-28,1139,18982.00,11084026.00,600.00,563.00,592.00
15,2021-06-29,861,14902.00,8803154.00,605.00,577.00,585.00
16,2021-06-30,618,9389.00,5324284.00,590.00,560.00,578.00
17,2021-07-01,777,14450.00,8400640.00,590.00,567.00,579.00
18,2021-07-04,2125,41720.00,25388266.00,625.00,581.00,621.00
19,2021-07-05,2060,51282.00,33328063.00,669.00,620.00,654.00
20,2021-07-06,997,26520.00,17217690.00,663.00,630.00,643.00
21,2021-07-07,629,21037.00,13344093.00,645.00,625.00,635.00
22,2021-07-08,568,18339.00,11462081.00,636.00,617.00,623.00
23,2021-07-11,669,30632.00,19366527.00,644.00,610.00,635.00
24,2021-07-12,464,20503.00,12839503.00,645.00,616.00,620.00
25,2021-07-13,401,15988.00,9810703.00,620.00,608.00,610.00
26,2021-07-14,465,10935.00,6746705.00,628.00,604.00,620.00
27,2021-07-15,494,12077.00,7453652.00,630.00,611.00,619.00
28,2021-07-18,550,12597.00,7791193.00,626.00,614.00,620.10
29,2021-07-19,768,28160.00,17844606.00,644.00,620.00,642.00
30,2021-07-20,2099,85932.00,58010019.20,700.00,630.00,690.00
31,2021-07-22,3210,105781.00,78166684.50,759.00,690.00,759.00
32,2021-07-25,2824,106809.00,84892159.00,810.00,758.00,806.00
33,2021-07-26,2495,87376.00,70532485.60,840.00,777.00,836.00
34,2021-07-27,1523,54095.00,44868020.50,850.00,805.00,827.00
35,2021-07-28,1336,48150.00,38921256.00,830.00,785.00,817.00
36,2021-07-29,1125,51189.00,41059604.50,818.00,787.00,800.00
37,2021-08-01,2244,78768.00,65684547.00,880.00,800.00,877.00
38,2021-08-02,1244,78313.00,67466456.00,894.50,844.00,845.00
39,2021-08-03,1549,65324.00,56854735.80,912.80,835.00,912.80
40,2021-08-04,2219,91969.00,89763361.70,1000.00,913.00,975.00
41,2021-08-05,1474,59129.00,56473288.00,992.00,937.00,941.00
42,2021-08-08,1312,58440.00,54918125.00,955.00,908.00,940.00
43,2021-08-09,1259,46679.00,44545092.00,970.00,926.00,949.00
44,2021-08-10,900,29357.00,27671512.80,970.00,930.10,935.00
45,2021-08-11,1860,67588.00,66611564.00,1028.50,932.00,1009.00
46,2021-08-12,1836,62758.00,66066316.00,1085.00,991.00,1050.00
