S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-08-03,33,775.00,244637.00,323.00,294.00,323.00
2,2017-08-06,519,10396.00,3333783.00,355.00,300.00,316.00
3,2017-08-07,277,4374.00,1288178.00,312.00,285.00,285.00
4,2017-08-09,117,5869.00,1515113.00,280.00,257.00,260.00
5,2017-08-10,55,2022.00,506640.00,260.00,238.00,260.00
6,2017-08-13,24,379.00,92619.00,257.00,239.00,243.00
7,2017-08-15,34,608.00,136848.00,240.00,220.00,221.00
8,2017-08-16,28,528.00,117122.00,227.00,217.00,217.00
9,2017-08-17,30,628.00,132194.00,214.00,209.00,211.00
10,2017-08-20,41,700.00,146070.00,215.00,207.00,210.00
11,2017-08-21,64,1788.00,372928.00,218.00,197.00,201.00
12,2017-08-22,87,6521.00,1327556.00,207.00,198.00,200.00
13,2017-08-23,64,3955.00,757350.00,199.00,187.00,187.00
14,2017-08-24,41,4342.00,834660.00,195.00,181.00,195.00
15,2017-08-27,72,2006.00,391950.00,200.00,193.00,200.00
16,2017-08-28,25,280.00,55418.00,201.00,195.00,201.00
17,2017-08-30,20,1851.00,370363.00,202.00,197.00,197.00
18,2017-08-31,31,487.00,94427.00,196.00,188.00,195.00
19,2017-09-04,27,1582.00,299059.00,192.00,186.00,186.00
20,2017-09-06,24,370.00,69632.00,190.00,186.00,190.00
21,2017-09-07,33,1146.00,211837.00,190.00,183.00,183.00
22,2017-09-10,50,968.00,172121.00,183.00,174.00,177.00
23,2017-09-11,15,179.00,30998.00,175.00,166.00,166.00
24,2017-09-12,5,98.00,16116.00,165.00,164.00,164.00
25,2017-09-13,11,184.00,29485.00,163.00,156.00,163.00
26,2017-09-14,11,407.00,65918.00,163.00,160.00,163.00
27,2017-09-17,15,248.00,39778.00,165.00,158.00,159.00
28,2017-09-18,20,603.00,97469.00,165.00,157.00,163.00
29,2017-09-20,8,131.00,21205.00,165.00,161.00,161.00
30,2017-09-24,9,618.00,99240.00,163.00,158.00,163.00
31,2017-09-25,3,80.00,13490.00,169.00,166.00,169.00
32,2017-09-26,22,1151.00,199407.00,179.00,169.00,175.00
33,2017-10-03,4,150.00,26148.00,175.00,172.00,172.00
34,2017-10-04,4,40.00,6880.00,172.00,172.00,172.00
35,2017-10-08,7,94.00,15900.00,173.00,166.00,173.00
36,2017-10-09,7,172.00,29084.00,170.00,168.00,168.00
37,2017-10-10,18,228.00,37866.00,168.00,163.00,168.00
38,2017-10-11,3,76.00,12690.00,168.00,165.00,168.00
39,2017-10-12,6,92.00,15796.00,174.00,168.00,173.00
40,2017-10-15,11,352.00,61108.00,176.00,171.00,176.00
41,2017-10-16,26,541.00,97977.00,185.00,179.00,185.00
42,2017-10-17,17,1005.00,190129.00,196.00,183.00,196.00
43,2017-10-18,3,30.00,5870.00,196.00,195.00,196.00
