S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-20,3,40.00,30015.00,751.00,750.00,751.00
2,2010-04-21,1,60.00,44160.00,736.00,736.00,736.00
3,2010-04-22,3,40.00,28880.00,722.00,722.00,722.00
4,2010-04-26,5,105.00,71005.00,708.00,655.00,655.00
5,2010-04-28,3,45.00,29250.00,650.00,650.00,650.00
6,2010-04-29,1,40.00,25680.00,642.00,642.00,642.00
7,2010-05-09,1,20.00,12640.00,632.00,632.00,632.00
8,2010-05-10,2,80.00,51200.00,640.00,640.00,640.00
9,2010-05-16,5,75.00,47250.00,630.00,630.00,630.00
10,2010-05-26,1,1090.00,699780.00,642.00,642.00,642.00
11,2010-06-09,1,25.00,16050.00,642.00,642.00,642.00
12,2010-06-10,1,75.00,48150.00,642.00,642.00,642.00
13,2010-06-13,1,15.00,9810.00,654.00,654.00,654.00
14,2010-06-15,2,27.00,17559.00,657.00,645.00,657.00
15,2010-06-30,1,15.00,8040.00,536.00,536.00,536.00
16,2010-07-11,1,25.00,13250.00,530.00,530.00,530.00
17,2010-07-12,1,25.00,13250.00,530.00,530.00,530.00
18,2010-07-13,2,100.00,53000.00,530.00,530.00,530.00
19,2010-08-05,1,25.00,13250.00,530.00,530.00,530.00
20,2010-08-12,1,25.00,13500.00,540.00,540.00,540.00
21,2010-08-16,2,55.00,30580.00,561.00,550.00,561.00
22,2010-09-28,2,40.00,22675.00,571.00,560.00,571.00
23,2010-09-30,2,150.00,85675.00,572.00,571.00,572.00
24,2010-10-06,1,25.00,14300.00,572.00,572.00,572.00
25,2010-11-30,2,50.00,29175.00,584.00,583.00,584.00
26,2010-12-07,3,260.00,149500.00,575.00,575.00,575.00
27,2010-12-08,1,30.00,17250.00,575.00,575.00,575.00
28,2010-12-27,1,50.00,28750.00,575.00,575.00,575.00
29,2011-01-03,1,25.00,14100.00,564.00,564.00,564.00
30,2011-02-08,2,50.00,28200.00,564.00,564.00,564.00
31,2011-02-10,1,20.00,11280.00,564.00,564.00,564.00
32,2011-02-21,1,30.00,16590.00,553.00,553.00,553.00
33,2011-02-27,1,20.00,11280.00,564.00,564.00,564.00
34,2011-03-07,1,25.00,14375.00,575.00,575.00,575.00
35,2011-03-09,2,80.00,46080.00,576.00,576.00,576.00
36,2011-03-13,1,50.00,28800.00,576.00,576.00,576.00
37,2011-04-06,1,56.00,32872.00,587.00,587.00,587.00
38,2011-04-17,1,25.00,14950.00,598.00,598.00,598.00
39,2011-04-20,1,10.00,5870.00,587.00,587.00,587.00
40,2011-04-27,1,75.00,44025.00,587.00,587.00,587.00
41,2011-04-28,2,238.00,140254.00,598.00,588.00,588.00
42,2011-05-02,3,117.00,70788.00,620.00,599.00,620.00
43,2011-05-04,2,181.00,114392.00,632.00,632.00,632.00
44,2011-05-10,1,31.00,19592.00,632.00,632.00,632.00
45,2011-05-11,1,31.00,19654.00,634.00,634.00,634.00
46,2011-05-12,1,25.00,16150.00,646.00,646.00,646.00
47,2011-05-16,2,50.00,33225.00,671.00,658.00,671.00
48,2011-05-18,6,381.00,263525.00,704.00,687.00,702.00
49,2011-05-19,4,243.00,169290.00,700.00,690.00,700.00
50,2011-05-22,9,511.00,351006.00,697.00,685.00,697.00
51,2011-05-23,6,145.00,99230.00,685.00,684.00,685.00
52,2011-05-25,1,10.00,7190.00,719.00,719.00,719.00
53,2011-05-26,6,291.00,197177.00,705.00,675.00,675.00
54,2011-06-01,2,50.00,34265.00,686.00,685.00,686.00
55,2011-06-02,1,25.00,17200.00,688.00,688.00,688.00
56,2011-06-05,5,96.00,65363.00,689.00,660.00,660.00
57,2011-06-14,23,1065.00,638018.00,647.00,594.00,594.00
58,2011-06-15,3,113.00,65137.00,583.00,564.00,564.00
59,2011-06-16,17,728.00,380169.00,553.00,508.00,528.00
60,2011-07-07,1,31.00,12555.00,405.00,405.00,405.00
61,2011-07-20,1,31.00,12803.00,413.00,413.00,413.00
62,2011-07-27,1,10.00,4210.00,421.00,421.00,421.00
63,2011-08-03,1,10.00,4290.00,429.00,429.00,429.00
64,2011-08-07,1,10.00,4370.00,437.00,437.00,437.00
65,2011-08-10,2,72.00,31184.00,440.00,432.00,432.00
66,2011-08-11,1,11.00,4840.00,440.00,440.00,440.00
67,2011-09-13,1,31.00,13888.00,448.00,448.00,448.00
