S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,2,27.00,4641.00,173.00,170.00,170.00
2,2010-04-20,7,261.00,42603.00,167.00,161.00,163.00
3,2010-04-21,9,1398.00,214542.00,160.00,147.00,147.00
4,2010-04-22,9,751.00,102953.00,145.00,133.00,133.00
5,2010-04-25,12,2058.00,260446.00,131.00,125.00,125.00
6,2010-04-26,11,4909.00,632240.00,137.00,127.00,135.00
7,2010-04-27,22,4522.00,647508.00,148.00,137.00,148.00
8,2010-04-28,10,1442.00,206248.00,146.00,140.00,142.00
9,2010-04-29,8,469.00,70310.00,156.00,144.00,156.00
10,2010-04-15,1,50.00,8800.00,176.00,176.00,176.00
11,2010-05-10,9,1336.00,209307.00,165.00,153.00,162.00
12,2010-05-11,6,457.00,78658.00,178.00,165.00,178.00
13,2010-05-12,7,221.00,42205.00,195.00,181.00,195.00
14,2010-05-13,4,190.00,37170.00,198.00,195.00,195.00
15,2010-05-16,8,746.00,144072.00,198.00,192.00,198.00
16,2010-05-18,47,8105.00,1561787.00,195.00,188.00,193.00
17,2010-05-19,8,4513.00,871009.00,193.00,193.00,193.00
18,2010-05-20,5,1112.00,214616.00,193.00,193.00,193.00
19,2010-05-25,8,1038.00,201826.00,204.00,194.00,204.00
20,2010-05-26,7,189.00,41336.00,224.00,208.00,224.00
21,2010-05-26,1,10000.00,1430000.00,143.00,143.00,143.00
22,2010-05-30,2,95.00,21976.00,232.00,228.00,232.00
23,2010-05-31,1,79.00,18170.00,230.00,230.00,230.00
24,2010-06-01,5,500.00,109000.00,226.00,210.00,210.00
25,2010-06-02,3,409.00,83468.00,206.00,202.00,203.00
26,2010-06-03,3,471.00,94072.00,202.00,199.00,200.00
27,2010-06-06,8,387.00,82060.00,216.00,204.00,216.00
28,2010-06-07,2,125.00,27500.00,220.00,220.00,220.00
29,2010-06-08,14,1238.00,279232.00,228.00,221.00,228.00
30,2010-06-09,6,1712.00,393760.00,230.00,230.00,230.00
31,2010-06-10,5,832.00,191360.00,230.00,230.00,230.00
32,2010-06-13,6,704.00,161376.00,230.00,222.00,222.00
33,2010-06-14,10,1163.00,258494.00,224.00,220.00,224.00
34,2010-07-01,1,17.00,3876.00,228.00,228.00,228.00
35,2010-07-08,3,212.00,46888.00,224.00,220.00,220.00
36,2010-07-11,1,85.00,18700.00,220.00,220.00,220.00
37,2010-07-12,2,108.00,23328.00,216.00,216.00,216.00
38,2010-08-03,1,105.00,22680.00,216.00,216.00,216.00
39,2010-08-10,2,389.00,82468.00,212.00,212.00,212.00
40,2010-08-18,5,1215.00,248650.00,208.00,199.00,199.00
41,2010-08-19,7,2246.00,429222.00,196.00,185.00,185.00
42,2010-08-26,2,961.00,174041.00,182.00,181.00,181.00
43,2010-08-30,2,20.00,3530.00,178.00,175.00,175.00
44,2010-09-07,2,510.00,86220.00,172.00,169.00,169.00
45,2010-09-26,2,140.00,23660.00,169.00,169.00,169.00
46,2010-10-06,4,80.00,12420.00,162.00,153.00,153.00
47,2010-10-07,2,150.00,22350.00,150.00,147.00,147.00
48,2010-10-10,3,640.00,91988.00,145.00,143.00,143.00
49,2010-10-11,2,187.00,26367.00,141.00,141.00,141.00
50,2010-10-12,2,329.00,46405.00,142.00,141.00,142.00
51,2010-10-20,3,411.00,58362.00,142.00,142.00,142.00
52,2010-10-21,1,363.00,51183.00,141.00,141.00,141.00
53,2010-10-24,2,282.00,39556.00,141.00,140.00,140.00
54,2010-10-27,2,1109.00,152971.00,138.00,137.00,137.00
55,2010-10-28,1,48.00,6672.00,139.00,139.00,139.00
56,2010-10-31,4,708.00,101684.00,146.00,141.00,146.00
57,2010-11-02,4,507.00,76947.00,153.00,150.00,150.00
58,2010-11-03,7,699.00,110257.00,162.00,153.00,160.00
59,2010-11-04,2,34.00,5593.00,166.00,163.00,166.00
60,2010-11-09,2,32.00,5453.00,172.00,169.00,172.00
61,2010-11-10,1,5157.00,887004.00,172.00,172.00,172.00
62,2010-11-11,1,102.00,17544.00,172.00,172.00,172.00
63,2010-11-14,1,54.00,9180.00,170.00,170.00,170.00
64,2010-11-21,5,11677.00,1929410.00,170.00,161.00,164.00
65,2010-11-28,1,100.00,16100.00,161.00,161.00,161.00
66,2010-11-29,1,402.00,63516.00,158.00,158.00,158.00
67,2010-12-05,3,1855.00,282854.00,155.00,152.00,152.00
68,2010-12-07,1,60.00,8940.00,149.00,149.00,149.00
69,2010-12-09,1,410.00,60270.00,147.00,147.00,147.00
70,2010-12-16,5,381.00,53810.00,145.00,140.00,140.00
71,2010-12-19,3,353.00,49739.00,141.00,139.00,141.00
72,2010-12-22,9,282.00,40854.00,147.00,143.00,147.00
73,2010-12-23,4,1193.00,175046.00,148.00,145.00,147.00
74,2010-12-26,3,2108.00,303580.00,145.00,143.00,145.00
75,2010-12-29,5,384.00,55680.00,145.00,145.00,145.00
76,2011-01-02,1,394.00,56342.00,143.00,143.00,143.00
77,2011-01-03,2,110.00,15950.00,145.00,145.00,145.00
78,2011-01-04,2,2040.00,288480.00,143.00,141.00,141.00
79,2011-01-05,1,15.00,2100.00,140.00,140.00,140.00
80,2011-01-06,7,116740.00,16343120.00,140.00,138.00,138.00
81,2011-01-10,6,643.00,90548.00,144.00,139.00,144.00
82,2011-01-13,1,10.00,1510.00,151.00,151.00,151.00
83,2011-01-17,1,690.00,105570.00,153.00,153.00,153.00
84,2011-01-23,2,263.00,40239.00,153.00,153.00,153.00
85,2011-01-24,3,50419.00,7714107.00,153.00,153.00,153.00
86,2011-01-31,1,55612.00,8508636.00,153.00,153.00,153.00
87,2011-02-01,4,368.00,57040.00,155.00,155.00,155.00
88,2011-02-03,6,224131.00,34739633.00,155.00,152.00,152.00
89,2011-02-06,2,370.00,56560.00,153.00,152.00,152.00
90,2011-02-09,1,74.00,11396.00,154.00,154.00,154.00
91,2011-02-14,4,250.00,36650.00,151.00,144.00,144.00
92,2011-02-17,14,2083.00,278193.00,142.00,132.00,132.00
93,2011-02-20,4,1147.00,147142.00,130.00,128.00,128.00
94,2011-02-21,7,3289.00,424754.00,131.00,127.00,131.00
95,2011-02-22,2,238.00,31248.00,133.00,131.00,131.00
96,2011-02-23,1,962.00,126022.00,131.00,131.00,131.00
97,2011-02-24,2,446.00,59398.00,135.00,133.00,135.00
98,2011-02-27,4,140810.00,18728130.00,135.00,133.00,133.00
99,2011-03-01,1,51810.00,6890730.00,133.00,133.00,133.00
100,2011-03-09,1,50442.00,6708786.00,133.00,133.00,133.00
101,2011-03-15,5,109662.00,14364594.00,131.00,127.00,127.00
102,2011-03-20,1,500.00,63000.00,126.00,126.00,126.00
103,2011-04-05,4,65.00,8850.00,138.00,132.00,138.00
104,2011-04-06,3,30.00,4380.00,148.00,144.00,148.00
105,2011-04-07,1,10.00,1500.00,150.00,150.00,150.00
106,2011-04-10,2,20.00,3090.00,156.00,153.00,156.00
