S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-02-13,1,11.00,3828.00,348.00,348.00,348.00
2,2017-02-14,6,62.00,20282.00,342.00,314.00,314.00
3,2017-02-15,10,101.00,29263.00,308.00,283.00,283.00
4,2017-02-16,31,324.00,86501.00,278.00,255.00,255.00
5,2017-02-19,77,823.00,190875.00,250.00,230.00,230.00
6,2017-02-20,35,359.00,82871.00,234.00,225.00,230.00
7,2017-02-21,40,421.00,98614.00,238.00,231.00,232.00
8,2017-02-22,55,567.00,129804.00,233.00,224.00,228.00
9,2017-02-23,51,523.00,122182.00,237.00,228.00,232.00
10,2017-02-26,16,174.00,40848.00,235.00,233.00,233.00
11,2017-02-28,26,273.00,64384.00,237.00,235.00,235.00
12,2017-03-01,25,267.00,62183.00,234.00,229.00,230.00
13,2017-03-02,48,512.00,116396.00,230.00,226.00,230.00
14,2017-03-05,7,95.00,22274.00,236.00,232.00,233.00
15,2017-03-06,17,194.00,46044.00,243.00,234.00,235.00
16,2017-03-07,14,147.00,34340.00,236.00,231.00,234.00
17,2017-03-09,43,460.00,105392.00,235.00,226.00,235.00
18,2017-03-13,10,108.00,25581.00,239.00,236.00,239.00
19,2017-03-14,6,62.00,14634.00,239.00,235.00,239.00
20,2017-03-15,7,161.00,38280.00,239.00,234.00,239.00
21,2017-03-16,6,61.00,14782.00,246.00,240.00,246.00
22,2017-03-19,9,1084.00,267094.00,255.00,246.00,246.00
23,2017-03-20,3,30.00,7490.00,250.00,249.00,250.00
24,2017-03-21,12,951.00,238900.00,265.00,244.00,245.00
25,2017-03-22,3,200.00,48200.00,241.00,241.00,241.00
26,2017-03-23,16,1064.00,246161.00,237.00,229.00,234.00
27,2017-03-26,22,1426.00,339113.00,242.00,234.00,238.00
28,2017-03-28,18,2809.00,687631.00,249.00,242.00,249.00
29,2017-03-29,21,855.00,214749.00,254.00,247.00,247.00
30,2017-03-30,13,150.00,36590.00,245.00,241.00,242.00
31,2017-04-02,1,10.00,2400.00,240.00,240.00,240.00
32,2017-04-03,3,30.00,7280.00,244.00,240.00,240.00
33,2017-04-04,25,271.00,63777.00,240.00,230.00,235.00
34,2017-04-06,10,105.00,24293.00,235.00,230.00,230.00
35,2017-04-09,13,353.00,82716.00,236.00,231.00,235.00
36,2017-04-10,16,172.00,40636.00,239.00,235.00,239.00
37,2017-04-11,1,10.00,2390.00,239.00,239.00,239.00
38,2017-04-12,21,328.00,78213.00,240.00,235.00,240.00
39,2017-04-16,12,169.00,40201.00,240.00,236.00,237.00
40,2017-04-18,16,583.00,141752.00,248.00,237.00,244.00
41,2017-04-19,13,153.00,37164.00,248.00,240.00,244.00
42,2017-04-20,8,86.00,20640.00,240.00,240.00,240.00
43,2017-04-24,10,107.00,24581.00,239.00,223.00,223.00
44,2017-04-25,26,569.00,129806.00,230.00,223.00,230.00
45,2017-04-26,17,266.00,61012.00,234.00,228.00,234.00
46,2017-04-27,10,103.00,23704.00,234.00,227.00,230.00
47,2017-04-30,14,270.00,62769.00,235.00,230.00,231.00
48,2017-05-02,46,495.00,111353.00,229.00,220.00,224.00
49,2017-05-03,11,116.00,26022.00,227.00,221.00,227.00
50,2017-05-04,21,218.00,48129.00,225.00,217.00,221.00
51,2017-05-07,14,183.00,39701.00,220.00,216.00,216.00
52,2017-05-08,16,1160.00,254780.00,220.00,214.00,220.00
53,2017-05-09,20,1493.00,345353.00,233.00,224.00,226.00
54,2017-05-11,66,1479.00,348101.00,248.00,227.00,248.00
55,2017-05-15,47,2306.00,586442.00,270.00,247.00,268.00
56,2017-05-16,38,746.00,196060.00,271.00,250.00,250.00
57,2017-05-17,26,343.00,86087.00,252.00,250.00,250.00
58,2017-05-18,12,548.00,132539.00,245.00,233.00,233.00
