S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,4,355.00,107780.00,305.00,300.00,305.00
2,2010-04-20,1,255.00,79305.00,311.00,311.00,311.00
3,2010-04-22,5,165.00,48543.00,305.00,284.00,284.00
4,2010-04-25,1,50.00,14000.00,280.00,280.00,280.00
5,2010-04-26,2,180.00,51150.00,285.00,284.00,284.00
6,2010-04-27,2,130.00,37570.00,289.00,289.00,289.00
7,2010-04-29,1,100.00,29400.00,294.00,294.00,294.00
8,2010-04-15,2,330.00,100980.00,306.00,306.00,306.00
9,2010-05-09,1,33.00,9537.00,289.00,289.00,289.00
10,2010-05-16,1,33.00,9702.00,294.00,294.00,294.00
11,2010-05-24,1,166.00,49634.00,299.00,299.00,299.00
12,2010-05-31,1,33.00,10032.00,304.00,304.00,304.00
13,2010-06-15,3,53.00,16610.00,322.00,310.00,322.00
14,2010-06-16,2,66.00,20856.00,316.00,316.00,316.00
15,2010-06-17,2,20.00,6500.00,328.00,322.00,328.00
16,2010-06-29,1,33.00,10626.00,322.00,322.00,322.00
17,2010-07-11,2,53.00,17105.00,325.00,319.00,319.00
18,2010-07-13,3,150.00,46950.00,313.00,313.00,313.00
19,2010-07-20,1,33.00,10131.00,307.00,307.00,307.00
20,2010-08-11,1,150.00,45150.00,301.00,301.00,301.00
21,2010-08-12,1,33.00,9735.00,295.00,295.00,295.00
22,2010-08-19,1,33.00,9735.00,295.00,295.00,295.00
23,2010-09-06,1,200.00,59000.00,295.00,295.00,295.00
24,2010-09-07,3,79.00,22845.00,290.00,285.00,290.00
25,2010-09-09,1,73.00,21170.00,290.00,290.00,290.00
26,2010-09-12,1,60.00,17520.00,292.00,292.00,292.00
27,2010-09-14,1,33.00,9603.00,291.00,291.00,291.00
28,2010-09-21,1,33.00,9603.00,291.00,291.00,291.00
29,2010-09-29,1,100.00,29500.00,295.00,295.00,295.00
30,2010-10-24,2,43.00,12735.00,300.00,295.00,300.00
31,2010-11-04,6,116.00,36090.00,315.00,306.00,310.00
32,2011-02-03,5,237.00,73470.00,310.00,310.00,310.00
33,2011-02-07,7,287.00,88970.00,310.00,310.00,310.00
34,2011-02-27,1,20.00,6200.00,310.00,310.00,310.00
35,2011-03-01,1,33.00,10032.00,304.00,304.00,304.00
36,2011-06-08,1,10.00,3100.00,310.00,310.00,310.00
37,2011-08-04,1,33.00,10230.00,310.00,310.00,310.00
38,2011-08-09,1,33.00,10230.00,310.00,310.00,310.00
39,2011-08-11,2,30.00,9470.00,316.00,315.00,316.00
40,2011-08-17,6,603.00,186930.00,310.00,310.00,310.00
41,2011-08-28,1,20.00,6200.00,310.00,310.00,310.00
42,2011-08-29,1,33.00,10230.00,310.00,310.00,310.00
43,2011-09-18,2,404.00,125240.00,310.00,310.00,310.00
44,2011-10-19,4,177.00,55085.00,315.00,310.00,315.00
45,2011-10-23,2,66.00,20790.00,315.00,315.00,315.00
46,2010-04-15,2,330.00,100980.00,306.00,306.00,306.00
47,2010-04-15,2,330.00,100980.00,306.00,306.00,306.00
48,2012-01-29,1,23.00,7245.00,315.00,315.00,315.00
49,2012-01-31,2,1350.00,418500.00,310.00,310.00,310.00
50,2012-02-09,1,15.00,4725.00,315.00,315.00,315.00
51,2012-03-20,4,112.00,33793.00,309.00,292.00,292.00
52,2012-03-28,2,66.00,18777.00,287.00,282.00,282.00
53,2012-04-05,2,93.00,25461.00,277.00,272.00,272.00
54,2012-05-20,1,33.00,8811.00,267.00,267.00,267.00
55,2012-05-21,1,33.00,8646.00,262.00,262.00,262.00
56,2012-07-03,1,30.00,8010.00,267.00,267.00,267.00
57,2012-07-11,2,66.00,17820.00,272.00,268.00,268.00
58,2012-07-30,1,33.00,9009.00,273.00,273.00,273.00
59,2012-08-01,1,16.00,4384.00,274.00,274.00,274.00
60,2012-08-07,2,100.00,27333.00,274.00,273.00,274.00
61,2012-08-26,3,133.00,37772.00,289.00,279.00,289.00
62,2012-08-27,3,99.00,29436.00,299.00,294.00,299.00
63,2012-09-02,5,165.00,51942.00,322.00,304.00,322.00
64,2012-09-06,1,33.00,10428.00,316.00,316.00,316.00
65,2012-09-09,2,100.00,32398.00,328.00,322.00,328.00
66,2012-09-10,2,60.00,20040.00,334.00,334.00,334.00
67,2012-09-11,6,10000.00,3251500.00,328.00,325.00,325.00
68,2012-10-03,6,229.00,79231.00,357.00,331.00,357.00
69,2012-10-04,1,30.00,10920.00,364.00,364.00,364.00
70,2012-10-07,3,99.00,37422.00,385.00,371.00,385.00
71,2012-10-08,7,217.00,88141.00,422.00,392.00,406.00
72,2012-10-09,5,159.00,64325.00,405.00,398.00,405.00
73,2013-02-13,1,16.00,6128.00,383.00,383.00,383.00
74,2013-03-11,4,186.00,67794.00,376.00,355.00,355.00
75,2013-03-13,1,30.00,10440.00,348.00,348.00,348.00
