S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-05-21,1,100.00,105100.00,1051.00,1051.00,1051.00
2,2017-06-05,5,30.00,33530.00,1103.00,1103.00,1103.00
3,2017-06-06,1,9.00,10125.00,0.00,0.00,0.00
4,2017-06-07,3,30.00,34410.00,1169.00,1125.00,1169.00
5,2017-06-11,3,26.00,31504.00,1215.00,1192.00,1215.00
6,2017-06-14,4,530.00,681900.00,1288.00,1239.00,1288.00
7,2017-06-15,3,52.00,69368.00,1365.00,1313.00,1365.00
8,2017-06-18,2,20.00,28110.00,1419.00,1392.00,1419.00
9,2017-06-19,1,10.00,14470.00,1447.00,1447.00,1447.00
10,2017-06-21,3,30.00,45130.00,1534.00,1475.00,1534.00
11,2017-06-25,3,30.00,47850.00,1626.00,1564.00,1626.00
12,2017-06-27,3,30.00,50730.00,1724.00,1658.00,1724.00
13,2017-06-28,6,46.00,83725.00,1864.00,1758.00,1864.00
14,2017-07-02,1,26.00,49426.00,1901.00,1901.00,1901.00
15,2017-07-03,7,66.00,134246.00,2091.00,1939.00,2091.00
16,2017-07-04,5,56.00,124016.00,2261.00,2132.00,2261.00
17,2017-07-05,1,10.00,23060.00,2306.00,2306.00,2306.00
18,2017-07-09,8,102.00,253320.00,2536.00,2352.00,2536.00
19,2017-07-10,5,40.00,103950.00,2586.00,2586.00,2586.00
20,2017-07-11,19,212.00,596258.00,2844.00,2637.00,2844.00
21,2017-07-12,211,3230.00,10098549.00,3128.00,2900.00,3128.00
22,2017-07-13,2343,39591.00,128823199.00,3384.00,3190.00,3221.00
23,2017-07-16,923,16692.00,53557215.00,3305.00,3150.00,3298.00
24,2017-07-17,684,14227.00,48903466.00,3570.00,3260.00,3542.00
25,2017-07-18,693,16051.00,59137425.00,3795.00,3523.00,3795.00
26,2017-07-19,770,15286.00,57160234.00,3870.00,3701.00,3710.00
27,2017-07-20,631,11248.00,42140665.00,3780.00,3650.00,3760.00
28,2017-07-23,420,9171.00,34748634.00,3835.00,3740.00,3819.00
29,2017-07-24,326,6313.00,24167783.00,3870.00,3785.00,3822.00
30,2017-07-25,275,5324.00,20416770.00,3901.00,3781.00,3836.00
31,2017-07-26,271,4911.00,18786562.00,3841.00,3780.00,3810.00
32,2017-07-27,217,4396.00,16729890.00,3900.00,3756.00,3800.00
33,2017-07-30,187,3113.00,11843902.00,3820.00,3770.00,3820.00
34,2017-07-31,254,6159.00,23451285.00,3825.00,3800.00,3804.00
35,2017-08-01,278,4826.00,18478881.00,3854.00,3800.00,3844.00
36,2017-08-02,286,7876.00,30642422.00,4000.00,3835.00,3980.00
37,2017-08-03,426,10587.00,42844727.00,4140.00,3912.00,4021.00
38,2017-08-06,231,5505.00,21932344.00,4020.00,3951.00,3970.00
39,2017-08-07,151,3357.00,13216882.00,3970.00,3911.00,3940.00
40,2017-08-09,176,5300.00,20573987.00,3940.00,3850.00,3895.00
41,2017-08-10,189,5334.00,20403618.00,3875.00,3742.00,3850.00
42,2017-08-13,129,5257.00,19891148.00,3850.00,3760.00,3780.00
43,2017-08-15,158,4078.00,15230036.00,3790.00,3680.00,3790.00
44,2017-08-16,160,4456.00,17057174.00,3859.00,3721.00,3859.00
45,2017-08-17,182,5340.00,20603338.00,3936.00,3800.00,3840.00
46,2017-08-20,124,3205.00,12232307.00,3830.00,3795.00,3800.00
47,2017-08-21,53,1242.00,4682321.00,3797.00,3740.00,3775.00
48,2017-08-22,98,2957.00,11141801.00,3780.00,3749.00,3775.00
49,2017-08-23,63,1656.00,6221507.00,3770.00,3740.00,3740.00
50,2017-08-24,59,2746.00,10297834.00,3760.00,3710.00,3750.00
51,2017-08-27,85,3776.00,14123850.00,3769.00,3711.00,3769.00
52,2017-08-28,87,2614.00,9863256.00,3780.00,3720.00,3766.00
53,2017-08-30,98,3090.00,11749399.00,3840.00,3750.00,3810.00
54,2017-08-31,116,1944.00,7365676.00,3800.00,3768.00,3775.00
55,2017-09-04,58,1129.00,4222481.00,3770.00,3705.00,3731.00
56,2017-09-06,85,2478.00,9344568.00,3820.00,3735.00,3759.00
57,2017-09-07,108,1670.00,6294674.00,3800.00,3751.00,3760.00
58,2017-09-10,74,1857.00,6957635.00,3770.00,3735.00,3735.00
59,2017-09-11,99,3272.00,12201178.00,3760.00,3710.00,3745.00
60,2017-09-12,83,2612.00,9709972.00,3745.00,3710.00,3713.00
61,2017-09-13,56,1171.00,4335266.00,3750.00,3660.00,3673.00
62,2017-09-14,248,8488.00,30174901.00,3670.00,3475.00,3575.00
63,2017-09-17,136,2530.00,9048728.00,3639.00,3504.00,3585.00
64,2017-09-18,209,4785.00,17633115.00,3750.00,3599.00,3739.00
65,2017-09-20,53,1617.00,5969368.00,3805.00,3605.00,3650.00
66,2017-09-24,12,178.00,644679.00,3650.00,3580.00,3611.00
67,2017-09-25,22,486.00,1772164.00,3670.00,3615.00,3650.00
68,2017-09-26,15,864.00,3154022.00,3700.00,3640.00,3700.00
69,2017-10-03,25,395.00,1446770.00,3675.00,3650.00,3675.00
70,2017-10-04,64,1016.00,3720878.00,3700.00,3640.00,3642.00
71,2017-10-08,110,1543.00,5456935.00,3640.00,3507.00,3590.00
72,2017-10-09,43,944.00,3336900.00,3564.00,3521.00,3564.00
73,2017-10-10,33,625.00,2208133.00,3560.00,3503.00,3540.00
74,2017-10-11,30,526.00,1864292.00,3570.00,3531.00,3538.00
75,2017-10-12,62,1949.00,6849381.00,3570.00,3500.00,3535.00
76,2017-10-15,19,666.00,2352110.00,3550.00,3505.00,3549.00
