S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-10,1,3590.00,3769500.00,1050.00,1050.00,1050.00
2,2020-09-24,1,55.00,56595.00,1029.00,1029.00,1029.00
3,2020-09-27,1,25.00,25725.00,1029.00,1029.00,1029.00
4,2020-10-01,2,75.00,76025.00,1021.00,1010.00,1021.00
5,2020-10-04,2,75.00,77750.00,1050.00,1030.00,1050.00
6,2020-10-06,3,105.00,109500.00,1050.00,1040.00,1040.00
7,2020-10-07,1,25.00,25625.00,1025.00,1025.00,1025.00
8,2020-10-08,1,25.00,25550.00,1022.00,1022.00,1022.00
9,2020-10-11,1,50.00,51300.00,1026.00,1026.00,1026.00
10,2020-10-14,1,25.00,26150.00,1046.00,1046.00,1046.00
11,2020-10-15,2,75.00,78450.00,1046.00,1046.00,1046.00
12,2020-10-19,1,25.00,26150.00,1046.00,1046.00,1046.00
13,2020-10-28,1,50.00,51750.00,1035.00,1035.00,1035.00
14,2020-11-01,4,575.00,602625.00,1050.00,1025.00,1050.00
15,2020-11-02,1,75.00,80325.00,1071.00,1071.00,1071.00
16,2020-11-04,3,150.00,160650.00,1071.00,1071.00,1071.00
17,2020-11-09,1,25.00,26250.00,1050.00,1050.00,1050.00
18,2020-11-10,2,50.00,52500.00,1050.00,1050.00,1050.00
19,2020-11-11,1,25.00,26500.00,1060.00,1060.00,1060.00
20,2020-11-12,4,125.00,129500.00,1040.00,1020.00,1040.00
21,2020-11-19,1,50.00,51000.00,1020.00,1020.00,1020.00
22,2020-11-29,1,500.00,520000.00,1040.00,1040.00,1040.00
23,2020-11-30,2,100.00,104000.00,1040.00,1040.00,1040.00
24,2020-12-02,2,125.00,130525.00,1045.00,1041.00,1045.00
25,2020-12-03,2,50.00,51900.00,1045.00,1031.00,1031.00
26,2020-12-09,1,25.00,26275.00,1051.00,1051.00,1051.00
27,2020-12-10,1,50.00,51500.00,1030.00,1030.00,1030.00
28,2020-12-13,1,25.00,25625.00,1025.00,1025.00,1025.00
29,2020-12-14,1,25.00,26000.00,1040.00,1040.00,1040.00
30,2020-12-17,3,150.00,154650.00,1040.00,1026.00,1027.00
31,2020-12-21,1,200.00,209000.00,1045.00,1045.00,1045.00
32,2020-12-22,1,30.00,31500.00,1050.00,1050.00,1050.00
33,2020-12-23,1,25.00,26250.00,1050.00,1050.00,1050.00
34,2020-12-24,2,50.00,53525.00,1071.00,1070.00,1071.00
35,2020-12-31,3,75.00,79400.00,1065.00,1051.00,1060.00
36,2021-01-03,3,805.00,854305.00,1065.00,1061.00,1061.00
37,2021-01-04,1,50.00,53250.00,1065.00,1065.00,1065.00
38,2021-01-05,4,175.00,186475.00,1066.00,1065.00,1066.00
