S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2011-02-01,1,10.00,3310.00,331.00,331.00,331.00
2,2011-02-03,1,10.00,3250.00,325.00,325.00,325.00
3,2011-02-07,1,10.00,3190.00,319.00,319.00,319.00
4,2011-02-10,2,30.00,9060.00,304.00,298.00,298.00
5,2011-02-13,2,20.00,5810.00,293.00,288.00,288.00
6,2011-02-14,8,350.00,95900.00,274.00,274.00,274.00
7,2011-02-15,6,80.00,20770.00,269.00,249.00,249.00
8,2011-02-16,4,70.00,16150.00,237.00,225.00,225.00
9,2011-02-17,4,70.00,14490.00,214.00,203.00,203.00
10,2011-02-20,4,80.00,15080.00,193.00,184.00,184.00
11,2011-02-21,6,100.00,17230.00,181.00,166.00,166.00
12,2011-02-22,30,1270.00,190750.00,158.00,150.00,150.00
13,2011-02-23,241,6960.00,972550.00,143.00,135.00,138.00
14,2011-02-24,166,5190.00,718270.00,139.00,136.00,139.00
15,2011-02-27,90,3310.00,453340.00,138.00,135.00,136.00
16,2011-02-28,286,8670.00,1186260.00,138.00,135.00,137.00
17,2011-03-01,79,3800.00,514170.00,137.00,134.00,135.00
18,2011-03-03,85,2160.00,290840.00,139.00,131.00,133.00
19,2011-03-07,69,2020.00,267510.00,135.00,130.00,133.00
20,2011-03-09,199,5770.00,772490.00,135.00,131.00,134.00
21,2011-03-10,76,2100.00,278580.00,134.00,132.00,133.00
22,2011-03-13,151,3900.00,516320.00,133.00,132.00,132.00
23,2011-03-14,98,2680.00,351890.00,134.00,126.00,128.00
24,2011-03-15,129,4040.00,508820.00,127.00,121.00,121.00
25,2011-03-16,122,3920.00,477260.00,124.00,120.00,121.00
26,2011-03-17,93,2870.00,356180.00,126.00,120.00,124.00
27,2011-03-20,58,2100.00,258730.00,127.00,118.00,125.00
28,2011-03-21,25,860.00,106380.00,124.00,122.00,124.00
29,2011-03-22,68,1910.00,239560.00,126.00,123.00,125.00
30,2011-03-23,13,680.00,84620.00,126.00,124.00,126.00
31,2011-03-24,108,3480.00,439000.00,128.00,124.00,128.00
32,2011-03-27,85,2680.00,336550.00,127.00,123.00,126.00
33,2011-03-28,66,2080.00,258440.00,126.00,121.00,123.00
34,2011-03-29,28,1400.00,170760.00,123.00,119.00,123.00
35,2011-03-30,108,4310.00,524330.00,124.00,118.00,118.00
36,2011-03-31,82,2380.00,286680.00,121.00,119.00,121.00
37,2011-04-04,108,2520.00,309080.00,125.00,121.00,123.00
38,2011-04-05,100,2750.00,337220.00,125.00,120.00,121.00
39,2011-04-06,68,1620.00,195740.00,121.00,119.00,121.00
40,2011-04-07,73,2000.00,240350.00,121.00,119.00,121.00
41,2011-04-10,50,1290.00,153990.00,121.00,118.00,118.00
42,2011-04-11,105,2520.00,295950.00,118.00,116.00,117.00
43,2011-04-13,27,610.00,70400.00,118.00,113.00,118.00
44,2011-04-17,24,870.00,103570.00,121.00,116.00,119.00
45,2011-04-18,110,2820.00,325810.00,121.00,112.00,115.00
46,2011-04-19,16,460.00,52060.00,116.00,109.00,116.00
47,2011-04-20,72,1910.00,221180.00,117.00,112.00,115.00
48,2011-04-21,21,600.00,67070.00,116.00,110.00,110.00
49,2011-04-25,30,1120.00,122340.00,110.00,108.00,108.00
50,2011-04-26,4,120.00,12720.00,106.00,106.00,106.00
51,2011-04-27,23,840.00,90770.00,111.00,107.00,107.00
52,2011-04-28,65,2700.00,295640.00,112.00,109.00,111.00
53,2011-05-02,36,1580.00,175200.00,112.00,109.00,110.00
54,2011-05-03,31,820.00,90100.00,111.00,108.00,110.00
55,2011-05-04,47,1290.00,142290.00,113.00,108.00,113.00
56,2011-05-05,59,1300.00,145520.00,114.00,109.00,113.00
57,2011-05-08,24,570.00,64530.00,115.00,113.00,115.00
58,2011-05-09,63,1520.00,173200.00,115.00,111.00,112.00
59,2011-05-10,56,2100.00,231700.00,112.00,108.00,110.00
60,2011-05-11,39,810.00,91150.00,115.00,109.00,115.00
61,2011-05-12,23,1120.00,131380.00,118.00,115.00,118.00
62,2011-05-15,195,4800.00,551400.00,117.00,109.00,111.00
63,2011-05-16,56,1150.00,129850.00,113.00,111.00,111.00
64,2011-05-18,42,2060.00,224140.00,112.00,106.00,109.00
65,2011-05-19,60,1960.00,210800.00,110.00,104.00,110.00
66,2011-05-22,31,1340.00,143840.00,109.00,105.00,107.00
67,2011-05-23,40,840.00,88780.00,107.00,105.00,105.00
68,2011-05-24,115,3340.00,349120.00,108.00,102.00,108.00
69,2011-05-25,62,1360.00,148080.00,110.00,107.00,107.00
70,2011-05-26,31,890.00,94280.00,109.00,104.00,104.00
71,2011-05-30,26,720.00,76140.00,107.00,104.00,104.00
72,2011-05-31,55,1240.00,130170.00,109.00,104.00,109.00
73,2011-06-01,79,1740.00,187060.00,109.00,106.00,107.00
74,2011-06-02,49,1260.00,134040.00,108.00,104.00,108.00
75,2011-06-05,41,1000.00,106780.00,109.00,103.00,103.00
76,2011-06-06,28,890.00,92160.00,110.00,101.00,110.00
77,2011-06-07,21,650.00,70110.00,109.00,105.00,105.00
