S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-05,1,10.00,2310.00,231.00,231.00,231.00
2,2019-09-08,1,10.00,2350.00,235.00,235.00,235.00
3,2019-09-11,1,10.00,2390.00,239.00,239.00,239.00
4,2019-09-16,1,10.00,2430.00,243.00,243.00,243.00
5,2019-09-18,1,10.00,2470.00,247.00,247.00,247.00
6,2019-09-19,1,10.00,2510.00,251.00,251.00,251.00
7,2019-09-24,2,20.00,5170.00,261.00,256.00,261.00
8,2019-09-26,1,10.00,2660.00,266.00,266.00,266.00
9,2019-10-17,4,80.00,22380.00,286.00,271.00,286.00
10,2019-10-20,1,10.00,2910.00,291.00,291.00,291.00
11,2019-10-21,1,20.00,6100.00,305.00,305.00,305.00
12,2019-10-22,2,10.00,3110.00,305.00,305.00,305.00
13,2019-10-24,1,10.00,3110.00,311.00,311.00,311.00
14,2019-10-31,2,20.00,6400.00,323.00,317.00,323.00
15,2019-11-04,1,10.00,3290.00,329.00,329.00,329.00
16,2019-11-06,1,10.00,3350.00,335.00,335.00,335.00
17,2019-11-10,1,10.00,3410.00,341.00,341.00,341.00
18,2019-11-11,3,30.00,10600.00,360.00,347.00,360.00
19,2019-11-12,3,30.00,11220.00,381.00,347.00,381.00
20,2019-11-14,2,20.00,7830.00,395.00,388.00,395.00
21,2019-11-17,6,60.00,25240.00,434.00,402.00,434.00
22,2019-11-18,13,150.00,70500.00,477.00,455.00,477.00
23,2019-11-19,71,710.00,371620.00,524.00,500.00,524.00
24,2019-11-20,122,2769.00,1594494.00,576.00,550.00,576.00
25,2019-11-21,852,12402.00,7727996.00,633.00,604.00,633.00
26,2019-11-24,235,3250.00,2048500.00,657.00,610.00,627.00
27,2019-11-25,139,2119.00,1326892.00,650.00,616.00,640.00
28,2019-11-26,57,710.00,449100.00,650.00,630.00,632.00
29,2019-11-27,61,1283.00,811432.00,638.00,626.00,638.00
30,2019-11-28,91,2370.00,1532850.00,678.00,629.00,646.00
31,2019-12-01,20,960.00,560130.00,634.00,582.00,582.00
32,2019-12-02,113,1890.00,1073570.00,594.00,529.00,580.00
33,2019-12-03,55,1820.00,1092870.00,638.00,580.00,638.00
34,2019-12-04,61,1160.00,702860.00,626.00,593.00,606.00
35,2019-12-05,40,769.00,466441.00,618.00,597.00,618.00
36,2019-12-08,18,390.00,238950.00,624.00,590.00,601.00
37,2019-12-09,49,1190.00,739160.00,625.00,610.00,615.00
38,2019-12-10,43,2814.00,1713964.00,629.00,605.00,618.00
39,2019-12-11,47,3149.00,1993901.00,656.00,620.00,649.00
40,2019-12-12,46,1200.00,757470.00,638.00,613.00,637.00
41,2019-12-15,35,590.00,363600.00,627.00,602.00,611.00
42,2019-12-16,32,940.00,570970.00,614.00,602.00,603.00
43,2019-12-17,20,200.00,121090.00,609.00,602.00,603.00
44,2019-12-18,36,860.00,522065.00,633.00,597.00,615.00
45,2019-12-19,35,450.00,270630.00,615.00,593.00,611.00
46,2019-12-22,33,678.00,402816.00,600.00,590.00,595.00
47,2019-12-23,10,220.00,132780.00,618.00,600.00,601.00
48,2019-12-24,31,950.00,566666.00,613.00,590.00,613.00
49,2019-12-25,18,180.00,107450.00,605.00,595.00,602.00
50,2019-12-26,15,250.00,150000.00,614.00,596.00,597.00
51,2019-12-29,14,300.00,179090.00,600.00,587.00,596.00
52,2019-12-30,17,170.00,100940.00,600.00,590.00,599.00
53,2019-12-31,38,480.00,288970.00,610.00,594.00,595.00
54,2020-01-01,23,600.00,357660.00,606.00,591.00,604.00
55,2020-01-02,14,180.00,107680.00,602.00,594.00,597.00
56,2020-01-05,28,750.00,463920.00,626.00,602.00,617.00
57,2020-01-06,33,360.00,221910.00,635.00,606.00,620.00
58,2020-01-07,44,1618.00,1009436.00,644.00,608.00,628.00
59,2020-01-08,56,2855.00,1824330.00,665.00,617.00,629.00
60,2020-01-09,73,3498.00,2385690.00,691.00,620.00,691.00
61,2020-01-12,20,1020.00,771000.00,760.00,704.00,760.00
62,2020-01-13,93,4883.00,4034295.00,836.00,775.00,835.00
63,2020-01-14,85,3165.00,2700165.00,885.00,800.00,878.00
64,2020-01-15,48,1980.00,1707300.00,895.00,822.00,893.00
65,2020-01-16,56,1720.00,1564690.00,945.00,863.00,935.00
66,2020-01-19,108,6545.00,5948445.00,957.00,883.00,919.00
