S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-02-17,1,30.00,9000.00,300.00,300.00,300.00
2,2019-02-18,2,60.00,16950.00,300.00,280.00,280.00
3,2019-02-21,1,30.00,7980.00,280.00,266.00,266.00
4,2019-02-24,1,30.00,7590.00,266.00,253.00,253.00
5,2019-03-03,1,30.00,7230.00,253.00,241.00,241.00
6,2019-03-05,1,30.00,6870.00,241.00,229.00,229.00
7,2019-03-06,2,60.00,12960.00,229.00,214.00,214.00
8,2019-03-07,1,30.00,6120.00,214.00,204.00,204.00
9,2019-03-17,2,30.00,5820.00,194.00,194.00,194.00
10,2019-04-03,1,30.00,5550.00,185.00,185.00,185.00
11,2019-04-09,4,70.00,12050.00,176.00,170.00,170.00
12,2019-04-10,1,20.00,3240.00,162.00,162.00,162.00
13,2019-04-11,3,30.00,4530.00,154.00,148.00,148.00
14,2019-04-22,2,30.00,4280.00,146.00,141.00,146.00
15,2019-04-23,2,60.00,8340.00,139.00,139.00,139.00
16,2019-05-09,1,10.00,1330.00,133.00,133.00,133.00
17,2019-05-19,1,30.00,3810.00,127.00,127.00,127.00
18,2019-05-20,1,30.00,3660.00,122.00,122.00,122.00
19,2019-05-21,1,20.00,2320.00,116.00,116.00,116.00
20,2019-05-22,49,1339.00,143974.00,114.00,105.00,105.00
21,2019-05-23,90,2260.00,222400.00,103.00,95.00,96.00
22,2019-05-26,51,1245.00,115975.00,96.00,89.00,90.00
23,2019-05-27,42,1050.00,91710.00,91.00,85.00,91.00
24,2019-05-28,27,670.00,60170.00,91.00,89.00,90.00
25,2019-05-29,24,760.00,69520.00,95.00,89.00,95.00
26,2019-05-30,13,750.00,71400.00,96.00,94.00,94.00
27,2019-06-02,40,1140.00,105070.00,96.00,90.00,90.00
28,2019-06-03,36,950.00,85440.00,91.00,89.00,90.00
29,2019-06-04,35,860.00,77430.00,93.00,88.00,88.00
30,2019-06-06,29,770.00,68080.00,90.00,87.00,88.00
31,2019-06-10,27,740.00,63540.00,87.00,85.00,86.00
32,2019-06-11,17,590.00,50710.00,87.00,85.00,86.00
33,2019-06-12,21,500.00,42780.00,87.00,85.00,86.00
34,2019-06-13,13,320.00,27310.00,87.00,85.00,86.00
35,2019-06-16,38,1010.00,84455.00,90.00,83.00,83.00
36,2019-06-17,11,240.00,19980.00,84.00,82.00,82.00
37,2019-06-18,16,430.00,35850.00,85.00,80.00,84.00
38,2019-06-19,26,660.00,53690.00,83.00,80.00,81.00
39,2019-06-20,10,300.00,24570.00,83.00,81.00,82.00
40,2019-06-23,7,160.00,13100.00,82.00,81.00,82.00
41,2019-06-24,14,980.00,80470.00,84.00,81.00,84.00
42,2019-06-25,2,50.00,4170.00,84.00,83.00,83.00
43,2019-06-26,13,300.00,24325.00,82.00,80.00,81.00
44,2019-06-27,12,320.00,25320.00,80.00,78.00,80.00
45,2019-06-30,8,190.00,15090.00,81.00,79.00,81.00
46,2019-07-01,13,310.00,24760.00,80.00,79.00,80.00
47,2019-07-02,11,250.00,20060.00,81.00,80.00,80.00
48,2019-07-03,10,220.00,17460.00,80.00,79.00,79.00
49,2019-07-04,9,240.00,19200.00,80.00,80.00,80.00
50,2019-07-07,8,190.00,15580.00,83.00,81.00,83.00
51,2019-07-08,17,740.00,63350.00,87.00,84.00,86.00
52,2019-07-09,16,630.00,55630.00,90.00,86.00,89.00
53,2019-07-10,3,160.00,13990.00,88.00,86.00,86.00
54,2019-07-11,10,276.00,24036.00,88.00,86.00,88.00
55,2019-07-14,12,310.00,27080.00,89.00,86.00,87.00
56,2019-07-15,17,465.00,40070.00,87.00,85.00,85.00
57,2019-07-16,12,430.00,36350.00,86.00,84.00,84.00
58,2019-07-17,13,470.00,39610.00,85.00,84.00,84.00
59,2019-07-18,3,90.00,7560.00,84.00,84.00,84.00
60,2019-07-21,2,30.00,2540.00,85.00,84.00,85.00
61,2019-07-22,3,70.00,5950.00,86.00,84.00,86.00
62,2019-07-23,15,390.00,33900.00,89.00,85.00,89.00
63,2019-07-24,14,825.00,76220.00,93.00,90.00,93.00
64,2019-07-25,17,440.00,40370.00,93.00,90.00,90.00
65,2019-07-28,10,220.00,19070.00,89.00,86.00,86.00
66,2019-07-29,7,190.00,16150.00,85.00,85.00,85.00
67,2019-07-30,8,180.00,15030.00,84.00,83.00,84.00
68,2019-07-31,5,210.00,17620.00,85.00,83.00,85.00
69,2019-08-01,18,540.00,45650.00,86.00,83.00,83.00
70,2019-08-04,18,490.00,40690.00,84.00,82.00,83.00
71,2019-08-05,18,1300.00,109060.00,86.00,82.00,83.00
72,2019-08-06,6,170.00,14140.00,84.00,83.00,83.00
73,2019-08-07,12,310.00,25690.00,84.00,82.00,83.00
74,2019-08-08,14,290.00,23840.00,83.00,81.00,82.00
75,2019-08-11,8,260.00,21230.00,83.00,81.00,83.00
76,2019-08-12,14,380.00,30930.00,83.00,81.00,82.00
77,2019-08-13,9,290.00,23490.00,81.00,81.00,81.00
78,2019-08-14,6,170.00,13910.00,83.00,81.00,83.00
79,2019-08-15,9,240.00,19930.00,84.00,82.00,83.00
80,2019-08-18,14,360.00,29340.00,83.00,80.00,83.00
81,2019-08-19,16,380.00,31230.00,83.00,81.00,82.00
82,2019-08-20,9,240.00,19470.00,82.00,81.00,81.00
83,2019-08-21,17,460.00,36160.00,81.00,78.00,78.00
84,2019-08-22,7,140.00,11000.00,79.00,77.00,77.00
85,2019-08-25,16,430.00,33100.00,78.00,76.00,78.00
86,2019-08-26,7,180.00,13950.00,78.00,77.00,77.00
87,2019-08-27,6,180.00,13860.00,77.00,77.00,77.00
88,2019-08-28,5,150.00,11280.00,76.00,75.00,75.00
89,2019-08-29,13,310.00,22960.00,75.00,73.00,73.00
90,2019-09-01,4,110.00,8150.00,75.00,73.00,75.00
91,2019-09-02,7,180.00,13240.00,74.00,73.00,73.00
92,2019-09-03,17,950.00,68680.00,73.00,71.00,71.00
93,2019-09-04,12,290.00,20730.00,72.00,71.00,71.00
94,2019-09-05,12,270.00,19070.00,71.00,70.00,70.00
95,2019-09-08,11,260.00,18260.00,71.00,70.00,70.00
96,2019-09-09,12,350.00,24350.00,71.00,69.00,69.00
97,2019-09-10,7,180.00,12270.00,69.00,68.00,68.00
98,2019-09-10,7,180.00,12270.00,69.00,68.00,68.00
99,2019-09-11,9,340.00,23730.00,71.00,69.00,71.00
100,2019-09-12,14,310.00,21390.00,71.00,68.00,68.00
101,2019-09-15,6,150.00,10050.00,67.00,67.00,67.00
102,2019-09-16,22,540.00,35590.00,67.00,64.00,64.00
103,2019-09-17,9,250.00,16100.00,65.00,64.00,64.00
104,2019-09-19,23,540.00,35240.00,66.00,65.00,65.00
105,2019-09-22,13,300.00,19500.00,66.00,64.00,64.00
106,2019-09-23,5,150.00,9720.00,65.00,64.00,65.00
107,2019-09-24,16,340.00,21980.00,65.00,64.00,64.00
108,2019-09-25,19,500.00,32160.00,65.00,63.00,64.00
109,2019-09-26,5,140.00,8820.00,63.00,63.00,63.00
110,2019-09-29,13,330.00,20860.00,64.00,62.00,62.00
111,2019-09-30,3,90.00,5610.00,63.00,62.00,62.00
112,2019-10-01,5,140.00,8700.00,63.00,62.00,63.00
113,2019-10-02,2,60.00,3750.00,63.00,62.00,63.00
114,2019-10-03,2,60.00,3780.00,63.00,63.00,63.00
115,2019-10-14,10,370.00,23000.00,63.00,62.00,63.00
116,2019-10-15,1,30.00,1920.00,64.00,64.00,64.00
117,2019-10-16,2,30.00,1890.00,63.00,63.00,63.00
118,2020-02-18,33,880.00,57700.00,69.00,62.00,69.00
119,2020-02-19,22,720.00,51550.00,74.00,70.00,74.00
120,2020-02-20,31,1345.00,105030.00,80.00,75.00,79.00
121,2020-02-23,39,875.00,71940.00,84.00,80.00,83.00
122,2020-02-24,37,2740.00,221545.00,83.00,80.00,80.00
123,2020-02-25,42,1330.00,105820.00,82.00,77.00,82.00
124,2020-02-26,45,1281.00,104819.00,83.00,79.00,83.00
125,2020-02-27,30,1715.00,144155.00,85.00,82.00,83.00
126,2020-03-01,41,1135.00,90775.00,82.00,78.00,78.00
127,2020-03-02,8,150.00,11330.00,77.00,74.00,74.00
128,2020-03-03,22,580.00,42060.00,74.00,71.00,71.00
129,2020-03-04,20,520.00,35210.00,70.00,65.00,68.00
130,2020-03-05,6,150.00,10130.00,69.00,66.00,66.00
131,2020-03-10,4,90.00,6020.00,67.00,66.00,67.00
132,2020-03-11,22,610.00,40280.00,68.00,65.00,68.00
133,2020-03-12,1,10.00,670.00,67.00,67.00,67.00
134,2020-03-15,27,722.00,45754.00,67.00,61.00,61.00
135,2020-03-16,13,360.00,21990.00,63.00,60.00,61.00
136,2020-03-17,11,350.00,21840.00,63.00,62.00,63.00
137,2020-03-18,9,240.00,14660.00,62.00,61.00,61.00
138,2020-03-19,2,60.00,3660.00,61.00,61.00,61.00
139,2020-07-05,6,170.00,10170.00,60.00,59.00,59.00
140,2020-07-06,30,720.00,41200.00,58.00,56.00,58.00
141,2020-07-07,23,510.00,27780.00,57.00,53.00,56.00
142,2020-07-08,6,140.00,7730.00,56.00,55.00,56.00
143,2020-07-09,12,300.00,16790.00,57.00,55.00,56.00
144,2020-07-12,28,720.00,39780.00,56.00,54.00,55.00
145,2020-07-13,93,2430.00,128510.00,55.00,52.00,52.00
146,2020-07-14,17,400.00,20720.00,52.00,51.00,51.00
147,2020-07-15,22,600.00,30082.00,52.00,49.00,51.00
148,2020-07-16,20,570.00,30290.00,55.00,51.00,55.00
149,2020-07-20,18,680.00,38940.00,58.00,57.00,58.00
150,2020-07-21,33,1060.00,60550.00,58.00,57.00,58.00
151,2020-07-22,15,410.00,23080.00,57.00,54.00,54.00
152,2020-07-23,25,680.00,36130.00,54.00,52.00,54.00
153,2020-07-26,38,1030.00,54510.00,54.00,51.00,54.00
154,2020-07-27,63,1576.00,80263.00,53.00,50.00,51.00
155,2020-07-28,41,1097.00,57521.00,54.00,52.00,53.00
156,2020-07-29,18,470.00,26790.00,58.00,54.00,58.00
157,2020-07-30,35,1995.00,123450.00,63.00,59.00,63.00
158,2020-08-02,51,3640.00,238500.00,67.00,63.00,64.00
159,2020-08-03,35,1210.00,73270.00,63.00,58.00,63.00
160,2020-08-05,33,1093.00,64672.00,62.00,57.00,57.00
161,2020-08-06,26,880.00,48980.00,57.00,54.00,56.00
162,2020-08-09,37,890.00,49060.00,58.00,54.00,58.00
163,2020-08-10,43,1500.00,84490.00,59.00,56.00,56.00
164,2020-08-11,55,1350.00,73860.00,56.00,54.00,54.00
165,2020-08-12,38,880.00,48000.00,59.00,53.00,59.00
166,2020-08-13,41,1210.00,70980.00,61.00,55.00,57.00
167,2020-08-16,29,905.00,50185.00,57.00,54.00,56.00
168,2020-08-17,29,850.00,47350.00,60.00,55.00,60.00
169,2020-08-18,22,569.00,32687.00,59.00,56.00,56.00
170,2020-08-19,15,2180.00,123600.00,58.00,55.00,57.00
171,2020-08-20,12,280.00,15660.00,57.00,55.00,56.00
172,2020-08-23,16,570.00,33060.00,60.00,55.00,59.00
173,2020-08-24,29,3408.00,200630.00,62.00,56.00,62.00
174,2020-08-25,33,1800.00,110520.00,63.00,59.00,62.00
175,2020-08-26,15,328.00,20396.00,64.00,61.00,62.00
176,2020-08-27,52,2999.00,180779.00,62.00,60.00,60.00
177,2020-08-30,23,660.00,38590.00,61.00,57.00,61.00
178,2020-08-31,36,1770.00,108590.00,65.00,59.00,61.00
179,2020-09-02,72,9390.00,616460.00,67.00,61.00,67.00
180,2020-09-03,90,6417.00,450888.00,72.00,68.00,72.00
181,2020-09-06,49,3808.00,274006.00,73.00,69.00,73.00
182,2020-09-07,43,1420.00,97130.00,72.00,67.00,68.00
183,2020-09-08,43,2075.00,136815.00,68.00,64.00,65.00
184,2020-09-09,38,1460.00,94280.00,67.00,64.00,67.00
185,2020-09-10,40,1080.00,73120.00,69.00,66.00,67.00
186,2020-09-13,31,1730.00,115540.00,68.00,66.00,67.00
187,2020-09-14,92,8630.00,624260.00,73.00,66.00,73.00
188,2020-09-15,91,7257.00,572436.00,80.00,74.00,80.00
189,2020-09-16,63,4083.00,348614.00,88.00,80.00,88.00
190,2020-09-17,54,3350.00,318780.00,96.00,89.00,96.00
191,2020-09-20,359,27434.00,2817856.00,105.00,97.00,105.00
192,2020-09-21,82,3715.00,355655.00,103.00,95.00,95.00
193,2020-09-22,112,5026.00,463762.00,95.00,86.00,86.00
194,2020-09-23,66,2590.00,219990.00,88.00,84.00,87.00
195,2020-09-24,87,4182.00,396153.00,95.00,87.00,95.00
196,2020-09-27,292,13525.00,1401365.00,104.00,95.00,104.00
197,2020-09-28,148,6953.00,698844.00,106.00,96.00,101.00
198,2020-09-29,320,21670.00,2330825.00,111.00,97.00,111.00
199,2020-09-30,353,19784.00,2397515.00,122.00,112.00,122.00
200,2020-10-01,449,18391.00,2369344.00,134.00,118.00,123.00
201,2020-10-04,256,13787.00,1549578.00,123.00,111.00,121.00
202,2020-10-05,278,18352.00,2144636.00,123.00,112.00,123.00
203,2020-10-06,324,17591.00,2219212.00,132.00,117.00,132.00
204,2020-10-07,377,25855.00,3658478.00,145.00,128.00,145.00
205,2020-10-08,350,20475.00,2933625.00,155.00,137.00,137.00
206,2020-10-11,215,13495.00,1815535.00,140.00,132.00,132.00
207,2020-10-12,210,12155.00,1577790.00,134.00,126.00,133.00
208,2020-10-13,148,9449.00,1185746.00,132.00,122.00,124.00
209,2020-10-14,149,13332.00,1551755.00,124.00,113.00,115.00
210,2020-10-15,120,4390.00,509020.00,121.00,113.00,118.00
211,2020-10-18,72,3665.00,423535.00,119.00,113.00,113.00
212,2020-10-19,88,5544.00,676282.00,124.00,112.00,124.00
213,2020-10-20,162,18805.00,2445249.00,136.00,124.00,135.00
214,2020-10-21,99,13580.00,1772198.00,137.00,127.00,130.00
215,2020-10-22,59,2758.00,352757.00,130.00,126.00,128.00
216,2020-10-28,69,3900.00,486480.00,130.00,122.00,125.00
217,2020-10-29,105,6131.00,752425.00,129.00,121.00,126.00
218,2020-11-01,112,5990.00,767350.00,132.00,122.00,130.00
219,2020-11-02,75,3330.00,427980.00,131.00,128.00,130.00
220,2020-11-03,87,3660.00,464130.00,130.00,124.00,127.00
221,2020-11-04,53,2050.00,258810.00,128.00,125.00,126.00
222,2020-11-05,213,19370.00,2564490.00,138.00,120.00,137.00
223,2020-11-08,197,23345.00,3284875.00,144.00,133.00,144.00
224,2020-11-09,136,11206.00,1561047.00,144.00,137.00,137.00
225,2020-11-10,119,7145.00,988480.00,143.00,131.00,139.00
226,2020-11-11,96,3065.00,425175.00,147.00,133.00,139.00
227,2020-11-12,91,5841.00,797685.00,141.00,133.00,138.00
228,2020-11-18,103,16396.00,2135238.00,138.00,126.00,130.00
229,2020-11-19,108,6579.00,885042.00,138.00,128.00,137.00
230,2020-11-22,135,13469.00,1787824.00,141.00,130.00,132.00
231,2020-11-23,119,12675.00,1671047.00,134.00,129.00,132.00
232,2020-11-24,77,2600.00,344100.00,142.00,128.00,131.00
233,2020-11-25,126,10720.00,1420520.00,139.00,130.00,132.00
234,2020-11-26,150,7264.00,954314.00,133.00,130.00,130.00
235,2020-11-29,151,8010.00,1024830.00,130.00,126.00,130.00
236,2020-11-30,155,10418.00,1358902.00,134.00,128.00,133.00
237,2020-12-01,121,12020.00,1570675.00,133.00,129.00,129.00
238,2020-12-02,143,6087.00,781843.00,131.00,123.00,128.00
239,2020-12-03,131,6055.00,776420.00,132.00,126.00,128.00
240,2020-12-06,114,4040.00,505040.00,127.00,122.00,124.00
241,2020-12-07,88,5670.00,700225.00,130.00,122.00,125.00
242,2020-12-08,141,7395.00,920310.00,126.00,121.00,126.00
243,2020-12-09,157,5427.00,669664.00,128.00,122.00,124.00
244,2020-12-10,92,3230.00,394860.00,130.00,120.00,122.00
245,2020-12-13,91,3215.00,387595.00,122.00,120.00,122.00
246,2020-12-14,108,8412.00,1005923.00,130.00,117.00,122.00
247,2020-12-15,92,3380.00,409330.00,122.00,120.00,120.00
248,2020-12-16,89,4090.00,486320.00,120.00,117.00,118.00
249,2020-12-17,108,10610.00,1252320.00,120.00,115.00,117.00
250,2020-12-20,145,11678.00,1270592.00,115.00,106.00,109.00
251,2020-12-21,114,10865.00,1135395.00,109.00,100.00,107.00
252,2020-12-22,100,6682.00,740530.00,113.00,107.00,113.00
253,2020-12-23,88,8184.00,921144.00,115.00,111.00,114.00
254,2020-12-24,42,1636.00,179406.00,112.00,108.00,110.00
255,2020-12-27,61,2140.00,233640.00,112.00,108.00,108.00
256,2020-12-28,53,3435.00,368830.00,109.00,106.00,106.00
257,2020-12-29,48,1300.00,138480.00,109.00,104.00,106.00
258,2020-12-30,66,3211.00,337619.00,107.00,104.00,107.00
259,2020-12-31,71,3640.00,386330.00,107.00,105.00,107.00
260,2021-01-03,56,5440.00,581533.00,109.00,102.00,106.00
261,2021-01-04,63,2465.00,266110.00,111.00,106.00,109.00
262,2021-01-05,154,13483.00,1542791.00,119.00,109.00,119.00
263,2021-01-06,135,11045.00,1345160.00,127.00,113.00,114.00
264,2021-01-07,96,4845.00,573005.00,120.00,112.00,118.00
265,2021-01-10,80,2119.00,242992.00,118.00,112.00,116.00
266,2021-01-11,69,3890.00,446540.00,116.00,114.00,115.00
267,2021-01-12,74,3290.00,379600.00,117.00,113.00,115.00
268,2021-01-13,87,11061.00,1306475.00,121.00,113.00,119.00
269,2021-01-17,76,5336.00,633282.00,120.00,114.00,118.00
270,2021-01-18,79,5076.00,603911.00,121.00,116.00,117.00
271,2021-01-19,53,4577.00,538046.00,119.00,116.00,116.00
272,2021-01-20,93,7185.00,837015.00,119.00,114.00,117.00
273,2021-01-21,188,24656.00,3006648.00,128.00,118.00,127.00
274,2021-01-24,138,13101.00,1656625.00,132.00,124.00,125.00
275,2021-01-25,183,14406.00,1826761.00,132.00,123.00,127.00
276,2021-01-26,59,6450.00,805680.00,128.00,123.00,123.00
277,2021-01-27,101,8219.00,1031163.00,128.00,121.00,125.00
278,2021-01-28,98,6154.00,770939.00,127.00,123.00,126.00
279,2021-01-31,71,3572.00,434624.00,124.00,120.00,120.00
280,2021-02-01,92,5905.00,740305.00,127.00,118.00,124.00
281,2021-02-02,107,8656.00,1072428.00,128.00,120.00,124.00
282,2021-02-03,119,7901.00,979319.00,126.00,122.00,124.00
283,2021-02-04,122,10159.00,1269256.00,127.00,120.00,125.00
284,2021-02-07,283,41088.00,5417992.00,137.00,123.00,137.00
285,2021-02-08,215,27078.00,3755533.00,144.00,133.00,140.00
286,2021-02-09,110,17444.00,2388891.00,141.00,133.00,135.00
287,2021-02-10,61,6339.00,843866.00,136.00,132.00,133.00
288,2021-02-11,55,3510.00,462400.00,134.00,131.00,132.00
289,2021-02-14,60,5880.00,754890.00,130.00,126.00,129.00
290,2021-02-15,111,5791.00,748564.00,133.00,127.00,133.00
291,2021-02-16,90,8193.00,1089403.00,136.00,127.00,134.00
292,2021-02-17,54,1605.00,209310.00,136.00,128.00,132.00
293,2021-02-18,96,3571.00,464250.00,132.00,128.00,129.00
294,2021-02-21,142,8321.00,1098389.00,134.00,127.00,133.00
295,2021-02-22,323,43693.00,6170307.00,146.00,132.00,138.00
296,2021-02-23,97,10790.00,1482253.00,144.00,131.00,137.00
297,2021-02-24,76,6370.00,866980.00,138.00,134.00,134.00
298,2021-02-25,110,11430.00,1525590.00,138.00,130.00,131.00
299,2021-02-28,92,11867.00,1491872.00,129.00,124.00,126.00
300,2021-03-01,50,1855.00,233450.00,128.00,124.00,127.00
301,2021-03-02,76,6524.00,799188.00,125.00,121.00,122.00
302,2021-03-03,77,3954.00,487660.00,128.00,120.00,126.00
303,2021-03-04,51,3800.00,480200.00,130.00,126.00,126.00
304,2021-03-07,81,5140.00,644860.00,128.00,123.00,125.00
305,2021-03-09,152,16363.00,2150062.00,137.00,123.00,131.00
306,2021-03-10,388,48123.00,6773963.00,144.00,125.00,144.00
307,2021-03-14,433,63998.00,9847723.00,158.00,144.00,158.00
308,2021-03-15,588,78184.00,12874388.00,173.00,149.00,173.00
309,2021-03-16,403,45114.00,8531681.00,190.00,181.00,190.00
310,2021-03-17,411,42901.00,7595410.00,202.00,171.00,173.00
311,2021-03-18,251,38526.00,6388199.00,175.00,158.00,166.00
312,2021-03-21,248,36167.00,5633273.00,163.00,150.00,159.00
313,2021-03-22,141,13736.00,2182167.00,165.00,151.00,160.00
314,2021-03-23,126,10603.00,1722987.00,171.00,155.00,163.00
315,2021-03-24,111,14729.00,2391183.00,168.00,157.00,161.00
316,2021-03-25,113,9376.00,1502874.00,167.00,156.00,158.00
317,2021-03-29,91,4855.00,750917.00,157.00,154.00,155.00
318,2021-03-30,78,6595.00,1029045.00,158.00,155.00,156.00
319,2021-03-31,83,10601.00,1638946.00,158.00,153.00,154.00
