S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-10-14,16,150.00,48990.00,335.00,305.00,335.00
2,2020-10-15,15,132.00,47582.00,368.00,341.00,368.00
3,2020-10-18,24,232.00,92920.00,404.00,368.00,404.00
4,2020-10-19,18,180.00,79120.00,444.00,412.00,444.00
5,2020-10-20,20,200.00,96700.00,488.00,452.00,488.00
6,2020-10-21,1337,45741.00,24516276.00,536.00,512.00,536.00
7,2020-10-22,6773,81626.00,48055634.00,589.00,562.00,589.00
8,2020-10-28,8576,102532.00,60059036.00,647.00,570.00,578.00
9,2020-10-29,4428,46660.00,26228800.00,578.00,560.00,563.00
10,2020-11-01,3641,60151.00,32651796.00,560.00,531.00,542.00
11,2020-11-02,2484,54819.00,28959360.00,539.00,524.00,525.00
12,2020-11-03,1944,36209.00,19091803.00,549.00,518.00,540.00
13,2020-11-04,1189,17530.00,9456870.00,548.00,535.00,536.00
14,2020-11-05,978,12350.00,6577885.00,542.00,525.00,530.00
15,2020-11-08,1057,17793.00,9410236.00,559.00,526.00,530.00
16,2020-11-09,902,15005.00,7971742.00,535.00,525.00,531.00
17,2020-11-10,754,21930.00,11726870.00,541.00,529.00,540.00
18,2020-11-11,644,11323.00,6104048.00,545.00,533.00,538.00
19,2020-11-12,1217,15523.00,8279542.00,536.00,530.00,534.00
20,2020-11-18,753,13542.00,7158412.00,534.00,523.00,531.00
21,2020-11-19,1491,43613.00,24103776.00,568.00,530.00,560.00
22,2020-11-22,1200,28724.00,15922835.00,571.00,540.00,543.00
23,2020-11-23,1081,22570.00,12261140.00,550.00,535.00,544.00
24,2020-11-24,1468,50967.00,28855783.00,581.00,535.00,580.00
25,2020-11-25,1159,42517.00,25315455.00,621.00,579.00,599.00
26,2020-11-26,1029,33154.00,19562348.00,605.00,580.00,583.00
27,2020-11-29,1404,70299.00,42646747.00,635.00,593.00,604.00
28,2020-11-30,1083,37901.00,22857760.00,619.00,594.00,606.00
29,2020-12-01,833,29489.00,17638928.00,604.00,590.00,598.00
30,2020-12-02,853,33507.00,20245075.00,610.00,588.00,608.00
31,2020-12-03,669,19431.00,11804624.00,622.00,595.00,601.00
32,2020-12-06,571,13322.00,7833851.00,600.00,580.00,580.00
33,2020-12-07,708,25850.00,15080477.00,601.00,568.00,588.00
34,2020-12-08,530,9965.00,5839275.00,600.00,581.00,584.00
35,2020-12-09,515,13857.00,7922745.00,590.00,568.00,570.00
36,2020-12-10,487,7915.00,4509990.00,575.00,559.00,572.00
37,2020-12-13,521,8180.00,4660145.00,574.00,562.00,572.00
38,2020-12-14,575,12621.00,7315362.00,586.00,570.00,586.00
39,2020-12-15,443,9325.00,5461514.00,600.00,557.00,581.00
40,2020-12-16,368,6455.00,3722440.00,581.00,572.00,577.00
41,2020-12-17,478,13272.00,7580180.00,576.00,554.00,571.00
42,2020-12-20,540,17254.00,9658288.00,575.00,550.00,550.00
43,2020-12-21,582,12035.00,6445085.00,571.00,510.00,553.00
