S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-12-21,16,160.00,55940.00,356.00,324.00,356.00
2,2015-12-22,1,10.00,3210.00,321.00,321.00,321.00
3,2016-01-04,1,10.00,3270.00,327.00,327.00,327.00
4,2016-01-05,2,20.00,6720.00,339.00,333.00,339.00
5,2016-01-07,1,10.00,3450.00,345.00,345.00,345.00
6,2016-01-11,5,50.00,18250.00,379.00,351.00,379.00
7,2016-01-12,10,100.00,40830.00,416.00,386.00,416.00
8,2016-05-08,2,20.00,8720.00,436.00,436.00,436.00
9,2016-05-09,1,10.00,4440.00,444.00,444.00,444.00
10,2016-05-15,1,10.00,4520.00,452.00,452.00,452.00
11,2016-05-18,1,10.00,4610.00,461.00,461.00,461.00
12,2016-05-22,6,60.00,29770.00,507.00,484.00,507.00
13,2016-05-24,1,10.00,5320.00,532.00,532.00,532.00
14,2016-06-06,1,10.00,5420.00,542.00,542.00,542.00
15,2016-06-08,1,11.00,6072.00,552.00,552.00,552.00
16,2016-06-20,1,10.00,5630.00,563.00,563.00,563.00
17,2016-06-29,1,10.00,5740.00,574.00,574.00,574.00
18,2016-07-14,1,11.00,6435.00,585.00,585.00,585.00
19,2016-07-19,2,20.00,11920.00,596.00,596.00,596.00
20,2016-07-20,1,10.00,6070.00,607.00,607.00,607.00
21,2016-07-21,3,31.00,20131.00,661.00,637.00,661.00
22,2016-07-25,1,10.00,6740.00,674.00,674.00,674.00
23,2016-07-26,1,10.00,6870.00,687.00,687.00,687.00
24,2016-08-03,2,20.00,14140.00,714.00,700.00,714.00
25,2016-08-04,1,11.00,8008.00,728.00,728.00,728.00
26,2016-08-16,2,20.00,14980.00,756.00,742.00,756.00
27,2016-08-22,3,30.00,23580.00,801.00,771.00,801.00
28,2016-08-30,1,10.00,8170.00,817.00,817.00,817.00
29,2016-08-31,3,31.00,26319.00,865.00,833.00,865.00
30,2016-09-01,1,11.00,9702.00,882.00,882.00,882.00
31,2016-09-04,1,10.00,8990.00,899.00,899.00,899.00
32,2016-09-07,3,30.00,28840.00,980.00,943.00,980.00
33,2016-09-14,1,10.00,9990.00,999.00,999.00,999.00
34,2016-09-18,4,160.00,168930.00,1079.00,1018.00,1079.00
35,2016-09-20,3,30.00,33660.00,1144.00,1100.00,1144.00
36,2016-09-21,2,20.00,24260.00,1225.00,1201.00,1225.00
37,2016-09-25,1,10.00,12490.00,1249.00,1249.00,1249.00
38,2016-09-26,4,40.00,52440.00,1311.00,1311.00,1311.00
39,2016-09-27,6,63.00,88080.00,1442.00,1337.00,1442.00
40,2016-10-05,1,11.00,16170.00,1470.00,1470.00,1470.00
41,2016-10-06,1,10.00,14990.00,1499.00,1499.00,1499.00
42,2016-10-16,1,10.00,15280.00,1528.00,1528.00,1528.00
43,2016-10-18,11,113.00,186557.00,1680.00,1558.00,1680.00
44,2016-10-19,5,55.00,97955.00,1848.00,1713.00,1848.00
45,2016-10-20,5,51.00,99972.00,2032.00,1884.00,2032.00
46,2016-10-23,7,72.00,156820.00,2235.00,2072.00,2235.00
47,2016-10-24,38,563.00,1379434.00,2458.00,2279.00,2458.00
48,2016-10-25,283,3857.00,9465842.00,2703.00,2367.00,2395.00
49,2016-10-26,186,2546.00,6044776.00,2400.00,2306.00,2370.00
50,2016-10-27,59,630.00,1479418.00,2370.00,2335.00,2341.00
51,2016-11-03,80,963.00,2308277.00,2428.00,2360.00,2400.00
52,2016-11-07,40,452.00,1058138.00,2400.00,2262.00,2280.00
53,2016-11-08,52,1074.00,2471909.00,2315.00,2280.00,2285.00
54,2016-11-09,92,1020.00,2269742.00,2270.00,2182.00,2195.00
55,2016-11-10,52,600.00,1299445.00,2238.00,2145.00,2146.00
56,2016-11-13,47,603.00,1266828.00,2150.00,2030.00,2030.00
57,2016-11-14,57,629.00,1265495.00,2111.00,2000.00,2000.00
58,2016-11-15,52,886.00,1768763.00,2050.00,1950.00,1950.00
59,2016-11-16,33,343.00,643049.00,1911.00,1841.00,1841.00
60,2016-11-17,80,878.00,1620087.00,1914.00,1761.00,1761.00
61,2016-11-20,40,557.00,957126.00,1761.00,1650.00,1650.00
62,2016-11-21,342,4439.00,7168810.00,1683.00,1553.00,1580.00
63,2016-11-22,31,345.00,513115.00,1549.00,1422.00,1422.00
64,2016-11-23,56,695.00,975240.00,1430.00,1373.00,1401.00
65,2016-11-24,50,544.00,749991.00,1402.00,1340.00,1390.00
66,2016-11-27,10,198.00,271700.00,1390.00,1355.00,1380.00
67,2016-11-28,12,172.00,231222.00,1380.00,1326.00,1380.00
68,2016-11-29,12,314.00,432358.00,1456.00,1353.00,1456.00
69,2016-11-30,26,467.00,710859.00,1601.00,1455.00,1601.00
70,2016-12-01,11,126.00,201337.00,1633.00,1568.00,1568.00
71,2016-12-04,32,346.00,509832.00,1568.00,1412.00,1460.00
72,2016-12-05,18,205.00,287748.00,1440.00,1358.00,1358.00
73,2016-12-06,12,129.00,171925.00,1360.00,1320.00,1351.00
74,2016-12-07,38,823.00,1093222.00,1350.00,1306.00,1325.00
75,2016-12-08,9,116.00,155130.00,1345.00,1319.00,1319.00
76,2016-12-11,1,10.00,13000.00,1300.00,1300.00,1300.00
77,2016-12-12,11,145.00,183616.00,1300.00,1250.00,1251.00
78,2016-12-14,11,158.00,194673.00,1258.00,1210.00,1235.00
79,2016-12-15,5,73.00,90864.00,1264.00,1220.00,1264.00
80,2016-12-18,19,235.00,307046.00,1367.00,1250.00,1367.00
81,2016-12-19,2,21.00,29263.00,1394.00,1393.00,1394.00
82,2016-12-20,3,70.00,95350.00,1390.00,1353.00,1353.00
83,2016-12-21,13,147.00,187324.00,1349.00,1230.00,1236.00
84,2016-12-22,24,244.00,296362.00,1226.00,1205.00,1226.00
85,2016-12-26,10,102.00,122248.00,1226.00,1180.00,1226.00
86,2016-12-27,1,10.00,12250.00,1225.00,1225.00,1225.00
87,2016-12-28,19,195.00,241059.00,1246.00,1215.00,1246.00
88,2016-12-29,5,150.00,187870.00,1275.00,1230.00,1275.00
89,2017-01-02,8,90.00,115069.00,1323.00,1225.00,1323.00
90,2017-01-03,2,121.00,156780.00,1300.00,1274.00,1274.00
91,2017-01-04,88,1013.00,1250167.00,1276.00,1225.00,1276.00
92,2017-01-05,4,41.00,53278.00,1300.00,1298.00,1298.00
93,2017-01-08,3,40.00,50420.00,1273.00,1248.00,1248.00
94,2017-01-10,3,33.00,41415.00,1260.00,1250.00,1260.00
95,2017-01-11,5,62.00,75922.00,1250.00,1211.00,1211.00
96,2017-01-12,4,44.00,54879.00,1270.00,1230.00,1270.00
97,2017-01-16,8,106.00,135995.00,1295.00,1245.00,1245.00
98,2017-01-17,2,22.00,27874.00,1269.00,1265.00,1265.00
99,2017-01-18,1,11.00,13860.00,1260.00,1260.00,1260.00
100,2017-01-19,4,43.00,53595.00,1250.00,1240.00,1245.00
101,2017-01-23,3,31.00,37711.00,1225.00,1201.00,1201.00
102,2017-01-24,4,40.00,48280.00,1225.00,1201.00,1201.00
103,2017-01-25,10,144.00,164054.00,1177.00,1132.00,1132.00
