S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2016-06-02,2,10000.00,100000.00,10.00,10.00,10.00
2,2016-06-19,1,1000.00,10000.00,10.00,10.00,10.00
3,2016-06-26,1,4747.00,47944.70,10.10,10.10,10.10
4,2016-06-29,1,4747.00,48894.10,10.30,10.30,10.30
5,2016-06-30,3,12000.00,128010.00,10.93,10.51,10.93
6,2016-07-06,1,5000.00,55750.00,11.15,11.15,11.15
7,2016-07-10,1,2000.00,22740.00,11.37,11.37,11.37
8,2016-07-11,10,33000.00,389580.00,12.51,11.21,12.51
9,2016-07-12,7,25500.00,322425.00,12.85,12.35,12.45
10,2016-07-13,11,72500.00,891950.00,12.40,12.20,12.20
11,2016-07-14,15,29000.00,350340.00,12.10,11.96,11.96
12,2016-07-17,14,39500.00,472450.00,12.05,11.90,11.95
13,2016-07-18,7,150000.00,1787750.00,12.19,11.85,12.02
14,2016-07-19,5,50115.00,606840.75,12.15,12.01,12.15
15,2016-07-20,7,150000.00,1796550.00,12.00,11.90,12.00
16,2016-07-21,29,336213.00,4167680.74,13.00,12.00,12.35
17,2016-07-25,16,91000.00,1146300.00,12.80,12.20,12.80
18,2016-07-26,22,201747.00,2645173.95,13.35,12.80,13.20
19,2016-07-27,17,103500.00,1384445.00,13.74,13.20,13.38
20,2016-07-28,7,4358585.00,56664655.00,13.25,13.00,13.00
21,2016-07-31,10,40500.00,522245.00,13.10,12.80,12.80
22,2016-08-01,4,55000.00,715400.00,13.02,13.00,13.02
23,2016-08-02,2,23000.00,299000.00,13.00,13.00,13.00
24,2016-08-03,6,73546.00,962082.60,13.26,12.99,13.10
25,2016-08-04,6,80752.00,1056621.68,13.10,13.01,13.02
26,2016-08-07,9,65000.00,854269.00,13.28,13.00,13.00
27,2016-08-10,9,28466.00,368338.00,13.00,12.80,12.81
28,2016-08-11,1,5000.00,65350.00,13.07,13.07,13.07
29,2016-08-14,10,30500.00,392240.00,13.00,12.80,12.90
30,2016-08-15,1,1000.00,12900.00,12.90,12.90,12.90
31,2016-08-17,3,6500.00,84435.00,13.00,12.97,12.97
32,2016-08-21,6,30500.00,392180.00,13.00,12.71,12.71
33,2016-08-24,4,15000.00,188250.00,12.60,12.50,12.50
34,2016-08-28,3,7000.00,86250.00,12.50,12.25,12.25
35,2016-08-30,4,19747.00,244125.45,12.50,12.30,12.35
36,2016-09-04,4,21955.00,274433.00,12.60,12.36,12.36
37,2016-09-07,1,2000.00,24240.00,12.12,12.12,12.12
38,2016-09-08,2,10000.00,120000.00,12.00,12.00,12.00
39,2016-09-11,2,6600.00,80568.00,12.23,12.20,12.23
40,2016-09-12,4,6000.00,73225.00,12.30,12.05,12.10
41,2016-09-14,6,25086.00,301692.00,12.20,12.00,12.00
42,2016-09-20,3,7247.00,84694.90,11.80,11.57,11.70
43,2016-09-21,2,4000.00,45920.00,11.48,11.48,11.48
44,2016-09-22,2,9493.00,107026.25,11.48,11.25,11.48
45,2016-09-25,1,5000.00,56250.00,11.25,11.25,11.25
46,2016-09-27,6,11900.00,138609.00,11.71,11.48,11.71
47,2016-09-28,2,2000.00,23700.00,11.85,11.85,11.85
48,2016-09-29,4,3000.00,35475.00,11.85,11.80,11.85
49,2016-10-06,1,5000.00,58750.00,11.75,11.75,11.75
50,2016-10-16,1,5000.00,59900.00,11.98,11.98,11.98
51,2016-10-17,5,13200.00,158240.00,12.00,11.98,12.00
