S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-06-02,2,20.00,5580.00,279.00,279.00,279.00
2,2019-06-03,1,10.00,2920.00,292.00,292.00,292.00
3,2019-06-04,2,20.00,6180.00,312.00,306.00,312.00
4,2019-06-06,1,10.00,3270.00,327.00,327.00,327.00
5,2019-06-16,1,10.00,3430.00,343.00,343.00,343.00
6,2019-06-17,10,750.00,270000.00,360.00,360.00,360.00
7,2019-06-18,2,20.00,7630.00,385.00,378.00,385.00
8,2019-06-20,6,200.00,84270.00,423.00,404.00,423.00
9,2019-06-23,21,210.00,97270.00,465.00,444.00,465.00
10,2019-06-24,865,10977.00,5219423.00,511.00,456.00,462.00
11,2019-06-25,590,6120.00,2730470.00,466.00,440.00,440.00
12,2019-06-26,268,4160.00,1727930.00,462.00,409.00,412.00
13,2019-06-27,238,2900.00,1165470.00,410.00,397.00,405.00
14,2019-06-30,229,3915.00,1512910.00,410.00,380.00,381.00
15,2019-07-01,151,1780.00,673000.00,395.00,369.00,393.00
16,2019-07-02,90,1310.00,508060.00,395.00,382.00,387.00
17,2019-07-03,110,1475.00,580835.00,406.00,383.00,398.00
18,2019-07-04,98,1300.00,520860.00,410.00,392.00,398.00
19,2019-07-07,55,900.00,356430.00,405.00,384.00,392.00
20,2019-07-08,63,880.00,341460.00,395.00,379.00,388.00
21,2019-07-09,53,1000.00,394450.00,402.00,384.00,402.00
22,2019-07-10,33,450.00,179010.00,400.00,392.00,392.00
23,2019-07-11,50,900.00,355325.00,401.00,392.00,400.00
24,2019-07-14,30,400.00,156250.00,400.00,385.00,385.00
25,2019-07-15,47,470.00,186020.00,405.00,386.00,400.00
26,2019-07-16,25,440.00,174130.00,400.00,390.00,400.00
27,2019-07-17,24,240.00,94370.00,400.00,385.00,391.00
28,2019-07-18,13,130.00,51320.00,400.00,390.00,395.00
29,2019-07-21,51,560.00,219680.00,398.00,385.00,398.00
30,2019-07-22,31,310.00,121720.00,399.00,386.00,394.00
31,2019-07-23,46,900.00,359710.00,405.00,393.00,397.00
32,2019-07-24,56,895.00,365085.00,416.00,400.00,405.00
33,2019-07-25,50,1300.00,522930.00,410.00,398.00,403.00
34,2019-07-28,22,280.00,111970.00,403.00,397.00,401.00
35,2019-07-29,70,1765.00,738090.00,441.00,396.00,427.00
36,2019-07-30,107,3520.00,1552475.00,451.00,429.00,448.00
37,2019-07-31,149,7063.00,3326920.00,492.00,446.00,492.00
38,2019-08-01,204,8440.00,4468050.00,541.00,500.00,541.00
39,2019-08-04,157,5695.00,3262165.00,590.00,545.00,579.00
40,2019-08-05,141,4423.00,2468892.00,591.00,522.00,525.00
41,2019-08-06,97,3035.00,1481620.00,519.00,476.00,486.00
42,2019-08-07,96,4515.00,2352480.00,534.00,468.00,534.00
43,2019-08-08,88,3265.00,1776085.00,556.00,531.00,541.00
44,2019-08-11,41,685.00,367805.00,551.00,522.00,535.00
45,2019-08-12,83,1640.00,886930.00,550.00,531.00,540.00
46,2019-08-13,53,1530.00,822310.00,549.00,523.00,535.00
47,2019-08-14,45,1960.00,1031270.00,535.00,521.00,527.00
48,2019-08-15,70,3340.00,1713170.00,535.00,509.00,526.00
49,2019-08-18,42,610.00,305720.00,516.00,499.00,501.00
