S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-03-16,1019,10180.00,3328672.00,328.00,299.00,328.00
2,2021-03-17,1655,35073.00,12618280.00,360.00,344.00,360.00
3,2021-03-18,2124,26900.00,10646630.00,396.00,378.00,396.00
4,2021-03-21,14947,234228.00,95703828.00,435.00,357.00,372.00
5,2021-03-22,4147,46079.00,16253724.00,392.00,340.00,392.00
6,2021-03-23,2245,33100.00,12504581.00,411.00,363.00,388.00
7,2021-03-24,2230,59650.00,23258178.00,416.00,370.00,399.00
8,2021-03-25,1445,28220.00,10990910.00,410.00,378.00,389.00
9,2021-03-29,1544,26750.00,10115667.00,395.00,372.00,380.00
10,2021-03-30,1359,20562.00,7758416.00,390.00,368.00,379.00
11,2021-03-31,1010,19019.00,7170050.00,392.00,370.00,380.00
12,2021-04-01,948,15626.00,5905334.00,382.00,375.00,377.00
13,2021-04-04,1184,23891.00,9027808.00,395.00,372.00,380.00
14,2021-04-05,867,14635.00,5498165.00,385.00,373.00,377.00
15,2021-04-06,839,17225.00,6444115.00,377.00,365.00,374.00
16,2021-04-07,782,17295.00,6468018.00,389.00,362.00,373.00
17,2021-04-08,2148,81311.00,32544212.00,410.00,371.00,410.00
18,2021-04-12,1594,47381.00,19333751.00,421.00,400.00,401.00
19,2021-04-13,843,17889.00,7136378.00,409.00,381.00,397.00
20,2021-04-15,916,18195.00,7171269.00,410.00,388.00,393.00
21,2021-04-18,851,12353.00,4803746.00,400.00,386.00,390.00
22,2021-04-19,788,12506.00,4807956.00,401.00,372.00,383.00
23,2021-04-20,892,14831.00,5698555.00,392.00,376.00,391.00
24,2021-04-21,685,9608.00,3688340.00,395.00,381.00,388.00
25,2021-04-22,878,12225.00,4656120.00,386.00,374.00,386.00
26,2021-04-25,1219,20901.00,7720371.00,379.00,364.00,372.00
27,2021-04-26,986,26868.00,9467544.00,365.00,345.00,356.00
28,2021-04-27,637,13009.00,4680746.00,369.00,349.00,368.00
29,2021-04-28,430,7244.00,2636917.00,379.00,353.00,360.00
30,2021-04-29,542,13195.00,4827880.00,374.00,350.00,367.00
31,2021-05-02,813,13085.00,4879330.00,378.00,365.00,375.00
32,2021-05-03,767,19169.00,7139555.00,382.00,368.00,371.00
33,2021-05-04,780,21924.00,8164538.00,383.00,364.00,383.00
34,2021-05-05,1478,56811.00,22328554.00,405.00,369.00,400.00
35,2021-05-06,804,19453.00,7536912.00,405.00,382.00,388.00
36,2021-05-09,904,32899.00,12587489.00,407.00,375.00,384.00
37,2021-05-10,643,16664.00,6302749.00,422.00,369.00,386.00
38,2021-05-11,715,22186.00,8618911.00,394.00,372.00,393.00
39,2021-05-12,751,47981.00,18806097.00,400.00,385.00,393.00
40,2021-05-13,1030,39488.00,15664321.00,400.00,390.00,399.00
41,2021-05-16,737,46265.00,17924917.00,399.00,383.00,388.00
42,2021-05-17,739,36107.00,13935580.00,390.00,369.00,389.00
43,2021-05-18,1850,87505.00,35638950.00,417.00,383.00,406.00
44,2021-05-19,690,18488.00,7340143.00,410.00,392.00,393.00
45,2021-05-20,544,17114.00,6670731.00,402.00,386.00,388.00
46,2021-05-23,670,20910.00,8136005.00,395.00,380.00,391.00
47,2021-05-24,622,31570.00,12292787.00,398.00,386.00,387.00
48,2021-05-25,1123,52861.00,21137832.00,408.00,382.00,401.00
49,2021-05-27,2011,116366.00,48827506.00,434.00,400.00,420.00
50,2021-05-30,1181,72953.00,30097825.00,443.00,399.00,402.00
51,2021-05-31,791,33760.00,13291032.00,407.00,382.00,388.00
52,2021-06-01,544,20792.00,7957424.00,390.00,378.00,381.00
53,2021-06-02,620,22681.00,8769623.00,390.00,378.00,392.00
54,2021-06-03,597,29683.00,11407086.00,394.00,381.00,383.00
55,2021-06-06,672,35202.00,13239931.00,385.00,370.00,374.00
56,2021-06-07,710,31129.00,11892925.00,386.00,373.00,383.00
57,2021-06-08,683,37584.00,14505409.00,393.00,378.00,382.00
58,2021-06-09,447,22164.00,8471591.00,388.00,378.00,378.00
59,2021-06-10,1500,89320.00,36091807.00,415.00,361.00,415.00
60,2021-06-13,2357,159930.00,69660187.00,444.00,403.00,441.00
61,2021-06-14,1210,68732.00,29698389.00,463.00,423.00,424.00
62,2021-06-15,941,55734.00,23103988.00,428.00,406.00,410.00
63,2021-06-16,808,39748.00,15768325.00,415.00,383.00,392.00
64,2021-06-17,686,21852.00,8546222.00,409.00,384.00,397.00
65,2021-06-20,684,29029.00,11154248.00,392.00,380.00,382.00
66,2021-06-21,511,15216.00,5739918.00,389.00,373.00,379.00
67,2021-06-22,431,16943.00,6472941.00,395.00,370.00,395.00
68,2021-06-23,339,10287.00,3938060.00,414.00,378.00,378.00
69,2021-06-24,391,13588.00,5146275.00,385.00,375.00,378.00
70,2021-06-27,500,14232.00,5384814.00,390.00,375.00,378.00
71,2021-06-28,422,20718.00,7769171.00,396.00,371.00,373.00
72,2021-06-29,417,13517.00,4981029.00,375.00,364.00,365.00
73,2021-06-30,322,8884.00,3181493.00,366.00,355.00,360.00
74,2021-07-01,414,11414.00,4171405.00,377.00,356.00,367.00
75,2021-07-04,521,10541.00,3828549.00,370.00,359.00,359.00
76,2021-07-05,404,9856.00,3507490.00,364.00,352.00,353.00
77,2021-07-06,341,6545.00,2308450.00,365.00,345.00,351.00
78,2021-07-07,279,8155.00,2825115.00,355.00,342.00,342.00
79,2021-07-08,329,10036.00,3447740.00,355.00,339.00,349.00
80,2021-07-11,385,9414.00,3394381.00,372.00,349.00,370.00
81,2021-07-12,336,17708.00,6388428.00,373.00,353.00,358.00
82,2021-07-13,248,9544.00,3423157.00,362.00,351.00,358.00
83,2021-07-14,252,6055.00,2200585.00,369.00,353.00,368.00
84,2021-07-15,363,12493.00,4680991.00,380.00,361.00,373.00
85,2021-07-18,496,15598.00,5905388.00,384.00,373.00,380.00
86,2021-07-19,341,17563.00,6683892.00,387.60,373.00,380.00
