S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-06-06,1,10.00,2370.00,237.00,237.00,237.00
2,2019-06-10,1,10.00,2480.00,248.00,248.00,248.00
3,2019-06-11,1,10.00,2600.00,260.00,260.00,260.00
4,2019-06-12,1,10.00,2730.00,273.00,273.00,273.00
5,2019-06-16,2,20.00,5770.00,291.00,286.00,291.00
6,2019-06-18,2,20.00,6160.00,311.00,305.00,311.00
7,2019-06-19,1,10.00,3260.00,326.00,326.00,326.00
8,2019-06-23,12,550.00,196600.00,358.00,342.00,358.00
9,2019-06-24,9,90.00,35040.00,393.00,375.00,393.00
10,2019-06-25,88,890.00,384000.00,432.00,412.00,432.00
11,2019-06-26,1648,21479.00,9349630.00,462.00,424.00,434.00
12,2019-06-27,516,6495.00,2820340.00,438.00,430.00,436.00
13,2019-06-30,408,7780.00,3358900.00,443.00,422.00,432.00
14,2019-07-01,210,2960.00,1268740.00,434.00,424.00,426.00
15,2019-07-02,156,2060.00,883270.00,437.00,422.00,434.00
16,2019-07-03,306,5670.00,2543590.00,476.00,426.00,460.00
17,2019-07-04,189,3691.00,1697654.00,469.00,450.00,464.00
18,2019-07-07,81,1590.00,723450.00,460.00,446.00,450.00
19,2019-07-08,108,1928.00,857240.00,452.00,440.00,445.00
20,2019-07-09,64,830.00,365360.00,453.00,429.00,438.00
21,2019-07-10,52,576.00,252096.00,441.00,430.00,441.00
22,2019-07-11,85,2205.00,971975.00,445.00,437.00,445.00
23,2019-07-14,57,790.00,347110.00,450.00,432.00,440.00
24,2019-07-15,31,1450.00,647740.00,448.00,433.00,448.00
25,2019-07-16,27,1300.00,579460.00,450.00,441.00,446.00
26,2019-07-17,92,1380.00,627100.00,459.00,441.00,454.00
27,2019-07-18,35,560.00,256050.00,461.00,452.00,454.00
28,2019-07-21,70,1705.00,786185.00,465.00,452.00,465.00
29,2019-07-22,59,2250.00,1059640.00,475.00,460.00,474.00
30,2019-07-23,79,1954.00,941796.00,494.00,469.00,493.00
31,2019-07-24,146,3695.00,1921035.00,538.00,495.00,538.00
32,2019-07-25,127,6768.00,3524482.00,538.00,512.00,518.00
33,2019-07-28,95,5185.00,2691478.00,527.00,486.00,521.00
34,2019-07-29,105,7930.00,4153950.00,540.00,508.00,532.00
35,2019-07-30,123,7035.00,3810040.00,570.00,530.00,554.00
36,2019-07-31,138,9471.00,5368394.00,609.00,538.00,609.00
37,2019-08-01,242,12138.00,7585498.00,669.00,587.00,633.00
38,2019-08-04,153,6605.00,4153975.00,654.00,613.00,613.00
39,2019-08-05,177,7514.00,4494614.00,625.00,577.00,582.00
40,2019-08-06,116,2950.00,1632350.00,571.00,531.00,554.00
41,2019-08-07,115,3728.00,2126225.00,601.00,536.00,591.00
42,2019-08-08,66,2070.00,1199364.00,590.00,570.00,578.00
43,2019-08-11,59,1150.00,658335.00,598.00,560.00,567.00
44,2019-08-12,77,1160.00,667635.00,585.00,556.00,582.00
45,2019-08-13,74,2038.00,1191798.00,592.00,573.00,581.00
46,2019-08-14,52,1170.00,679100.00,585.00,573.00,580.00
47,2019-08-15,34,965.00,551600.00,574.00,564.00,564.00
48,2019-08-18,51,1300.00,733880.00,570.00,562.00,564.00
49,2019-08-19,36,570.00,323910.00,592.00,557.00,581.00
50,2019-08-20,50,1550.00,885110.00,588.00,562.00,569.00
