S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-07-04,8,656.00,720472.00,1155.00,1050.00,1155.00
2,2021-07-05,21,2042.00,2456700.00,1220.00,1178.00,1220.00
3,2021-07-06,3,150.00,186100.00,1242.00,1240.00,1242.00
4,2021-07-07,1,10.00,12300.00,1230.00,1230.00,1230.00
5,2021-07-08,1,10.00,12060.00,1206.00,1206.00,1206.00
6,2021-07-11,1,10.00,12050.00,1205.00,1205.00,1205.00
7,2021-07-12,9,525.00,620000.00,1190.00,1172.00,1172.00
8,2021-07-13,6,855.00,1038795.00,1219.00,1195.00,1196.00
9,2021-07-15,1,50.00,60000.00,1200.00,1200.00,1200.00
10,2021-07-18,14,730.00,849450.00,1180.00,1152.60,1160.00
11,2021-07-19,11,750.00,861875.00,1150.00,1145.00,1145.00
12,2021-07-20,5,525.00,599000.00,1150.00,1135.00,1150.00
13,2021-07-22,6,165.00,191470.00,1173.00,1150.00,1154.00
14,2021-07-25,5,225.00,259905.00,1160.00,1154.00,1154.00
15,2021-07-26,6,630.00,729300.00,1160.00,1150.00,1160.00
16,2021-07-27,14,740.00,853963.00,1168.00,1145.10,1165.00
17,2021-08-01,3,225.00,262750.00,1170.00,1165.00,1170.00
18,2021-08-02,4,190.00,222300.00,1170.00,1170.00,1170.00
19,2021-08-05,2,100.00,116000.00,1160.00,1160.00,1160.00
20,2021-08-08,5,430.00,498800.00,1160.00,1160.00,1160.00
21,2021-08-09,10,460.00,541810.00,1190.00,1160.00,1190.00
22,2021-08-10,9,775.00,922715.00,1195.00,1171.10,1195.00
23,2021-08-11,3,45.00,54580.00,1215.00,1212.00,1215.00
