S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2013-10-08,2,430.00,68800.00,160.00,160.00,160.00
2,2013-10-31,4,189.00,29181.00,157.00,148.00,148.00
3,2013-11-28,2,645.00,95030.00,148.00,146.00,146.00
4,2013-12-01,7,1519.00,222907.00,148.00,146.00,146.00
5,2013-12-03,3,459.00,66482.00,146.00,144.00,146.00
6,2013-12-05,5,1097.00,163278.00,150.00,147.00,147.00
7,2013-12-08,1,428.00,62060.00,145.00,145.00,145.00
8,2013-12-09,4,752.00,111188.00,149.00,147.00,149.00
9,2013-12-11,2,94.00,14006.00,149.00,149.00,149.00
10,2014-01-14,1,172.00,25284.00,147.00,147.00,147.00
11,2014-01-20,2,430.00,62350.00,145.00,145.00,145.00
12,2014-01-21,1,69.00,9867.00,143.00,143.00,143.00
13,2014-01-22,4,1424.00,202561.00,143.00,142.00,143.00
14,2014-01-23,3,236.00,33040.00,141.00,139.00,140.00
15,2014-01-26,1,21.00,2982.00,142.00,142.00,142.00
16,2014-01-27,3,150.00,21772.00,146.00,144.00,146.00
17,2014-01-28,1,21.00,3108.00,148.00,148.00,148.00
18,2014-02-05,2,279.00,42042.00,153.00,150.00,153.00
19,2014-02-06,1,86.00,13416.00,156.00,156.00,156.00
20,2014-03-06,1,432.00,68688.00,159.00,159.00,159.00
21,2014-03-09,2,172.00,27864.00,162.00,162.00,162.00
22,2014-03-17,9,3975.00,666341.00,178.00,165.00,178.00
23,2014-03-18,26,4501.00,819509.00,185.00,178.00,185.00
24,2014-03-20,7,2852.00,537709.00,194.00,188.00,188.00
25,2014-03-23,13,3824.00,740076.00,205.00,191.00,205.00
26,2014-03-24,9,1014.00,225699.00,225.00,209.00,225.00
27,2014-03-25,14,2468.00,600312.00,247.00,229.00,247.00
28,2014-03-26,6,983.00,243776.00,250.00,245.00,250.00
29,2014-03-27,7,658.00,161474.00,255.00,241.00,241.00
30,2014-03-31,4,6020.00,1413886.00,237.00,231.00,231.00
31,2014-04-01,29,2191.00,492837.00,231.00,219.00,219.00
32,2014-04-02,2,64.00,13697.00,215.00,212.00,212.00
33,2014-04-03,1,856.00,184896.00,216.00,216.00,216.00
34,2014-04-23,2,279.00,59404.00,216.00,212.00,216.00
35,2014-04-30,2,241.00,52994.00,220.00,219.00,220.00
36,2014-05-07,1,34.00,7616.00,224.00,224.00,224.00
37,2014-05-12,2,214.00,48792.00,228.00,228.00,228.00
38,2014-05-19,3,257.00,58768.00,232.00,228.00,228.00
39,2014-05-20,2,217.00,49036.00,228.00,224.00,224.00
40,2014-05-21,2,265.00,57440.00,220.00,216.00,216.00
41,2014-05-22,3,900.00,188180.00,212.00,208.00,208.00
42,2014-06-01,1,428.00,90736.00,212.00,212.00,212.00
43,2014-06-02,11,1326.00,296653.00,228.00,216.00,225.00
44,2014-06-03,4,837.00,192957.00,233.00,229.00,233.00
45,2014-06-04,2,236.00,56448.00,241.00,237.00,241.00
46,2014-06-05,5,687.00,167979.00,249.00,237.00,249.00
47,2014-06-15,1,21.00,5250.00,250.00,250.00,250.00
48,2014-06-16,6,858.00,218790.00,255.00,255.00,255.00
49,2014-06-17,3,351.00,90434.00,261.00,255.00,0.00
50,2014-06-30,1,47.00,12455.00,265.00,265.00,265.00
51,2014-07-01,3,602.00,157982.00,266.00,261.00,266.00
52,2014-07-02,2,279.00,71854.00,261.00,256.00,256.00
53,2014-07-07,2,344.00,90644.00,266.00,261.00,266.00
54,2014-07-08,2,700.00,187200.00,271.00,266.00,266.00
55,2014-07-09,3,107.00,28462.00,266.00,266.00,266.00
56,2014-07-17,3,1449.00,377810.00,262.00,260.00,260.00
57,2014-07-20,1,744.00,197160.00,265.00,265.00,265.00
58,2014-07-23,3,645.00,175225.00,275.00,270.00,275.00
59,2014-07-30,7,476.00,137070.00,302.00,280.00,302.00
60,2014-07-31,1,210.00,64680.00,308.00,308.00,308.00
61,2014-08-26,2,76.00,25536.00,336.00,336.00,336.00
62,2014-08-27,2,1200.00,408500.00,341.00,340.00,340.00
63,2014-09-07,4,1192.00,391184.00,335.00,323.00,323.00
64,2014-09-09,2,600.00,193284.00,323.00,320.00,323.00
65,2014-09-10,3,128.00,42028.00,329.00,325.00,329.00
66,2014-09-15,1,107.00,34775.00,325.00,325.00,325.00
67,2014-09-18,2,428.00,138220.00,326.00,320.00,326.00
68,2014-09-21,2,137.00,43402.00,320.00,314.00,314.00
69,2014-10-19,3,145.00,46526.00,326.00,320.00,320.00
70,2014-10-20,6,1130.00,356258.00,320.00,312.00,315.00
71,2014-10-21,2,800.00,252000.00,315.00,315.00,315.00
72,2014-10-22,1,50.00,15450.00,309.00,309.00,309.00
73,2014-11-19,1,500.00,142000.00,284.00,284.00,284.00
74,2015-01-26,7,144.00,32432.00,228.00,212.00,228.00
75,2015-01-27,5,57.00,13736.00,248.00,232.00,248.00
76,2015-01-28,2,124.00,31783.00,257.00,252.00,257.00
77,2015-01-29,12,1782.00,489740.00,277.00,262.00,276.00
78,2015-02-01,3,741.00,209218.00,284.00,280.00,280.00
79,2015-02-04,3,282.00,80370.00,285.00,285.00,285.00
80,2015-02-08,3,326.00,90205.00,280.00,275.00,275.00
81,2015-02-12,3,485.00,135916.00,281.00,280.00,280.00
82,2015-02-15,2,42.00,11550.00,275.00,275.00,275.00
83,2015-02-18,3,218.00,57900.00,270.00,260.00,260.00
84,2015-03-01,5,105.00,27300.00,260.00,260.00,260.00
85,2015-03-03,1,176.00,46640.00,265.00,265.00,265.00
86,2015-03-10,2,535.00,144450.00,270.00,270.00,270.00
87,2015-03-12,1,172.00,46784.00,272.00,272.00,272.00
88,2015-03-15,2,184.00,50707.00,276.00,275.00,276.00
89,2015-03-16,1,111.00,30525.00,275.00,275.00,275.00
90,2015-03-17,1,64.00,17280.00,270.00,270.00,270.00
91,2015-03-18,4,854.00,227900.00,270.00,262.00,262.00
92,2015-03-19,7,1159.00,324235.00,288.00,267.00,288.00
93,2015-03-22,1,10.00,2930.00,293.00,293.00,293.00
94,2015-03-23,2,110.00,31450.00,288.00,283.00,283.00
95,2015-03-24,2,428.00,117379.00,278.00,273.00,273.00
96,2015-04-06,3,63.00,16569.00,268.00,258.00,258.00
97,2015-04-08,1,93.00,23529.00,253.00,253.00,253.00
98,2015-04-23,1,21.00,5229.00,249.00,249.00,249.00
99,2015-06-29,1,200.00,49400.00,247.00,247.00,247.00
100,2015-07-02,2,60.00,14810.00,251.00,246.00,246.00
101,2015-07-05,1,100.00,24200.00,242.00,242.00,242.00
102,2015-07-08,1,100.00,24000.00,240.00,240.00,240.00
103,2015-07-13,1,100.00,23600.00,236.00,236.00,236.00
104,2015-07-16,2,97.00,23092.00,240.00,236.00,236.00
105,2015-07-22,8,989.00,227833.00,232.00,225.00,232.00
106,2015-07-26,1,133.00,31388.00,236.00,236.00,236.00
107,2015-07-27,5,924.00,233651.00,257.00,240.00,257.00
108,2015-07-28,4,356.00,93846.00,265.00,261.00,262.00
109,2015-08-11,2,198.00,52263.00,265.00,262.00,265.00
110,2015-09-02,2,438.00,116120.00,270.00,265.00,265.00
111,2015-09-13,1,129.00,34185.00,265.00,265.00,265.00
112,2015-09-14,2,100.00,27000.00,270.00,270.00,270.00
113,2015-09-15,1,125.00,34375.00,275.00,275.00,275.00
114,2015-11-09,3,200.00,53500.00,270.00,265.00,265.00
115,2016-08-07,2,17104.00,4030752.00,238.00,234.00,238.00
116,2016-08-08,1,10.00,2490.00,249.00,249.00,249.00
117,2016-08-10,5,50.00,13150.00,273.00,253.00,273.00
118,2016-08-11,4,40.00,11420.00,293.00,278.00,293.00
119,2016-08-14,5,50.00,15460.00,321.00,298.00,321.00
120,2016-08-15,5,50.00,16950.00,351.00,327.00,351.00
121,2016-08-16,4,40.00,14740.00,379.00,358.00,379.00
122,2016-08-17,5,50.00,20030.00,416.00,386.00,416.00
123,2016-08-21,6,60.00,26570.00,457.00,424.00,457.00
124,2016-08-22,38,10741.00,5373008.00,502.00,466.00,502.00
125,2016-08-23,41,5662.00,2908068.00,552.00,496.00,501.00
126,2016-08-24,9,946.00,472290.00,521.00,491.00,502.00
127,2016-08-28,9,2371.00,1206266.00,522.00,502.00,508.00
128,2016-08-29,3,399.00,203154.00,518.00,500.00,500.00
129,2016-08-30,6,917.00,458500.00,500.00,500.00,500.00
130,2016-08-31,27,7339.00,3984678.00,550.00,510.00,550.00
131,2016-09-01,10,913.00,505311.00,583.00,547.00,547.00
132,2016-09-04,2,257.00,141749.00,557.00,550.00,557.00
133,2016-09-05,4,1135.00,637345.00,568.00,557.00,557.00
134,2016-09-06,32,9938.00,5655380.00,591.00,556.00,591.00
135,2016-09-07,24,4108.00,2451722.00,634.00,579.00,579.00
136,2016-09-08,10,1170.00,668930.00,580.00,567.00,567.00
137,2016-09-11,4,930.00,521030.00,561.00,560.00,561.00
138,2016-09-12,14,2988.00,1623260.00,550.00,535.00,535.00
139,2016-09-14,24,5043.00,2771797.00,561.00,543.00,560.00
140,2016-09-18,4,436.00,242270.00,571.00,550.00,550.00
141,2016-09-20,4,509.00,276860.00,555.00,540.00,540.00
142,2016-09-21,6,4794.00,2546870.00,536.00,525.00,526.00
143,2016-09-22,8,2074.00,1107764.00,546.00,526.00,546.00
144,2016-09-25,9,21050.00,11255700.00,540.00,525.00,530.00
145,2016-09-26,2,168.00,90244.00,540.00,533.00,533.00
146,2016-09-27,5,381.00,201600.00,535.00,528.00,530.00
147,2016-09-28,5,5517.00,2950125.00,535.00,532.00,535.00
148,2016-09-29,2,551.00,295465.00,540.00,535.00,540.00
149,2016-10-02,7,3173.00,1688051.00,540.00,530.00,530.00
150,2016-10-03,2,240.00,125000.00,521.00,520.00,520.00
151,2016-10-05,4,1117.00,574380.00,520.00,510.00,510.00
152,2016-10-17,2,150.00,78000.00,520.00,520.00,520.00
153,2016-10-18,7,1382.00,716520.00,524.00,510.00,520.00
154,2016-10-19,2,410.00,213300.00,530.00,520.00,520.00
155,2016-10-20,1,500.00,264500.00,529.00,529.00,529.00
156,2016-10-23,2,154.00,83006.00,539.00,539.00,539.00
157,2016-10-24,3,1469.00,773380.00,530.00,520.00,520.00
158,2016-10-25,2,700.00,358700.00,521.00,511.00,521.00
159,2016-10-26,2,2050.00,1048050.00,521.00,511.00,521.00
160,2016-11-07,5,1771.00,912300.00,531.00,510.00,520.00
161,2016-11-08,1,1000.00,524000.00,524.00,524.00,524.00
162,2016-11-09,6,830.00,420065.00,514.00,500.00,500.00
163,2016-11-10,3,250.00,125250.00,505.00,500.00,500.00
164,2016-11-13,5,1923.00,969180.00,510.00,501.00,510.00
165,2016-11-15,4,867.00,450340.00,520.00,510.00,520.00
166,2016-11-16,8,2510.00,1288322.00,518.00,510.00,512.00
167,2016-11-20,3,600.00,297200.00,502.00,492.00,492.00
168,2016-11-21,1,77.00,37345.00,485.00,485.00,485.00
169,2016-11-22,2,120.00,59080.00,494.00,490.00,490.00
170,2016-11-23,2,300.00,144200.00,481.00,480.00,480.00
171,2016-11-24,4,1911.00,931180.00,489.00,480.00,480.00
172,2016-11-27,3,153.00,72718.00,476.00,471.00,475.00
173,2016-11-28,5,1455.00,697074.00,484.00,478.00,481.00
174,2016-11-30,12,1372.00,686587.00,508.00,490.00,508.00
175,2016-12-01,15,2398.00,1220672.00,528.00,498.00,498.00
176,2016-12-04,46,9152.00,4908107.00,547.00,481.00,547.00
177,2016-12-05,43,8904.00,4887234.00,568.00,530.00,540.00
178,2016-12-06,3,406.00,218454.00,545.00,531.00,531.00
179,2016-12-07,35,15451.00,8429285.00,565.00,536.00,565.00
180,2016-12-08,34,8136.00,4629712.00,587.00,550.00,560.00
181,2016-12-11,13,3059.00,1656856.00,549.00,537.00,537.00
182,2016-12-12,18,3860.00,2104895.00,561.00,535.00,561.00
183,2016-12-14,106,24397.00,13552525.00,605.00,540.00,542.00
184,2016-12-15,40,5723.00,3182480.00,575.00,550.00,560.00
185,2016-12-18,33,8716.00,4968583.00,580.00,560.00,574.00
186,2016-12-19,31,3964.00,2237754.00,582.00,554.00,554.00
187,2016-12-20,22,4174.00,2330632.00,565.00,549.00,555.00
188,2016-12-21,82,11901.00,6663498.00,566.00,550.00,560.00
189,2016-12-22,96,25453.00,14370306.00,575.00,549.00,554.00
190,2016-12-26,6,400.00,168200.00,435.00,411.00,411.00
191,2016-12-27,12,7020.00,2776900.00,406.00,390.00,390.00
192,2016-12-28,5,485.00,192600.00,400.00,395.00,400.00
193,2016-12-29,8,1740.00,697540.00,408.00,400.00,406.00
194,2017-01-01,7,1780.00,758900.00,438.00,413.00,438.00
195,2017-01-02,20,4812.00,1966196.00,430.00,400.00,415.00
196,2017-01-03,4,350.00,144750.00,415.00,410.00,415.00
197,2017-01-04,2,300.00,122200.00,408.00,407.00,407.00
198,2017-01-05,8,953.00,385066.00,410.00,400.00,404.00
199,2017-01-08,8,1878.00,743410.00,397.00,395.00,396.00
200,2017-01-09,2,350.00,138150.00,396.00,393.00,396.00
