S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2011-02-21,24,1460.00,192360.00,132.00,130.00,130.00
2,2011-03-09,2,100.00,12680.00,128.00,126.00,126.00
3,2011-03-16,1,20.00,2480.00,124.00,124.00,124.00
4,2011-03-23,11,520.00,59920.00,122.00,112.00,112.00
5,2011-03-24,199,9960.00,1008080.00,110.00,101.00,101.00
6,2011-03-27,9,440.00,43800.00,102.00,98.00,98.00
7,2011-03-29,16,2240.00,217280.00,97.00,97.00,97.00
8,2011-04-04,1,40.00,3840.00,96.00,96.00,96.00
9,2011-04-19,9,360.00,34200.00,95.00,95.00,95.00
10,2011-05-02,14,780.00,69040.00,91.00,86.00,87.00
11,2011-05-03,14,560.00,49280.00,88.00,88.00,88.00
12,2011-05-04,2,80.00,6960.00,87.00,87.00,87.00
13,2011-05-05,32,1280.00,110520.00,88.00,85.00,85.00
14,2011-05-08,3,120.00,10200.00,85.00,85.00,85.00
15,2011-05-12,8,480.00,41280.00,86.00,86.00,86.00
16,2011-05-18,5,200.00,16400.00,82.00,82.00,82.00
17,2011-05-22,16,640.00,51760.00,81.00,80.00,81.00
18,2011-05-23,118,4860.00,379560.00,80.00,78.00,78.00
19,2011-05-24,10,420.00,32700.00,78.00,77.00,78.00
20,2011-05-25,12,520.00,40480.00,78.00,77.00,78.00
21,2011-05-26,2,80.00,6120.00,77.00,76.00,76.00
22,2011-05-30,12,500.00,38900.00,78.00,77.00,78.00
23,2011-05-31,1,40.00,3160.00,79.00,79.00,79.00
24,2011-06-01,2,100.00,7960.00,80.00,79.00,79.00
25,2011-06-02,1,40.00,3120.00,78.00,78.00,78.00
26,2011-06-05,19,1410.00,107400.00,77.00,76.00,76.00
27,2011-06-08,19,760.00,57760.00,76.00,76.00,76.00
28,2011-06-09,6,240.00,18240.00,76.00,76.00,76.00
29,2011-06-14,5,300.00,22800.00,76.00,76.00,76.00
30,2011-07-28,2,100.00,7440.00,75.00,74.00,74.00
31,2011-07-31,2,80.00,6000.00,75.00,75.00,75.00
32,2011-08-10,17,1300.00,98800.00,76.00,76.00,76.00
33,2011-08-16,8,340.00,25840.00,76.00,76.00,76.00
34,2011-08-17,47,1880.00,144720.00,77.00,76.00,77.00
35,2011-08-18,51,2060.00,158620.00,78.00,75.00,75.00
36,2011-08-23,50,2060.00,153340.00,75.00,74.00,74.00
37,2011-08-24,23,920.00,67160.00,73.00,73.00,73.00
38,2011-08-25,7,280.00,20520.00,74.00,73.00,74.00
39,2011-08-28,42,1700.00,126600.00,75.00,74.00,74.00
40,2011-08-29,40,1600.00,114200.00,73.00,71.00,71.00
41,2011-08-30,40,1600.00,109240.00,70.00,68.00,68.00
42,2011-09-05,62,2440.00,161100.00,67.00,66.00,67.00
43,2011-09-08,1,60.00,4020.00,67.00,67.00,67.00
44,2011-09-20,7,280.00,18160.00,66.00,64.00,64.00
45,2011-09-22,3,180.00,11340.00,63.00,63.00,63.00
46,2011-09-25,4,200.00,12800.00,64.00,64.00,64.00
47,2011-09-26,3,160.00,10240.00,64.00,64.00,64.00
48,2011-10-12,20,800.00,52320.00,66.00,65.00,66.00
49,2011-10-13,80,3200.00,211200.00,66.00,66.00,66.00
50,2011-10-17,5,280.00,18160.00,65.00,64.00,64.00
51,2011-10-19,134,5380.00,329040.00,63.00,58.00,58.00
52,2011-10-20,47,2120.00,120560.00,57.00,56.00,56.00
53,2011-10-23,1,40.00,2200.00,55.00,55.00,55.00
54,2011-10-24,1,60.00,3240.00,54.00,54.00,54.00
55,2011-10-25,2,160.00,8480.00,53.00,53.00,53.00
56,2011-10-30,69,2960.00,150440.00,53.00,49.00,49.00
57,2011-10-31,54,2830.00,133697.00,49.00,46.11,47.00
58,2011-11-13,5,220.00,10340.00,47.00,47.00,47.00
59,2011-11-14,1,40.00,1880.00,47.00,47.00,47.00
60,2011-11-17,9,360.00,16883.00,47.00,46.07,46.07
61,2011-11-21,1,60.00,2760.00,46.00,46.00,46.00
62,2011-11-23,16,640.00,29995.00,46.92,46.00,46.00
63,2011-11-24,1,80.00,3680.00,46.00,46.00,46.00
64,2011-11-27,1,40.00,1840.00,46.00,46.00,46.00
65,2011-11-28,1,40.00,1840.00,46.00,46.00,46.00
66,2011-11-30,1,40.00,1840.00,46.00,46.00,46.00
67,2011-12-01,2,180.00,8280.00,46.00,46.00,46.00
68,2011-12-06,1,40.00,1840.00,46.00,46.00,46.00
69,2011-12-07,23,1170.00,54451.00,47.00,46.00,47.00
70,2011-12-08,23,1550.00,72850.00,47.00,47.00,47.00
71,2011-12-15,2,120.00,5640.00,47.00,47.00,47.00
72,2011-12-19,8,400.00,18760.00,46.90,46.90,46.90
73,2011-12-26,5,280.00,12880.00,46.00,46.00,46.00
74,2011-12-27,5,280.00,12880.00,46.00,46.00,46.00
75,2011-12-28,5,240.00,11040.00,46.00,46.00,46.00
76,2011-12-29,5,300.00,13525.00,45.08,45.08,45.08
77,2012-01-01,11,660.00,29002.00,44.18,43.30,43.30
78,2012-01-02,18,2300.00,95219.00,42.43,40.75,42.39
79,2012-01-03,11,500.00,21500.00,43.00,43.00,43.00
80,2012-01-04,6,440.00,19298.00,43.86,43.86,43.86
81,2012-01-05,3,400.00,17544.00,43.86,43.86,43.86
82,2012-01-08,11,800.00,35091.00,43.86,43.86,43.86
83,2012-01-09,5,400.00,17545.00,43.86,43.86,43.86
84,2012-01-11,27,1320.00,57954.00,44.00,43.86,44.00
85,2012-01-12,8,320.00,14080.00,44.00,44.00,44.00
86,2012-01-16,47,2090.00,91968.00,44.10,44.00,44.00
87,2012-01-17,41,2030.00,90110.00,44.88,44.00,44.50
88,2012-01-18,56,2240.00,100200.00,45.50,44.50,45.50
89,2012-01-22,29,1160.00,52390.00,46.00,44.60,44.60
90,2012-01-25,17,1340.00,58960.00,44.00,44.00,44.00
91,2012-01-26,18,1440.00,63344.00,44.00,43.80,43.80
92,2012-02-05,11,440.00,19360.00,44.00,44.00,44.00
93,2012-02-15,39,1560.00,68640.00,44.00,44.00,44.00
94,2012-02-16,54,2160.00,95040.00,44.00,44.00,44.00
95,2012-02-21,6,210.00,8745.00,43.12,41.41,41.41
96,2012-02-26,9,360.00,14871.00,41.41,40.58,40.58
97,2012-02-27,26,1620.00,59643.00,39.77,36.52,36.52
98,2012-02-28,23,1140.00,41871.00,39.51,34.37,39.49
99,2012-03-01,22,1160.00,45518.00,39.50,38.22,38.22
100,2012-03-04,2,80.00,2968.00,37.47,36.73,36.73
101,2012-03-05,20,800.00,30038.00,40.40,37.00,40.40
102,2012-03-06,1,40.00,1584.00,39.60,39.60,39.60
103,2012-03-11,33,2040.00,81581.00,41.00,39.00,41.00
104,2012-03-13,9,380.00,15267.00,40.18,40.18,40.18
105,2012-03-14,3,360.00,14114.00,39.38,38.60,38.60
106,2012-03-15,5,300.00,11700.00,39.00,39.00,39.00
107,2012-03-19,1,40.00,1498.00,37.46,37.46,37.46
108,2012-03-20,10,740.00,25808.00,36.71,33.86,34.56
109,2012-03-21,5,200.00,7163.00,36.68,35.25,36.68
110,2012-03-25,2,80.00,2876.00,35.95,35.95,35.95
111,2012-03-27,5,200.00,7200.00,36.00,36.00,36.00
112,2012-03-28,1,40.00,1440.00,36.00,36.00,36.00
113,2012-03-29,7,280.00,9716.00,35.30,33.90,33.90
114,2012-04-04,2,80.00,2712.00,33.90,33.90,33.90
115,2012-04-05,1,40.00,1329.00,33.22,33.22,33.22
116,2012-04-12,1,80.00,2710.00,33.88,33.88,33.88
117,2012-04-19,1,40.00,1382.00,34.56,34.56,34.56
118,2012-04-22,1,200.00,7050.00,35.25,35.25,35.25
119,2012-05-09,1,80.00,2877.00,35.96,35.96,35.96
120,2012-05-10,4,320.00,11508.00,35.96,35.96,35.96
121,2012-05-13,1,80.00,2877.00,35.96,35.96,35.96
122,2012-05-14,15,1480.00,50688.00,35.96,33.17,33.17
123,2012-05-17,1,40.00,1353.00,33.83,33.83,33.83
124,2012-05-21,2,160.00,5414.00,33.84,33.84,33.84
125,2012-05-22,2,480.00,16813.00,35.20,34.51,35.20
126,2012-05-24,8,320.00,11164.00,35.10,34.50,35.00
127,2012-06-05,5,1000.00,34300.00,34.30,34.30,34.30
128,2012-06-11,2,100.00,3361.00,33.61,33.61,33.61
129,2012-06-14,1,60.00,1980.00,33.00,33.00,33.00
130,2012-06-17,28,1120.00,37662.00,33.66,33.00,33.66
131,2012-06-18,64,3720.00,126466.00,34.00,33.66,34.00
132,2012-06-19,31,1940.00,65960.00,34.00,34.00,34.00
133,2012-06-20,23,1000.00,33182.00,33.32,33.00,33.00
134,2012-06-25,9,760.00,25200.00,34.33,33.00,34.33
135,2012-06-26,3,120.00,4144.00,35.00,34.30,34.30
136,2012-06-27,2,160.00,5378.00,33.61,33.61,33.61
137,2012-07-18,6,240.00,8160.00,34.00,34.00,34.00
138,2012-07-26,2,160.00,5574.00,35.00,34.68,35.00
139,2012-07-29,1,40.00,1400.00,35.00,35.00,35.00
140,2012-07-31,8,400.00,14028.00,35.70,35.00,35.00
141,2012-08-01,3,140.00,4942.00,35.70,35.00,35.70
142,2012-08-07,1,40.00,1400.00,35.00,35.00,35.00
143,2012-08-12,2,180.00,6300.00,35.00,35.00,35.00
144,2012-08-16,1,60.00,2142.00,35.70,35.70,35.70
145,2012-08-21,3,720.00,25716.00,36.00,35.70,36.00
146,2012-08-22,2,1000.00,35700.00,35.70,35.70,35.70
147,2012-08-23,5,2740.00,97716.00,36.41,35.00,36.41
148,2012-08-26,1,20.00,720.00,36.00,36.00,36.00
149,2012-08-29,2,2000.00,71500.00,36.00,35.50,35.50
150,2012-09-11,11,440.00,15620.00,35.50,35.50,35.50
151,2012-09-12,1,80.00,2800.00,35.00,35.00,35.00
152,2012-09-24,5,280.00,9604.00,34.30,34.30,34.30
153,2012-09-25,1,140.00,4760.00,34.00,34.00,34.00
154,2012-09-26,27,4440.00,147946.00,33.32,33.32,33.32
155,2012-09-27,2,80.00,2640.00,33.01,33.01,33.01
156,2012-09-30,1,40.00,1347.00,33.67,33.67,33.67
157,2012-10-01,5,200.00,6600.00,33.00,33.00,33.00
158,2012-10-02,2,140.00,4766.00,34.33,33.66,34.33
159,2012-10-04,1,80.00,2720.00,34.00,34.00,34.00
160,2012-10-07,5,280.00,9574.00,34.68,34.00,34.68
161,2012-10-09,6,340.00,12110.00,35.70,35.00,35.70
162,2012-10-18,4,240.00,8568.00,35.70,35.70,35.70
163,2012-11-06,1,60.00,2160.00,36.00,36.00,36.00
164,2012-11-07,1,40.00,1469.00,36.72,36.72,36.72
165,2012-11-08,2,80.00,2960.00,37.00,37.00,37.00
166,2012-11-22,3,140.00,5076.00,36.26,36.26,36.26
167,2012-12-09,2,100.00,3600.00,36.00,36.00,36.00
168,2012-12-17,1,60.00,2160.00,36.00,36.00,36.00
169,2012-12-18,2,80.00,2880.00,36.00,36.00,36.00
170,2013-03-17,5,200.00,6779.00,35.28,32.54,32.54
171,2013-03-19,3,120.00,3751.00,31.90,30.63,30.63
172,2013-03-21,9,1920.00,50845.00,27.03,26.00,26.00
173,2013-03-24,1,40.00,1019.00,25.48,25.48,25.48
174,2013-03-27,11,4380.00,115627.00,27.00,25.00,27.00
175,2013-03-31,1,40.00,1080.00,27.00,27.00,27.00
176,2013-04-01,3,940.00,25137.00,26.99,26.46,26.99
177,2013-04-02,9,580.00,15635.00,27.53,25.93,26.45
178,2013-04-04,21,1020.00,26502.00,26.01,25.50,26.00
179,2013-04-08,7,480.00,12129.00,25.50,25.00,25.00
180,2013-04-09,5,520.00,12655.00,24.51,24.02,24.50
181,2013-04-11,1,40.00,984.00,24.60,24.60,24.60
182,2013-04-15,1,60.00,1505.00,25.09,25.09,25.09
183,2013-04-17,4,160.00,4000.00,25.00,25.00,25.00
184,2013-04-18,14,760.00,19000.00,25.00,25.00,25.00
185,2013-04-22,1,40.00,1000.00,25.00,25.00,25.00
186,2013-04-29,3,320.00,7742.00,24.50,24.01,24.49
187,2013-04-30,13,3740.00,93500.00,25.10,24.98,25.00
188,2013-05-05,4,160.00,3960.00,25.00,24.50,24.50
189,2013-05-07,2,80.00,1920.00,24.01,24.01,24.01
190,2013-05-12,3,280.00,6916.00,25.48,24.49,25.48
191,2013-05-13,6,240.00,6494.00,28.03,25.80,28.03
192,2013-05-14,11,400.00,12028.00,30.83,28.59,30.83
193,2013-05-15,17,780.00,26390.00,33.91,31.45,33.91
194,2013-05-16,5,200.00,7195.00,37.30,34.59,37.30
195,2013-05-19,18,7360.00,300807.00,41.03,38.05,41.03
196,2013-05-20,7,1960.00,86822.00,45.13,41.85,45.13
197,2013-05-21,8,1240.00,57092.00,49.64,45.00,49.64
198,2013-05-22,17,2020.00,100221.00,51.00,48.02,48.02
199,2013-05-28,24,1040.00,50363.00,51.96,47.06,49.94
200,2013-05-30,37,4720.00,238272.00,54.00,48.00,51.00
201,2015-09-06,1,40.00,2080.00,52.00,52.00,52.00
202,2015-09-09,5,10780.00,579660.00,57.00,53.00,57.00
203,2015-09-10,3,200.00,11780.00,60.00,58.00,60.00
204,2015-09-13,4,160.00,10000.00,64.00,61.00,64.00
205,2015-09-15,5,160.00,10760.00,69.00,65.00,69.00
206,2015-09-17,2,60.00,4250.00,71.00,70.00,71.00
207,2015-09-22,3,5770.00,421200.00,73.00,72.00,73.00
208,2015-09-23,15,1060.00,83440.00,80.00,74.00,80.00
209,2015-09-24,14,820.00,71400.00,88.00,81.00,88.00
210,2015-09-28,15,7610.00,728940.00,96.00,89.00,96.00
211,2015-09-29,28,5400.00,545840.00,105.00,97.00,105.00
212,2015-09-30,46,1940.00,222180.00,115.00,107.00,115.00
213,2015-10-01,31,2060.00,258520.00,126.00,117.00,126.00
214,2015-10-04,149,10620.00,1255500.00,130.00,114.00,114.00
215,2015-10-05,145,15240.00,1724840.00,120.00,108.00,120.00
216,2015-10-06,61,5410.00,621020.00,119.00,111.00,117.00
217,2015-10-07,54,5080.00,595790.00,119.00,112.00,119.00
218,2015-11-01,19,2780.00,325360.00,118.00,117.00,117.00
219,2015-11-02,16,1290.00,149810.00,117.00,112.00,112.00
220,2015-11-03,9,520.00,57120.00,110.00,108.00,108.00
221,2015-11-04,62,3790.00,383270.00,107.00,99.00,101.00
222,2015-11-05,32,1640.00,163080.00,102.00,97.00,100.00
223,2015-11-08,2,50.00,4960.00,100.00,99.00,100.00
224,2015-11-09,20,800.00,80000.00,100.00,100.00,100.00
225,2015-11-10,19,920.00,89180.00,100.00,95.00,96.00
226,2015-11-15,7,380.00,37220.00,99.00,97.00,98.00
227,2015-11-16,13,2320.00,226760.00,98.00,97.00,97.00
