S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-12-06,6,210.00,217450.00,1040.00,1020.00,1040.00
2,2020-12-07,4,265.00,272950.00,1030.00,1030.00,1030.00
3,2020-12-08,7,330.00,337100.00,1026.00,1020.00,1020.00
4,2020-12-09,2,50.00,52000.00,1040.00,1040.00,1040.00
5,2020-12-10,1,50.00,52000.00,1040.00,1040.00,1040.00
6,2020-12-15,1,25.00,26000.00,1040.00,1040.00,1040.00
7,2020-12-22,1,100.00,103000.00,1030.00,1030.00,1030.00
8,2020-12-23,1,25.00,25625.00,1025.00,1025.00,1025.00
9,2020-12-24,1,25.00,26000.00,1040.00,1040.00,1040.00
10,2020-12-27,2,125.00,131450.00,1052.00,1050.00,1052.00
11,2020-12-28,2,35.00,36550.00,1055.00,1040.00,1055.00
12,2020-12-29,2,50.00,52625.00,1055.00,1050.00,1055.00
13,2020-12-31,2,225.00,237500.00,1056.00,1055.00,1055.00
14,2021-01-10,3,80.00,84455.00,1056.00,1055.00,1056.00
15,2021-01-11,1,12.00,12720.00,1060.00,1060.00,1060.00
16,2021-01-12,1,25.00,26625.00,1065.00,1065.00,1065.00
17,2021-01-17,2,63.00,66150.00,1050.00,1050.00,1050.00
18,2021-01-20,3,495.00,519750.00,1050.00,1050.00,1050.00
19,2021-01-21,2,680.00,714000.00,1050.00,1050.00,1050.00
20,2021-01-24,2,75.00,78375.00,1045.00,1045.00,1045.00
21,2021-01-25,5,665.00,700300.00,1055.00,1040.00,1050.00
22,2021-01-26,1,50.00,52500.00,1050.00,1050.00,1050.00
23,2021-01-27,2,970.00,1027700.00,1060.00,1040.00,1060.00
24,2021-01-28,1,1000.00,1061000.00,1061.00,1061.00,1061.00
25,2021-01-31,1,25.00,26125.00,1045.00,1045.00,1045.00
26,2021-02-04,1,100.00,104500.00,1045.00,1045.00,1045.00
27,2021-02-07,1,25.00,26025.00,1041.00,1041.00,1041.00
28,2021-02-08,2,50.00,52050.00,1041.00,1041.00,1041.00
29,2021-02-09,2,75.00,79575.00,1041.00,1041.00,1061.00
30,2021-02-11,1,25.00,26150.00,1046.00,1046.00,1046.00
31,2021-02-14,1,25.00,26000.00,1040.00,1040.00,1040.00
32,2021-02-15,1,25.00,26000.00,1040.00,1040.00,1040.00
33,2021-02-16,2,50.00,53000.00,1060.00,1060.00,1060.00
34,2021-02-18,1,25.00,26000.00,1040.00,1040.00,1040.00
35,2021-02-22,2,50.00,52075.00,1043.00,1040.00,1043.00
36,2021-02-23,3,75.00,79125.00,1065.00,1050.00,1065.00
37,2021-02-25,1,25.00,26325.00,1053.00,1053.00,1053.00
38,2021-03-02,1,25.00,26325.00,1053.00,1053.00,1053.00
39,2021-03-04,1,25.00,26275.00,1051.00,1051.00,1051.00
40,2021-03-07,1,75.00,80400.00,1072.00,1072.00,1072.00
41,2021-03-09,1,25.00,27325.00,1093.00,1093.00,1093.00
42,2021-03-14,1,25.00,26800.00,1072.00,1072.00,1072.00
43,2021-03-16,1,30.00,31560.00,1052.00,1052.00,1052.00
44,2021-03-17,1,50.00,52750.00,1055.00,1055.00,1055.00
45,2021-03-22,1,25.00,26900.00,1076.00,1076.00,1076.00
46,2021-04-01,1,25.00,26375.00,1055.00,1055.00,1055.00
47,2021-04-06,1,25.00,26125.00,1045.00,1045.00,1045.00
48,2021-04-07,4,125.00,131000.00,1050.00,1045.00,1050.00
49,2021-04-08,1,25.00,26250.00,1050.00,1050.00,1050.00
50,2021-04-12,2,50.00,52375.00,1050.00,1045.00,1050.00
51,2021-04-13,1,25.00,26250.00,1050.00,1050.00,1050.00
52,2021-04-15,2,75.00,78825.00,1051.00,1051.00,1051.00
53,2021-04-18,1,150.00,158250.00,1055.00,1055.00,1055.00
54,2021-04-25,1,25.00,26125.00,1045.00,1045.00,1045.00
55,2021-04-27,1,50.00,53250.00,1065.00,1065.00,1065.00
56,2021-04-29,1,10.00,10460.00,1046.00,1046.00,1046.00
57,2021-05-02,1,25.00,26150.00,1046.00,1046.00,1046.00
58,2021-05-05,1,25.00,26125.00,1045.00,1045.00,1045.00
59,2021-05-10,3,75.00,78425.00,1046.00,1045.00,1046.00
60,2021-05-11,1,25.00,26150.00,1046.00,1046.00,1046.00
61,2021-05-13,2,50.00,52750.00,1055.00,1055.00,1055.00
62,2021-05-17,2,50.00,52525.00,1055.00,1046.00,1055.00
63,2021-05-20,1,25.00,26250.00,1050.00,1050.00,1050.00
64,2021-05-23,1,50.00,52300.00,1046.00,1046.00,1046.00
65,2021-05-30,1,25.00,26375.00,1055.00,1055.00,1055.00
66,2021-06-07,3,150.00,156850.00,1050.00,1044.00,1045.00
67,2021-06-09,1,25.00,26375.00,1055.00,1055.00,1055.00
68,2021-06-14,2,45.00,47600.00,1060.00,1055.00,1060.00
69,2021-06-15,1,25.00,27025.00,1081.00,1081.00,1081.00
70,2021-06-29,1,25.00,26625.00,1065.00,1065.00,1065.00
71,2021-07-06,1,25.00,26750.00,1070.00,1070.00,1070.00
72,2021-07-08,1,10.00,10700.00,1070.00,1070.00,1070.00
73,2021-07-13,3,85.00,94690.00,1128.00,1085.00,1128.00
