S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-02-25,2,30.00,3880.00,130.00,128.00,128.00
2,2020-02-26,1,10.00,1260.00,126.00,126.00,126.00
3,2020-03-01,5,290.00,35540.00,124.00,120.00,120.00
4,2020-03-03,1,10.00,1180.00,118.00,118.00,118.00
5,2020-03-05,9,160.00,17370.00,116.00,107.00,107.00
6,2020-03-11,30,2130.00,210300.00,105.00,97.00,97.00
7,2020-03-12,20,1390.00,131710.00,96.00,88.00,88.00
8,2020-03-15,1,50.00,4350.00,87.00,87.00,87.00
9,2020-03-16,2,80.00,6880.00,86.00,86.00,86.00
10,2020-03-18,1,40.00,3400.00,85.00,85.00,85.00
11,2020-03-22,5,220.00,18240.00,84.00,82.00,82.00
12,2020-06-29,28,2190.00,186780.00,87.00,85.00,86.00
13,2020-06-30,16,1800.00,154510.00,88.00,85.00,88.00
14,2020-07-01,2,70.00,6460.00,93.00,92.00,93.00
15,2020-07-02,1,10.00,920.00,92.00,92.00,92.00
16,2020-07-05,8,350.00,31520.00,91.00,89.00,91.00
17,2020-07-06,2,70.00,6300.00,90.00,90.00,90.00
18,2020-07-07,2,100.00,8900.00,89.00,89.00,89.00
19,2020-07-08,5,190.00,17490.00,93.00,90.00,90.00
20,2020-07-09,80,6340.00,580350.00,96.00,89.00,95.00
21,2020-07-12,72,3520.00,337870.00,99.00,94.00,98.00
22,2020-07-13,6,180.00,17960.00,102.00,98.00,98.00
23,2020-07-14,63,3800.00,384980.00,107.00,98.00,102.00
24,2020-07-15,36,3680.00,385840.00,112.00,102.00,106.00
25,2020-07-16,1,30.00,3120.00,104.00,104.00,104.00
26,2020-07-20,4,100.00,10200.00,102.00,102.00,102.00
27,2020-07-21,93,206160.00,20579650.00,100.00,92.00,92.00
28,2020-07-22,31,1910.00,168280.00,98.00,86.00,97.00
29,2020-07-23,1,20.00,1920.00,96.00,96.00,96.00
30,2020-07-26,74,11360.00,1122190.00,102.00,94.00,95.00
31,2020-07-27,3,60.00,5630.00,94.00,93.00,93.00
32,2020-07-28,15,540.00,48520.00,92.00,88.00,91.00
33,2020-07-29,19,900.00,84600.00,96.00,91.00,91.00
34,2020-07-30,21,800.00,73250.00,94.00,90.00,91.00
35,2020-08-02,106,7960.00,739280.00,98.00,88.00,97.00
36,2020-08-03,36,13940.00,1406280.00,101.00,95.00,95.00
37,2020-08-06,44,1770.00,153820.00,94.00,86.00,90.00
38,2020-08-09,16,500.00,45210.00,92.00,89.00,89.00
39,2020-08-10,136,5060.00,435630.00,93.00,81.00,92.00
40,2020-08-11,9,280.00,26780.00,97.00,94.00,94.00
41,2020-08-12,3,40.00,3670.00,93.00,91.00,91.00
42,2020-08-13,17,570.00,50690.00,90.00,87.00,87.00
43,2020-08-16,27,1080.00,97220.00,93.00,86.00,92.00
44,2020-08-17,2,100.00,9550.00,96.00,95.00,95.00
45,2020-08-18,9,200.00,19030.00,99.00,93.00,93.00
46,2020-08-19,6,220.00,19940.00,92.00,90.00,90.00
47,2020-08-20,34,1760.00,153720.00,91.00,85.00,90.00
48,2020-08-24,10,250.00,22990.00,94.00,90.00,92.00
49,2020-08-25,1,40.00,3840.00,96.00,96.00,96.00
50,2020-08-26,16,2152.00,206024.00,98.00,95.00,97.00
51,2020-08-27,87,41140.00,4218970.00,105.00,88.00,95.00
52,2020-08-30,4,40.00,3900.00,99.00,96.00,96.00
53,2020-08-31,191,13068.00,1164774.00,100.00,87.00,89.00
54,2020-09-02,211,15150.00,1416378.00,97.00,89.00,97.00
55,2020-09-03,180,51010.00,5173190.00,102.00,92.00,99.00
56,2020-09-06,101,13220.00,1278160.00,103.00,90.00,95.00
57,2020-09-07,29,1480.00,144090.00,99.00,96.00,96.00
58,2020-09-08,96,5840.00,535360.00,100.00,90.00,94.00
59,2020-09-09,73,4080.00,371480.00,93.00,90.00,92.00
60,2020-09-10,46,7560.00,680820.00,96.00,89.00,91.00
61,2020-09-13,96,5010.00,453440.00,92.00,89.00,92.00
62,2020-09-14,141,11890.00,1130830.00,98.00,90.00,96.00
63,2020-09-15,207,40080.00,3673555.00,99.00,90.00,96.00
64,2020-09-16,342,184325.00,18318110.00,104.00,89.00,100.00
65,2020-09-17,1139,433991.00,45276065.00,110.00,98.00,110.00
66,2020-09-20,407,116385.00,12228071.00,118.00,99.00,99.00
67,2020-09-21,347,75870.00,7481890.00,103.00,97.00,97.00
68,2020-09-22,214,38150.00,3635365.00,101.00,93.00,94.00
69,2020-09-23,258,82984.00,7817922.00,100.00,92.00,93.00
70,2020-09-24,482,152597.00,15291580.00,102.00,97.00,102.00
71,2020-09-27,1453,1358565.00,142797979.00,112.00,100.00,108.00
72,2020-09-28,880,869603.00,93263456.00,115.00,106.00,109.00
73,2020-09-29,1156,930009.00,106276137.00,119.00,109.00,119.00
74,2020-09-30,1340,651062.00,82975204.00,130.00,122.00,130.00
75,2020-10-01,1104,360149.00,47058118.00,142.00,123.00,125.00
76,2020-10-04,1364,734939.00,88344543.00,125.00,113.00,118.00
77,2020-10-05,991,593558.00,73690968.00,129.00,116.00,127.00
78,2020-10-06,1086,670394.00,89436637.00,139.00,127.00,136.00
79,2020-10-07,1422,752462.00,108885213.00,149.00,135.00,149.00
80,2020-10-08,1255,489272.00,69918077.00,154.00,135.00,143.00
81,2020-10-11,871,514551.00,70865424.00,145.00,133.00,136.00
82,2020-10-12,512,205483.00,27878494.00,140.00,133.00,135.00
83,2020-10-13,542,255970.00,33730916.00,140.00,126.00,131.00
84,2020-10-14,473,224477.00,28862118.00,137.00,124.00,128.00
85,2020-10-15,332,140114.00,17717545.00,133.00,125.00,125.00
86,2020-10-20,487,253736.00,34315461.00,137.00,127.00,137.00
87,2020-10-21,760,474192.00,66369006.00,145.00,136.00,140.00
88,2020-10-22,428,235638.00,32778170.00,142.00,136.00,137.00
89,2020-10-28,241,89007.00,12072233.00,139.00,134.00,137.00
90,2020-10-29,526,263536.00,37042164.00,144.00,136.00,140.00
91,2020-11-01,548,411789.00,58999625.00,146.00,139.00,143.00
92,2020-11-02,306,136345.00,19504053.00,150.00,141.00,142.00
93,2020-11-03,243,114057.00,16108449.00,144.00,139.00,142.00
94,2020-11-04,218,141312.00,20131835.00,144.00,141.00,142.00
95,2020-11-05,601,341199.00,49418670.00,147.00,141.00,146.00
96,2020-11-08,1062,616319.00,94225846.00,157.00,146.00,156.00
97,2020-11-09,654,392716.00,60603508.00,160.00,150.00,151.00
98,2020-11-10,417,285649.00,43846271.00,157.00,151.00,154.00
99,2020-11-11,283,144374.00,22114053.00,156.00,152.00,153.00
100,2020-11-12,377,263841.00,40031457.00,154.00,150.00,152.00
101,2020-11-18,308,194776.00,28861143.00,152.00,146.00,148.00
102,2020-11-19,455,345262.00,51585326.00,152.00,146.00,150.00
103,2020-11-22,388,187775.00,27662674.00,157.00,144.00,147.00
104,2020-11-23,301,199885.00,29121234.00,149.00,144.00,146.00
105,2020-11-24,419,192666.00,28749881.00,152.00,145.00,149.00
106,2020-11-25,350,251175.00,37454140.00,153.00,146.00,147.00
107,2020-11-26,457,257289.00,38258857.00,152.00,146.00,146.00
108,2020-11-29,374,135290.00,19699518.00,148.00,144.00,146.00
109,2020-11-30,551,301922.00,45486799.00,157.00,144.00,154.00
110,2020-12-01,297,97118.00,14627262.00,157.00,147.00,149.00
111,2020-12-02,375,242590.00,36314700.00,154.00,145.00,150.00
112,2020-12-03,264,125037.00,18231111.00,150.00,144.00,146.00
113,2020-12-06,266,95859.00,13389455.00,147.00,137.00,137.00
114,2020-12-07,299,119280.00,16504593.00,144.00,134.00,139.00
115,2020-12-08,381,183969.00,26494733.00,148.00,139.00,144.00
116,2020-12-09,229,81931.00,11614975.00,151.00,140.00,141.00
117,2020-12-10,201,77587.00,10844736.00,143.00,138.00,139.00
118,2020-12-13,219,78757.00,10894646.00,140.00,136.00,139.00
119,2020-12-14,234,69145.00,9506598.00,140.00,136.00,136.00
120,2020-12-15,260,102224.00,13818111.00,139.00,134.00,134.00
121,2020-12-16,187,42525.00,5776820.00,139.00,133.00,134.00
122,2020-12-17,223,109962.00,14525132.00,140.00,131.00,131.00
123,2020-12-20,317,128344.00,16014534.00,133.00,121.00,122.00
124,2020-12-21,264,88193.00,10768719.00,128.00,114.00,122.00
125,2020-12-22,196,43147.00,5414708.00,128.00,120.00,127.00
126,2020-12-23,198,70840.00,8894230.00,130.00,123.00,126.00
127,2020-12-24,119,35935.00,4448995.00,132.00,123.00,124.00
128,2020-12-27,161,70889.00,8598652.00,125.00,120.00,120.00
129,2020-12-28,212,84275.00,10061779.00,124.00,117.00,120.00
130,2020-12-29,146,32850.00,3879530.00,122.00,117.00,119.00
131,2020-12-30,152,65398.00,7658565.00,119.00,116.00,118.00
132,2020-12-31,173,42623.00,4998289.00,123.00,116.00,117.00
133,2021-01-03,192,52368.00,6274698.00,124.00,116.00,121.00
134,2021-01-04,233,94028.00,11631780.00,125.00,121.00,122.00
135,2021-01-05,560,290990.00,38152107.00,134.00,121.00,134.00
136,2021-01-06,345,118761.00,16000037.00,142.00,130.00,132.00
137,2021-01-07,224,73810.00,9741205.00,134.00,128.00,134.00
