S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2011-03-16,10,200.00,67000.00,335.00,335.00,335.00
2,2011-03-21,6,60.00,18870.00,329.00,302.00,302.00
3,2011-03-22,13,150.00,42620.00,295.00,272.00,272.00
4,2011-03-28,1,10.00,2670.00,267.00,267.00,267.00
5,2011-04-05,9,100.00,24930.00,262.00,241.00,241.00
6,2011-04-10,7,90.00,20330.00,237.00,217.00,217.00
7,2011-04-11,6,110.00,22290.00,213.00,196.00,196.00
8,2011-04-13,7,90.00,16740.00,193.00,178.00,178.00
9,2011-04-17,6,80.00,13390.00,175.00,161.00,161.00
10,2011-04-18,7,100.00,15080.00,158.00,147.00,147.00
11,2011-04-21,7,100.00,14040.00,145.00,139.00,139.00
12,2011-04-25,2,40.00,5440.00,137.00,135.00,135.00
13,2011-05-09,1,10.00,1300.00,130.00,130.00,130.00
14,2011-05-11,7,100.00,12020.00,124.00,117.00,117.00
15,2011-05-12,7,100.00,11100.00,115.00,107.00,107.00
16,2011-05-15,117,2310.00,227760.00,102.00,97.00,98.00
17,2011-05-16,84,1330.00,129370.00,98.00,95.00,98.00
18,2011-05-18,46,740.00,69280.00,97.00,92.00,93.00
19,2011-05-19,43,800.00,74260.00,95.00,89.00,89.00
20,2011-05-22,97,1430.00,128490.00,91.00,87.00,87.00
21,2011-05-23,12,200.00,17920.00,91.00,88.00,91.00
22,2011-05-24,20,340.00,30550.00,90.00,89.00,89.00
23,2011-05-25,46,850.00,71550.00,89.00,81.00,81.00
24,2011-05-26,45,990.00,80060.00,82.00,78.00,82.00
25,2011-05-30,24,240.00,19970.00,85.00,82.00,85.00
26,2011-05-31,16,230.00,18940.00,84.00,81.00,81.00
27,2011-06-01,10,150.00,11820.00,80.00,77.00,77.00
28,2011-06-02,29,380.00,30910.00,84.00,78.00,84.00
29,2011-06-05,50,610.00,48430.00,80.00,77.00,77.00
30,2011-06-06,54,1230.00,95220.00,78.00,75.00,77.00
31,2011-06-07,31,1090.00,83570.00,78.00,76.00,76.00
32,2011-06-08,18,430.00,32660.00,78.00,74.00,78.00
33,2011-06-09,27,480.00,34990.00,77.00,70.00,70.00
34,2011-06-12,40,770.00,55110.00,74.00,70.00,72.00
35,2011-06-13,18,320.00,22310.00,71.00,68.00,71.00
36,2011-06-14,28,340.00,23230.00,70.00,68.00,68.00
37,2011-06-15,43,720.00,48690.00,71.00,65.00,71.00
38,2011-06-16,19,320.00,22220.00,70.00,68.00,68.00
39,2011-06-19,7,70.00,4710.00,68.00,67.00,68.00
40,2011-06-20,10,190.00,13000.00,70.00,67.00,70.00
41,2011-06-21,23,400.00,30220.00,77.00,71.00,77.00
42,2011-06-23,2,40.00,3140.00,79.00,78.00,79.00
43,2011-06-29,44,870.00,67880.00,79.00,77.00,78.00
44,2011-07-03,26,450.00,33340.00,75.00,72.00,72.00
45,2011-07-04,13,170.00,12070.00,71.00,71.00,71.00
46,2011-07-05,7,290.00,20880.00,72.00,72.00,72.00
47,2011-07-06,23,370.00,25790.00,71.00,68.00,68.00
48,2011-07-07,28,530.00,33730.00,67.00,62.00,64.00
49,2011-07-10,23,670.00,44040.00,70.00,64.00,70.00
50,2011-07-11,12,300.00,21870.00,75.00,71.00,75.00
51,2011-07-12,9,260.00,19880.00,78.00,76.00,78.00
52,2011-07-13,26,650.00,52820.00,85.00,78.00,84.00
53,2011-07-14,20,710.00,60320.00,88.00,83.00,88.00
54,2011-07-17,1,20.00,1780.00,89.00,89.00,89.00
55,2011-07-18,1,30.00,2700.00,90.00,90.00,90.00
56,2011-07-19,13,180.00,16080.00,91.00,87.00,87.00
57,2011-07-20,1,40.00,3520.00,88.00,88.00,88.00
58,2011-07-21,9,130.00,11480.00,89.00,88.00,88.00
59,2011-07-25,3,110.00,9570.00,87.00,87.00,87.00
60,2011-07-27,4,100.00,8600.00,86.00,86.00,86.00
61,2011-07-31,4,40.00,3340.00,85.00,82.00,82.00
62,2011-08-01,2,30.00,2410.00,81.00,80.00,80.00
63,2011-08-02,15,160.00,12620.00,79.00,78.00,79.00
64,2011-08-04,162,2450.00,179410.00,78.00,72.00,73.00
