S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-05-22,301,8556.00,1232994.00,160.00,144.00,144.00
2,2019-05-23,61,3400.00,443740.00,145.00,130.00,130.00
3,2019-05-26,957,54300.00,6782720.00,134.00,117.00,134.00
4,2019-05-27,233,8888.00,1150560.00,132.00,123.00,131.00
5,2019-05-28,229,11700.00,1528500.00,133.00,128.00,133.00
6,2019-05-29,306,18950.00,2662110.00,146.00,131.00,146.00
7,2019-05-30,256,16414.00,2592910.00,160.00,148.00,160.00
8,2019-06-02,488,36836.00,5634956.00,168.00,147.00,152.00
9,2019-06-03,283,14610.00,2149070.00,155.00,144.00,155.00
10,2019-06-04,188,6100.00,921610.00,157.00,149.00,149.00
11,2019-06-06,166,3810.00,571080.00,154.00,148.00,149.00
12,2019-06-10,129,9085.00,1346700.00,154.00,146.00,147.00
13,2019-06-11,137,5020.00,748140.00,155.00,147.00,148.00
14,2019-06-12,109,3430.00,503860.00,155.00,144.00,148.00
15,2019-06-13,83,4250.00,624150.00,150.00,145.00,146.00
16,2019-06-16,111,3470.00,506950.00,152.00,145.00,152.00
17,2019-06-17,87,3990.00,588050.00,152.00,143.00,148.00
18,2019-06-18,57,1190.00,172800.00,146.00,142.00,146.00
19,2019-06-19,45,810.00,117650.00,153.00,144.00,144.00
20,2019-06-20,78,1580.00,228130.00,148.00,142.00,146.00
21,2019-06-23,39,800.00,116040.00,148.00,143.00,143.00
22,2019-06-24,44,1270.00,181380.00,144.00,141.00,142.00
23,2019-06-25,41,866.00,122912.00,144.00,140.00,142.00
24,2019-06-26,75,1950.00,279930.00,146.00,140.00,146.00
25,2019-06-27,72,2020.00,290930.00,148.00,143.00,144.00
26,2019-06-30,68,3730.00,532020.00,145.00,142.00,142.00
27,2019-07-01,100,6390.00,896660.00,144.00,139.00,141.00
28,2019-07-02,38,721.00,101717.00,143.00,139.00,141.00
29,2019-07-03,52,1100.00,154080.00,142.00,139.00,140.00
30,2019-07-04,41,1410.00,197740.00,142.00,139.00,140.00
31,2019-07-07,47,1340.00,187260.00,142.00,139.00,140.00
32,2019-07-08,49,1830.00,258190.00,150.00,139.00,140.00
33,2019-07-09,61,2186.00,307570.00,142.00,139.00,141.00
34,2019-07-10,47,1615.00,227690.00,142.00,139.00,140.00
35,2019-07-11,51,1720.00,239990.00,140.00,139.00,139.00
36,2019-07-14,66,1200.00,166570.00,140.00,138.00,139.00
37,2019-07-15,47,3030.00,423440.00,141.00,138.00,139.00
38,2019-07-16,33,1340.00,188120.00,142.00,139.00,139.00
39,2019-07-17,85,2630.00,367940.00,141.00,138.00,140.00
40,2019-07-18,30,680.00,95860.00,143.00,140.00,142.00
41,2019-07-21,2,40.00,5780.00,145.00,144.00,145.00
42,2019-07-22,51,1450.00,203110.00,143.00,139.00,143.00
43,2019-07-23,24,1230.00,170795.00,141.00,138.00,139.00
44,2019-07-24,49,2060.00,286530.00,142.00,138.00,138.00
45,2019-07-25,27,1335.00,184570.00,140.00,138.00,138.00
46,2019-07-28,73,11417.00,1510502.00,138.00,131.00,136.00
47,2019-07-29,28,3748.00,511848.00,138.00,134.00,134.00
48,2019-07-30,22,1610.00,218230.00,138.00,132.00,135.00
49,2019-07-31,21,990.00,134260.00,138.00,133.00,136.00
50,2019-08-01,39,830.00,114910.00,142.00,136.00,140.00
51,2019-08-04,35,730.00,99760.00,140.00,134.00,136.00
52,2019-08-05,27,650.00,88360.00,138.00,134.00,137.00
53,2019-08-06,29,690.00,92680.00,136.00,133.00,134.00
54,2019-08-07,65,3450.00,455660.00,136.00,131.00,131.00
55,2019-08-08,80,1900.00,250570.00,134.00,130.00,133.00
56,2019-08-11,57,1080.00,141080.00,132.00,130.00,132.00
57,2019-08-12,67,1385.00,180650.00,132.00,130.00,130.00
58,2019-08-13,71,1320.00,170320.00,132.00,127.00,128.00
59,2019-08-14,46,1030.00,134680.00,132.00,127.00,131.00
60,2019-08-15,40,896.00,115428.00,130.00,128.00,129.00
61,2019-08-18,47,760.00,96950.00,131.00,126.00,127.00
62,2019-08-19,43,1510.00,192910.00,130.00,125.00,128.00
63,2019-08-20,23,720.00,91280.00,128.00,125.00,127.00
64,2019-08-21,63,2420.00,302180.00,128.00,123.00,126.00
65,2019-08-22,65,1470.00,183960.00,126.00,124.00,125.00
66,2019-08-25,19,390.00,47840.00,123.00,121.00,123.00
67,2019-08-26,29,3150.00,391520.00,125.00,121.00,124.00
68,2019-08-27,33,640.00,79060.00,126.00,122.00,124.00
69,2019-08-28,17,1440.00,178570.00,125.00,122.00,122.00
70,2019-08-29,47,950.00,115830.00,123.00,120.00,123.00
71,2019-09-01,32,750.00,88840.00,121.00,117.00,119.00
72,2019-09-02,33,700.00,81750.00,118.00,116.00,116.00
73,2019-09-03,27,730.00,84880.00,118.00,114.00,116.00
74,2019-09-04,13,640.00,75800.00,121.00,114.00,119.00
75,2019-09-05,45,820.00,98350.00,125.00,118.00,119.00
76,2019-09-08,38,890.00,102250.00,117.00,113.00,114.00
77,2019-09-09,26,490.00,57020.00,120.00,112.00,119.00
78,2019-09-10,5,50.00,6170.00,127.00,121.00,127.00
79,2019-09-10,5,50.00,6170.00,127.00,121.00,127.00
80,2019-09-11,2,20.00,2480.00,125.00,123.00,123.00
81,2019-09-12,42,3310.00,375660.00,121.00,112.00,115.00
82,2019-09-15,28,1840.00,203160.00,113.00,107.00,108.00
83,2019-09-16,47,2030.00,216270.00,109.00,105.00,105.00
84,2019-09-17,20,986.00,106402.00,112.00,106.00,112.00
85,2019-09-18,30,840.00,93020.00,112.00,108.00,112.00
86,2019-09-19,28,702.00,78852.00,114.00,110.00,110.00
87,2019-09-22,12,240.00,25960.00,112.00,106.00,112.00
88,2019-09-23,13,190.00,21000.00,114.00,109.00,109.00
89,2019-09-24,24,1370.00,145550.00,109.00,102.00,106.00
90,2019-09-25,15,310.00,32480.00,106.00,104.00,106.00
91,2019-09-26,16,460.00,48080.00,112.00,102.00,112.00
