S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-01-28,9,300.00,344190.00,1200.00,1127.00,1127.00
2,2021-01-31,11,804.00,875660.00,1106.00,1080.00,1086.00
3,2021-02-01,2,75.00,82575.00,1107.00,1089.00,1089.00
4,2021-02-02,5,434.00,483610.00,1120.00,1103.00,1103.00
5,2021-02-03,3,105.00,116240.00,1108.00,1106.00,1108.00
6,2021-02-04,12,955.00,1083990.00,1150.00,1120.00,1150.00
7,2021-02-07,2,75.00,86250.00,1150.00,1150.00,1150.00
8,2021-02-08,10,753.00,856246.00,1173.00,1106.00,1173.00
9,2021-02-09,1,40.00,46800.00,1170.00,1170.00,1170.00
10,2021-02-10,5,215.00,252020.00,1173.00,1168.00,1168.00
11,2021-02-11,2,240.00,283200.00,1180.00,1180.00,1180.00
12,2021-02-14,2,125.00,146725.00,1175.00,1169.00,1175.00
13,2021-02-15,3,215.00,252700.00,1180.00,1170.00,1180.00
14,2021-02-16,3,135.00,159300.00,1180.00,1180.00,1180.00
15,2021-02-17,2,75.00,88625.00,1185.00,1180.00,1185.00
16,2021-02-18,2,110.00,129800.00,1180.00,1180.00,1180.00
17,2021-02-21,5,530.00,629165.00,1188.00,1180.00,1185.00
18,2021-02-23,3,124.00,146615.00,1185.00,1180.00,1185.00
19,2021-02-24,3,110.00,130670.00,1190.00,1185.00,1185.00
20,2021-02-25,2,75.00,87225.00,1165.00,1162.00,1165.00
21,2021-02-28,3,125.00,143150.00,1146.00,1145.00,1145.00
22,2021-03-01,1,90.00,105030.00,1167.00,1167.00,1167.00
23,2021-03-02,5,280.00,332700.00,1190.00,1170.00,1170.00
24,2021-03-03,1,10.00,11920.00,1192.00,1192.00,1192.00
25,2021-03-04,2,75.00,87825.00,1171.00,1171.00,1171.00
26,2021-03-14,1,25.00,28750.00,1150.00,1150.00,1150.00
27,2021-03-15,2,50.00,58650.00,1173.00,1173.00,1173.00
28,2021-03-16,3,125.00,146750.00,1175.00,1170.00,1175.00
29,2021-03-17,5,125.00,148220.00,1202.00,1179.00,1202.00
30,2021-03-22,2,100.00,120000.00,1200.00,1200.00,1200.00
31,2021-03-29,3,390.00,459540.00,1181.00,1176.00,1180.00
32,2021-03-31,4,114.00,132365.00,1165.00,1160.00,1160.00
33,2021-04-01,3,140.00,165620.00,1183.00,1183.00,1183.00
34,2021-04-07,4,75.00,87615.00,1180.00,1160.00,1180.00
35,2021-04-15,2,150.00,173800.00,1162.00,1157.00,1162.00
36,2021-04-19,3,700.00,827500.00,1185.00,1175.00,1175.00
37,2021-04-22,1,300.00,351300.00,1171.00,1171.00,1171.00
38,2021-04-26,3,1334.00,1580590.00,1185.00,1180.00,1185.00
39,2021-04-27,2,150.00,174300.00,1162.00,1162.00,1162.00
40,2021-05-02,1,50.00,59250.00,1185.00,1185.00,1185.00
41,2021-05-05,1,25.00,29625.00,1185.00,1185.00,1185.00
42,2021-05-06,2,75.00,88940.00,1186.00,1185.00,1186.00
43,2021-05-09,1,90.00,106650.00,1185.00,1185.00,1185.00
