S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-06-15,3,165.00,37455.00,227.00,227.00,227.00
2,2010-07-19,6,300.00,65900.00,223.00,219.00,219.00
3,2010-08-08,2,100.00,21500.00,215.00,215.00,215.00
4,2011-03-17,1,70.00,12600.00,180.00,180.00,180.00
5,2011-03-20,1,20.00,3660.00,183.00,183.00,183.00
6,2011-05-02,17,1020.00,178500.00,175.00,175.00,175.00
7,2011-08-02,12,910.00,156220.00,172.00,169.00,169.00
8,2011-09-15,2,140.00,23240.00,166.00,166.00,166.00
9,2012-01-22,1,35.00,5705.00,163.00,163.00,163.00
10,2012-02-12,1,35.00,5600.00,160.00,160.00,160.00
11,2012-02-27,4,160.00,24670.00,157.00,154.00,154.00
12,2012-03-28,2,70.00,10465.00,151.00,148.00,148.00
13,2012-07-12,1,90.00,12690.00,141.00,141.00,141.00
14,2012-07-30,7,80.00,10680.00,139.00,127.00,127.00
15,2012-07-31,6,60.00,7200.00,125.00,115.00,115.00
16,2013-06-06,6,70.00,7620.00,113.00,104.00,104.00
17,2013-06-09,9,170.00,16220.00,102.00,94.00,94.00
18,2013-06-10,9,90.00,8010.00,93.00,85.00,85.00
19,2013-06-11,9,200.00,15720.00,84.00,77.00,77.00
20,2013-06-12,8,500.00,36850.00,76.00,70.00,70.00
21,2013-06-13,11,340.00,21870.00,69.00,63.00,63.00
22,2013-06-16,15,810.00,46480.00,62.00,57.00,57.00
23,2013-06-17,7,320.00,16840.00,56.00,52.00,52.00
24,2013-06-18,9,450.00,21286.00,51.00,46.80,46.80
25,2013-06-19,16,1350.00,57495.00,45.86,42.12,42.50
26,2013-06-20,3,2050.00,85750.00,42.00,41.65,42.00
27,2013-07-02,5,100.00,4455.00,46.20,42.84,46.20
28,2013-07-03,12,1420.00,71883.00,50.82,47.12,50.82
29,2013-07-04,9,270.00,14650.00,55.00,51.00,55.00
30,2013-07-07,6,380.00,22080.00,59.00,56.00,59.00
31,2013-07-08,4,485.00,28400.00,60.00,58.00,58.00
32,2013-07-09,7,2560.00,150410.00,60.00,58.00,60.00
33,2013-07-10,5,720.00,44560.00,64.00,61.00,64.00
34,2013-07-11,7,2340.00,154370.00,67.00,65.00,66.00
35,2013-07-14,1,60.00,4020.00,67.00,67.00,67.00
36,2013-07-15,1,210.00,13860.00,66.00,66.00,66.00
37,2013-07-17,3,170.00,10950.00,65.00,64.00,64.00
38,2013-07-18,1,20.00,1280.00,64.00,64.00,64.00
39,2013-07-21,1,350.00,22050.00,63.00,63.00,63.00
40,2013-07-28,4,280.00,17640.00,63.00,63.00,63.00
41,2013-07-29,3,150.00,9250.00,62.00,61.00,62.00
42,2013-07-30,1,50.00,3050.00,61.00,61.00,61.00
43,2013-08-01,3,190.00,11260.00,60.00,59.00,59.00
44,2013-08-15,1,80.00,4640.00,58.00,58.00,58.00
45,2013-08-20,6,320.00,18700.00,59.00,57.00,59.00
46,2013-08-25,3,190.00,10900.00,58.00,57.00,57.00
47,2013-12-05,4,240.00,13920.00,58.00,58.00,58.00
48,2013-12-09,11,1930.00,118470.00,63.00,59.00,63.00
49,2013-12-10,3,540.00,35030.00,65.00,64.00,65.00
50,2013-12-11,7,530.00,36560.00,71.00,66.00,71.00
51,2013-12-12,2,360.00,26060.00,73.00,72.00,73.00
52,2013-12-15,4,730.00,55470.00,77.00,74.00,77.00
53,2013-12-16,2,160.00,12480.00,78.00,78.00,78.00
54,2013-12-18,2,240.00,18970.00,80.00,79.00,80.00
55,2013-12-19,2,360.00,28920.00,81.00,80.00,81.00
56,2013-12-24,1,100.00,8000.00,80.00,80.00,80.00
57,2016-06-16,1,10.00,816.00,81.60,81.60,81.60
58,2016-07-10,1,10.00,832.30,83.23,83.23,83.23
59,2016-07-13,4,40.00,3427.20,87.72,84.00,87.72
60,2016-07-25,2,30.00,2714.70,91.00,89.47,91.00
61,2016-08-14,1,10.00,920.00,92.00,92.00,92.00
62,2016-08-17,4,40.00,3861.90,99.00,93.84,99.00
63,2016-08-22,1,10.00,1000.00,100.00,100.00,100.00
64,2016-09-08,2,80.00,8300.00,104.00,102.00,104.00
65,2016-09-25,3,30.00,3240.00,110.00,106.00,110.00
66,2016-09-27,5,50.00,5800.00,120.00,112.00,120.00
67,2016-09-28,1,10.00,1260.00,126.00,126.00,126.00
68,2016-09-29,4,40.00,5240.00,134.00,128.00,134.00
69,2016-10-02,1,10.00,1400.00,140.00,140.00,140.00
70,2016-10-03,1,10.00,1470.00,147.00,147.00,147.00
71,2016-10-04,1,10.00,1540.00,154.00,154.00,154.00
72,2016-11-09,2,240.00,38640.00,161.00,161.00,161.00
73,2016-11-13,3,30.00,5010.00,170.00,164.00,170.00
74,2016-11-15,2,20.00,3490.00,176.00,173.00,176.00
75,2016-11-22,2,20.00,3610.00,182.00,179.00,182.00
76,2016-11-23,2,20.00,3730.00,188.00,185.00,188.00
77,2016-11-24,6,60.00,11920.00,206.00,191.00,206.00
78,2016-11-27,2,19010.00,4068100.00,214.00,210.00,214.00
79,2016-12-05,4,40.00,8960.00,230.00,218.00,230.00
80,2016-12-07,5,50.00,12100.00,250.00,234.00,250.00
81,2016-12-08,4,40.00,10500.00,270.00,255.00,270.00
82,2016-12-11,4,40.00,11300.00,290.00,275.00,290.00
83,2016-12-12,5,50.00,15310.00,318.00,295.00,318.00
84,2016-12-18,5,50.00,16800.00,348.00,324.00,348.00
85,2016-12-19,5,96.00,35328.00,382.00,354.00,382.00
86,2016-12-20,3,30.00,11880.00,403.00,389.00,403.00
87,2016-12-21,5,364.00,160452.00,443.00,411.00,443.00
88,2016-12-22,4,40.00,18580.00,478.00,451.00,478.00
89,2016-12-26,4,40.00,20030.00,515.00,487.00,515.00
90,2016-12-27,6,76.00,41976.00,566.00,525.00,566.00
91,2016-12-28,5,90.00,53220.00,612.00,577.00,612.00
92,2016-12-29,10,37500.00,23400000.00,624.00,624.00,624.00
93,2017-01-01,2,180.00,116520.00,648.00,636.00,648.00
94,2017-01-02,4,16160.00,11294020.00,699.00,660.00,699.00
95,2017-01-03,3,60.00,43420.00,726.00,712.00,726.00
96,2017-01-04,3,30.00,22630.00,769.00,740.00,769.00
97,2017-01-05,5,5922.00,4781258.00,845.00,784.00,845.00
98,2017-01-08,5,50.00,44750.00,929.00,861.00,929.00
99,2017-01-09,26,4583.00,4667369.00,1021.00,947.00,1021.00
100,2017-01-10,141,42438.00,47374580.00,1123.00,1041.00,1123.00
101,2017-01-11,78,9802.00,10412380.00,1125.00,1034.00,1053.00
102,2017-01-12,62,7578.00,7699315.00,1050.00,1000.00,1007.00
103,2017-01-15,32,4293.00,4222272.00,1005.00,960.00,1005.00
104,2017-01-16,6,850.00,831400.00,990.00,971.00,980.00
105,2017-01-17,31,4721.00,4586925.00,984.00,950.00,984.00
106,2017-01-18,12,981.00,967045.00,995.00,980.00,992.00
107,2017-01-19,21,3296.00,3384196.00,1038.00,1000.00,1038.00
108,2017-01-22,7,448.00,467060.00,1049.00,1018.00,1018.00
109,2017-01-23,8,660.00,669660.00,1025.00,1004.00,1004.00
110,2017-01-24,17,1012.00,1015190.00,1020.00,990.00,990.00
111,2017-01-25,24,2640.00,2606500.00,1006.00,960.00,975.00
112,2017-01-26,15,654.00,627530.00,970.00,950.00,969.00
113,2017-01-30,25,1962.00,1748110.00,970.00,873.00,873.00
114,2017-01-31,20,2150.00,1869690.00,890.00,852.00,855.00
115,2017-02-01,12,1315.00,1177225.00,910.00,872.00,895.00
116,2017-02-02,10,2200.00,1960900.00,895.00,890.00,890.00
117,2017-02-05,8,636.00,572580.00,905.00,900.00,900.00
118,2017-02-06,4,220.00,195240.00,890.00,882.00,890.00
119,2017-02-07,8,1498.00,1326650.00,890.00,874.00,885.00
120,2017-02-08,7,390.00,336590.00,890.00,858.00,858.00
121,2017-02-09,5,350.00,295050.00,850.00,835.00,835.00
122,2017-02-12,29,2983.00,2380559.00,820.00,752.00,752.00
123,2017-02-13,10,742.00,540043.00,740.00,709.00,710.00
124,2017-02-14,3,140.00,101640.00,748.00,720.00,748.00
125,2017-02-15,7,295.00,233495.00,820.00,762.00,820.00
126,2017-02-16,31,2308.00,2059666.00,902.00,836.00,902.00
127,2017-02-19,35,2892.00,2825336.00,992.00,900.00,992.00
128,2017-02-20,37,3656.00,3822696.00,1091.00,992.00,992.00
129,2017-02-21,19,1590.00,1569245.00,1011.00,972.00,972.00
130,2017-02-22,5,430.00,412600.00,975.00,954.00,960.00
131,2017-02-23,7,790.00,761100.00,970.00,932.00,932.00
132,2017-02-26,8,1118.00,1010286.00,920.00,900.00,902.00
133,2017-02-28,2,150.00,135300.00,902.00,902.00,902.00
134,2017-03-01,6,350.00,325330.00,956.00,920.00,956.00
135,2017-03-02,8,690.00,650245.00,958.00,937.00,958.00
136,2017-03-05,39,15894.00,16382645.00,1053.00,977.00,1050.00
137,2017-03-06,23,1977.00,2062995.00,1071.00,1015.00,1015.00
138,2017-03-07,10,865.00,873960.00,1014.00,995.00,995.00
139,2017-03-09,9,388.00,392690.00,1015.00,990.00,1010.00
140,2017-03-13,3,128.00,129280.00,1010.00,1010.00,1010.00
141,2017-03-14,9,507.00,509600.00,1010.00,1000.00,1000.00
142,2017-03-15,8,796.00,806550.00,1035.00,995.00,1025.00
143,2017-03-16,7,910.00,921200.00,1020.00,1005.00,1015.00
144,2017-03-19,18,2360.00,2464794.00,1075.00,1020.00,1075.00
145,2017-03-20,50,13449.00,15433602.00,1182.00,1075.00,1182.00
146,2017-03-21,61,8373.00,10006326.00,1219.00,1165.00,1219.00
147,2017-03-22,31,3329.00,4052200.00,1270.00,1176.00,1200.00
148,2017-03-23,34,4011.00,4895276.00,1252.00,1160.00,1208.00
149,2017-03-26,45,8106.00,10470710.00,1328.00,1232.00,1328.00
150,2017-03-28,26,3783.00,5434480.00,1460.00,1327.00,1460.00
151,2017-03-29,41,4538.00,6918992.00,1600.00,1489.00,1500.00
152,2017-03-30,38,4914.00,7231379.00,1505.00,1441.00,1442.00
153,2017-04-02,6,1058.00,1675098.00,1586.00,1470.00,1586.00
154,2017-04-03,96,11251.00,18825988.00,1744.00,1600.00,1610.00
155,2017-04-04,45,5847.00,9566190.00,1695.00,1578.00,1620.00
156,2017-04-06,16,1932.00,3124016.00,1652.00,1607.00,1630.00
157,2017-04-09,27,3317.00,5686298.00,1775.00,1616.00,1740.00
158,2017-04-10,28,4884.00,8843750.00,1914.00,1740.00,1914.00
159,2017-04-11,35,2290.00,4407240.00,1991.00,1805.00,1944.00
160,2017-04-12,11,1180.00,2198480.00,1920.00,1840.00,1848.00
161,2017-04-13,45,3427.00,5969813.00,1815.00,1710.00,1765.00
162,2017-04-16,30,1920.00,3239590.00,1750.00,1650.00,1685.00
163,2017-04-18,28,2218.00,3648289.00,1690.00,1570.00,1670.00
164,2017-04-19,30,3816.00,6616740.00,1819.00,1680.00,1819.00
165,2017-04-20,25,3210.00,5648470.00,1887.00,1740.00,1745.00
166,2017-04-23,21,2914.00,5112530.00,1780.00,1730.00,1730.00
167,2017-04-24,21,1980.00,3459410.00,1810.00,1700.00,1730.00
168,2017-04-25,30,4215.00,7277110.00,1769.00,1663.00,1751.00
169,2017-04-26,3,650.00,1146000.00,1770.00,1760.00,1770.00
170,2017-04-27,151,19383.00,36665494.00,1947.00,1800.00,1947.00
171,2017-04-30,92,11223.00,21300049.00,1985.00,1855.00,1897.00
172,2017-05-02,24,2910.00,5438220.00,1910.00,1860.00,1860.00
173,2017-05-03,31,3052.00,5714084.00,1900.00,1860.00,1885.00
174,2017-05-04,10,1770.00,3299750.00,1880.00,1860.00,1861.00
175,2017-05-07,79,7192.00,13460807.00,1900.00,1841.00,1841.00
176,2017-05-08,53,4865.00,9131567.00,1910.00,1850.00,1895.00
177,2017-05-09,59,5845.00,11146250.00,1930.00,1860.00,1901.00
178,2017-05-11,60,5230.00,9951420.00,1920.00,1885.00,1885.00
179,2017-05-15,63,3784.00,7294310.00,1954.00,1900.00,1920.00
180,2017-05-16,82,7762.00,14657476.00,1920.00,1874.00,1877.00
181,2017-05-17,157,13564.00,25706838.00,1919.00,1881.00,1900.00
182,2017-05-18,104,15297.00,16548841.00,1100.00,1020.00,1100.00
183,2017-05-21,197,23680.00,28371626.00,1210.00,1122.00,1210.00
184,2017-05-22,87,6142.00,7420065.00,1240.00,1200.00,1200.00
185,2017-05-23,35,2255.00,2714320.00,1225.00,1180.00,1180.00
