S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-07-08,7,70.00,23052.00,343.20,312.00,343.20
2,2019-07-09,27,2030.00,731180.00,377.00,360.00,377.00
3,2019-07-10,117,1170.00,483990.00,414.00,395.00,414.00
4,2019-07-11,2546,33978.00,13894370.00,442.00,395.00,396.00
5,2019-07-14,824,9560.00,3713690.00,398.00,378.00,386.00
6,2019-07-15,410,6312.00,2471492.00,399.00,384.00,393.00
7,2019-07-16,253,3470.00,1373900.00,400.00,391.00,400.00
8,2019-07-17,292,3115.00,1231855.00,398.00,394.00,395.00
9,2019-07-18,295,3580.00,1414180.00,400.00,390.00,393.00
10,2019-07-21,284,4220.00,1651860.00,394.00,389.00,393.00
11,2019-07-22,176,2380.00,932410.00,394.00,388.00,392.00
12,2019-07-23,295,4115.00,1629155.00,400.00,391.00,394.00
13,2019-07-24,357,8278.00,3322862.00,405.00,394.00,404.00
14,2019-07-25,186,4425.00,1766585.00,404.00,393.00,399.00
15,2019-07-28,369,7960.00,3223210.00,413.00,399.00,411.00
16,2019-07-29,371,7883.00,3316990.00,440.00,410.00,440.00
17,2019-07-30,474,16362.00,7431797.00,466.00,440.00,461.00
18,2019-07-31,387,16916.00,7949635.00,503.00,451.00,500.00
19,2019-08-01,463,17210.00,8921130.00,550.00,487.00,533.00
20,2019-08-04,486,14349.00,7548883.00,551.00,491.00,507.00
21,2019-08-05,387,10930.00,5330434.00,513.00,467.00,471.00
22,2019-08-06,293,5996.00,2674734.00,470.00,439.00,468.00
23,2019-08-07,222,8803.00,4216283.00,502.00,437.00,490.00
24,2019-08-08,159,3480.00,1645934.00,485.00,464.00,477.00
25,2019-08-11,180,2700.00,1272110.00,486.00,456.00,474.00
26,2019-08-12,202,5140.00,2472120.00,495.00,470.00,480.00
27,2019-08-13,215,4465.00,2157290.00,490.00,475.00,481.00
28,2019-08-14,124,2635.00,1258090.00,486.00,473.00,475.00
29,2019-08-15,72,1190.00,561940.00,484.00,468.00,478.00
30,2019-08-18,133,2520.00,1177090.00,485.00,463.00,467.00
31,2019-08-19,137,3469.00,1643680.00,480.00,459.00,474.00
32,2019-08-20,112,2380.00,1121750.00,483.00,467.00,470.00
33,2019-08-21,133,5410.00,2501695.00,470.00,455.00,462.00
34,2019-08-22,87,2455.00,1139400.00,470.00,460.00,465.00
35,2019-08-25,85,2820.00,1284750.00,465.00,453.00,453.00
36,2019-08-26,91,3185.00,1444960.00,460.00,450.00,451.00
37,2019-08-27,80,1735.00,799905.00,469.00,442.00,457.00
38,2019-08-28,60,2270.00,1027200.00,458.00,450.00,452.00
39,2019-08-29,84,2280.00,1022260.00,455.00,445.00,455.00
40,2019-09-01,62,1030.00,460915.00,455.00,445.00,450.00
41,2019-09-02,76,1260.00,552790.00,450.00,436.00,437.00
42,2019-09-03,109,1720.00,756960.00,455.00,430.00,454.00
43,2019-09-04,68,1340.00,607788.00,463.00,445.00,457.00
44,2019-09-05,78,1320.00,594340.00,460.00,443.00,448.00
45,2019-09-08,82,1764.00,787000.00,455.00,440.00,445.00
46,2019-09-09,75,1200.00,527190.00,445.00,436.00,438.00
47,2019-09-10,56,1020.00,444380.00,440.00,432.00,436.00
48,2019-09-10,56,1020.00,444380.00,440.00,432.00,436.00
49,2019-09-11,53,1070.00,463870.00,439.00,431.00,431.00
50,2019-09-12,39,555.00,240085.00,436.00,428.00,431.00
51,2019-09-15,63,1330.00,568630.00,435.00,420.00,421.00
52,2019-09-16,98,1390.00,576370.00,422.00,411.00,419.00
53,2019-09-17,56,2320.00,1011310.00,439.00,419.00,439.00
54,2019-09-18,90,2823.00,1261710.00,459.00,436.00,456.00
55,2019-09-19,114,2272.00,1016745.00,456.00,441.00,441.00
56,2019-09-22,89,1658.00,707778.00,440.00,423.00,429.00
57,2019-09-23,36,998.00,421338.00,433.00,419.00,432.00
58,2019-09-24,44,700.00,299705.00,435.00,424.00,435.00
59,2019-09-25,48,643.00,272396.00,439.00,421.00,428.00
60,2019-09-26,87,2136.00,906326.00,430.00,420.00,423.00
61,2019-09-29,52,1400.00,590160.00,431.00,420.00,424.00
62,2019-09-30,40,400.00,168680.00,425.00,418.00,424.00
63,2019-10-01,40,985.00,419250.00,430.00,417.00,430.00
64,2019-10-02,35,1040.00,437140.00,438.00,418.00,421.00
65,2019-10-03,8,170.00,72580.00,429.00,423.00,429.00
66,2019-10-10,5,110.00,46520.00,429.00,421.00,421.00
67,2019-10-14,25,340.00,142010.00,420.00,416.00,418.00
68,2019-10-15,10,100.00,41980.00,421.00,419.00,421.00
69,2019-10-16,18,190.00,79830.00,426.00,413.00,421.00
70,2019-10-17,37,730.00,306550.00,423.00,418.00,418.00
71,2019-10-20,38,830.00,344990.00,419.00,413.00,416.00
72,2019-10-21,35,560.00,234520.00,423.00,414.00,415.00
73,2019-10-22,31,390.00,162050.00,417.00,407.00,417.00
74,2019-10-23,21,300.00,124410.00,420.00,413.00,415.00
75,2019-10-24,37,910.00,380530.00,420.00,412.00,417.00
76,2019-10-31,57,2010.00,881040.00,456.00,425.00,435.00
77,2019-11-03,52,1280.00,559610.00,444.00,432.00,438.00
78,2019-11-04,46,1210.00,530550.00,442.00,434.00,438.00
79,2019-11-05,57,1345.00,590685.00,443.00,434.00,439.00
80,2019-11-06,83,3628.00,1616322.00,452.00,441.00,447.00
81,2019-11-07,45,1177.00,525886.00,451.00,441.00,451.00
82,2019-11-10,58,1060.00,471440.00,450.00,437.00,450.00
83,2019-11-11,109,5015.00,2347295.00,487.00,445.00,480.00
84,2019-11-12,51,1650.00,767810.00,487.00,445.00,464.00
85,2019-11-13,55,2120.00,987246.00,471.00,455.00,470.00
86,2019-11-14,61,1050.00,487030.00,467.00,462.00,466.00
87,2019-11-17,53,2040.00,948010.00,471.00,460.00,470.00
88,2019-11-18,48,890.00,417480.00,472.00,465.00,470.00
89,2019-11-19,109,4202.00,2005554.00,488.00,465.00,475.00
90,2019-11-20,76,1768.00,847670.00,487.00,469.00,481.00
91,2019-11-21,48,1290.00,607720.00,477.00,467.00,470.00
92,2019-11-24,40,977.00,452084.00,470.00,461.00,464.00
93,2019-11-25,74,1941.00,896328.00,471.00,457.00,460.00
94,2019-11-26,37,1290.00,608050.00,475.00,460.00,469.00
95,2019-11-27,88,4416.00,2134200.00,487.00,470.00,485.00
96,2019-11-28,70,3280.00,1597648.00,493.00,481.00,483.00
97,2019-12-01,44,1405.00,678890.00,490.00,478.00,486.00
98,2019-12-02,67,4096.00,1988726.00,495.00,480.00,483.00
99,2019-12-03,64,5539.00,2711424.00,491.00,482.00,488.00
100,2019-12-04,120,10180.00,5076170.00,510.00,491.00,495.00
101,2019-12-05,104,4661.00,2365843.00,522.00,495.00,515.00
102,2019-12-08,131,8575.00,4475623.00,544.00,505.00,544.00
103,2019-12-09,142,11326.00,6445554.00,590.00,548.00,577.00
104,2019-12-10,124,9004.00,5132813.00,585.00,560.00,574.00
105,2019-12-11,149,8533.00,4980517.00,601.00,563.00,590.00
106,2019-12-12,130,10475.00,6075330.00,594.00,561.00,575.00
