S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-07-29,10,100.00,95257.00,989.10,890.00,989.10
2,2021-08-01,23,210.00,223780.00,1088.00,1007.70,1088.00
3,2021-08-02,19,132.00,147817.20,1131.80,1088.00,1131.80
4,2021-08-03,34,220.00,261929.00,1244.90,1131.80,1244.90
5,2021-08-04,25,160.00,209036.60,1369.30,1248.80,1369.30
6,2021-08-05,20,145.00,211095.20,1506.20,1369.30,1506.20
7,2021-08-08,50,308.00,492721.10,1656.80,1511.70,1656.80
8,2021-08-09,29,240.00,430418.50,1822.40,1688.80,1822.40
9,2021-08-10,25,250.00,497575.00,2004.60,1858.80,2004.60
10,2021-08-11,31,250.00,543906.90,2205.00,2004.60,2205.00
11,2021-08-12,40,320.00,768414.90,2425.50,2249.10,2425.50
