S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-05-12,3,250.00,80550.00,327.00,315.00,327.00
2,2010-05-13,5,670.00,223710.00,335.00,330.00,335.00
3,2010-05-16,2,100.00,33800.00,341.00,335.00,335.00
4,2010-05-20,4,130.00,42600.00,330.00,324.00,324.00
5,2010-05-25,1,580.00,190820.00,329.00,329.00,329.00
6,2010-05-26,1,200.00,66000.00,330.00,330.00,330.00
7,2010-06-10,3,527.00,169221.00,324.00,318.00,323.00
8,2010-06-13,1,100.00,31700.00,317.00,317.00,317.00
9,2010-07-06,1,13.00,4095.00,315.00,315.00,315.00
10,2010-08-05,11,1001.00,334132.00,340.00,321.00,340.00
11,2010-08-09,1,27.00,9018.00,334.00,334.00,334.00
12,2010-08-11,2,57.00,19002.00,336.00,331.00,336.00
13,2010-08-12,1,27.00,9207.00,341.00,341.00,341.00
14,2010-08-15,4,208.00,70990.00,342.00,340.00,340.00
15,2010-08-16,5,490.00,164170.00,336.00,334.00,334.00
16,2010-08-17,5,655.00,219610.00,340.00,333.00,340.00
17,2010-08-18,4,545.00,180375.00,335.00,330.00,331.00
18,2010-08-22,4,1285.00,427655.00,335.00,323.00,323.00
19,2010-08-26,1,25.00,8000.00,320.00,320.00,320.00
20,2010-09-02,1,30.00,9420.00,314.00,314.00,314.00
21,2010-09-05,3,375.00,114925.00,310.00,305.00,305.00
22,2010-09-06,1,30.00,9000.00,300.00,300.00,300.00
23,2010-09-12,1,225.00,67500.00,300.00,300.00,300.00
24,2010-09-13,3,80.00,23520.00,294.00,294.00,294.00
25,2010-09-26,2,220.00,63100.00,289.00,285.00,285.00
26,2010-09-29,1,20.00,5800.00,290.00,290.00,290.00
27,2010-10-05,2,300.00,87500.00,295.00,290.00,290.00
28,2010-11-11,2,45.00,13275.00,295.00,295.00,295.00
29,2010-11-25,1,60.00,18000.00,300.00,300.00,300.00
30,2010-11-28,6,966.00,291820.00,312.00,300.00,305.00
31,2010-11-29,1,20.00,6100.00,305.00,305.00,305.00
