S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-07,27,270.00,100700.00,388.00,360.00,388.00
2,2021-04-08,32,230.00,93202.00,426.00,388.00,426.00
3,2021-04-12,41,392.00,182191.00,468.00,426.00,468.00
4,2021-04-13,42,342.00,174172.00,514.00,477.00,514.00
5,2021-04-15,80,789.00,443499.00,565.00,501.00,565.00
6,2021-04-18,159,1508.00,932658.00,621.00,543.00,621.00
7,2021-04-19,153,1525.00,1040350.00,683.00,665.00,683.00
8,2021-04-20,301,2934.00,2201444.00,751.00,717.00,751.00
9,2021-04-21,1248,22373.00,18473471.00,826.00,788.00,826.00
10,2021-04-22,8494,122349.00,111051342.00,908.00,867.00,908.00
11,2021-04-25,21994,366208.00,338562727.00,998.00,860.00,873.00
12,2021-04-26,6898,90977.00,75693848.00,873.00,820.00,822.00
13,2021-04-27,4188,54524.00,46452932.00,901.00,788.00,863.00
14,2021-04-28,1887,25714.00,21970822.00,900.00,843.00,851.00
15,2021-04-29,1829,31245.00,26256510.00,889.00,828.00,842.00
16,2021-05-02,2624,41631.00,34713661.00,842.00,830.00,834.00
17,2021-05-03,2300,34916.00,29021977.00,845.00,828.00,829.00
18,2021-05-04,1978,24072.00,19848814.00,830.00,817.00,824.00
19,2021-05-05,1927,30354.00,24873343.00,830.00,817.00,819.00
20,2021-05-06,1898,28258.00,22991164.00,826.00,779.00,812.00
21,2021-05-09,1987,32208.00,25760043.00,812.00,795.00,798.00
22,2021-05-10,1602,31266.00,24890705.00,805.00,786.00,801.00
23,2021-05-11,1902,36055.00,29484275.00,829.00,791.00,826.00
24,2021-05-12,958,14414.00,11816986.00,835.00,810.00,817.00
25,2021-05-13,1054,16586.00,13470801.00,820.00,810.00,811.00
26,2021-05-16,2992,85168.00,71671081.00,892.00,810.00,865.00
27,2021-05-17,3443,140611.00,124391802.00,895.00,865.00,880.00
28,2021-05-18,2176,61744.00,54551329.00,890.00,867.00,875.00
29,2021-05-19,1414,50782.00,43689166.00,880.00,849.00,859.00
30,2021-05-20,1342,43451.00,37249609.00,869.00,846.00,852.00
31,2021-05-23,1422,47156.00,40343074.00,870.00,810.00,851.00
32,2021-05-24,1083,28804.00,24288344.00,853.00,835.00,842.00
33,2021-05-25,1808,56714.00,48817782.00,877.00,800.00,853.00
34,2021-05-27,938,30760.00,25865746.00,860.00,812.00,842.00
35,2021-05-30,1553,40929.00,34645787.00,864.00,833.00,840.00
36,2021-05-31,1303,41409.00,35053148.00,858.00,833.00,833.00
37,2021-06-01,859,17071.00,14169382.00,860.00,821.00,825.00
38,2021-06-02,919,31037.00,25598162.00,866.00,821.00,827.00
39,2021-06-03,1106,25325.00,20943235.00,846.00,822.00,824.00
40,2021-06-06,983,23696.00,19502581.00,832.00,818.00,823.00
41,2021-06-07,1071,29435.00,24211178.00,835.00,819.00,821.00
42,2021-06-08,1577,66308.00,54691948.00,846.00,816.00,844.00
43,2021-06-09,1043,33987.00,28673351.00,860.00,832.00,833.00
44,2021-06-10,883,18758.00,15570375.00,850.00,825.00,827.00
45,2021-06-13,1278,30095.00,24861456.00,837.00,815.00,822.00
46,2021-06-14,1237,28972.00,23832196.00,840.00,819.00,823.00
47,2021-06-15,1091,23191.00,19046397.00,840.00,818.00,820.00
48,2021-06-16,1034,29681.00,24021165.00,820.00,800.00,812.00
49,2021-06-17,951,18380.00,14943109.00,820.00,801.00,812.00
50,2021-06-20,1259,25125.00,20144272.00,820.00,794.00,799.00
51,2021-06-21,1004,23502.00,18517466.00,800.00,780.00,781.00
52,2021-06-22,709,14785.00,11623625.00,795.00,779.00,793.00
53,2021-06-23,624,15007.00,11772517.00,800.00,778.00,778.00
54,2021-06-24,734,16325.00,12599370.00,785.00,740.00,768.00
55,2021-06-27,950,16351.00,12477477.00,783.00,760.00,768.00
56,2021-06-28,723,10425.00,7978375.00,777.00,760.00,763.00
57,2021-06-29,764,13622.00,10321178.00,765.00,751.00,751.00
58,2021-06-30,740,16555.00,12170208.00,750.00,728.00,744.00
59,2021-07-01,812,15500.00,11533022.00,753.00,731.00,742.00
60,2021-07-04,953,14387.00,10655350.00,755.00,735.00,742.00
61,2021-07-05,746,10028.00,7362327.00,745.00,731.00,733.00
62,2021-07-06,713,12200.00,8861431.00,735.00,722.00,725.00
63,2021-07-07,561,11568.00,8331990.00,725.00,717.00,723.00
64,2021-07-08,687,11506.00,8321395.00,734.00,711.00,730.00
65,2021-07-11,786,14994.00,11188027.00,756.00,730.00,756.00
66,2021-07-12,597,15758.00,11838065.00,793.00,739.00,741.00
67,2021-07-13,451,8051.00,5975610.00,755.00,730.00,744.00
68,2021-07-14,423,5945.00,4416145.00,781.00,736.00,744.00
69,2021-07-15,619,10633.00,7920269.00,755.00,731.00,745.00
70,2021-07-18,988,15732.00,11917187.00,775.00,740.00,774.50
71,2021-07-19,608,15381.00,11903247.60,790.00,755.00,770.00
72,2021-07-20,602,10932.00,8319658.00,765.00,760.00,764.00
73,2021-07-22,896,14497.00,11019531.20,765.00,755.00,765.00
