S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-01-07,1,10.00,2790.00,279.00,279.00,279.00
2,2019-01-09,4,80.00,21920.00,279.00,274.00,274.00
3,2019-01-16,3,50.00,13290.00,274.00,261.00,269.00
4,2019-01-17,4,70.00,17410.00,269.00,243.00,243.00
5,2019-01-23,3,500.00,115500.00,243.00,231.00,231.00
6,2019-01-29,1,20.00,4400.00,231.00,220.00,220.00
7,2019-02-07,3,60.00,12300.00,220.00,201.00,201.00
8,2019-02-10,1,20.00,3820.00,201.00,191.00,191.00
9,2019-02-26,3,60.00,10740.00,191.00,176.00,176.00
10,2019-03-03,1,10.00,1680.00,176.00,168.00,168.00
11,2019-03-05,1,20.00,3200.00,168.00,160.00,160.00
12,2019-04-09,3,50.00,7440.00,152.00,147.00,147.00
13,2019-05-13,1,20.00,2800.00,140.00,140.00,140.00
14,2019-05-14,3,50.00,6650.00,133.00,133.00,133.00
15,2019-05-23,4,70.00,8750.00,127.00,123.00,123.00
16,2019-05-26,13,210.00,23570.00,117.00,111.00,111.00
17,2019-05-28,2,20.00,2100.00,106.00,104.00,104.00
18,2019-05-29,148,2505.00,235870.00,99.00,94.00,94.00
19,2019-05-30,244,4586.00,435640.00,98.00,93.00,94.00
20,2019-06-02,59,1100.00,102890.00,95.00,91.00,95.00
21,2019-06-03,1,20.00,1880.00,94.00,94.00,94.00
22,2019-06-04,100,1800.00,163020.00,93.00,88.00,88.00
23,2019-06-06,98,1820.00,164350.00,92.00,89.00,92.00
24,2019-06-11,129,3610.00,340130.00,96.00,91.00,94.00
25,2019-06-12,50,790.00,70070.00,93.00,87.00,90.00
26,2019-06-13,33,600.00,51830.00,89.00,85.00,87.00
27,2019-06-16,37,660.00,56010.00,86.00,84.00,86.00
28,2019-06-17,28,480.00,40420.00,85.00,83.00,84.00
29,2019-06-18,25,480.00,40220.00,84.00,83.00,84.00
30,2019-06-19,14,260.00,21800.00,85.00,83.00,84.00
31,2019-06-20,16,470.00,38550.00,85.00,80.00,84.00
32,2019-06-23,30,640.00,53040.00,84.00,82.00,83.00
33,2019-06-24,35,760.00,62120.00,83.00,80.00,83.00
34,2019-06-25,23,390.00,32030.00,83.00,81.00,83.00
35,2019-06-26,38,760.00,62500.00,83.00,81.00,82.00
36,2019-06-27,25,480.00,39470.00,84.00,81.00,83.00
37,2019-06-30,46,860.00,69500.00,82.00,79.00,81.00
38,2019-07-01,53,950.00,75740.00,81.00,79.00,80.00
39,2019-07-02,29,530.00,42150.00,81.00,79.00,80.00
40,2019-07-03,39,1030.00,81760.00,80.00,78.00,78.00
41,2019-07-04,7,130.00,10240.00,79.00,78.00,79.00
42,2019-07-07,10,180.00,14160.00,80.00,78.00,79.00
43,2019-07-08,15,250.00,19530.00,79.00,78.00,78.00
44,2019-07-09,24,420.00,33100.00,81.00,77.00,79.00
45,2019-07-10,12,220.00,17220.00,79.00,78.00,79.00
46,2019-07-11,57,1050.00,81520.00,79.00,76.00,76.00
47,2019-07-14,16,290.00,21990.00,77.00,75.00,77.00
48,2019-07-15,5,100.00,7740.00,78.00,77.00,78.00
49,2019-07-16,19,370.00,28850.00,79.00,77.00,77.00
50,2019-07-17,15,450.00,35590.00,80.00,78.00,79.00
51,2019-07-18,7,170.00,13500.00,80.00,77.00,77.00
52,2019-07-21,17,270.00,21020.00,79.00,77.00,79.00
53,2019-07-22,19,520.00,40470.00,79.00,77.00,79.00
54,2019-07-23,14,280.00,22140.00,80.00,78.00,78.00
55,2019-07-24,25,430.00,33420.00,80.00,76.00,79.00
56,2019-07-25,17,380.00,30200.00,80.00,79.00,79.00
