S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-09,1,2000.00,2100000.00,1050.00,1050.00,1050.00
2,2020-09-22,4,125.00,128750.00,1030.00,1030.00,1030.00
3,2020-09-23,1,25.00,26250.00,1050.00,1050.00,1050.00
4,2020-09-28,3,100.00,105000.00,1050.00,1050.00,1050.00
5,2020-09-29,2,40.00,41500.00,1050.00,1030.00,1050.00
6,2020-10-01,1,30.00,31500.00,1050.00,1050.00,1050.00
7,2020-10-04,1,35.00,36750.00,1050.00,1050.00,1050.00
8,2020-10-05,1,25.00,26250.00,1050.00,1050.00,1050.00
9,2020-10-06,2,175.00,182250.00,1050.00,1040.00,1050.00
10,2020-10-19,1,35.00,36225.00,1035.00,1035.00,1035.00
11,2020-10-29,1,25.00,25875.00,1035.00,1035.00,1035.00
12,2020-11-11,2,55.00,57200.00,1040.00,1040.00,1040.00
13,2020-11-19,1,25.00,26250.00,1050.00,1050.00,1050.00
14,2020-11-22,2,100.00,105000.00,1050.00,1050.00,1050.00
15,2020-12-06,1,200.00,207000.00,1035.00,1035.00,1035.00
16,2020-12-07,1,25.00,25750.00,1030.00,1030.00,1030.00
17,2020-12-09,2,125.00,131250.00,1050.00,1050.00,1050.00
18,2020-12-10,5,2025.00,2117025.00,1050.00,1041.00,1050.00
19,2020-12-24,1,25.00,26025.00,1041.00,1041.00,1041.00
20,2020-12-29,1,10.00,10600.00,1060.00,1060.00,1060.00
21,2020-12-31,1,1140.00,1214100.00,1065.00,1065.00,1065.00
22,2021-01-03,2,100.00,107025.00,1075.00,1056.00,1075.00
23,2021-01-05,1,925.00,989750.00,1070.00,1070.00,1070.00
24,2021-01-06,2,150.00,161000.00,1075.00,1070.00,1075.00
25,2021-01-20,1,25.00,26750.00,1070.00,1070.00,1070.00
26,2021-01-21,3,500.00,527500.00,1055.00,1055.00,1055.00
27,2021-01-25,1,25.00,26250.00,1050.00,1050.00,1050.00
28,2021-01-27,1,65.00,67600.00,1040.00,1040.00,1040.00
29,2021-01-28,2,50.00,53000.00,1060.00,1060.00,1060.00
30,2021-02-01,2,20.00,21810.00,1100.00,1081.00,1100.00
31,2021-02-16,1,25.00,26950.00,1078.00,1078.00,1078.00
32,2021-02-18,3,50045.00,54047985.00,1080.00,1057.00,1080.00
33,2021-02-21,1,500.00,529500.00,1059.00,1059.00,1059.00
34,2021-02-23,4,225.00,237400.00,1060.00,1050.00,1058.00
35,2021-03-03,2,100.00,104550.00,1046.00,1045.00,1045.00
36,2021-03-07,1,25.00,26250.00,1050.00,1050.00,1050.00
37,2021-03-09,1,25.00,26250.00,1050.00,1050.00,1050.00
38,2021-03-10,3,180.00,190400.00,1065.00,1055.00,1065.00
39,2021-03-14,1,225.00,242775.00,1079.00,1079.00,1079.00
40,2021-03-16,1,25.00,26500.00,1060.00,1060.00,1060.00
41,2021-03-25,2,50.00,52875.00,1060.00,1055.00,1060.00
42,2021-04-07,1,50.00,53000.00,1060.00,1060.00,1060.00
43,2021-04-15,1,25.00,26500.00,1060.00,1060.00,1060.00
44,2021-04-19,1,25.00,26500.00,1060.00,1060.00,1060.00
45,2021-04-25,1,50.00,53000.00,1060.00,1060.00,1060.00
46,2021-05-13,1,205.00,218325.00,1065.00,1065.00,1065.00
47,2021-05-17,1,25.00,26275.00,1051.00,1051.00,1051.00
48,2021-05-19,1,25.00,26350.00,1054.00,1054.00,1054.00
49,2021-05-20,1,100.00,105000.00,1050.00,1050.00,1050.00
50,2021-05-23,1,25.00,26250.00,1050.00,1050.00,1050.00
51,2021-05-30,3,46.00,48535.00,1060.00,1051.00,1060.00
52,2021-06-03,5,177.00,188320.00,1070.00,1055.00,1070.00
53,2021-06-07,1,25.00,26750.00,1070.00,1070.00,1070.00
54,2021-06-10,1,25.00,26500.00,1060.00,1060.00,1060.00
55,2021-06-14,1,25.00,26400.00,1056.00,1056.00,1056.00
56,2021-06-15,2,50.00,53050.00,1066.00,1056.00,1066.00
57,2021-06-16,5,200.00,216700.00,1087.00,1080.00,1080.00
58,2021-06-17,1,20.00,21180.00,1059.00,1059.00,1059.00
59,2021-06-20,2,50.00,54000.00,1080.00,1080.00,1080.00
60,2021-06-21,4,135.00,144850.00,1080.00,1063.00,1065.00
61,2021-06-23,1,25.00,26625.00,1065.00,1065.00,1065.00
62,2021-06-29,1,50.00,54050.00,1081.00,1081.00,1081.00
63,2021-06-30,2,200.00,216000.00,1080.00,1080.00,1080.00
64,2021-07-01,3,50.00,53200.00,1065.00,1063.00,1065.00
65,2021-07-05,1,50.00,53250.00,1065.00,1065.00,1065.00
66,2021-07-12,3,130.00,142000.00,1107.00,1086.00,1107.00
67,2021-07-13,3,450.00,503750.00,1141.00,1107.00,1141.00
68,2021-08-11,5,1000.00,1118200.00,1118.20,1118.20,1118.20
