S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-19,32,9400.00,93732.00,10.00,9.81,9.97
2,2021-04-20,46,17400.00,172328.00,10.00,9.80,9.96
3,2021-04-21,48,12650.00,126232.00,10.04,9.77,9.90
4,2021-04-22,27,10300.00,102119.50,10.08,9.71,9.92
5,2021-04-25,45,15260.00,149166.80,9.90,9.61,9.80
6,2021-04-26,43,23200.00,228125.00,9.89,9.62,9.89
7,2021-04-27,37,13860.00,135999.70,9.89,9.70,9.85
8,2021-04-28,40,12800.00,125616.50,10.00,9.69,10.00
9,2021-04-29,38,14112.00,139711.38,9.94,9.72,9.91
10,2021-05-02,51,30160.00,296087.40,9.94,9.42,9.82
11,2021-05-03,54,20218.00,199118.92,9.89,9.80,9.84
12,2021-05-04,38,16960.00,167967.90,9.99,9.80,9.97
13,2021-05-05,46,16010.00,158087.00,9.95,9.78,9.90
14,2021-05-06,43,15800.00,154840.00,9.90,9.76,9.89
15,2021-05-09,33,10090.00,98853.60,9.84,9.70,9.83
16,2021-05-10,34,24600.00,241795.00,9.90,9.75,9.83
17,2021-05-11,37,21910.00,216863.60,9.93,9.75,9.92
18,2021-05-12,49,27980.00,278160.20,10.00,9.82,9.99
19,2021-05-13,49,15204.00,150983.00,10.00,9.80,9.93
20,2021-05-16,45,29500.00,289910.00,9.96,9.74,9.89
21,2021-05-17,85,37360.00,371855.70,10.04,9.80,9.92
22,2021-05-18,43,23020.00,228881.60,9.97,9.92,9.95
23,2021-05-19,56,32318.00,322410.52,10.04,9.89,10.04
24,2021-05-20,71,62100.00,613213.00,10.01,9.84,9.89
25,2021-05-23,75,69000.00,683256.70,10.05,9.85,9.85
26,2021-05-24,43,26790.00,265457.20,9.98,9.66,9.93
27,2021-05-25,36,23671.00,234946.00,10.10,9.89,9.95
28,2021-05-27,43,24550.00,244003.00,9.99,9.80,9.97
29,2021-05-30,130,69334.00,696924.14,10.18,9.91,10.08
30,2021-05-31,108,68540.00,694318.80,10.29,9.95,10.12
31,2021-06-01,102,91250.00,928911.50,10.25,10.10,10.16
32,2021-06-02,58,35230.00,354734.00,10.25,10.10,10.20
33,2021-06-03,86,69410.00,708314.70,10.25,10.00,10.20
34,2021-06-06,75,47100.00,479205.50,10.20,10.12,10.20
35,2021-06-07,79,57890.00,590942.60,10.30,10.10,10.20
36,2021-06-08,73,82399.00,841728.30,10.32,10.00,10.25
37,2021-06-09,50,39728.00,406903.94,10.30,10.05,10.25
38,2021-06-10,76,83909.00,860362.96,10.35,10.20,10.25
39,2021-06-13,141,140830.00,1444326.90,10.35,10.07,10.30
40,2021-06-14,82,37600.00,388781.00,10.41,10.20,10.33
41,2021-06-15,84,36650.00,377412.00,10.34,10.20,10.33
42,2021-06-16,47,59950.00,616451.00,10.30,10.20,10.30
43,2021-06-17,50,45155.00,464223.10,10.31,10.13,10.30
44,2021-06-20,79,42329.00,435961.35,10.41,10.22,10.22
45,2021-06-21,77,68153.00,697587.69,10.40,10.00,10.40
46,2021-06-22,50,26430.00,269912.10,10.50,10.10,10.25
47,2021-06-23,55,56280.00,576725.00,10.45,10.07,10.40
48,2021-06-24,43,26920.00,273739.00,10.40,10.02,10.40
49,2021-06-27,61,38550.00,390825.00,10.24,10.05,10.18
50,2021-06-28,37,13550.00,137325.50,10.18,10.04,10.16
51,2021-06-29,46,28580.00,288150.20,10.13,10.02,10.06
52,2021-06-30,51,37470.00,385528.00,10.50,10.03,10.50
53,2021-07-01,44,28625.00,290654.80,10.29,10.09,10.15
54,2021-07-04,30,15460.00,156171.60,10.15,10.01,10.10
55,2021-07-05,31,9510.00,95589.00,10.10,10.01,10.10
56,2021-07-06,44,50410.00,509856.20,10.14,9.95,10.14
57,2021-07-07,36,19850.00,199902.00,10.18,10.00,10.01
58,2021-07-08,20,8300.00,83527.00,10.10,9.91,10.10
59,2021-07-11,47,16100.00,161423.00,10.10,9.97,10.06
60,2021-07-12,49,29700.00,298380.00,10.10,9.98,10.10
61,2021-07-13,34,22450.00,225709.00,10.15,9.90,10.14
62,2021-07-14,33,7750.00,78128.00,10.20,9.98,10.08
63,2021-07-15,78,41250.00,421233.50,10.50,10.00,10.50
64,2021-07-18,61,20940.00,213714.00,10.35,10.09,10.25
65,2021-07-19,57,32600.00,333611.00,10.45,10.05,10.25
66,2021-07-20,231,246359.00,2635951.36,10.95,10.25,10.52
67,2021-07-22,397,1021460.00,11498684.14,11.54,10.52,11.34
68,2021-07-25,171,321173.00,3625890.30,11.65,10.90,10.92
69,2021-07-26,206,547081.00,5928956.10,11.13,10.56,10.56
70,2021-07-27,77,34529.00,366855.10,11.24,10.35,11.24
71,2021-07-28,99,124750.00,1369948.00,11.46,10.83,10.90
72,2021-07-29,131,184265.00,2032994.50,11.30,10.89,11.00
73,2021-08-01,85,131650.00,1421772.00,11.00,10.61,10.61
74,2021-08-02,180,267116.00,2853242.60,10.93,10.55,10.63
75,2021-08-03,148,289380.00,3172785.40,11.23,10.62,10.91
76,2021-08-04,106,197270.00,2120213.60,11.00,10.60,10.78
77,2021-08-05,105,228673.00,2468795.08,10.90,10.51,10.71
78,2021-08-08,146,344890.00,3715316.00,10.89,10.59,10.75
79,2021-08-09,86,179100.00,1900216.50,10.75,10.54,10.63
80,2021-08-10,81,84755.00,890276.35,10.60,10.26,10.50
81,2021-08-11,63,62430.00,654352.90,10.60,10.32,10.50
82,2021-08-12,103,88700.00,922008.80,10.48,10.35,10.35
