S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-01-11,5,50.00,15460.00,321.00,298.00,321.00
2,2017-01-12,20,200.00,69900.00,353.00,327.00,353.00
3,2017-01-15,82,1072.00,382986.00,373.00,350.00,353.00
4,2017-01-16,10,474.00,157896.00,346.00,318.00,318.00
5,2017-01-17,16,472.00,154902.00,334.00,320.00,324.00
6,2017-01-18,41,507.00,153080.00,330.00,292.00,292.00
7,2017-01-19,53,700.00,196684.00,290.00,275.00,289.00
8,2017-01-22,41,458.00,128644.00,290.00,271.00,276.00
9,2017-01-23,33,720.00,184706.00,276.00,250.00,252.00
10,2017-01-24,71,1722.00,397238.00,250.00,227.00,228.00
11,2017-01-25,70,3756.00,812256.00,228.00,210.00,214.00
12,2017-01-26,40,2348.00,493206.00,222.00,202.00,220.00
13,2017-01-30,7,560.00,119080.00,216.00,208.00,208.00
14,2017-01-31,13,356.00,75098.00,218.00,204.00,214.00
15,2017-02-01,28,1996.00,435644.00,227.00,210.00,223.00
16,2017-02-02,55,3092.00,679446.00,225.00,215.00,220.00
17,2017-02-05,60,1358.00,295118.00,220.00,213.00,214.00
18,2017-02-06,71,890.00,190694.00,216.00,208.00,213.00
19,2017-02-07,114,1627.00,335638.00,210.00,202.00,209.00
20,2017-02-08,108,1766.00,366576.00,211.00,206.00,210.00
21,2017-02-09,67,1154.00,240750.00,211.00,202.00,208.00
22,2017-02-12,41,580.00,120338.00,212.00,202.00,202.00
23,2017-02-13,109,1420.00,287460.00,206.00,199.00,203.00
24,2017-02-14,52,1334.00,270612.00,206.00,200.00,200.00
25,2017-02-15,47,1630.00,331084.00,205.00,200.00,203.00
26,2017-02-16,81,2553.00,536647.00,223.00,200.00,209.00
27,2017-02-19,49,684.00,146626.00,222.00,204.00,210.00
28,2017-02-20,90,1308.00,279404.00,218.00,203.00,207.00
29,2017-02-21,35,948.00,197840.00,214.00,207.00,208.00
30,2017-02-22,32,552.00,115248.00,210.00,208.00,209.00
31,2017-02-23,38,526.00,111504.00,215.00,209.00,215.00
32,2017-02-26,40,694.00,148278.00,217.00,211.00,212.00
33,2017-02-28,50,835.00,176868.00,218.00,206.00,212.00
34,2017-03-01,14,236.00,48856.00,210.00,200.00,210.00
