S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-10-11,133,1330.00,160570.00,121.00,110.00,121.00
2,2018-10-14,883,16907.00,2086020.00,133.00,115.00,121.00
3,2018-10-15,350,8242.00,980588.00,123.00,116.00,119.00
4,2018-10-21,265,2940.00,342530.00,120.00,115.00,120.00
5,2018-10-22,718,12677.00,1460845.00,118.00,114.00,116.00
6,2018-10-23,320,7050.00,808850.00,116.00,113.00,114.00
7,2018-10-24,382,7911.00,881103.00,115.00,110.00,110.00
8,2018-10-25,332,4390.00,498350.00,116.00,108.00,114.00
9,2018-10-28,316,7500.00,847800.00,118.00,109.00,113.00
10,2018-10-29,303,5000.00,564970.00,115.00,109.00,114.00
11,2018-10-30,392,11750.00,1370780.00,118.00,112.00,118.00
12,2018-10-31,223,2710.00,314830.00,120.00,114.00,117.00
13,2018-11-01,250,2940.00,342520.00,118.00,114.00,116.00
14,2018-11-04,115,1792.00,207130.00,117.00,114.00,115.00
15,2018-11-05,225,2250.00,254570.00,115.00,112.00,113.00
16,2018-11-11,65,1330.00,150130.00,114.00,112.00,113.00
17,2018-11-12,111,1110.00,125210.00,114.00,112.00,112.00
18,2018-11-13,104,1040.00,115980.00,114.00,110.00,111.00
19,2018-11-14,92,1160.00,130660.00,116.00,109.00,113.00
20,2018-11-15,158,2355.00,263085.00,114.00,110.00,111.00
21,2018-11-18,161,1610.00,177730.00,113.00,109.00,110.00
22,2018-11-19,217,2361.00,258090.00,112.00,108.00,108.00
23,2018-11-20,69,780.00,84270.00,110.00,107.00,107.00
24,2018-11-21,64,1090.00,117920.00,109.00,105.00,108.00
25,2018-11-22,120,1200.00,128190.00,109.00,106.00,107.00
26,2018-11-25,93,2390.00,249770.00,107.00,103.00,104.00
27,2018-11-26,86,1010.00,104430.00,104.00,102.00,104.00
28,2018-11-27,89,890.00,92510.00,106.00,103.00,104.00
29,2018-11-28,100,4570.00,479610.00,106.00,103.00,106.00
30,2018-11-29,52,610.00,63220.00,106.00,102.00,103.00
31,2018-12-02,61,650.00,67180.00,105.00,101.00,105.00
32,2018-12-03,56,760.00,79720.00,106.00,103.00,104.00
33,2018-12-04,58,1420.00,147630.00,105.00,103.00,103.00
34,2018-12-05,43,3250.00,339310.00,105.00,101.00,105.00
35,2018-12-06,30,300.00,31220.00,106.00,103.00,104.00
36,2018-12-09,25,250.00,25660.00,104.00,102.00,103.00
37,2018-12-10,18,180.00,18510.00,104.00,102.00,104.00
38,2018-12-11,16,160.00,16520.00,105.00,102.00,103.00
39,2018-12-12,46,460.00,46790.00,104.00,101.00,103.00
40,2018-12-13,30,820.00,84830.00,105.00,101.00,105.00
41,2018-12-16,38,470.00,48770.00,107.00,103.00,107.00
42,2018-12-17,23,1610.00,169110.00,108.00,103.00,103.00
43,2018-12-18,23,230.00,23560.00,103.00,101.00,103.00
44,2018-12-19,31,500.00,51620.00,105.00,101.00,102.00
45,2018-12-20,23,470.00,47950.00,103.00,101.00,102.00
46,2018-12-23,90,2640.00,271930.00,105.00,100.00,101.00
47,2018-12-24,72,3080.00,309640.00,101.00,98.00,101.00
48,2018-12-25,42,680.00,68310.00,102.00,99.00,100.00
49,2018-12-26,42,420.00,42250.00,102.00,99.00,99.00
50,2018-12-27,80,2250.00,230360.00,104.00,99.00,103.00
51,2018-12-30,49,740.00,74380.00,105.00,100.00,100.00
52,2018-12-31,59,590.00,59960.00,104.00,100.00,104.00
53,2019-01-01,69,710.00,72710.00,104.00,101.00,102.00
54,2019-01-02,23,1220.00,125230.00,103.00,100.00,101.00
55,2019-01-03,32,530.00,53630.00,102.00,100.00,100.00
56,2019-01-06,19,300.00,30180.00,101.00,100.00,100.00
57,2019-01-07,25,600.00,60900.00,102.00,100.00,102.00
58,2019-01-08,36,360.00,35990.00,102.00,99.00,100.00
59,2019-01-09,52,520.00,52010.00,101.00,99.00,100.00
60,2019-01-10,73,820.00,82330.00,101.00,100.00,100.00
61,2019-01-13,101,1150.00,115730.00,102.00,99.00,99.00
62,2019-01-14,40,730.00,73540.00,101.00,99.00,99.00
63,2019-01-15,18,180.00,18090.00,102.00,99.00,102.00
64,2019-01-16,10,100.00,10080.00,102.00,100.00,100.00
65,2019-01-17,89,890.00,89830.00,102.00,99.00,101.00
66,2019-01-20,174,1740.00,172770.00,101.00,98.00,99.00
67,2019-01-21,186,2150.00,209710.00,100.00,96.00,96.00
68,2019-01-22,124,1910.00,184280.00,98.00,96.00,97.00
69,2019-01-23,67,1460.00,144260.00,100.00,96.00,100.00
70,2019-01-24,57,570.00,56230.00,100.00,98.00,98.00
71,2019-01-27,100,1000.00,97430.00,100.00,97.00,97.00
72,2019-01-28,90,1680.00,162240.00,98.00,96.00,96.00
73,2019-01-29,85,850.00,81720.00,97.00,96.00,96.00
74,2019-01-30,119,3600.00,346560.00,97.00,95.00,95.00
75,2019-01-31,134,1340.00,127960.00,97.00,94.00,95.00
76,2019-02-03,69,820.00,77490.00,96.00,94.00,95.00
77,2019-02-04,50,610.00,57170.00,95.00,93.00,93.00
78,2019-02-05,37,750.00,70420.00,95.00,93.00,94.00
79,2019-02-06,66,660.00,61460.00,94.00,92.00,92.00
80,2019-02-07,87,950.00,87500.00,93.00,91.00,91.00
81,2019-02-10,63,750.00,68130.00,92.00,90.00,90.00
82,2019-02-11,82,1650.00,154430.00,97.00,89.00,97.00
83,2019-02-12,100,1440.00,138720.00,100.00,93.00,97.00
84,2019-02-13,88,1200.00,113940.00,100.00,93.00,93.00
85,2019-02-14,141,1900.00,173230.00,93.00,90.00,91.00
86,2019-02-17,99,1030.00,93140.00,92.00,89.00,92.00
87,2019-02-18,70,750.00,67790.00,92.00,90.00,90.00
88,2019-02-19,48,990.00,90420.00,93.00,90.00,90.00
89,2019-02-20,33,330.00,29760.00,91.00,90.00,90.00
90,2019-02-21,92,940.00,84240.00,91.00,89.00,90.00
91,2019-02-24,116,1160.00,104210.00,93.00,89.00,89.00
92,2019-02-25,62,620.00,55750.00,91.00,89.00,91.00
93,2019-02-26,59,900.00,82210.00,93.00,89.00,91.00
94,2019-02-27,47,470.00,42420.00,91.00,90.00,90.00
95,2019-03-03,44,930.00,83060.00,91.00,88.00,90.00
96,2019-03-05,36,380.00,34610.00,92.00,90.00,92.00
97,2019-03-06,52,520.00,47960.00,94.00,90.00,94.00
98,2019-03-07,51,1920.00,178670.00,94.00,92.00,93.00
99,2019-03-10,18,650.00,59770.00,93.00,91.00,92.00
100,2019-03-11,62,1560.00,143720.00,94.00,91.00,91.00
101,2019-03-12,56,1640.00,157640.00,99.00,91.00,99.00
102,2019-03-13,65,1220.00,118530.00,99.00,95.00,96.00
103,2019-03-14,29,377.00,36179.00,98.00,94.00,97.00
104,2019-03-17,51,551.00,53066.00,98.00,94.00,96.00
105,2019-03-18,56,1750.00,166240.00,96.00,94.00,95.00
106,2019-03-19,13,280.00,26750.00,96.00,94.00,95.00
107,2019-03-21,31,310.00,29000.00,96.00,93.00,96.00
108,2019-03-24,76,930.00,87220.00,96.00,91.00,95.00
109,2019-03-25,47,1210.00,113530.00,95.00,93.00,93.00
110,2019-03-26,66,920.00,85720.00,94.00,92.00,93.00
