S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2011-08-07,2,30.00,10110.00,341.00,335.00,335.00
2,2011-08-09,2,40.00,13040.00,329.00,323.00,323.00
3,2011-08-10,1,20.00,6340.00,317.00,317.00,317.00
4,2011-08-11,3,50.00,15190.00,311.00,299.00,299.00
5,2011-08-15,4,60.00,17190.00,294.00,279.00,279.00
6,2011-08-16,4,40.00,10660.00,274.00,259.00,259.00
7,2011-08-17,4,50.00,11990.00,247.00,235.00,235.00
8,2011-08-18,4,70.00,15690.00,231.00,219.00,219.00
9,2011-08-23,1,20.00,4300.00,215.00,215.00,215.00
10,2011-08-25,1,10.00,2050.00,205.00,205.00,205.00
11,2011-08-28,3,60.00,11840.00,201.00,194.00,194.00
12,2011-08-29,3,60.00,10920.00,185.00,179.00,179.00
13,2011-08-30,3,30.00,5190.00,176.00,170.00,170.00
14,2011-09-04,5,110.00,17770.00,167.00,158.00,158.00
15,2011-09-05,2,40.00,6110.00,155.00,152.00,152.00
16,2011-09-06,5,150.00,21750.00,149.00,141.00,141.00
17,2011-09-07,7,170.00,22410.00,139.00,127.00,127.00
18,2011-09-08,48,880.00,101900.00,125.00,115.00,115.00
19,2011-09-12,177,4810.00,509390.00,113.00,104.00,106.00
20,2011-09-13,321,7290.00,776490.00,108.00,105.00,107.00
21,2011-09-14,296,7700.00,830380.00,109.00,105.00,109.00
22,2011-09-15,325,8530.00,916080.00,109.00,105.00,107.00
23,2011-09-18,229,5310.00,561000.00,107.00,104.00,107.00
24,2011-09-19,374,9457.00,1004839.00,108.00,105.00,106.00
25,2011-09-20,289,6100.00,649810.00,107.00,105.00,107.00
26,2011-09-21,138,4010.00,427210.00,108.00,105.00,108.00
27,2011-09-22,156,3750.00,401620.00,109.00,106.00,108.00
28,2011-09-25,75,2250.00,241820.00,110.00,107.00,109.00
29,2011-09-26,178,4830.00,521590.00,110.00,107.00,108.00
30,2011-09-27,191,5670.00,617290.00,112.00,107.00,109.00
31,2011-09-29,149,4830.00,524840.00,110.00,106.00,109.00
32,2011-10-02,158,4830.00,526770.00,111.00,106.00,110.00
