S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-26,6,88.00,54946.00,656.00,603.00,603.00
2,2010-04-28,6,60.00,33880.00,591.00,543.00,543.00
3,2010-04-29,2,20.00,10560.00,533.00,523.00,523.00
4,2010-05-09,3,105.00,53065.00,513.00,493.00,493.00
5,2010-05-12,3,44.00,20936.00,484.00,466.00,466.00
6,2010-05-13,57,3397.00,1465765.00,466.00,420.00,448.00
7,2010-05-16,16,1019.00,419328.00,440.00,404.00,404.00
8,2010-05-17,29,1760.00,654164.00,396.00,364.00,375.00
9,2010-05-18,32,2701.00,1007103.00,412.00,361.00,412.00
10,2010-05-19,16,809.00,317927.00,404.00,385.00,393.00
11,2010-05-20,29,2600.00,1039146.00,428.00,386.00,428.00
12,2010-05-23,16,1089.00,448635.00,425.00,396.00,416.00
13,2010-05-24,14,1447.00,594374.00,420.00,408.00,420.00
14,2010-05-25,13,677.00,286893.00,443.00,412.00,443.00
15,2010-05-26,15,2094.00,875130.00,435.00,408.00,431.00
16,2010-05-30,19,2103.00,915908.00,451.00,425.00,442.00
17,2010-05-31,16,1000.00,462457.00,480.00,435.00,475.00
18,2010-06-01,12,451.00,197534.00,466.00,428.00,430.00
19,2010-06-02,17,1346.00,544708.00,422.00,394.00,415.00
20,2010-06-03,45,5614.00,2256919.00,435.00,390.00,435.00
21,2010-06-06,16,919.00,381606.00,443.00,404.00,443.00
22,2010-06-07,16,12999.00,5534134.00,435.00,410.00,417.00
23,2010-06-08,17,1423.00,584492.00,433.00,404.00,425.00
24,2010-06-09,20,1104.00,478568.00,460.00,420.00,460.00
25,2010-06-10,23,1241.00,561495.00,474.00,442.00,474.00
26,2010-06-14,36,3257.00,1417629.00,465.00,427.00,457.00
27,2010-06-15,26,2690.00,1132911.00,448.00,413.00,448.00
28,2010-06-16,5,396.00,175400.00,450.00,440.00,450.00
29,2010-06-17,8,323.00,148538.00,469.00,450.00,469.00
30,2010-06-20,10,577.00,270342.00,483.00,460.00,483.00
31,2010-06-21,10,455.00,211741.00,475.00,457.00,473.00
32,2010-06-22,16,828.00,382735.00,482.00,438.00,438.00
33,2010-06-23,12,881.00,387051.00,471.00,430.00,471.00
34,2010-06-24,2,78.00,36036.00,462.00,462.00,462.00
35,2010-06-30,3,142.00,64147.00,453.00,450.00,452.00
36,2010-07-01,18,1086.00,508847.00,487.00,443.00,487.00
37,2010-07-04,1,30.00,14850.00,495.00,495.00,495.00
38,2010-07-06,2,20.00,9720.00,486.00,486.00,486.00
39,2010-07-07,67,5321.00,2479468.00,505.00,442.00,505.00
40,2010-07-08,31,1632.00,808875.00,525.00,485.00,525.00
41,2010-07-11,23,1381.00,717390.00,562.00,515.00,562.00
42,2010-07-12,5,122.00,69040.00,570.00,565.00,570.00
43,2010-07-13,1,40.00,22800.00,570.00,570.00,570.00
44,2010-07-21,10,480.00,261180.00,559.00,528.00,528.00
45,2010-07-22,1,15.00,7770.00,518.00,518.00,518.00
46,2010-07-25,2,176.00,88648.00,508.00,498.00,498.00
47,2010-07-26,10,404.00,188148.00,489.00,449.00,462.00
48,2010-07-27,33,3992.00,1720898.00,471.00,416.00,470.00
49,2010-07-28,14,590.00,283666.00,494.00,471.00,494.00
50,2010-07-29,33,3298.00,1639591.00,538.00,485.00,538.00
51,2010-08-08,12,1014.00,545002.00,548.00,528.00,548.00
52,2010-08-12,81,8117.00,4345576.00,591.00,498.00,591.00
53,2010-08-15,1,10.00,5910.00,591.00,591.00,591.00
54,2010-09-26,1,10.00,5800.00,580.00,580.00,580.00
55,2010-09-29,10,1099.00,629367.00,590.00,569.00,590.00
56,2010-11-04,3,30.00,17040.00,579.00,557.00,557.00
57,2010-11-09,7,110.00,58060.00,546.00,506.00,506.00
58,2010-11-10,30,2416.00,1191634.00,518.00,487.00,518.00
59,2010-11-16,2,58.00,29364.00,508.00,498.00,498.00
60,2010-11-18,20,2487.00,1253953.00,545.00,489.00,545.00
61,2010-11-25,1,100.00,53500.00,535.00,535.00,535.00
