S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-28,2,50.00,52500.00,1050.00,1050.00,1050.00
2,2021-04-29,1,100.00,105000.00,1050.00,1050.00,1050.00
3,2021-05-02,2,50.00,52500.00,1050.00,1050.00,1050.00
4,2021-05-03,2,35.00,36700.00,1050.00,1045.00,1050.00
5,2021-05-06,5,131.00,137700.00,1055.00,1050.00,1055.00
6,2021-05-09,1,25.00,26125.00,1045.00,1045.00,1045.00
7,2021-05-11,1,25.00,26125.00,1045.00,1045.00,1045.00
8,2021-05-13,1,25.00,26250.00,1050.00,1050.00,1050.00
9,2021-05-16,1,25.00,26250.00,1050.00,1050.00,1050.00
10,2021-05-17,1,25.00,26125.00,1045.00,1045.00,1045.00
11,2021-05-19,1,25.00,26150.00,1046.00,1046.00,1046.00
12,2021-05-30,2,50.00,52425.00,1050.00,1047.00,1047.00
13,2021-06-01,1,25.00,26250.00,1050.00,1050.00,1050.00
14,2021-06-03,1,25.00,26125.00,1045.00,1045.00,1045.00
15,2021-06-13,2,125.00,132750.00,1065.00,1050.00,1065.00
16,2021-06-15,1,25.00,26300.00,1052.00,1052.00,1052.00
17,2021-06-20,1,25.00,26375.00,1055.00,1055.00,1055.00
18,2021-06-21,2,50.00,53800.00,1076.00,1076.00,1076.00
19,2021-06-28,2,20.00,21130.00,1057.00,1056.00,1056.00
20,2021-06-30,1,25.00,26375.00,1055.00,1055.00,1055.00
21,2021-07-04,3,65.00,68575.00,1055.00,1055.00,1055.00
22,2021-07-11,1,25.00,26050.00,1042.00,1042.00,1042.00
23,2021-07-12,2,190.00,201400.00,1060.00,1060.00,1060.00
24,2021-07-25,2,50.00,51625.00,1040.00,1025.00,1025.00
25,2021-07-26,2,20.00,20456.00,1030.00,1015.60,1015.60
26,2021-08-02,2,500.00,510000.00,1020.00,1020.00,1020.00
27,2021-08-04,1,30.00,30600.00,1020.00,1020.00,1020.00
28,2021-08-05,1,20.00,20800.00,1040.00,1040.00,1040.00
29,2021-08-08,1,300.00,312330.00,1041.10,1041.10,1041.10
30,2021-08-09,3,90.00,94750.00,1055.00,1050.00,1055.00
31,2021-08-10,2,50.00,52500.00,1050.00,1050.00,1050.00
32,2021-08-11,1,15.00,15750.00,1050.00,1050.00,1050.00
