S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-20,5173,104308.00,33469970.00,330.00,270.00,270.00
2,2020-09-21,2193,44405.00,10802315.00,257.00,243.00,243.00
3,2020-09-22,1008,20625.00,4517715.00,239.00,219.00,219.00
4,2020-09-23,6827,125652.00,26279887.00,229.00,198.00,218.00
5,2020-09-24,2673,51690.00,11402670.00,231.00,211.00,223.00
6,2020-09-27,1305,31570.00,6895980.00,226.00,215.00,216.00
7,2020-09-28,1136,24911.00,5231169.00,215.00,206.00,209.00
8,2020-09-29,1299,48410.00,9947895.00,215.00,200.00,208.00
9,2020-09-30,950,34150.00,7178430.00,215.00,200.00,210.00
10,2020-10-01,1022,28932.00,5951065.00,218.00,203.00,204.00
11,2020-10-04,1034,37708.00,7529888.00,204.00,197.00,200.00
12,2020-10-05,1003,26919.00,5375410.00,204.00,194.00,203.00
13,2020-10-06,1011,32089.00,6762700.00,221.00,199.00,221.00
14,2020-10-07,1209,67383.00,15432660.00,240.00,211.00,237.00
15,2020-10-08,812,65555.00,14817208.00,240.00,220.00,221.00
16,2020-10-11,618,24434.00,5259706.00,225.00,209.00,217.00
17,2020-10-12,497,21884.00,4646701.00,215.00,209.00,214.00
18,2020-10-13,411,21310.00,4461805.00,213.00,206.00,208.00
19,2020-10-14,384,18425.00,3745115.00,208.00,201.00,202.00
20,2020-10-15,351,15355.00,3144565.00,211.00,200.00,204.00
21,2020-10-18,279,6610.00,1335140.00,205.00,200.00,203.00
22,2020-10-19,218,7280.00,1478570.00,207.00,199.00,207.00
23,2020-10-20,252,19670.00,4110085.00,215.00,203.00,207.00
24,2020-10-21,156,6045.00,1244155.00,208.00,204.00,208.00
25,2020-10-22,193,7775.00,1611040.00,210.00,202.00,208.00
26,2020-10-28,260,8050.00,1654220.00,210.00,202.00,206.00
27,2020-10-29,372,11183.00,2309148.00,209.00,203.00,205.00
28,2020-11-01,423,16955.00,3474795.00,207.00,201.00,204.00
29,2020-11-02,332,7080.00,1447715.00,207.00,200.00,204.00
30,2020-11-03,358,10115.00,2078615.00,210.00,203.00,206.00
31,2020-11-04,301,7018.00,1450362.00,210.00,196.00,208.00
32,2020-11-05,421,25497.00,5325488.00,212.00,203.00,212.00
33,2020-11-08,524,34970.00,7528495.00,220.00,209.00,217.00
34,2020-11-09,395,24572.00,5289204.00,221.00,212.00,213.00
35,2020-11-10,250,14990.00,3194228.00,215.00,211.00,211.00
36,2020-11-11,257,11710.00,2472110.00,214.00,207.00,210.00
37,2020-11-12,294,7230.00,1508340.00,212.00,207.00,209.00
38,2020-11-18,235,17345.00,3579103.00,208.00,205.00,206.00
39,2020-11-19,430,21285.00,4473495.00,213.00,204.00,209.00
40,2020-11-22,429,21020.00,4365975.00,213.00,204.00,205.00
41,2020-11-23,408,24135.00,4898654.00,206.00,201.00,205.00
42,2020-11-24,353,17360.00,3597700.00,212.00,203.00,206.00
43,2020-11-25,467,19690.00,4079315.00,223.00,204.00,208.00
44,2020-11-26,406,13760.00,2833037.00,209.00,204.00,206.00
45,2020-11-29,487,28977.00,5939270.00,208.00,203.00,207.00
46,2020-11-30,545,21701.00,4534545.00,215.00,206.00,215.00
47,2020-12-01,484,26536.00,5696759.00,223.00,209.00,216.00
48,2020-12-02,618,67591.00,14845356.00,226.00,211.00,222.00
49,2020-12-03,539,67823.00,15083580.00,230.00,218.00,225.00
50,2020-12-06,298,25052.00,5396842.00,226.00,209.00,210.00
51,2020-12-07,368,15265.00,3282485.00,223.00,208.00,217.00
52,2020-12-08,370,19820.00,4309778.00,227.00,213.00,213.00
53,2020-12-09,476,39063.00,8595758.00,231.00,210.00,220.00
54,2020-12-10,887,113061.00,26306793.00,242.00,218.00,242.00
55,2020-12-13,626,53662.00,13193217.00,260.00,237.00,242.00
56,2020-12-14,440,39121.00,9099060.00,244.00,226.00,228.00
57,2020-12-15,336,34220.00,7795151.00,238.00,217.00,229.00
58,2020-12-16,282,15920.00,3623100.00,241.00,223.00,226.00
59,2020-12-17,313,16988.00,3779640.00,230.00,219.00,221.00
60,2020-12-20,294,24828.00,5214545.00,218.00,205.00,207.00
61,2020-12-21,330,19468.00,4077994.00,218.00,200.00,217.00
62,2020-12-22,401,22415.00,4901140.00,232.00,213.00,220.00
63,2020-12-23,209,10820.00,2345330.00,231.00,215.00,217.00
64,2020-12-24,208,8078.00,1743260.00,220.00,210.00,217.00
65,2020-12-27,221,8650.00,1863890.00,221.00,210.00,214.00
66,2020-12-28,189,7730.00,1634780.00,215.00,210.00,210.00
67,2020-12-29,266,15765.00,3310236.00,220.00,207.00,213.00
68,2020-12-30,224,6310.00,1326810.00,213.00,208.00,212.00
69,2020-12-31,239,6815.00,1430085.00,215.00,208.00,212.00
70,2021-01-03,306,11740.00,2488270.00,218.00,208.00,218.00
71,2021-01-04,180,6260.00,1328940.00,218.00,209.00,212.00
72,2021-01-05,239,9746.00,2109506.00,222.00,209.00,217.00
73,2021-01-06,168,15752.00,3353534.00,218.00,210.00,212.00
74,2021-01-07,371,17538.00,3804535.00,222.00,212.00,220.00
75,2021-01-10,280,7826.00,1698730.00,222.00,213.00,220.00
76,2021-01-11,175,7230.00,1574750.00,231.00,215.00,219.00
77,2021-01-12,233,13080.00,2840500.00,220.00,213.00,217.00
78,2021-01-13,196,15891.00,3423280.00,220.00,214.00,214.00
79,2021-01-17,251,17291.00,3765211.00,221.00,213.00,219.00
80,2021-01-18,350,36311.00,8060832.00,227.00,219.00,224.00
81,2021-01-19,265,39960.00,8962557.00,230.00,220.00,223.00
82,2021-01-20,390,42415.00,9617689.00,232.00,221.00,232.00
83,2021-01-21,530,58544.00,13714501.00,242.00,225.00,237.00
84,2021-01-24,381,47341.00,11200630.00,252.00,233.00,240.00
85,2021-01-25,233,24128.00,5689044.00,245.00,232.00,236.00
86,2021-01-26,237,22964.00,5380592.00,237.00,232.00,236.00
87,2021-01-27,205,16885.00,3928340.00,236.00,229.00,230.00
88,2021-01-28,219,10980.00,2522240.00,233.00,226.00,229.00
89,2021-01-31,205,25055.00,5570015.00,227.00,218.00,222.00
90,2021-02-01,198,5824.00,1314520.00,230.00,218.00,226.00
91,2021-02-02,305,23580.00,5426212.00,238.00,216.00,234.00
92,2021-02-03,344,34085.00,7982400.00,238.00,230.00,230.00
93,2021-02-04,433,45721.00,10780328.00,240.00,227.00,235.00
94,2021-02-07,749,97160.00,24120036.00,258.00,231.00,258.00
95,2021-02-08,513,72886.00,18444263.00,266.00,242.00,251.00
96,2021-02-09,289,37940.00,9166485.00,250.00,240.00,244.00
97,2021-02-10,203,17770.00,4251544.00,244.00,236.00,237.00
98,2021-02-11,222,13845.00,3292175.00,241.00,235.00,239.00
99,2021-02-14,146,17380.00,4104215.00,240.00,234.00,238.00
100,2021-02-15,415,43550.00,10741202.00,252.00,240.00,249.00
101,2021-02-16,251,19237.00,4716319.00,250.00,243.00,248.00
102,2021-02-17,187,17475.00,4265455.00,247.00,241.00,247.00
103,2021-02-18,342,38145.00,9239780.00,255.00,237.00,246.00
104,2021-02-21,795,93802.00,24058490.00,270.00,243.00,266.00
105,2021-02-22,415,63785.00,16832272.00,269.00,255.00,259.00
106,2021-02-23,941,172947.00,46668512.00,284.00,255.00,284.00
107,2021-02-24,402,43650.00,12398782.00,298.00,274.00,281.00
108,2021-02-25,282,43766.00,11880530.00,285.00,267.00,270.00
109,2021-02-28,312,35700.00,9247075.00,272.00,254.00,254.00
110,2021-03-01,247,34576.00,8922629.00,269.00,245.00,268.00
111,2021-03-02,280,38222.00,9996538.00,275.00,251.00,266.00
112,2021-03-03,269,38082.00,10035378.00,272.00,248.00,260.00
113,2021-03-04,679,118421.00,33305249.00,286.00,260.00,286.00
114,2021-03-07,522,94817.00,27497798.00,300.00,281.00,284.00
115,2021-03-09,397,68455.00,20052875.00,299.00,280.00,295.00
116,2021-03-10,943,134891.00,42831387.00,324.00,295.00,319.00
117,2021-03-14,489,104556.00,32412923.00,331.00,298.00,306.00
118,2021-03-15,339,55955.00,16853645.00,316.00,294.00,296.00
119,2021-03-16,211,18746.00,5525514.00,303.00,288.00,291.00
120,2021-03-17,283,26763.00,8018225.00,312.00,286.00,300.00
121,2021-03-18,271,35934.00,10757724.00,315.00,295.00,299.00
122,2021-03-21,276,19433.00,5813655.00,306.00,295.00,299.00
123,2021-03-22,298,37403.00,11165629.00,305.00,294.00,300.00
124,2021-03-23,394,42085.00,12903745.00,316.00,296.00,304.00
