S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-08-03,2,1000.00,10000.00,10.00,10.00,10.00
2,2017-08-06,1,6000.00,60000.00,10.00,10.00,10.00
3,2017-08-07,1,1000.00,10000.00,10.00,10.00,10.00
4,2017-08-09,1,3000.00,30000.00,10.00,10.00,10.00
5,2017-08-10,1,5000.00,50000.00,10.00,10.00,10.00
6,2017-08-13,5,20500.00,205000.00,10.00,10.00,10.00
7,2017-08-23,3,9000.00,90200.00,10.20,10.00,10.00
8,2017-08-27,1,1000.00,10150.00,10.15,10.15,10.15
9,2017-08-31,1,4900.00,49735.00,10.15,10.15,10.15
10,2017-09-04,1,2500.00,25500.00,10.20,10.20,10.20
11,2017-09-06,7,5000.00,50720.00,10.30,10.00,10.00
12,2017-09-10,4,4000.00,40200.00,10.05,10.05,10.05
13,2017-09-11,1,1000.00,10000.00,10.00,10.00,10.00
14,2017-09-12,2,9000.00,88790.00,9.87,9.86,9.87
15,2017-09-13,1,500.00,5035.00,10.07,10.07,10.07
16,2017-09-14,4,3500.00,35140.00,10.09,10.00,10.05
17,2017-09-17,1,5000.00,49300.00,9.86,9.86,9.86
18,2017-09-18,3,11000.00,108450.00,9.88,9.75,9.75
19,2017-09-20,2,3500.00,33600.00,9.60,9.60,9.60
20,2017-09-24,1,2500.00,24025.00,9.61,9.61,9.61
21,2017-09-25,6,21000.00,206380.00,9.89,9.70,9.89
22,2017-09-26,1,1500.00,14880.00,9.92,9.92,9.92
23,2017-10-04,2,6000.00,59250.00,10.00,9.85,10.00
24,2017-10-08,7,3900.00,38512.00,9.90,9.85,9.90
25,2017-10-09,3,11000.00,109400.00,10.00,9.80,10.00
26,2017-10-10,4,7000.00,70360.00,10.10,9.91,10.10
27,2017-10-11,1,1500.00,15000.00,10.00,10.00,10.00
28,2017-10-12,1,1000.00,10100.00,10.10,10.10,10.10
29,2017-10-15,1,1000.00,10100.00,10.10,10.10,10.10
30,2017-10-16,8,11000.00,111840.00,10.20,10.10,10.10
31,2017-10-18,6,23000.00,234210.00,10.25,10.10,10.11
32,2017-10-22,5,11000.00,111280.00,10.20,10.09,10.20
33,2017-10-23,2,3500.00,35225.00,10.07,10.05,10.07
34,2017-10-24,3,11200.00,112870.00,10.10,10.05,10.05
35,2017-10-30,3,9000.00,89400.00,9.95,9.90,9.95
36,2017-10-31,2,2000.00,20150.00,10.15,10.00,10.15
37,2017-11-06,1,1500.00,15210.00,10.14,10.14,10.14
