S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-26,11,1325.00,1376850.00,1050.00,1000.00,1050.00
2,2021-04-27,4,125.00,130800.00,1047.00,1046.00,1047.00
3,2021-04-28,5,150.00,156950.00,1047.00,1046.00,1046.00
4,2021-05-02,5,115.00,122065.00,1066.00,1045.00,1045.00
5,2021-05-03,3,60.00,62760.00,1046.00,1046.00,1046.00
6,2021-05-04,3,75.00,77850.00,1048.00,1030.00,1048.00
7,2021-05-05,1,25.00,26250.00,1050.00,1050.00,1050.00
8,2021-05-09,1,25.00,26300.00,1052.00,1052.00,1052.00
9,2021-05-10,1,25.00,26300.00,1052.00,1052.00,1052.00
10,2021-05-13,2,50.00,53450.00,1073.00,1065.00,1073.00
11,2021-05-16,1,100.00,105200.00,1052.00,1052.00,1052.00
12,2021-05-18,2,50.00,53000.00,1060.00,1060.00,1060.00
13,2021-05-23,2,100.00,105750.00,1060.00,1055.00,1055.00
14,2021-05-24,1,50.00,52750.00,1055.00,1055.00,1055.00
15,2021-05-30,3,175.00,185825.00,1065.00,1060.00,1060.00
16,2021-06-07,1,25.00,26450.00,1058.00,1058.00,1058.00
17,2021-06-08,3,525.00,559125.00,1065.00,1065.00,1065.00
18,2021-06-09,1,100.00,106100.00,1061.00,1061.00,1061.00
19,2021-06-10,1,25.00,26525.00,1061.00,1061.00,1061.00
20,2021-06-20,2,75.00,80600.00,1082.00,1071.00,1082.00
21,2021-06-22,3,225.00,243525.00,1085.00,1082.00,1085.00
22,2021-06-23,1,240.00,262800.00,1095.00,1095.00,1095.00
23,2021-06-27,1,820.00,915120.00,1116.00,1116.00,1116.00
24,2021-07-01,1,10.00,11160.00,1116.00,1116.00,1116.00
25,2021-07-04,4,75.00,79835.00,1094.00,1056.00,1056.00
26,2021-07-07,1,10.00,10770.00,1077.00,1077.00,1077.00
27,2021-07-15,2,20.00,22170.00,1119.00,1098.00,1119.00
28,2021-08-09,5,200.00,216221.30,1097.00,1075.10,1075.10
