S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-12-16,5305,53050.00,19983900.00,378.00,344.00,378.00
2,2020-12-17,8009,82221.00,34091815.00,415.00,396.00,415.00
3,2020-12-20,6527,78684.00,29829326.00,435.00,374.00,379.00
4,2020-12-21,2967,60950.00,22850550.00,390.00,343.00,387.00
5,2020-12-22,1879,32646.00,12225030.00,380.00,370.00,380.00
6,2020-12-23,1223,16780.00,6253200.00,387.00,365.00,373.00
7,2020-12-24,2208,53120.00,20524680.00,410.00,365.00,391.00
8,2020-12-27,1695,72712.00,28816984.00,409.00,387.00,387.00
9,2020-12-28,946,13200.00,5144210.00,399.00,379.00,392.00
10,2020-12-29,888,20180.00,7841780.00,410.00,382.00,386.00
11,2020-12-30,854,11930.00,4598290.00,393.00,380.00,393.00
12,2020-12-31,752,10550.00,4048350.00,390.00,381.00,383.00
13,2021-01-03,798,12200.00,4652245.00,388.00,378.00,379.00
14,2021-01-04,556,11910.00,4528380.00,385.00,374.00,377.00
15,2021-01-05,668,12881.00,4943465.00,409.00,371.00,383.00
16,2021-01-06,578,11846.00,4535841.00,390.00,380.00,383.00
17,2021-01-07,675,8342.00,3179236.00,385.00,372.00,382.00
18,2021-01-10,565,8420.00,3190860.00,382.00,375.00,378.00
19,2021-01-11,597,22075.00,8444595.00,391.00,375.00,382.00
20,2021-01-12,321,11793.00,4455385.00,383.00,374.00,378.00
21,2021-01-13,418,9015.00,3430305.00,385.00,376.00,384.00
22,2021-01-17,592,24735.00,9839940.00,405.00,379.00,396.00
23,2021-01-18,554,18495.00,7420820.00,415.00,395.00,401.00
24,2021-01-19,359,18151.00,7225530.00,405.00,393.00,400.00
25,2021-01-20,385,9485.00,3792590.00,408.00,392.00,397.00
26,2021-01-21,949,40405.00,16889525.00,436.00,396.00,436.00
27,2021-01-24,718,31823.00,14993381.00,479.00,420.00,479.00
28,2021-01-25,1112,47755.00,24321450.00,526.00,461.00,526.00
29,2021-01-26,976,26215.00,13655054.00,538.00,507.00,525.00
30,2021-01-27,855,25862.00,13713052.00,545.00,499.00,537.00
31,2021-01-28,664,14745.00,7842615.00,563.00,521.00,532.00
32,2021-01-31,1082,23500.00,12327310.00,535.00,514.00,535.00
33,2021-02-01,999,29582.00,16588744.00,588.00,521.00,588.00
34,2021-02-02,939,37740.00,24000155.00,646.00,578.00,646.00
35,2021-02-03,1268,37166.00,24125308.00,707.00,626.00,649.00
36,2021-02-04,966,34561.00,22898257.00,703.00,614.00,676.00
37,2021-02-07,952,25785.00,17529590.00,726.00,656.00,694.00
38,2021-02-08,722,26305.00,17664812.00,701.00,660.00,675.00
39,2021-02-09,578,31817.00,20460763.00,707.00,635.00,645.00
40,2021-02-10,554,26200.00,16625840.00,677.00,622.00,640.00
41,2021-02-11,487,15428.00,9651278.00,640.00,618.00,620.00
42,2021-02-14,430,20260.00,12468905.00,630.00,604.00,613.00
43,2021-02-15,485,40120.00,25531595.00,650.00,610.00,643.00
44,2021-02-16,464,28531.00,18248439.00,650.00,627.00,650.00
45,2021-02-17,425,34932.00,22081999.00,648.00,629.00,635.00
46,2021-02-18,674,21616.00,14019460.00,659.00,630.00,650.00
47,2021-02-21,684,41465.00,26973565.00,670.00,634.00,650.00
48,2021-02-22,468,18510.00,11981275.00,663.00,637.00,647.00
49,2021-02-23,460,17585.00,11228710.00,647.00,635.00,645.00
50,2021-02-24,471,20264.00,13170356.00,655.00,635.00,646.00
51,2021-02-25,469,13120.00,8389920.00,650.00,636.00,643.00
52,2021-02-28,532,14411.00,8992091.00,633.00,615.00,622.00
53,2021-03-01,490,14902.00,9208702.00,635.00,600.00,625.00
54,2021-03-02,364,8426.00,5265118.00,656.00,617.00,618.00
55,2021-03-03,430,16220.00,10108435.00,642.00,608.00,624.00
56,2021-03-04,499,12160.00,7780150.00,646.00,624.00,643.00
57,2021-03-07,364,7910.00,5052140.00,643.00,635.00,637.00
58,2021-03-09,433,14810.00,9443910.00,641.00,625.00,640.00
59,2021-03-10,506,13721.00,8908995.00,663.00,631.00,657.00
60,2021-03-14,1067,44120.00,30681291.00,710.00,634.00,696.00
61,2021-03-15,438,25060.00,17068440.00,730.00,671.00,681.00
62,2021-03-16,287,8842.00,5937431.00,693.00,667.00,672.00
63,2021-03-17,350,7630.00,5109400.00,685.00,647.00,667.00
64,2021-03-18,311,6396.00,4282673.00,678.00,654.00,674.00
65,2021-03-21,446,21793.00,14478106.00,691.00,630.00,680.00
66,2021-03-22,428,12700.00,8654601.00,690.00,654.00,685.00
67,2021-03-23,1027,43777.00,30809123.00,716.00,651.00,715.00
68,2021-03-24,491,18923.00,13427680.00,725.00,696.00,705.00
69,2021-03-25,417,10820.00,7510274.00,735.00,680.00,697.00
70,2021-03-29,366,13610.00,9328085.00,697.00,677.00,683.00
71,2021-03-30,336,5594.00,3821661.00,707.00,659.00,690.00
72,2021-03-31,275,7189.00,4950243.00,695.00,680.00,689.00
73,2021-04-01,413,17953.00,12508596.00,702.00,676.00,702.00
74,2021-04-04,417,9826.00,6873624.00,707.00,690.00,704.00
75,2021-04-05,393,11655.00,8172016.00,718.00,691.00,708.00
76,2021-04-06,507,14289.00,10199742.00,738.00,696.00,714.00
77,2021-04-07,549,23145.00,16880665.00,750.00,702.00,727.00
78,2021-04-08,340,10293.00,7521426.00,740.00,713.00,732.00
79,2021-04-12,517,25683.00,19552921.00,800.00,730.00,758.00
80,2021-04-13,884,45712.00,37243613.00,833.00,764.00,833.00
81,2021-04-15,519,40059.00,33158354.00,884.00,805.00,823.00
82,2021-04-18,492,29998.00,24061355.00,820.00,790.00,804.00
83,2021-04-19,332,13642.00,10726274.00,804.00,771.00,782.00
84,2021-04-20,336,11927.00,9395053.00,802.00,760.00,790.00
85,2021-04-21,311,11935.00,9270852.00,805.00,766.00,778.00
86,2021-04-22,268,10350.00,7962060.00,775.00,761.00,774.00
87,2021-04-25,355,18366.00,13617517.00,770.00,732.00,739.00
88,2021-04-26,339,13105.00,9565620.00,759.00,703.00,730.00
89,2021-04-27,272,9220.00,6949499.00,770.00,717.00,770.00
90,2021-04-28,156,6769.00,5189759.00,785.00,726.00,772.00
91,2021-04-29,274,8804.00,6883192.00,798.00,758.00,790.00
92,2021-05-02,533,16014.00,12810701.00,810.00,762.00,805.00
93,2021-05-03,293,16942.00,13442076.00,810.00,782.00,793.00
94,2021-05-04,236,6540.00,5140416.00,807.00,778.00,792.00
95,2021-05-05,240,7210.00,5650510.00,792.00,778.00,780.00
96,2021-05-06,262,9309.00,7180065.00,788.00,760.00,760.00
97,2021-05-09,590,30693.00,24289793.00,826.00,750.00,777.00
98,2021-05-10,237,5919.00,4683311.00,798.00,763.00,796.00
99,2021-05-11,479,12944.00,10443725.00,812.00,796.00,808.00
100,2021-05-12,731,33795.00,28045055.00,864.00,805.00,845.00
101,2021-05-13,534,24444.00,20644616.00,867.00,830.00,840.00
102,2021-05-16,419,25792.00,21563089.00,872.00,825.00,830.00
103,2021-05-17,361,20835.00,17415790.00,851.00,821.00,835.00
104,2021-05-18,544,27370.00,23431509.00,877.00,835.00,853.00
105,2021-05-19,365,25322.00,21226713.00,869.00,823.00,840.00
106,2021-05-20,290,21914.00,18059349.00,840.00,816.00,824.00
107,2021-05-23,352,12830.00,10560720.00,837.00,808.00,830.00
108,2021-05-24,297,12269.00,10068491.00,837.00,815.00,818.00
109,2021-05-25,260,10215.00,8306903.00,827.00,807.00,810.00
110,2021-05-27,495,36891.00,30550887.00,860.00,799.00,839.00
111,2021-05-30,366,26738.00,21893033.00,849.00,800.00,807.00
112,2021-05-31,472,30437.00,24281081.00,820.00,788.00,790.00
113,2021-06-01,300,24965.00,19404848.00,793.00,770.00,780.00
114,2021-06-02,391,19008.00,15131940.00,793.00,770.00,819.00
115,2021-06-03,292,18901.00,15230446.00,835.00,794.00,796.00
116,2021-06-06,280,6435.00,5037650.00,790.00,775.00,781.00
117,2021-06-07,350,20385.00,16070890.00,800.00,781.00,788.00
118,2021-06-08,328,12447.00,9939326.00,806.00,776.00,792.00
119,2021-06-09,181,6139.00,4836747.00,800.00,777.00,786.00
120,2021-06-10,1194,96143.00,81127037.00,864.00,771.00,864.00
121,2021-06-13,495,17664.00,16636518.00,950.00,907.00,950.00
122,2021-06-14,1193,81217.00,78491187.00,1045.00,925.00,959.00
123,2021-06-15,1344,79578.00,78983705.00,1026.00,967.00,974.00
124,2021-06-16,1045,51201.00,47886746.00,970.00,878.00,935.00
125,2021-06-17,541,16795.00,15377410.00,938.00,899.00,903.00
126,2021-06-20,428,30764.00,26829747.00,914.00,846.00,875.00
127,2021-06-21,352,25140.00,21567873.00,908.00,841.00,855.00
128,2021-06-22,215,11837.00,10401938.00,929.00,840.00,887.00
129,2021-06-23,196,10960.00,9524295.00,895.00,850.00,860.00
130,2021-06-24,216,12090.00,10492520.00,899.00,843.00,861.00
131,2021-06-27,222,12282.00,10567800.00,890.00,845.00,873.00
