S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2016-09-05,1,10.00,3920.00,392.00,392.00,392.00
2,2016-09-08,1,10.00,4110.00,411.00,411.00,411.00
3,2016-11-24,1,10.00,4190.00,419.00,419.00,419.00
4,2016-12-06,4,50.00,21990.00,451.00,427.00,451.00
5,2016-12-15,3,92.00,43427.00,478.00,460.00,478.00
6,2016-12-18,2,20.00,9830.00,496.00,487.00,496.00
7,2016-12-21,4,40.00,18940.00,487.00,460.00,487.00
8,2016-12-26,5,50.00,25760.00,535.00,496.00,535.00
9,2017-01-19,1,10.00,5450.00,545.00,545.00,545.00
10,2017-01-23,2,41.00,23096.00,566.00,555.00,566.00
11,2017-01-24,1,10.00,5770.00,577.00,577.00,577.00
12,2017-02-06,4,18.00,10573.00,0.00,0.00,0.00
13,2017-02-09,3,30.00,17970.00,610.00,588.00,610.00
14,2017-02-12,3,74.00,47120.00,646.00,622.00,646.00
15,2017-02-13,2,20.00,13290.00,671.00,658.00,671.00
16,2017-02-14,1,10.00,6840.00,684.00,684.00,684.00
17,2017-02-26,2,20.00,14070.00,710.00,697.00,710.00
18,2017-03-01,3,30.00,22140.00,752.00,724.00,752.00
19,2017-03-02,2,41.00,31897.00,782.00,767.00,782.00
20,2017-03-14,1,10.00,7970.00,797.00,797.00,797.00
21,2017-03-20,1,4.00,3248.00,0.00,0.00,0.00
22,2017-03-21,3,50.00,41672.00,844.00,812.00,844.00
23,2017-03-22,2,27.00,23509.00,877.00,860.00,877.00
24,2017-03-26,1,10.00,8940.00,894.00,894.00,894.00
25,2017-04-06,5,61.00,58545.00,975.00,938.00,975.00
26,2017-04-09,2,10.00,9940.00,0.00,0.00,0.00
27,2017-04-11,3,35.00,35370.00,1033.00,994.00,1033.00
28,2017-04-12,2,20.00,21060.00,1053.00,1053.00,1053.00
29,2017-04-13,1,10.00,10740.00,1074.00,1074.00,1074.00
30,2017-04-20,4,40.00,45090.00,1160.00,1095.00,1160.00
31,2017-04-24,2,20.00,23660.00,1183.00,1183.00,1183.00
32,2017-04-26,1,10.00,12060.00,1206.00,1206.00,1206.00
33,2017-04-27,19,312.00,406508.00,1326.00,1230.00,1326.00
34,2017-04-30,2,22.00,30041.00,1379.00,1352.00,1379.00
35,2017-05-04,4,28.00,39844.00,1434.00,1406.00,1434.00
36,2017-05-07,4,43.00,64703.00,1550.00,1462.00,1550.00
37,2017-05-08,8,75.00,124208.00,1705.00,1581.00,1705.00
38,2017-05-09,6,54.00,97349.00,1844.00,1739.00,1844.00
39,2017-05-11,1,10.00,18808.80,1880.88,1880.88,1880.88
40,2017-05-15,1,10.00,19180.00,1918.00,1918.00,1918.00
41,2017-05-17,6,72.00,147850.00,2109.00,1956.00,2109.00
42,2017-05-18,28,575.00,1318840.00,2319.00,2151.00,2319.00
43,2017-05-21,42,478.00,1214162.80,2550.90,2365.00,2550.00
44,2017-05-22,101,1780.00,4978599.00,2805.00,2601.00,2805.00
45,2017-05-23,1216,23569.00,67176744.00,3085.00,2690.00,2750.00
46,2017-05-24,530,9195.00,24360864.00,2800.00,2553.00,2723.00
47,2017-05-28,289,4617.00,12079486.00,2670.00,2598.00,2618.00
48,2017-05-30,210,3110.00,8041649.00,2610.00,2541.00,2585.00
