S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2012-11-08,1,50.00,7500.00,150.00,150.00,150.00
2,2012-11-20,1,50.00,7650.00,153.00,153.00,153.00
3,2012-11-26,1,100.00,15600.00,156.00,156.00,156.00
4,2013-01-20,2,20.00,2960.00,149.00,147.00,147.00
5,2013-01-21,3,30.00,4140.00,140.00,136.00,136.00
6,2013-01-22,2,70.00,9000.00,130.00,128.00,128.00
7,2013-01-23,2,320.00,38440.00,122.00,120.00,120.00
8,2013-01-24,1,50.00,5800.00,116.00,116.00,116.00
9,2013-01-27,4,11297.00,1242784.00,114.00,110.00,110.00
10,2013-01-31,2,11370.00,1250460.00,110.00,108.00,110.00
11,2013-02-04,1,11250.00,1248750.00,111.00,111.00,111.00
12,2013-02-05,2,197.00,21339.00,109.00,107.00,107.00
13,2013-02-13,1,11081.00,1207829.00,109.00,109.00,109.00
14,2013-02-14,1,11025.00,1212750.00,110.00,110.00,110.00
15,2013-03-19,1,7875.00,866250.00,110.00,110.00,110.00
16,2013-03-21,2,246.00,26814.00,109.00,109.00,109.00
17,2013-06-10,1,1350.00,149850.00,111.00,111.00,111.00
18,2013-06-11,1,1350.00,151200.00,112.00,112.00,112.00
19,2013-06-19,1,37.00,4070.00,110.00,110.00,110.00
20,2013-07-02,1,2250.00,249750.00,111.00,111.00,111.00
21,2013-07-22,1,2250.00,252000.00,112.00,112.00,112.00
22,2013-07-23,1,2250.00,252000.00,112.00,112.00,112.00
23,2013-08-08,1,123.00,13530.00,110.00,110.00,110.00
24,2013-09-04,2,235.00,26320.00,112.00,112.00,112.00
25,2013-09-05,2,190.00,21280.00,112.00,112.00,112.00
26,2013-09-11,2,5067.00,567370.00,112.00,110.00,110.00
27,2013-09-16,1,250.00,27000.00,108.00,108.00,108.00
28,2013-09-17,3,22130.00,2411930.00,110.00,106.00,110.00
29,2013-09-24,2,10631.00,1190672.00,112.00,112.00,112.00
30,2013-12-08,3,372.00,43016.00,118.00,114.00,118.00
31,2013-12-09,2,22476.00,2719596.00,122.00,120.00,122.00
32,2013-12-10,2,240.00,30000.00,126.00,124.00,126.00
33,2013-12-11,1,123.00,15744.00,128.00,128.00,128.00
34,2014-05-06,1,89538.00,11281788.00,126.00,126.00,126.00
35,2014-05-08,1,56.00,7168.00,128.00,128.00,128.00
36,2014-05-11,4,6604.00,858710.00,132.00,130.00,132.00
37,2014-05-13,2,12138.00,1561066.00,130.00,128.00,128.00
38,2014-05-18,3,12939.00,1713858.00,134.00,130.00,134.00
39,2014-05-19,5,50208.00,6522564.00,132.00,128.00,128.00
40,2014-06-01,1,56.00,7280.00,130.00,130.00,130.00
41,2014-06-03,1,450.00,58500.00,130.00,130.00,130.00
42,2014-06-18,1,225.00,28800.00,128.00,128.00,130.00
43,2014-06-30,10,2250.00,288000.00,128.00,128.00,128.00
44,2014-07-07,1,78.00,10140.00,130.00,130.00,130.00
45,2014-07-08,2,358.00,47502.00,134.00,132.00,134.00
46,2014-07-22,1,11238.00,1483416.00,132.00,132.00,132.00
47,2014-08-12,1,56.00,7504.00,134.00,134.00,134.00
48,2014-08-18,1,15.00,2025.00,135.00,135.00,135.00
49,2014-08-24,2,112.00,15120.00,135.00,135.00,135.00
50,2014-08-25,3,224.00,31136.00,140.00,137.00,140.00
51,2014-09-04,3,5624.00,787360.00,140.00,140.00,140.00
52,2014-10-09,5,3864.00,533232.00,138.00,138.00,138.00
53,2014-10-12,1,306.00,42840.00,140.00,140.00,140.00
54,2014-10-14,2,4500.00,634500.00,142.00,140.00,142.00
55,2014-10-15,4,310.00,43400.00,140.00,140.00,140.00
56,2014-11-25,1,100.00,13800.00,138.00,138.00,138.00
57,2014-12-08,9,27306.00,4088472.00,150.00,140.00,150.00
58,2014-12-10,1,100.00,15000.00,150.00,150.00,150.00
59,2014-12-16,2,224.00,33600.00,150.00,150.00,150.00
60,2014-12-18,1,56.00,8568.00,153.00,153.00,153.00
61,2014-12-22,2,270.00,40500.00,150.00,150.00,150.00
62,2015-01-14,3,76.00,11826.00,156.00,153.00,156.00
63,2015-02-16,1,56.00,8568.00,153.00,153.00,153.00
64,2015-02-18,1,50.00,7800.00,156.00,156.00,156.00
65,2015-02-26,1,67.00,10251.00,153.00,153.00,153.00
66,2015-03-10,1,78.00,11700.00,150.00,150.00,150.00
67,2015-03-12,1,78.00,11934.00,153.00,153.00,153.00
68,2015-03-15,3,212.00,33642.00,162.00,156.00,162.00
69,2015-03-18,6,672.00,112896.00,174.00,165.00,174.00
70,2015-03-19,6,537.00,98281.00,191.00,177.00,191.00
71,2015-03-22,1,112.00,21392.00,191.00,191.00,191.00
72,2015-03-26,3,358.00,67304.00,188.00,188.00,188.00
73,2015-06-08,1,100.00,19100.00,191.00,191.00,191.00
74,2015-06-09,1,112.00,21392.00,191.00,191.00,191.00
75,2015-06-10,1,112.00,21280.00,190.00,190.00,190.00
76,2015-06-21,1,78.00,14586.00,187.00,187.00,187.00
77,2015-06-28,1,112.00,20608.00,184.00,184.00,184.00
78,2015-08-02,1,1687.00,305347.00,181.00,181.00,181.00
79,2015-08-04,3,179.00,33602.00,190.00,184.00,190.00
80,2015-08-06,1,123.00,23739.00,193.00,193.00,193.00
81,2015-08-09,1,56.00,10752.00,192.00,192.00,192.00
82,2015-08-10,1,100.00,19300.00,193.00,193.00,193.00
83,2015-08-16,1,10.00,1960.00,196.00,196.00,196.00
84,2015-08-23,5,3025.00,618310.00,206.00,199.00,202.00
85,2015-08-24,5,883.00,178454.00,209.00,198.00,209.00
86,2015-08-25,7,1550.00,333358.00,221.00,213.00,215.00
87,2015-08-26,6,2200.00,483586.00,230.00,217.00,230.00
88,2015-08-27,1,1012.00,236808.00,234.00,234.00,234.00
89,2015-08-31,2,3543.00,807918.00,230.00,226.00,226.00
90,2015-09-03,3,5000.00,1103000.00,223.00,219.00,219.00
91,2015-09-13,1,112.00,24080.00,215.00,215.00,215.00
92,2015-09-15,1,4200.00,886200.00,211.00,211.00,211.00
93,2015-10-11,1,112.00,23184.00,207.00,207.00,207.00
94,2015-11-22,2,25.00,5335.00,215.00,211.00,215.00
95,2015-11-24,2,118.00,26090.00,223.00,219.00,223.00
96,2015-12-28,12,24722.00,5107913.00,219.00,201.00,202.00
97,2015-12-29,20,18599.00,3607887.00,200.00,190.00,190.00
98,2015-12-31,4,9820.00,1870483.00,196.00,190.00,193.00
99,2016-01-05,4,40.00,7220.00,185.00,176.00,185.00
100,2016-01-06,4,40.00,7700.00,197.00,188.00,197.00
101,2016-01-07,4,40.00,8240.00,212.00,200.00,212.00
102,2016-02-03,7,1600.00,357800.00,233.00,216.00,233.00
103,2016-02-04,6,1000.00,246600.00,253.00,237.00,253.00
104,2016-02-07,1,200.00,51400.00,257.00,257.00,257.00
105,2016-02-16,1,100.00,26200.00,262.00,262.00,262.00
106,2016-02-24,1,110.00,28820.00,262.00,262.00,262.00
107,2016-02-29,3,6125.00,1571625.00,257.00,252.00,252.00
108,2016-03-17,3,1168.00,303176.00,260.00,257.00,260.00
109,2016-03-21,2,200.00,50500.00,255.00,250.00,250.00
110,2016-03-27,3,703.00,170531.00,245.00,237.00,237.00
111,2016-04-06,2,2000.00,462000.00,233.00,229.00,229.00
112,2016-04-18,1,56.00,13048.00,233.00,233.00,233.00
113,2016-04-19,1,130.00,29900.00,230.00,230.00,230.00
114,2016-04-20,7,1200.00,290800.00,246.00,234.00,240.00
115,2016-04-21,7,13185.00,3239025.00,253.00,244.00,253.00
116,2016-04-24,16,12970.00,3474850.00,278.00,258.00,278.00
117,2016-04-25,38,181785.00,54658913.00,305.00,275.00,305.00
118,2016-04-26,205,167978.00,56252910.00,335.00,311.00,335.00
119,2016-04-27,73,36070.00,12647880.00,368.00,339.00,342.00
120,2016-04-28,66,37822.00,12838009.00,359.00,319.00,319.00
121,2016-05-02,89,33410.00,10951280.00,350.00,314.00,320.00
122,2016-05-03,25,8979.00,2821470.00,325.00,306.00,310.00
123,2016-05-04,13,3796.00,1156948.00,309.00,303.00,305.00
124,2016-05-05,6,1423.00,426231.00,301.00,297.00,299.00
125,2016-05-08,13,5200.00,1549000.00,300.00,294.00,299.00
126,2016-05-09,15,2536.00,757800.00,301.00,295.00,300.00
127,2016-05-10,22,5017.00,1492880.00,301.00,294.00,301.00
128,2016-05-11,5,564.00,165864.00,300.00,290.00,295.00
