S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-20,5,105.00,105270.00,1020.00,1000.00,1001.00
2,2021-04-21,7,490.00,490640.00,1002.00,1001.00,1002.00
3,2021-04-22,5,105.00,105100.00,1001.00,1001.00,1001.00
4,2021-04-26,1,25.00,24875.00,995.00,995.00,995.00
5,2021-04-27,1,25.00,25000.00,1000.00,1000.00,1000.00
6,2021-04-28,2,125.00,125625.00,1005.00,1005.00,1005.00
7,2021-04-29,5,325.00,331850.00,1025.00,1005.00,1025.00
8,2021-05-02,4,250.00,257750.00,1040.00,1020.00,1040.00
9,2021-05-03,1,50.00,51000.00,1020.00,1020.00,1020.00
10,2021-05-04,3,75.00,75900.00,1013.00,1011.00,1012.00
11,2021-05-05,2,50.00,50600.00,1012.00,1012.00,1012.00
12,2021-05-06,3,325.00,329875.00,1015.00,1015.00,1015.00
13,2021-05-09,1,25.00,25375.00,1015.00,1015.00,1015.00
14,2021-05-11,3,110.00,112260.00,1021.00,1020.00,1020.00
15,2021-05-12,1,25.00,25375.00,1015.00,1015.00,1015.00
16,2021-05-16,4,125.00,126400.00,1014.00,1010.00,1014.00
17,2021-05-17,3,145.00,147900.00,1020.00,1020.00,1020.00
18,2021-05-18,4,125.00,127425.00,1029.00,1010.00,1029.00
19,2021-05-19,3,75.00,76625.00,1030.00,1010.00,1030.00
20,2021-05-20,8,175.00,176335.00,1015.00,992.00,1010.00
21,2021-05-23,4,530.00,537950.00,1015.00,1015.00,1015.00
22,2021-05-24,6,320.00,324625.00,1015.00,1011.00,1012.00
23,2021-05-25,7,168.00,172690.00,1035.00,1020.00,1020.00
24,2021-05-27,2,40.00,40710.00,1020.00,1014.00,1014.00
25,2021-05-30,2,50.00,50850.00,1017.00,1017.00,1017.00
26,2021-05-31,5,125.00,127650.00,1029.00,1015.00,1029.00
27,2021-06-01,5,100.00,102750.00,1030.00,1025.00,1030.00
28,2021-06-02,5,134.00,137751.00,1030.00,1025.00,1030.00
29,2021-06-03,1,25.00,25400.00,1016.00,1016.00,1016.00
30,2021-06-06,7,175.00,181460.00,1055.00,1016.00,1055.00
31,2021-06-07,2,50.00,51625.00,1034.00,1031.00,1031.00
32,2021-06-08,1,25.00,25750.00,1030.00,1030.00,1030.00
33,2021-06-09,4,89.00,91815.00,1035.00,1030.00,1030.00
34,2021-06-10,2,50.00,51250.00,1025.00,1025.00,1025.00
35,2021-06-13,5,125.00,127225.00,1025.00,1010.00,1020.00
36,2021-06-14,5,225.00,230700.00,1030.00,1022.00,1030.00
37,2021-06-15,2,150.00,154375.00,1030.00,1025.00,1030.00
38,2021-06-17,1,25.00,25750.00,1030.00,1030.00,1030.00
39,2021-06-20,1,25.00,25625.00,1025.00,1025.00,1025.00
40,2021-06-21,1,25.00,25750.00,1030.00,1030.00,1030.00
41,2021-06-22,3,100.00,103550.00,1036.00,1035.00,1036.00
42,2021-06-23,6,175.00,180275.00,1031.00,1027.00,1027.00
43,2021-06-24,5,610.00,617920.00,1023.00,1011.00,1022.00
44,2021-06-27,5,175.00,179050.00,1035.00,1015.00,1035.00
45,2021-06-28,1,25.00,25750.00,1030.00,1030.00,1030.00
46,2021-06-29,2,50.00,51425.00,1035.00,1022.00,1035.00
47,2021-06-30,1,25.00,25750.00,1030.00,1030.00,1030.00
48,2021-07-01,4,75.00,76545.00,1025.00,1010.00,1025.00
49,2021-07-04,5,149.00,152456.00,1043.00,1012.00,1043.00
50,2021-07-05,1,25.00,25675.00,1027.00,1027.00,1027.00
51,2021-07-07,2,25.00,25510.00,1021.00,1020.00,1020.00
52,2021-07-08,2,110.00,112090.00,1019.00,1019.00,1019.00
53,2021-07-11,1,27.00,27459.00,1017.00,1017.00,1017.00
54,2021-07-13,2,125.00,129475.00,1037.00,1034.00,1037.00
55,2021-07-15,2,75.00,76700.00,1025.00,1018.00,1025.00
56,2021-07-18,2,55.00,55677.00,1013.00,1011.10,1011.10
57,2021-07-19,2,50.00,50450.00,1010.00,1008.00,1008.00
58,2021-07-20,2,40.00,40257.50,1007.00,1006.10,1007.00
59,2021-07-22,7,194.00,195887.00,1015.80,1002.00,1011.10
60,2021-07-25,7,230.00,232330.00,1016.00,995.00,1012.00
61,2021-07-26,19,525.00,528616.00,1010.10,1002.00,1004.00
62,2021-07-27,16,735.00,740759.00,1014.90,1005.10,1011.00
63,2021-07-28,13,1120.00,1136983.00,1022.00,1006.00,1012.00
64,2021-07-29,3,100.00,100690.00,1007.10,1006.60,1007.10
65,2021-08-01,2,100.00,100465.00,1004.70,1004.50,1004.70
66,2021-08-02,3,330.00,334800.00,1015.00,1010.00,1015.00
67,2021-08-03,6,500.00,506300.00,1014.00,1010.00,1014.00
68,2021-08-04,1,25.00,25250.00,1010.00,1010.00,1010.00
69,2021-08-05,2,25.00,25000.00,1000.00,1000.00,1000.00
70,2021-08-08,5,250.00,250860.00,1005.00,1001.10,1005.00
71,2021-08-10,4,95.00,95950.00,1010.00,1010.00,1010.00
72,2021-08-11,1,100.00,101000.00,1010.00,1010.00,1010.00
73,2021-08-12,2,200.00,202000.00,1010.00,1010.00,1010.00
