S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-04-17,90,2980.00,310380.00,108.00,100.00,101.00
2,2019-04-18,46,1490.00,142080.00,99.00,95.00,95.00
3,2019-04-21,15,420.00,39770.00,96.00,93.00,96.00
4,2019-04-22,19,619.00,57778.00,96.00,91.00,91.00
5,2019-04-23,17,500.00,45500.00,92.00,90.00,90.00
6,2019-04-24,20,620.00,54000.00,89.00,85.00,87.00
7,2019-04-25,15,521.00,44906.00,87.00,85.00,87.00
8,2019-04-28,13,380.00,33380.00,89.00,86.00,89.00
9,2019-04-29,6,190.00,16980.00,90.00,89.00,89.00
10,2019-04-30,14,440.00,39020.00,90.00,87.00,89.00
11,2019-05-02,11,330.00,30020.00,92.00,88.00,92.00
12,2019-05-05,3,60.00,5460.00,91.00,91.00,91.00
13,2019-05-06,23,655.00,59910.00,92.00,90.00,91.00
14,2019-05-07,15,490.00,44690.00,92.00,91.00,91.00
15,2019-05-08,23,830.00,75690.00,92.00,90.00,91.00
16,2019-05-09,8,240.00,21700.00,92.00,89.00,92.00
17,2019-05-12,8,200.00,17890.00,91.00,88.00,88.00
18,2019-05-13,24,730.00,65870.00,93.00,89.00,93.00
19,2019-05-14,12,300.00,27560.00,94.00,90.00,90.00
20,2019-05-15,18,550.00,48560.00,89.00,86.00,89.00
21,2019-05-16,11,360.00,32660.00,92.00,90.00,92.00
22,2019-05-19,24,660.00,60860.00,94.00,88.00,94.00
23,2019-05-20,36,1540.00,146380.00,98.00,92.00,97.00
24,2019-05-21,37,1270.00,124620.00,100.00,96.00,99.00
25,2019-05-22,135,18720.00,2013140.00,108.00,100.00,104.00
26,2019-05-23,68,5440.00,555350.00,109.00,97.00,99.00
27,2019-05-26,69,5630.00,574920.00,105.00,100.00,102.00
28,2019-05-27,35,1040.00,104560.00,107.00,99.00,105.00
29,2019-05-28,16,2200.00,216430.00,102.00,98.00,98.00
30,2019-05-29,132,7770.00,817510.00,107.00,99.00,105.00
31,2019-05-30,104,4820.00,518950.00,113.00,104.00,104.00
32,2019-06-02,24,790.00,83530.00,112.00,102.00,110.00
33,2019-06-03,26,1850.00,195990.00,108.00,102.00,104.00
34,2019-06-04,47,1510.00,153900.00,104.00,101.00,104.00
35,2019-06-06,33,2140.00,217520.00,103.00,100.00,100.00
36,2019-06-10,29,860.00,86770.00,103.00,100.00,100.00
37,2019-06-11,118,5228.00,551246.00,108.00,101.00,107.00
38,2019-06-12,43,1310.00,137420.00,107.00,104.00,104.00
39,2019-06-13,45,2250.00,236560.00,108.00,102.00,103.00
40,2019-06-16,35,4750.00,479340.00,105.00,100.00,100.00
41,2019-06-17,13,1000.00,101770.00,102.00,101.00,101.00
42,2019-06-18,67,3310.00,345210.00,107.00,101.00,105.00
43,2019-06-19,53,3290.00,346550.00,107.00,103.00,106.00
44,2019-06-20,30,2080.00,222040.00,109.00,102.00,107.00
45,2019-06-23,19,4250.00,452130.00,109.00,105.00,105.00
46,2019-06-24,23,730.00,76600.00,107.00,104.00,104.00
47,2019-06-25,18,570.00,59370.00,105.00,102.00,104.00
48,2019-06-26,27,810.00,83570.00,105.00,102.00,105.00
49,2019-06-27,20,680.00,70370.00,105.00,103.00,104.00
50,2019-06-30,18,580.00,60090.00,105.00,102.00,103.00
51,2019-07-01,34,1150.00,119390.00,105.00,101.00,104.00
52,2019-07-02,20,570.00,59325.00,105.00,103.00,104.00
53,2019-07-03,35,2290.00,241370.00,107.00,103.00,106.00
54,2019-07-04,21,1020.00,106770.00,107.00,104.00,107.00
55,2019-07-07,22,770.00,80940.00,106.00,104.00,104.00
56,2019-07-08,26,1210.00,126020.00,106.00,102.00,102.00
57,2019-07-09,20,640.00,66000.00,104.00,102.00,104.00
58,2019-07-10,17,590.00,61760.00,105.00,103.00,105.00
59,2019-07-11,18,540.00,55740.00,104.00,102.00,104.00
60,2019-07-14,13,430.00,44670.00,104.00,103.00,104.00
61,2019-07-15,11,360.00,37080.00,103.00,103.00,103.00
62,2019-07-16,24,1350.00,142710.00,107.00,104.00,105.00
63,2019-07-17,19,820.00,86370.00,109.00,103.00,106.00
