S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-03-16,7,30.00,13267.00,446.00,438.00,446.00
2,2021-03-17,4,4.00,1772.00,446.00,446.00,446.00
3,2021-03-18,1,1.00,438.00,446.00,446.00,446.00
4,2021-03-22,4,31.00,14007.00,463.00,440.00,463.00
5,2021-03-23,3,30.00,14430.00,490.00,472.00,490.00
6,2021-03-24,2,20.00,10070.00,508.00,499.00,508.00
7,2021-03-25,3,30.00,15840.00,538.00,518.00,538.00
8,2021-03-29,6,50.00,28760.00,591.00,564.00,591.00
9,2021-03-30,1,10.00,6020.00,602.00,602.00,602.00
10,2021-03-31,5,50.00,31900.00,662.00,614.00,662.00
11,2021-04-01,2,20.00,14030.00,708.00,695.00,708.00
12,2021-04-04,2,20.00,14580.00,736.00,722.00,736.00
13,2021-04-05,5,32.00,23832.00,765.00,718.00,765.00
14,2021-04-06,5,50.00,40520.00,841.00,780.00,841.00
15,2021-04-07,6,60.00,53800.00,925.00,857.00,925.00
16,2021-04-12,10,90.00,89494.00,1017.00,943.00,1017.00
17,2021-04-13,5,50.00,53490.00,1099.00,1037.00,1099.00
18,2021-04-15,7,70.00,82370.00,1208.00,1120.00,1208.00
19,2021-04-18,10,80.00,103390.00,1328.00,1232.00,1328.00
20,2021-04-19,15,120.00,172560.00,1460.00,1354.00,1460.00
21,2021-04-20,12,120.00,189810.00,1606.00,1489.00,1606.00
22,2021-04-21,27,270.00,475420.00,1766.00,1686.00,1766.00
23,2021-04-22,37,370.00,715070.00,1942.00,1801.00,1942.00
24,2021-04-25,105,1025.00,2185405.00,2136.00,1980.00,2136.00
25,2021-04-26,125,1231.00,2887399.00,2349.00,2178.00,2349.00
26,2021-04-27,141,1390.00,3586890.00,2583.00,2466.00,2583.00
27,2021-04-28,128,1280.00,3632950.00,2841.00,2766.00,2841.00
28,2021-04-29,187,1850.00,5778640.00,3125.00,2979.00,3125.00
29,2021-05-02,184,1810.00,6201555.00,3437.00,3281.00,3437.00
30,2021-05-03,159,2420.00,9139450.00,3780.00,3608.00,3780.00
31,2021-05-04,245,2430.00,10096790.00,4158.00,3969.00,4158.00
32,2021-05-05,227,2245.00,10248945.00,4573.00,4365.00,4573.00
33,2021-05-06,987,12843.00,64582500.00,5030.00,4801.00,5030.00
34,2021-05-09,4411,51088.00,236773164.00,5493.00,4527.00,4527.00
35,2021-05-10,2520,28160.00,125312004.00,4845.00,4263.00,4700.00
36,2021-05-11,542,6971.00,32935938.00,4800.00,4650.00,4725.00
37,2021-05-12,389,6316.00,29518167.00,4700.00,4651.00,4670.00
38,2021-05-13,539,9166.00,42227030.00,4670.00,4584.00,4585.00
39,2021-05-16,588,11595.00,53522330.00,4660.00,4560.00,4657.00
40,2021-05-17,337,7610.00,35339630.00,4664.00,4605.00,4638.00
41,2021-05-18,347,8135.00,37748055.00,4665.00,4620.00,4645.00
