S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-08-27,1,10.00,16260.00,1626.00,1626.00,1626.00
2,2017-08-31,1,100.00,165800.00,1658.00,1658.00,1658.00
3,2017-10-08,2,110.00,189310.00,1724.00,1691.00,1724.00
4,2017-10-29,1,10.00,17580.00,1758.00,1758.00,1758.00
5,2017-11-05,3,30.00,54490.00,1828.00,1793.00,1828.00
6,2017-11-06,4,40.00,76810.00,1977.00,1864.00,1977.00
7,2017-11-08,2,20.00,40720.00,2056.00,2016.00,2056.00
8,2017-11-19,1,10.00,13980.00,1398.00,1398.00,1398.00
9,2017-12-06,2,20.00,28780.00,1453.00,1425.00,1453.00
10,2017-12-10,2,20.00,29930.00,1511.00,1482.00,1511.00
11,2017-12-11,2,20.00,31120.00,1571.00,1541.00,1571.00
12,2017-12-12,2,20.00,32360.00,1634.00,1602.00,1634.00
13,2017-12-13,3,30.00,50970.00,1732.00,1666.00,1732.00
14,2017-12-14,2,20.00,35670.00,1801.00,1766.00,1801.00
15,2017-12-17,3,30.00,56200.00,1910.00,1837.00,1910.00
16,2017-12-18,1,10.00,20050.00,2005.00,2005.00,2005.00
17,2017-12-20,4,120.00,249800.00,2085.00,2045.00,2085.00
18,2017-12-21,4,35.00,76100.00,2211.00,2126.00,2211.00
19,2017-12-24,3,30.00,71020.00,2414.00,2321.00,2414.00
20,2017-12-26,6,60.00,154560.00,2655.00,2462.00,2655.00
21,2017-12-27,17,170.00,491200.00,2920.00,2708.00,2920.00
22,2017-12-28,88,880.00,2820780.00,3212.00,2978.00,3212.00
23,2017-12-31,424,5336.00,16886436.00,3341.00,3086.00,3150.00
24,2018-01-01,154,2071.00,6481314.00,3160.00,3103.00,3150.00
25,2018-01-02,98,1540.00,4761790.00,3105.00,3040.00,3100.00
26,2018-01-03,61,955.00,2915045.00,3098.00,3002.00,3020.00
27,2018-01-04,48,520.00,1551320.00,3020.00,2973.00,2982.00
28,2018-01-07,36,360.00,1075240.00,3050.00,2935.00,2985.00
29,2018-01-08,47,591.00,1774310.00,3044.00,2998.00,3005.00
30,2018-01-09,25,250.00,748140.00,3004.00,2971.00,2990.00
31,2018-01-10,26,270.00,798640.00,2965.00,2951.00,2951.00
32,2018-01-14,40,500.00,1464760.00,2980.00,2852.00,2920.00
33,2018-01-16,37,370.00,1084650.00,3000.00,2900.00,3000.00
34,2018-01-17,23,243.00,717990.00,3000.00,2930.00,2942.00
35,2018-01-21,23,260.00,762890.00,2950.00,2902.00,2905.00
36,2018-01-22,13,130.00,376850.00,2905.00,2875.00,2890.00
37,2018-01-23,23,320.00,914820.00,2899.00,2845.00,2851.00
38,2018-01-24,23,270.00,767470.00,2907.00,2830.00,2836.00
39,2018-01-25,19,190.00,543810.00,2890.00,2834.00,2885.00
40,2018-01-28,16,220.00,626130.00,2860.00,2837.00,2843.00
41,2018-01-29,12,120.00,340850.00,2850.00,2831.00,2849.00
42,2018-01-31,10,100.00,285530.00,2870.00,2850.00,2870.00
43,2018-02-01,5,50.00,143340.00,2900.00,2848.00,2848.00
44,2018-02-04,24,280.00,811050.00,2940.00,2865.00,2900.00
45,2018-02-05,5,50.00,143290.00,2875.00,2850.00,2860.00
46,2018-02-06,5,50.00,142590.00,2856.00,2846.00,2856.00
47,2018-02-07,23,299.00,855143.00,2880.00,2830.00,2830.00
48,2018-02-08,9,99.00,280339.00,2886.00,2811.00,2841.00
49,2018-02-11,4,50.00,140690.00,2818.00,2800.00,2817.00
50,2018-02-12,7,150.00,423800.00,2830.00,2820.00,2821.00
51,2018-02-14,14,170.00,482550.00,2850.00,2790.00,2850.00
52,2018-02-15,21,262.00,754410.00,2954.00,2815.00,2954.00
53,2018-02-18,12,120.00,351820.00,3009.00,2893.00,2895.00
54,2018-02-20,3,60.00,174660.00,2952.00,2847.00,2847.00
55,2018-02-21,8,90.00,253390.00,2840.00,2800.00,2800.00
56,2018-02-22,27,280.00,782920.00,2850.00,2781.00,2850.00
57,2018-02-25,23,230.00,644450.00,2810.00,2784.00,2785.00
58,2018-02-26,15,270.00,738940.00,2740.00,2731.00,2737.00
59,2018-02-27,8,160.00,441200.00,2770.00,2730.00,2770.00
60,2018-02-28,11,130.00,350510.00,2716.00,2683.00,2705.00
61,2018-03-04,35,479.00,1222131.00,2653.00,2499.00,2510.00
62,2018-03-05,65,650.00,1560450.00,2500.00,2385.00,2387.00
63,2018-03-06,16,160.00,381080.00,2485.00,2350.00,2485.00
64,2018-03-07,24,270.00,670060.00,2524.00,2436.00,2500.00
65,2018-03-11,5,50.00,122910.00,2480.00,2431.00,2431.00
66,2018-03-12,13,380.00,906420.00,2400.00,2352.00,2352.00
67,2018-03-14,5,50.00,119660.00,2408.00,2361.00,2408.00
68,2018-03-15,20,260.00,630260.00,2455.00,2400.00,2449.00
69,2018-03-18,7,80.00,192970.00,2440.00,2401.00,2405.00
70,2018-03-19,8,190.00,454900.00,2400.00,2370.00,2400.00
71,2018-03-20,7,70.00,165080.00,2361.00,2355.00,2361.00
72,2018-03-21,14,210.00,485500.00,2364.00,2271.00,2300.00
73,2018-03-22,26,461.00,1029569.00,2346.00,2209.00,2209.00
74,2018-03-26,22,220.00,457200.00,2165.00,1989.00,1989.00
75,2018-03-27,17,220.00,423310.00,1989.00,1873.00,1965.00
76,2018-03-28,15,190.00,381570.00,2044.00,1981.00,2000.00
77,2018-03-29,10,174.00,358986.00,2091.00,2009.00,2091.00
78,2018-04-01,5,50.00,105280.00,2132.00,2047.00,2047.00
79,2018-04-02,5,50.00,100650.00,2025.00,2007.00,2025.00
80,2018-04-03,6,60.00,120900.00,2045.00,2005.00,2005.00
81,2018-04-04,16,170.00,343160.00,2085.00,2003.00,2085.00
82,2018-04-05,26,630.00,1320780.00,2120.00,2085.00,2120.00
83,2018-04-08,28,895.00,1994070.00,2332.00,2125.00,2332.00
84,2018-04-09,16,300.00,710860.00,2420.00,2350.00,2389.00
85,2018-04-10,17,300.00,691850.00,2342.00,2291.00,2300.00
86,2018-04-11,7,150.00,351750.00,2346.00,2340.00,2346.00
87,2018-04-12,12,350.00,841550.00,2432.00,2300.00,2401.00
88,2018-04-15,2,40.00,94780.00,2385.00,2354.00,2385.00
89,2018-04-16,28,1010.00,2507220.00,2517.00,2418.00,2500.00
90,2018-04-17,17,410.00,1070660.00,2650.00,2550.00,2650.00
91,2018-04-18,21,592.00,1556700.00,2703.00,2576.00,2576.00
92,2018-04-19,17,510.00,1363190.00,2700.00,2620.00,2700.00
93,2018-04-22,30,801.00,2208145.00,2840.00,2720.00,2840.00
94,2018-04-23,13,180.00,512610.00,2896.00,2839.00,2890.00
95,2018-04-24,39,1016.00,2846150.00,2850.00,2668.00,2840.00
96,2018-04-25,10,626.00,1689600.00,2784.00,2690.00,2700.00
97,2018-04-26,23,780.00,2082640.00,2754.00,2609.00,2609.00
98,2018-04-29,20,495.00,1293310.00,2700.00,2598.00,2684.00
99,2018-05-02,14,480.00,1275310.00,2735.00,2632.00,2735.00
100,2018-05-03,7,315.00,860630.00,2749.00,2700.00,2745.00
101,2018-05-06,10,220.00,614710.00,2850.00,2691.00,2850.00
102,2018-05-07,213,2331.00,6350781.00,2899.00,2681.00,2764.00
103,2018-05-08,252,2275.00,6161400.00,2792.00,2660.00,2790.00
104,2018-05-09,111,1115.00,3045725.00,2820.00,2681.00,2749.00
105,2018-05-10,127,1605.00,4362285.00,2760.00,2700.00,2730.00
106,2018-05-14,148,2285.00,6195595.00,2729.00,2679.00,2705.00
107,2018-05-15,15,400.00,1076755.00,2700.00,2688.00,2690.00
108,2018-05-16,21,320.00,872250.00,2770.00,2690.00,2770.00
109,2018-05-17,19,449.00,1215945.00,2730.00,2685.00,2700.00
110,2018-05-20,40,1270.00,3505525.00,2800.00,2739.00,2784.00
111,2018-05-21,44,893.00,2478010.00,2815.00,2740.00,2815.00
112,2018-05-22,85,1865.00,5292675.00,2907.00,2780.00,2900.00
113,2018-05-23,67,1368.00,3924881.00,3000.00,2845.00,2940.00
114,2018-05-24,39,1565.00,4514777.00,2998.00,2840.00,2852.00
115,2018-05-27,43,550.00,1538365.00,2835.00,2763.00,2763.00
116,2018-05-28,64,2110.00,6005215.00,2896.00,2801.00,2860.00
117,2018-05-29,82,1381.00,3948513.00,2917.00,2840.00,2853.00
118,2018-05-30,41,1010.00,2901000.00,2949.00,2833.00,2833.00
119,2018-05-31,54,1876.00,5353875.00,2889.00,2841.00,2850.00
120,2018-06-03,62,1758.00,4911153.00,2870.00,2756.00,2780.00
121,2018-06-04,30,1110.00,3021635.00,2800.00,2660.00,2700.00
122,2018-06-06,13,420.00,1167705.00,2810.00,2754.00,2760.00
123,2018-06-07,39,640.00,1733720.00,2741.00,2690.00,2705.00
124,2018-06-10,32,540.00,1422535.00,2661.00,2610.00,2625.00
125,2018-06-11,31,830.00,2219285.00,2705.00,2590.00,2698.00
126,2018-06-12,28,475.00,1269885.00,2750.00,2631.00,2750.00
127,2018-06-13,37,615.00,1656955.00,2733.00,2675.00,2733.00
128,2018-06-14,33,540.00,1476770.00,2767.00,2679.00,2730.00
129,2018-06-17,14,320.00,863020.00,2750.00,2665.00,2718.00
130,2018-06-18,64,1200.00,3270680.00,2770.00,2680.00,2750.00
131,2018-06-19,35,725.00,1971600.00,2760.00,2700.00,2720.00
132,2018-06-20,18,225.00,607645.00,2715.00,2682.00,2715.00
133,2018-06-21,18,250.00,672845.00,2725.00,2680.00,2680.00
134,2018-06-24,22,280.00,751610.00,2703.00,2650.00,2680.00
135,2018-06-25,17,605.00,1592325.00,2680.00,2627.00,2645.00
136,2018-06-26,20,280.00,723090.00,2645.00,2542.00,2620.00
137,2018-06-27,22,655.00,1698135.00,2615.00,2580.00,2585.00
138,2018-06-28,22,380.00,979520.00,2610.00,2562.00,2566.00
139,2018-07-01,9,105.00,267500.00,2550.00,2545.00,2545.00
140,2018-07-02,16,190.00,470270.00,2561.00,2451.00,2561.00
141,2018-07-03,22,235.00,597875.00,2577.00,2540.00,2541.00
142,2018-07-04,22,425.00,1094145.00,2616.00,2523.00,2600.00
