S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-07-12,2,538.00,203674.00,383.00,376.00,376.00
2,2010-09-13,1,10.00,3780.00,378.00,378.00,378.00
3,2010-09-14,1,10.00,3960.00,396.00,396.00,396.00
4,2010-09-21,1,20.00,8060.00,403.00,403.00,403.00
5,2010-09-30,1,135.00,54405.00,403.00,403.00,403.00
6,2010-10-03,1,10.00,4110.00,411.00,411.00,411.00
7,2010-10-26,2,42.00,17774.00,427.00,419.00,427.00
8,2010-11-14,1,20.00,8700.00,435.00,435.00,435.00
9,2010-11-24,1,20.00,8860.00,443.00,443.00,443.00
10,2010-11-29,2,132.00,59532.00,451.00,451.00,451.00
11,2010-12-01,2,86.00,39890.00,465.00,460.00,465.00
12,2010-12-19,1,70.00,33180.00,474.00,474.00,474.00
13,2011-01-06,1,84.00,40572.00,483.00,483.00,483.00
14,2011-01-10,1,200.00,94800.00,474.00,474.00,474.00
15,2011-01-11,2,181.00,85794.00,474.00,474.00,474.00
16,2011-01-17,1,160.00,76800.00,480.00,480.00,480.00
17,2011-03-14,1,243.00,114453.00,471.00,471.00,471.00
18,2011-03-15,2,142.00,66542.00,470.00,461.00,461.00
19,2011-04-07,1,920.00,424120.00,461.00,461.00,461.00
20,2011-05-08,7,455.00,205660.00,452.00,452.00,452.00
21,2011-06-23,2,44.00,19316.00,443.00,435.00,435.00
22,2013-11-28,1,340.00,145180.00,427.00,427.00,427.00
23,2013-12-26,2,510.00,223890.00,443.00,435.00,443.00
24,2014-01-06,1,219.00,95265.00,435.00,435.00,435.00
25,2020-12-03,1,10.00,2950.00,295.00,295.00,295.00
26,2020-12-06,29,8390.00,2517000.00,300.00,300.00,300.00
27,2020-12-07,5,50.00,15900.00,330.00,306.00,330.00
28,2020-12-08,8,160.00,57340.00,363.00,336.00,363.00
29,2020-12-09,6,60.00,23190.00,399.00,370.00,399.00
30,2020-12-10,9,250.00,101560.00,438.00,400.00,438.00
31,2020-12-13,58,5450.00,2604600.00,481.00,446.00,481.00
32,2020-12-14,13,670.00,353360.00,529.00,490.00,529.00
33,2020-12-15,27,3440.00,1997570.00,581.00,539.00,581.00
34,2020-12-16,56,7501.00,4774521.00,639.00,592.00,639.00
35,2020-12-17,84,4695.00,2893370.00,686.00,580.00,591.00
36,2020-12-20,11,350.00,190810.00,580.00,537.00,537.00
37,2020-12-21,19,5170.00,2504740.00,527.00,484.00,484.00
38,2020-12-22,15,615.00,269960.00,475.00,436.00,436.00
39,2020-12-23,40,3463.00,1404309.00,428.00,393.00,393.00
40,2020-12-24,70,23660.00,8539100.00,386.00,354.00,377.00
41,2020-12-27,7,310.00,125010.00,414.00,384.00,414.00
42,2020-12-28,27,1785.00,807660.00,455.00,422.00,455.00
43,2020-12-29,117,9638.00,4802135.00,500.00,464.00,500.00
44,2020-12-30,90,5984.00,2826403.00,520.00,450.00,450.00
45,2020-12-31,28,1778.00,787035.00,450.00,433.00,433.00
46,2021-01-03,123,20237.00,8063524.00,450.00,390.00,441.00
47,2021-01-04,50,2945.00,1404925.00,485.00,435.00,476.00
48,2021-01-05,20,6655.00,3479195.00,523.00,485.00,523.00
49,2021-01-06,10,265.00,151305.00,575.00,533.00,575.00
50,2021-01-07,166,26188.00,16549116.00,632.00,603.00,632.00
51,2021-01-10,179,15905.00,10957256.00,695.00,644.00,695.00
