S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-08-23,1,10.00,5970.00,597.00,597.00,597.00
2,2018-08-30,3,30.00,19140.00,650.00,626.00,650.00
3,2018-09-03,1,10.00,6630.00,663.00,663.00,663.00
4,2018-09-04,2,20.00,13650.00,689.00,676.00,689.00
5,2018-09-09,1,10.00,7020.00,702.00,702.00,702.00
6,2018-09-13,1,10.00,7160.00,716.00,716.00,716.00
7,2018-09-16,1,10.00,7300.00,730.00,730.00,730.00
8,2018-09-18,1,10.00,7660.00,766.00,766.00,766.00
9,2018-09-25,2,20.00,15770.00,796.00,781.00,796.00
10,2018-09-27,2,20.00,16380.00,827.00,811.00,827.00
11,2018-09-30,1,10.00,8430.00,843.00,843.00,843.00
12,2018-10-01,6,60.00,53920.00,927.00,859.00,927.00
13,2018-10-02,7,110.00,108760.00,1019.00,945.00,1019.00
14,2018-10-03,27,270.00,300390.00,1120.00,1039.00,1120.00
15,2018-10-04,12,120.00,145140.00,1232.00,1142.00,1232.00
16,2018-10-07,38,380.00,512450.00,1355.00,1256.00,1355.00
17,2018-10-08,237,2640.00,3928680.00,1490.00,1382.00,1490.00
18,2018-10-09,2026,24470.00,38530960.00,1639.00,1519.00,1542.00
19,2018-10-10,514,5250.00,7861440.00,1540.00,1490.00,1493.00
20,2018-10-11,303,3040.00,4489530.00,1486.00,1440.00,1483.00
21,2018-10-14,274,3020.00,4569170.00,1550.00,1490.00,1550.00
22,2018-10-15,296,3630.00,5691200.00,1590.00,1520.00,1555.00
23,2018-10-21,99,1160.00,1779280.00,1540.00,1525.00,1532.00
24,2018-10-22,145,1480.00,2271480.00,1550.00,1529.00,1535.00
25,2018-10-23,184,3890.00,5852176.00,1533.00,1491.00,1496.00
26,2018-10-24,178,2630.00,3923080.00,1510.00,1480.00,1487.00
27,2018-10-25,182,1870.00,2783300.00,1510.00,1468.00,1485.00
28,2018-10-28,193,2710.00,3974170.00,1500.00,1460.00,1460.00
29,2018-10-29,116,1290.00,1865240.00,1460.00,1423.00,1450.00
30,2018-10-30,139,1600.00,2314920.00,1465.00,1426.00,1445.00
31,2018-10-31,72,770.00,1106550.00,1445.00,1427.00,1436.00
32,2018-11-01,88,1110.00,1574830.00,1448.00,1390.00,1420.00
33,2018-11-04,83,1500.00,2117420.00,1430.00,1392.00,1409.00
34,2018-11-05,106,1120.00,1605430.00,1509.00,1400.00,1480.00
35,2018-11-06,9,90.00,130600.00,1470.00,1409.00,1460.00
36,2018-11-11,46,590.00,847960.00,1460.00,1432.00,1434.00
37,2018-11-12,68,940.00,1319080.00,1434.00,1400.00,1400.00
38,2018-11-13,74,860.00,1206900.00,1420.00,1375.00,1407.00
39,2018-11-14,97,1080.00,1513950.00,1415.00,1381.00,1405.00
40,2018-11-15,88,1380.00,1944120.00,1416.00,1402.00,1405.00
41,2018-11-18,128,1430.00,2019980.00,1433.00,1390.00,1392.00
42,2018-11-19,95,1060.00,1462245.00,1395.00,1365.00,1373.00
43,2018-11-20,246,3450.00,4682950.00,1380.00,1350.00,1355.00
44,2018-11-21,322,3550.00,4783990.00,1360.00,1330.00,1352.00
45,2018-11-22,523,6155.00,8331565.00,1370.00,1350.00,1352.38
46,2018-11-25,59,1105.00,803280.00,1352.38,716.00,730.00
47,2018-11-26,62,1620.00,1216730.00,765.00,730.00,758.00
48,2018-11-27,65,2446.00,1850550.00,765.00,744.00,755.00
49,2018-11-28,37,550.00,407990.00,760.00,721.00,727.00
50,2018-11-29,50,880.00,632150.00,727.00,715.00,716.00
51,2018-12-02,128,5075.00,3702485.00,749.00,711.00,715.00
52,2018-12-04,77,3240.00,2259140.00,729.00,685.00,685.00
53,2018-12-05,36,920.00,619820.00,698.00,665.00,665.00
54,2018-12-06,47,1300.00,876750.00,685.00,665.00,685.00
55,2018-12-09,44,850.00,590970.00,703.00,685.00,700.00
56,2018-12-10,41,1660.00,1192910.00,740.00,700.00,726.00
57,2018-12-11,47,1020.00,737110.00,730.00,716.00,718.00
58,2018-12-12,18,190.00,134680.00,720.00,705.00,720.00
59,2018-12-13,60,1146.00,834570.00,734.00,720.00,726.00
60,2018-12-16,56,1550.00,1162060.00,755.00,726.00,749.00
61,2018-12-17,37,1770.00,1358190.00,775.00,742.00,774.00
