S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-06-12,1,10.00,3110.00,311.00,311.00,311.00
2,2019-06-13,1,10.00,3260.00,326.00,326.00,326.00
3,2019-06-16,2,20.00,6900.00,348.00,342.00,348.00
4,2019-06-17,1,10.00,3650.00,365.00,365.00,365.00
5,2019-06-18,1,10.00,3830.00,383.00,383.00,383.00
6,2019-06-20,1,10.00,4020.00,402.00,402.00,402.00
7,2019-06-23,1,10.00,4220.00,422.00,422.00,422.00
8,2019-06-26,118,2339.00,1084916.00,464.00,443.00,464.00
9,2019-06-27,1008,12838.00,6168169.00,509.00,445.00,501.00
10,2019-06-30,299,4048.00,1967132.00,501.00,476.00,480.00
11,2019-07-01,132,2380.00,1130490.00,480.00,471.00,476.00
12,2019-07-02,135,1810.00,868000.00,494.00,472.00,486.00
13,2019-07-03,133,3120.00,1571070.00,513.00,486.00,505.00
14,2019-07-04,144,3390.00,1751620.00,525.00,501.00,525.00
15,2019-07-07,75,2740.00,1379650.00,518.00,495.00,506.00
16,2019-07-08,52,1237.00,610475.00,500.00,482.00,491.00
17,2019-07-09,35,350.00,172980.00,499.00,487.00,495.00
18,2019-07-10,22,500.00,248220.00,506.00,486.00,493.00
19,2019-07-11,36,520.00,255370.00,500.00,486.00,487.00
20,2019-07-14,35,1150.00,563180.00,494.00,478.00,494.00
21,2019-07-15,21,470.00,233830.00,502.00,490.00,491.00
22,2019-07-16,13,130.00,63400.00,491.00,484.00,486.00
23,2019-07-17,34,490.00,241650.00,502.00,478.00,502.00
24,2019-07-18,9,200.00,100220.00,502.00,495.00,502.00
25,2019-07-21,30,690.00,347360.00,510.00,495.00,508.00
26,2019-07-22,52,750.00,377910.00,508.00,499.00,503.00
27,2019-07-23,43,760.00,387250.00,513.00,500.00,511.00
28,2019-07-24,63,2240.00,1177640.00,540.00,511.00,540.00
29,2019-07-25,40,1570.00,826880.00,535.00,521.00,535.00
30,2019-07-28,70,2892.00,1542632.00,550.00,526.00,540.00
31,2019-07-29,104,4287.00,2501437.00,594.00,550.00,594.00
32,2019-07-30,101,6659.00,4208566.00,653.00,605.00,653.00
33,2019-07-31,186,6334.00,4490829.00,718.00,655.00,718.00
34,2019-08-01,80,1920.00,1509630.00,789.00,732.00,789.00
35,2019-08-04,73,3394.00,2929588.00,867.00,828.00,867.00
36,2019-08-05,258,8784.00,7817418.00,953.00,821.00,860.00
37,2019-08-06,140,4422.00,3550465.00,850.00,775.00,790.00
38,2019-08-07,118,3257.00,2726786.00,869.00,746.00,869.00
39,2019-08-08,57,1010.00,855130.00,869.00,830.00,860.00
40,2019-08-11,75,2110.00,1777120.00,892.00,828.00,859.00
41,2019-08-12,62,1485.00,1245535.00,860.00,824.00,830.00
42,2019-08-13,42,805.00,684185.00,869.00,830.00,865.00
43,2019-08-14,27,410.00,340610.00,882.00,817.00,842.00
44,2019-08-15,19,510.00,422040.00,835.00,822.00,835.00
45,2019-08-18,94,1769.00,1422672.00,835.00,780.00,810.00
46,2019-08-19,53,1780.00,1392720.00,810.00,751.00,800.00
47,2019-08-20,25,400.00,316230.00,800.00,784.00,790.00
48,2019-08-21,18,499.00,387473.00,789.00,766.00,778.00
49,2019-08-22,15,590.00,461190.00,783.00,768.00,783.00
50,2019-08-25,19,360.00,275820.00,783.00,759.00,783.00
51,2019-08-26,10,120.00,92620.00,780.00,766.00,779.00
52,2019-08-27,10,100.00,77290.00,789.00,764.00,774.00
53,2019-08-28,12,217.00,166078.00,775.00,763.00,775.00
54,2019-08-29,8,80.00,61070.00,770.00,760.00,770.00
55,2019-09-01,18,310.00,235070.00,769.00,754.00,754.00
56,2019-09-02,36,820.00,602700.00,760.00,727.00,760.00
57,2019-09-03,26,680.00,531010.00,798.00,753.00,788.00
58,2019-09-04,15,320.00,246580.00,795.00,758.00,770.00
59,2019-09-05,21,250.00,190130.00,770.00,744.00,770.00
60,2019-09-08,23,480.00,364600.00,774.00,745.00,765.00
61,2019-09-09,17,403.00,299245.00,755.00,738.00,750.00
62,2019-09-10,18,216.00,159590.00,778.00,724.00,778.00
63,2019-09-10,18,216.00,159590.00,778.00,724.00,778.00
64,2019-09-11,13,180.00,136290.00,764.00,748.00,764.00
65,2019-09-12,17,560.00,412980.00,765.00,730.00,750.00
66,2019-09-15,13,180.00,133220.00,749.00,726.00,749.00
67,2019-09-16,31,720.00,523580.00,735.00,721.00,735.00
68,2019-09-17,27,1260.00,943960.00,770.00,736.00,754.00
69,2019-09-18,15,160.00,121100.00,769.00,735.00,769.00
70,2019-09-19,9,210.00,159250.00,775.00,745.00,770.00
71,2019-09-22,27,970.00,706460.00,755.00,718.00,750.00
72,2019-09-23,13,130.00,95730.00,759.00,730.00,759.00
73,2019-09-24,10,180.00,131760.00,750.00,725.00,739.00
74,2019-09-25,8,80.00,58140.00,728.00,726.00,726.00
75,2019-09-26,27,344.00,247672.00,730.00,716.00,720.00
76,2019-09-29,10,150.00,107630.00,727.00,713.00,727.00
77,2019-09-30,9,240.00,173530.00,727.00,711.00,725.00
78,2019-10-01,6,180.00,130920.00,730.00,716.00,716.00
79,2019-10-02,5,50.00,35730.00,716.00,712.00,712.00
80,2019-10-03,4,100.00,72010.00,726.00,715.00,720.00
