S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,9,2120.00,440800.00,214.00,206.00,210.00
2,2010-04-20,23,3515.00,708840.00,210.00,198.00,200.00
3,2010-04-21,25,4356.00,850518.00,198.00,189.00,197.00
4,2010-04-22,11,1895.00,377190.00,204.00,192.00,204.00
5,2010-04-25,9,1740.00,343670.00,200.00,195.00,200.00
6,2010-04-26,14,1540.00,311190.00,206.00,199.00,206.00
7,2010-04-27,10,1775.00,348700.00,202.00,193.00,193.00
8,2010-04-28,13,6556.00,1272088.00,201.00,192.00,200.00
9,2010-04-29,7,705.00,148340.00,216.00,204.00,213.00
10,2010-04-15,7,800.00,173400.00,218.00,216.00,216.00
11,2010-05-09,12,1685.00,339795.00,216.00,197.00,208.00
12,2010-05-10,8,290.00,63470.00,226.00,214.00,217.00
13,2010-05-11,16,2415.00,540185.00,230.00,219.00,222.00
14,2010-05-12,29,6896.00,1588977.00,234.00,226.00,231.00
15,2010-05-13,20,4040.00,955600.00,243.00,231.00,231.00
16,2010-05-16,9,1945.00,428620.00,231.00,212.00,212.00
17,2010-05-17,24,3010.00,636140.00,216.00,210.00,210.00
18,2010-05-18,5,2180.00,459420.00,218.00,210.00,218.00
19,2010-05-19,5,240.00,54320.00,233.00,222.00,229.00
20,2010-05-20,24,5940.00,1390540.00,240.00,230.00,235.00
21,2010-05-23,6,2000.00,468300.00,236.00,231.00,235.00
22,2010-05-24,16,4500.00,1063260.00,242.00,231.00,242.00
23,2010-05-25,11,1410.00,355300.00,259.00,246.00,255.00
24,2010-05-26,12,2725.00,696055.00,264.00,243.00,245.00
25,2010-05-30,8,2495.00,667755.00,269.00,249.00,269.00
26,2010-05-31,17,1790.00,486530.00,288.00,260.00,260.00
27,2010-06-01,6,1030.00,257650.00,255.00,250.00,250.00
28,2010-06-02,17,5423.00,1296620.00,250.00,233.00,243.00
29,2010-06-03,9,1505.00,364205.00,247.00,240.00,240.00
30,2010-06-06,7,1075.00,254180.00,240.00,236.00,236.00
31,2010-06-07,4,1145.00,273235.00,243.00,235.00,243.00
32,2010-06-08,2,150.00,37050.00,247.00,247.00,247.00
33,2010-06-09,6,480.00,123550.00,265.00,250.00,260.00
34,2010-06-10,8,1210.00,302300.00,255.00,245.00,250.00
35,2010-06-13,6,240.00,63000.00,270.00,255.00,260.00
36,2010-06-14,3,60.00,15550.00,260.00,255.00,260.00
37,2010-06-15,1,20.00,5100.00,255.00,255.00,255.00
