S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-03-07,4,175.00,180325.00,1051.00,1020.00,1051.00
2,2021-03-09,2,125.00,130625.00,1045.00,1045.00,1045.00
3,2021-03-10,3,150.00,159750.00,1065.00,1065.00,1065.00
4,2021-03-14,1,200.00,213000.00,1065.00,1065.00,1065.00
5,2021-03-15,7,200.00,209925.00,1052.00,1045.00,1052.00
6,2021-03-16,5,200.00,210925.00,1060.00,1051.00,1056.00
7,2021-03-18,1,25.00,26500.00,1060.00,1060.00,1060.00
8,2021-03-21,2,50.00,52875.00,1060.00,1055.00,1060.00
9,2021-03-22,1,25.00,26500.00,1060.00,1060.00,1060.00
10,2021-03-23,3,150.00,158500.00,1060.00,1055.00,1060.00
11,2021-03-24,2,75.00,79375.00,1060.00,1055.00,1060.00
12,2021-03-25,1,25.00,26375.00,1055.00,1055.00,1055.00
13,2021-03-29,2,50.00,52900.00,1060.00,1056.00,1056.00
14,2021-03-30,2,50.00,52775.00,1056.00,1055.00,1056.00
15,2021-03-31,1,100.00,105500.00,1055.00,1055.00,1055.00
16,2021-04-01,1,25.00,26250.00,1050.00,1050.00,1050.00
17,2021-04-04,1,50.00,52500.00,1050.00,1050.00,1050.00
18,2021-04-05,2,75.00,78400.00,1046.00,1045.00,1046.00
19,2021-04-06,1,25.00,26125.00,1045.00,1045.00,1045.00
20,2021-04-07,2,90.00,94650.00,1055.00,1050.00,1050.00
21,2021-04-12,3,80.00,83725.00,1050.00,1045.00,1045.00
22,2021-04-15,1,25.00,26150.00,1046.00,1046.00,1046.00
23,2021-04-21,2,100.00,104800.00,1048.00,1048.00,1048.00
24,2021-04-22,2,50.00,52650.00,1055.00,1051.00,1055.00
25,2021-04-25,2,125.00,131100.00,1060.00,1046.00,1046.00
26,2021-04-26,2,50.00,52325.00,1047.00,1046.00,1046.00
27,2021-04-27,3,81.00,85860.00,1060.00,1060.00,1060.00
28,2021-04-28,2,75.00,79250.00,1060.00,1050.00,1060.00
29,2021-05-02,2,75.00,79500.00,1060.00,1060.00,1060.00
30,2021-05-04,1,25.00,26275.00,1051.00,1051.00,1051.00
31,2021-05-05,1,25.00,26150.00,1046.00,1046.00,1046.00
32,2021-05-09,1,25.00,26500.00,1060.00,1060.00,1060.00
33,2021-05-10,1,25.00,26500.00,1060.00,1060.00,1060.00
34,2021-05-11,3,100.00,108070.00,1081.00,1080.00,1081.00
35,2021-05-17,1,20.00,21200.00,1060.00,1060.00,1060.00
36,2021-05-18,2,50.00,53000.00,1060.00,1060.00,1060.00
37,2021-05-20,1,100.00,106000.00,1060.00,1060.00,1060.00
38,2021-05-23,1,25.00,26500.00,1060.00,1060.00,1060.00
39,2021-05-24,1,25.00,26500.00,1060.00,1060.00,1060.00
40,2021-05-25,1,25.00,26500.00,1060.00,1060.00,1060.00
41,2021-05-27,1,25.00,26500.00,1060.00,1060.00,1060.00
42,2021-05-31,1,25.00,26500.00,1060.00,1060.00,1060.00
43,2021-06-01,3,75.00,79875.00,1070.00,1060.00,1070.00
44,2021-06-02,1,25.00,26275.00,1070.00,1060.00,1051.00
45,2021-06-03,2,25.00,26800.00,1072.00,1072.00,1072.00
46,2021-06-07,5,300.00,323675.00,1093.00,1060.00,1093.00
47,2021-06-09,1,25.00,26875.00,1075.00,1075.00,1075.00
48,2021-06-10,1,25.00,26550.00,1062.00,1062.00,1062.00
49,2021-06-15,1,25.00,26500.00,1060.00,1060.00,1060.00
50,2021-06-20,2,50.00,52125.00,1043.00,1042.00,1042.00
51,2021-06-21,2,55.00,58950.00,1080.00,1062.00,1080.00
52,2021-06-22,4,350.00,377500.00,1080.00,1075.00,1080.00
53,2021-07-08,2,35.00,37800.00,1080.00,1080.00,1080.00
54,2021-07-11,2,125.00,132500.00,1060.00,1060.00,1060.00
55,2021-07-12,2,70.00,76020.00,1101.00,1080.00,1101.00
56,2021-07-13,6,390.00,440025.00,1145.00,1120.00,1145.00
57,2021-08-11,1,10.00,11221.00,1122.10,1122.10,1122.10
